filename,year,month,num_citations,file_size,forward_links
List of diplomatic missions in the Republic of Macedonia,2015,3,3,86016,194
Macedonian nationalism,2008,5,0,43518,126
Bled agreement (1947),2008,4,0,30734,64
Demographic history of Macedonia,2010,3,86,277434,735
LGBT rights in the Republic of Macedonia,2008,3,0,49492,145
Outline of the Republic of Macedonia,2008,9,6,79153,161
Serbianisation,2007,8,5,37853,70
Republic of Macedonia,2003,5,0,75543,68
President of the Republic of Macedonia,2006,4,0,44429,109
Macedonian Academy of Sciences and Arts,2013,10,3,73078,165
Du%C5%A1an D%C5%BEamonja,2013,7,6,60560,110
Socialist Party of Macedonia,2014,10,0,50201,116
Macedonian nationalism,2009,12,58,109046,289
History of the Republic of Macedonia,2008,6,0,82424,315
History of the Republic of Macedonia,2006,5,0,49128,112
Shopi,2011,10,12,71819,138
President of the Republic of Macedonia,2010,3,7,90048,258
Macedonian Academy of Sciences and Arts,2011,5,0,66304,154
Stopanska Banka,2008,6,1,30835,48
Alpha Bank Skopje,2009,1,0,30480,50
Kanal 5 plus,2015,3,1,63020,237
Markovi Kuli,2007,1,0,26815,29
Afektiven Naboj,2007,5,0,27095,56
Du%C5%A1an D%C5%BEamonja,2013,12,6,60763,114
Macedonia naming dispute,2013,9,406,721644,1130
Assembly of the Republic of Macedonia,2012,5,3,90537,282
Mariovo,2010,5,0,40841,72
History of the Macedonians (ethnic group),2008,8,22,132934,434
Kanal 77,2010,12,0,59067,265
Du%C5%A1an D%C5%BEamonja,2010,10,1,40865,86
LGBT rights in the Republic of Macedonia,2009,5,1,67844,239
Macedonian nationalism,2011,4,57,122615,396
M 1 motorway (Republic of Macedonia),2010,6,1,33275,67
Adana (dance),2008,6,0,26872,45
Army of the Republic of Macedonia,2007,5,0,65141,140
Sivec,2010,4,0,25172,32
Assembly of the Republic of Macedonia,2010,4,0,68944,174
MRT 2 (TV channel),2013,6,0,61567,232
.mk,2006,12,0,65643,399
Party for a European Future,2014,7,0,40424,96
T Mobile Macedonia,2008,11,0,35541,74
Greece%E2%80%93Republic of Macedonia relations,2014,11,10,70755,194
Markovi Kuli,2006,4,0,26776,39
Democratic Alternative (Republic of Macedonia),2006,7,0,36243,73
Adana (dance),2015,3,0,51580,164
Macedonians in the Czech Republic,2013,3,4,57338,168
Marino (Ilinden),2014,4,0,28071,42
Du%C5%A1an D%C5%BEamonja,2009,2,0,33687,70
Lions (police unit),2014,2,0,28290,49
Austria%E2%80%93Republic of Macedonia relations,2010,7,7,49871,128
A1 TV channel (Macedonia),2013,1,1,73005,287
Republic of Macedonia,2008,3,55,356125,1289
Geography of the Republic of Macedonia,2004,9,0,31045,28
Macedonian months,2007,12,0,29264,51
Nova Makedonija,2008,10,0,59501,231
LGBT rights in the Republic of Macedonia,2005,4,0,28976,44
Gypsy Magic,2010,3,1,29511,52
"Kadino, Republic of Macedonia",2014,4,0,27262,42
Brsjak Revolt,2013,3,0,28294,59
2014 Macedonia listeriosis outbreak,2015,3,8,35583,35
Bloody Christmas (1945),2011,11,2,26692,41
.mk,2013,3,2,72504,404
Markovi Kuli,2013,2,0,53157,123
Mavrovo (region),2007,2,0,25611,39
The Salonika Terrorists,2013,3,0,36977,65
Macedonian nationalism,2014,11,124,198100,544
Markovi Kuli,2010,6,0,33919,54
Miroslav Gr%C4%8Dev,2013,9,2,30466,61
%C5%A0irok Sokak,2009,3,0,34803,72
List of People%27s Heroes of Yugoslavia monuments in Macedonia,2012,10,0,39093,88
List of diplomatic missions of the Republic of Macedonia,2013,7,1,77475,230
List of Macedonians (ethnic group),2011,8,1,91669,359
Macedonian nationalism,2007,8,0,36021,83
Macedonia naming dispute,2013,5,406,720580,1126
Macedonian Stock Exchange,2011,3,1,47119,157
Army of the Republic of Macedonia,2013,9,6,137652,405
Petar Mazev,2012,11,0,29251,58
Flags of the Republic of Macedonia,2013,2,6,84551,215
"Samuil%27s Fortress, Ohrid",2010,6,1,37250,71
Minister of Defense (Macedonia),2013,4,1,30111,59
Order 8 September,2014,4,1,38720,67
Adana (dance),2012,12,0,51092,160
President of the Republic of Macedonia,2012,1,6,112608,381
Republic of Macedonia,2014,12,138,561414,1697
Macedonian Sign Language,2014,1,5,69575,275
Macedonian Radio Television,2008,2,0,34418,50
Goran Trenchovski,2011,2,0,28994,62
Skudrinka,2015,3,0,50612,161
Republic of Macedonia,2005,6,0,111829,258
President of the Republic of Macedonia,2008,10,3,74942,310
Flags of the Republic of Macedonia,2011,1,6,78471,215
Greece%E2%80%93Republic of Macedonia relations,2013,4,10,68040,188
Constitution of the Republic of Macedonia,2008,6,2,45592,131
Education in the Republic of Macedonia,2010,8,1,58367,198
Resolution of the Comintern on the Macedonian Question,2012,8,7,33425,52
State University of Tetovo,2008,6,0,31505,51
Star%C4%8Devo culture,2006,12,0,34780,71
Portal:Republic of Macedonia,2012,3,0,137415,349
Macedonian Radio Television,2013,4,0,88620,392
Ko%C4%8Dani Orkestar,2010,9,4,60290,182
State University of Tetovo,2007,3,0,31165,51
Movement for All Macedonian Action,2008,1,2,27317,41
Demographics of the Republic of Macedonia,2012,7,4,124700,298
Darko Mitrevski,2009,1,3,32534,59
State University of Tetovo,2009,12,0,32293,51
Alfa Radio,2010,12,0,61213,240
Rubens Korubin,2014,2,3,36241,45
.mk,2008,12,0,65833,402
Assembly of the Republic of Macedonia,2013,11,3,92084,285
History of the Republic of Macedonia,2005,3,0,40671,77
Opstrukcija,2012,11,1,41357,77
Republic of Macedonia,2003,7,0,75067,66
Shopi,2007,3,1,45323,83
Democratic Party of Albanians,2009,6,0,45689,103
Macedonian nationalism,2013,12,124,196280,550
Komercijalna banka Skopje,2011,12,0,29730,49
A1 TV channel (Macedonia),2007,5,0,28188,44
Macedonian nationalism,2009,4,39,81763,224
List of Macedonians (ethnic group),2010,12,1,133050,366
Macedonian Radio Television,2010,12,1,92013,391
Padot na Vizantija,2010,8,0,35162,90
Democratic Party of Albanians,2011,5,1,45732,101
Padot na Vizantija,2012,11,0,35573,89
%C5%A0irok Sokak,2014,12,0,44656,97
Association of Serbo Macedonians,2013,11,31,62625,93
DON Market,2014,1,0,36535,63
Macedonians in the Czech Republic,2013,11,4,57717,171
Vardar Macedonia,2006,6,1,29157,50
List of Macedonians (ethnic group),2011,4,1,114242,364
Ohrid Agreement,2013,5,2,47218,113
Democratic Alternative (Republic of Macedonia),2014,4,0,42478,95
Padot na Vizantija,2007,5,0,36140,100
Association of Serbo Macedonians,2014,7,31,62467,90
%C5%A0irok Sokak,2012,5,0,43131,91
Republic of Macedonia,2009,4,70,367270,1163
Republic of Macedonia,2013,8,132,548634,1662
1981 World Wrestling Championships,2009,8,0,91229,213
MRT 2 (TV channel),2009,12,0,26167,38
History of the Macedonians (ethnic group),2013,12,35,136191,403
Macedonia in the Eurovision Young Musicians,2015,3,1,59890,168
Elections in the Republic of Macedonia,2009,9,1,77329,212
Vardar Macedonia,2008,5,1,37899,94
Macedonian Radio Television,2006,7,0,36104,51
Arhangel,2009,8,0,31133,57
Transport in the Republic of Macedonia,2013,11,3,73810,273
History of the Republic of Macedonia,2013,2,16,132551,523
Demographic history of Macedonia,2014,2,99,296801,759
Geography of the Republic of Macedonia,2010,3,9,93962,348
World War II in Yugoslav Macedonia,2010,10,46,279596,1033
Flags of the Republic of Macedonia,2015,3,6,76859,207
LGBT rights in the Republic of Macedonia,2007,4,0,46799,132
The Salonika Terrorists,2014,3,0,36560,63
%C5%A0opka,2009,12,0,50049,157
Demographics of the Republic of Macedonia,2007,9,0,51956,151
Buf%C4%8Dansko,2010,11,0,50967,163
League of Communists of Macedonia,2005,10,0,27690,35
Macedonian months,2014,6,0,22326,25
List of Macedonians (ethnic group),2008,12,1,116759,302
Petar Gligorovski,2009,1,0,28783,48
List of festivals in the Republic of Macedonia,2015,4,0,38450,49
Sivec,2009,6,0,25256,33
LGBT rights in the Republic of Macedonia,2006,11,0,48205,124
Economy of the Republic of Macedonia,2006,7,0,58255,249
Du%C5%A1an D%C5%BEamonja,2005,3,0,29854,55
Republic of Macedonia%E2%80%93Slovenia relations,2013,9,4,52240,114
History of the Macedonians (ethnic group),2011,11,30,130194,375
Svetozar Ristovski,2009,9,0,29594,47
Demographic history of the Republic of Macedonia,2011,2,0,68107,190
International Balkan University,2014,5,1,47989,111
Mariovo,2014,10,0,43329,66
Socialist Party of Macedonia,2008,4,0,41263,96
Kraj (song),2013,1,2,37675,87
Granit (company),2009,2,3,29205,51
Education in the Republic of Macedonia,2011,1,1,58249,198
MRT 1,2011,7,0,59222,231
Staro Baldovci,2014,4,0,28417,59
Petre M. Andreevski,2013,10,2,40931,75
Dnevnik (Skopje),2006,6,0,28556,42
Bara Tumba,2007,12,0,22782,34
Pink 15,2011,2,0,25872,32
Prime Minister of the Republic of Macedonia,2006,5,0,41616,105
Association of Serbo Macedonians,2015,2,31,63227,89
Kraj (song),2011,8,2,37437,90
Berziti,2010,5,2,33765,65
Army of the Republic of Macedonia,2012,4,13,134068,363
Ministry of Education and Science (Macedonia),2014,9,1,59815,75
Democratic Party of Albanians,2007,6,0,39594,77
MRT Center,2013,5,1,31375,47
Mariovo,2012,8,0,40638,64
.mk,2006,7,0,64907,399
History of the Macedonians (ethnic group),2009,12,20,135472,395
T Mobile Macedonia,2013,5,0,42063,110
Transport in the Republic of Macedonia,2005,4,0,29502,34
Miroslav Gr%C4%8Dev,2010,8,1,27048,47
Stopanska Banka,2010,9,1,33069,57
State University of Tetovo,2010,2,0,31788,52
Template:Macedonia film stub,2010,10,0,29456,49
Maxi D,2011,3,0,35454,65
Macedonian electoral units,2013,7,0,31916,52
Sitel (TV channel),2014,2,0,74505,341
MRT 1,2011,6,0,59352,235
Serbianisation,2006,6,1,30485,61
.mk,2014,1,2,72219,405
Petar Hadzi Boskov,2015,3,5,37577,54
Trebi%C5%A1te,2010,2,6,28095,31
Nova Makedonija,2005,11,0,27402,40
Democratic Alternative (Republic of Macedonia),2007,5,0,38058,83
Macedonian Scientific and Literary Society,2009,12,5,38033,61
Army of the Republic of Macedonia,2007,10,4,81504,176
President of the Republic of Macedonia,2013,9,6,119298,400
Bara Tumba,2010,6,0,33962,78
Greek investments in the Republic of Macedonia,2009,3,7,33932,66
Macedonia naming dispute,2008,1,150,294531,699
Ke%C5%BEovica,2009,8,1,34194,65
G%C3%BCve%C3%A7,2013,2,0,41495,123
Assembly of the Republic of Macedonia,2008,6,0,66829,199
Pelagonia,2009,7,0,33516,68
Nova Makedonija,2009,5,0,59439,225
1981 World Wrestling Championships,2009,11,0,91605,215
Serbianisation,2010,9,18,62469,198
"Old Bazaar, Skopje",2010,3,21,92567,220
Economy of the Republic of Macedonia,2007,10,0,60481,250
Democratic Party of Albanians,2009,4,0,46891,108
Buf%C4%8Dansko,2009,1,0,47279,141
Demographics of the Republic of Macedonia,2002,2,0,29521,24
Polog,2012,9,0,28832,46
Arhangel,2008,6,0,30360,57
Brsjak Revolt,2014,5,0,57532,159
List of Macedonians (ethnic group),2010,9,1,131527,365
Padot na Vizantija,2012,3,0,34886,87
Povardarie,2011,6,0,26205,38
%C5%A0irok Sokak,2012,8,0,43041,95
Forum (Macedonian magazine),2015,2,0,59171,223
Demographic history of Macedonia,2011,9,91,280747,701
International Balkan University,2011,11,1,33646,52
World War II in Yugoslav Macedonia,2014,5,82,299966,1013
History of the Republic of Macedonia,2009,12,14,98152,354
MRT Sat,2013,3,0,61913,243
Pelagonia,2010,2,4,33330,69
History of the Republic of Macedonia,2013,5,16,133019,523
Apostol Trpeski,2011,1,2,31239,51
Markovi Kuli,2009,11,0,32023,48
Gypsy Magic,2010,10,1,30001,52
History of the Macedonians (ethnic group),2013,1,35,135089,396
Montenegrins in the Republic of Macedonia,2010,4,1,41718,88
"Macedonian independence referendum, 1991",2011,2,0,44243,97
MRT Sat,2012,11,0,61349,239
Macedonian literary circle,2013,7,2,27105,42
List of Ambassadors of the United Kingdom to Macedonia,2011,11,5,62984,205
Vardar Macedonia,2011,10,2,29274,41
Army of the Republic of Macedonia,2007,3,0,47928,98
Narodna Odbrana,2007,11,0,28659,45
Demographic history of Macedonia,2007,5,0,126828,618
%C5%A0irok Sokak,2009,11,0,39130,78
Kontakt (film),2011,9,1,31056,56
State University of Tetovo,2008,7,0,36674,64
Skudrinka,2011,9,0,50673,157
Transport in the Republic of Macedonia,2009,8,3,52485,168
Portal:Republic of Macedonia,2006,3,0,120929,304
Geography of the Republic of Macedonia,2007,10,1,53581,189
Narodna Odbrana,2006,11,0,33338,56
Macedonian Stock Exchange,2008,7,1,45771,163
History of the Republic of Macedonia,2007,8,0,74200,288
Democratic Renewal of Macedonia,2012,6,0,60734,195
Bled agreement (1947),2013,4,1,29667,61
Ordan Petlevski,2012,7,2,29719,53
Prespa,2011,12,0,33855,68
Demographic history of Macedonia,2013,6,98,293380,731
Macedonian Scientific and Literary Society,2009,3,3,36005,58
Potr%C4%8Dulka,2008,7,0,46857,138
Demographics of the Republic of Macedonia,2011,1,0,79875,282
Assembly of the Republic of Macedonia,2010,12,0,86968,270
National Bank of the Republic of Macedonia,2013,4,0,81972,337
Portal:Republic of Macedonia,2008,7,0,134546,338
Star%C4%8Devo culture,2004,6,0,28801,48
Petar Mazev,2013,2,0,29457,60
Transport in the Republic of Macedonia,2007,4,0,39107,105
Republic of Macedonia,2009,7,77,387721,1238
Goran Menkov,2014,11,10,39481,63
List of World Heritage Sites in Macedonia,2013,3,1,69770,225
Narodna Odbrana,2007,6,0,28617,44
Serbianisation,2006,4,0,30186,57
Bara Tumba,2008,5,0,30627,62
Angel Gavrovski,2013,2,1,32032,58
Macedonian Stock Exchange,2012,6,1,48240,162
MAT Airways,2015,4,0,52375,132
Socialist Party of Macedonia,2008,6,0,41366,97
Demographics of the Republic of Macedonia,2009,3,0,60135,187
Elections in the Republic of Macedonia,2008,2,0,72446,210
Demir Hisar (region),2013,2,0,34287,59
Kozja%C4%8Dija,2015,3,0,21851,27
Economy of the Republic of Macedonia,2014,6,12,114012,265
History of the Republic of Macedonia,2014,9,16,139889,542
Portal:Republic of Macedonia,2013,4,0,138135,346
Army of the Republic of Macedonia,2011,12,13,133360,367
Army of the Republic of Macedonia,2011,1,8,139394,415
Republic of Macedonia,2004,4,0,100491,219
Demographic history of the Republic of Macedonia,2009,5,0,66493,193
Bled agreement (1947),2011,12,1,34379,77
Potr%C4%8Dulka,2015,3,0,50333,161
Architecture of the Republic of Macedonia,2009,1,2,46518,141
Pelagonia,2008,11,0,33239,62
Mavrovo (region),2008,5,0,28561,42
Geography of the Republic of Macedonia,2014,5,36,179633,579
Macedonian Radio Television,2011,10,2,93035,395
Potr%C4%8Dulka,2009,2,0,47079,139
Architecture of the Republic of Macedonia,2008,12,2,45702,140
Maxi D,2010,9,0,34284,62
Demographics of the Republic of Macedonia,2007,4,0,52037,157
Stopanska Banka,2008,7,1,33009,57
World War II in Yugoslav Macedonia,2008,4,33,246104,1165
Kopa%C4%8Dka (folk dance),2006,8,0,25596,38
A1 TV channel (Macedonia),2010,9,0,72147,287
List of diplomatic missions of the Republic of Macedonia,2010,5,1,73754,215
Krklino,2014,4,0,33248,110
Berziti,2014,12,2,38010,72
List of Macedonians (ethnic group),2011,7,1,95784,361
Macedonian Radio Television,2008,9,0,87667,384
Army of the Republic of Macedonia,2008,7,3,89016,239
Kanal 77,2013,3,0,59858,272
World War II in Yugoslav Macedonia,2011,7,56,281173,1001
Republic of Macedonia,2013,6,132,547231,1660
%C5%A0opka,2015,3,0,49721,161
1981 World Wrestling Championships,2011,12,0,105351,240
Shopi,2007,1,0,43961,82
Serbianisation,2013,5,22,75364,222
Kontakt (film),2013,3,1,31258,60
Macedonia naming dispute,2012,7,404,691087,1018
G%C3%BCve%C3%A7,2011,7,0,38809,106
Macedonian Stock Exchange,2015,1,1,47833,138
State University of Tetovo,2014,7,0,51573,119
T Mobile Macedonia,2009,7,0,35115,66
Dimitar Avramovski%E2%80%93Pandilov,2013,1,0,32163,52
State University of Tetovo,2006,9,0,30306,46
Gluvo nemo,2008,7,0,46631,139
Maja Hill,2010,5,4,34488,49
Vardar Macedonia,2004,7,0,25499,25
Stevo Stepanovski,2012,3,4,31508,49
Geography of the Republic of Macedonia,2008,11,0,50565,175
Democratic Alternative (Republic of Macedonia),2011,2,0,42671,99
Kontakt (film),2008,8,1,31534,52
Macedonian Sign Language,2011,11,5,42535,82
Constitution of the Republic of Macedonia,2007,10,2,43528,121
"Macedonian independence referendum, 1991",2009,4,0,42905,94
Lordship of Prilep,2011,8,4,62690,184
Economy of the Republic of Macedonia,2011,12,7,75921,228
Democratic Alternative (Republic of Macedonia),2009,12,0,45301,115
A1 TV channel (Macedonia),2012,1,1,76843,298
Maja Hill,2007,10,0,23784,38
Democratic Union (Republic of Macedonia),2012,11,0,37517,82
Demographics of the Republic of Macedonia,2015,3,15,138331,303
MRT Assembly Channel,2011,6,0,59921,235
League of Communists of Macedonia,2013,4,0,42405,90
National Democratic Party (Republic of Macedonia),2007,11,0,37114,82
Mavrovo (region),2014,10,1,31604,61
New Social Democratic Party,2009,12,0,41859,100
Republic of Macedonia,2003,12,0,85010,111
Demographic history of Macedonia,2008,7,12,155602,619
.mk,2008,1,0,65313,399
Demographic history of Macedonia,2006,11,0,125498,614
List of Collaborators with Communist Security Agency,2014,9,1,81469,136
Macedonian Information Centre,2013,4,0,60711,231
Buf%C4%8Dansko,2014,9,0,52905,173
Brsjak Revolt,2011,6,0,27857,54
List of Macedonians (ethnic group),2007,6,1,88472,188
%C5%A0opka,2009,2,0,46597,139
Macedonian nationalism,2013,11,124,195345,542
Pelagonia,2010,1,4,33665,69
Serbianisation,2012,9,22,76029,221
Demographic history of Macedonia,2011,7,92,280394,692
%C5%A0tuka,2014,5,0,30560,56
TEKO TV,2009,12,0,21713,31
Na%C5%A1a TV,2009,12,0,59167,227
Macedonian electoral units,2009,2,0,28055,42
Macedonia naming dispute,2009,1,350,511200,854
History of the Macedonians (ethnic group),2008,2,22,126282,405
Economy of the Republic of Macedonia,2013,7,12,108993,256
Democratic League of Bosniaks,2006,4,0,33606,72
Macedonia naming dispute,2014,2,409,733433,1150
National Bank of the Republic of Macedonia,2012,8,0,67440,253
Oblakovo,2014,5,0,34374,107
Macedonian Radio Television,2012,8,2,93292,394
