filename,year,month,num_citations,file_size,forward_links
61st Anti aircraft Missiles Regiment (Romania),2014,5,0,38177,80
Mihail Kog%C4%83lniceanu International Airport,2009,8,7,58989,153
Party of the Roma,2008,8,1,51747,156
Romania and the euro,2009,4,3,69949,228
Template:Romanian elections,2008,12,0,22914,27
Template:Romanian princesses by marriage,2009,4,0,24713,32
Template:Romanian elections,2012,3,0,49637,95
List of festivals in Romania,2008,8,0,28600,45
Dolce (satellite television),2012,10,1,45024,199
Judiciary of Romania,2006,2,0,26606,46
Ministry of Communications and Information Society (Romania),2010,4,0,33145,61
Party of the Roma,2009,12,1,52413,156
Parliament of Romania,2010,5,2,110081,408
Banat,2014,11,17,222422,679
Mititei,2007,7,0,30297,53
Ministry of Economy (Romania),2011,7,0,43621,115
"Monument to Endre Ady, Zal%C4%83u",2013,4,1,30759,52
Dan Diaconescu,2014,9,3,36090,60
Template:Parks in Bucharest,2012,7,0,23948,39
Banat Military Frontier,2015,4,0,42437,94
Flori sacre,2011,1,0,23789,41
1st Logistics Brigade (Romania),2007,5,2,31377,58
High Court of Cassation and Justice,2015,1,0,70548,195
Mihail Kog%C4%83lniceanu International Airport,2014,3,13,79298,195
Communications media in Romania,2009,9,6,98280,431
Outline of Romania,2012,5,4,129058,588
Romania,2002,7,0,68930,54
Geography of Romania,2010,11,0,99784,417
Politics of Romania,2009,7,3,182860,711
Judiciary of Romania,2007,1,0,27442,47
Extreme points of Romania,2007,4,0,38799,105
Perini%C8%9Ba,2007,5,0,27900,52
Template:Cuisine of Romania,2014,5,0,40325,150
ARCA Space Corporation,2011,10,5,98419,152
History of Romania,2009,12,89,251251,843
Federa%C8%9Bia Rom%C3%A2n%C4%83 de Radioamatorism,2012,12,2,40113,79
History of Romania,2012,12,92,266006,947
History of Romania,2013,8,93,268140,931
Template:LGBT in Romania,2008,2,0,26259,45
Eastern Moldova,2012,9,0,36030,70
53rd Anti Aircraft Missile Regiment (Romania),2008,1,0,36150,74
Template:First Cristea Cabinet,2014,12,0,27841,42
Fifty lei,2012,2,0,42983,83
Public holidays in Romania,2006,4,0,28405,69
Kiss FM (Romania),2013,1,0,43198,115
Dragobete,2006,11,0,25929,41
Template:Romania topics,2009,5,0,40385,134
Template:Romanian language,2014,12,0,30199,76
Sloboda,2008,2,0,33264,60
Ministry of Youth and Sport (Romania),2012,5,0,27002,40
Template:Liga I,2006,1,0,23165,45
Ministry of Education and Scientific Research (Romania),2012,3,0,43526,118
Romanian Armed Forces ranks and insignia,2008,7,0,116888,213
Banat,2014,10,17,224547,685
Chamber of Deputies (Romania),2011,1,5,90356,306
Museum of the Romanian Peasant,2006,8,1,33644,68
Ceau%C8%99ima,2007,6,25,60560,128
Flori sacre,2013,1,1,28435,51
Transport in Romania,2006,7,0,31326,69
Museum of the Romanian Peasant,2004,6,0,25943,40
Unification of Romania and Moldova,2014,8,70,151903,397
Template:BoNM Romania,2008,2,0,22388,31
