filename,year,month,num_citations,file_size,forward_links
Border Service of the Federal Security Service of the Russian Federation,2009,11,1,70805,172
Demographics of Russia,2010,8,54,214529,778
Transport in Russia,2003,12,0,29644,61
Butovo firing range,2014,8,3,47069,86
12th Chief Directorate,2014,1,0,77847,102
Prostitution in Russia,2008,1,1,34444,65
Economy of Russia,2010,6,34,215249,685
Template:Cossacks,2013,12,0,31271,93
Dedovshchina,2012,11,8,48279,95
Little Russia,2011,8,23,90899,262
President of Russia,2009,3,10,150746,515
Autonomous okrugs of Russia,2008,10,0,57089,189
Russian Ground Forces,2008,4,85,185974,435
Template:WikiProject Russia changes,2009,8,0,84077,260
List of institutions of higher learning in Russia,2015,4,5,153585,412
Big Children%27s Choir,2010,7,0,34071,64
Sikhote Alin meteorite,2009,1,5,44680,104
Joint Control Commission,2006,8,0,29736,51
Template:Russia topics,2008,10,0,43712,125
Postage stamps and postal history of Russia,2009,1,1,88673,339
Russian ruble,2005,2,0,55928,108
Russia,2007,4,34,382607,1439
Northern Sea Route,2004,8,0,42753,127
Saturn (detachment),2012,6,0,32773,66
Template:Islands in the Bering Sea,2011,4,0,36870,140
Borodin Trio,2015,4,5,31500,48
ISO 3166 2:RU,2006,8,0,53184,217
Vladimir Putin legislation and program,2014,3,21,60768,119
Freedom of assembly in Russia,2010,12,6,40468,93
Center for Journalism in Extreme Situations,2010,5,2,28169,44
Russian GAAP,2013,12,1,30637,45
Marine Scientific Research Institute of radioelectronics,2012,12,2,41545,90
Monotown,2013,2,4,35837,53
Government of Russia,2007,4,4,55835,129
Irreligion in Russia,2013,11,9,52999,83
Central Black Earth Region,2005,9,0,27820,56
Regional parliaments of Russia,2015,3,0,141428,219
Dacha,2004,8,0,28529,39
Astronomy Letters,2008,6,0,26610,40
Government of Russia,2008,2,2,80933,182
Potemkin village,2012,6,18,71000,131
Anti nuclear movement in Russia,2013,1,4,53549,203
GRAU,2006,4,0,53190,155
Center (band),2010,3,2,33438,65
Flag of the Jewish Autonomous Oblast,2011,2,2,35131,48
USSR State Prize,2004,6,0,36024,77
Portal:Russia,2005,9,0,40888,52
List of Russian flags,2011,6,6,92593,328
Nashi (youth movement),2012,9,66,123566,274
Transport in Russia,2011,3,3,104990,427
Lena Hades,2009,9,0,32305,59
Foreign relations of Russia,2009,11,145,442616,1618
Code of the Russian Federation on Administrative Offenses,2007,5,0,31968,55
Ural (region),2006,6,0,27519,44
Flag of Evenk Autonomous Okrug,2011,2,0,30309,49
Prosecutor General of Russia,2008,7,0,29686,49
For Faith and Fatherland,2013,1,0,28214,47
Lena Delta Wildlife Reserve,2010,2,0,33212,60
Transport in Russia,2008,8,1,52747,173
Russian State Fire Service,2014,5,4,89170,213
Little Russia,2013,12,22,90137,264
Aq Bars,2006,12,0,47443,90
AH7,2006,1,0,25830,32
Vice President of the Russian Federation,2014,4,0,37167,64
Dolgans,2005,9,0,30618,60
USSR State Prize,2013,11,5,154455,695
Blowing Up Russia,2010,4,19,52715,96
Intelligentsia,2011,12,13,60133,122
Sergei Mavrodi,2010,9,11,36102,64
List of people allegedly involved in Russian apartment bombings,2015,3,31,60276,123
Federal Service for Supervision of Consumer Rights Protection and Human Welfare,2014,7,0,74932,114
Rosstroy,2007,11,0,23703,34
List of leaders of the Soviet Union,2012,9,67,188406,542
Ethnic groups in Russia,2007,2,0,25034,29
Main Intelligence Directorate (Russia),2007,7,10,127977,581
Template:WikiProject Russiasandbox,2011,6,0,122337,235
Georgians in Russia,2013,4,1,30116,63
Intelligentsia,2005,7,0,33431,51
List of Russian military accidents,2009,12,8,33884,60
Natural resources of Primorsky Krai,2010,6,0,63226,197
List of tallest structures in the former Soviet Union,2012,9,20,389095,460
Eurasianism,2014,4,7,59019,163
Line of succession to the former Russian throne,2012,11,12,92836,223
Apostolic Nunciature to Russia,2011,11,4,36828,68
Template:Progress spacecraft,2009,8,0,78650,308
Lena Hades,2008,7,0,30963,53
Economy of Russia,2012,8,74,309725,961
Union of the Committees of Soldiers%27 Mothers of Russia,2007,2,0,29428,44
Russian Goal,2014,4,1,28409,46
Ethnic groups in Moscow,2014,5,10,58536,82
Russian Armed Forces,2007,3,15,113484,305
Postage stamps and postal history of Russia,2014,2,14,162529,583
Kievan Rus%27,2005,2,0,68209,211
Template:Khanty%E2%80%93Mansi Autonomous Okrug,2007,10,0,28266,46
Khanates of the Caucasus,2012,12,16,47641,111
Russian Aerospace Defence Forces,2011,12,3,49203,106
Russian Federal Space Agency,2009,3,2,167779,506
Russia,2008,5,195,597655,1635
Tartary,2006,2,0,31958,75
Template:Russian film list,2007,3,0,23364,32
Dissenters%27 March,2013,9,62,161176,497
Demographics of Russia,2014,5,88,850356,1386
Apostolic Nunciature to Russia,2011,9,4,36494,61
Indonesia%E2%80%93Russia relations,2008,5,0,53865,218
Tokhtamysh,2006,3,0,31154,50
Saturn (detachment),2007,3,0,26708,44
List of Russian desserts,2015,2,1,71553,313
Central Bank of Russia,2013,3,5,114547,498
Blowing Up Russia,2007,9,12,40643,94
Sloboda,2008,2,0,33264,60
Federation Council (Russia),2007,5,2,74061,215
Russia,2007,5,34,383531,1444
Skolkovo innovation center,2014,11,28,71294,102
Gambling in Russia,2010,6,1,57252,140
Russian Academy of Natural Sciences,2012,3,1,25585,38
Central Russia,2015,1,0,27486,48
Dissenters%27 March,2011,7,59,125927,321
Flag of the Chuvash Republic,2008,1,0,30728,43
List of Russian exonyms,2008,7,0,37171,103
Collective Security Treaty Organization,2015,1,33,123764,315
Sovereign democracy,2013,3,10,39580,63
Collective Security Treaty Organization,2011,1,28,102920,273
Buran (wind),2013,1,0,32025,51
Federal Security Service,2014,4,62,233801,639
A Word to the People,2009,5,7,32522,60
Filanovsky oil field,2013,7,1,29390,50
Protected areas of Russia,2013,5,1,54686,101
Russian Bear,2008,9,0,34171,70
Environment of Russia,2012,10,2,53017,79
Donbass,2013,4,3,69032,212
Economy of the Chuvash Republic,2006,1,0,46744,97
Flag of Ingushetia,2006,8,0,27919,33
Template:Kama River,2008,7,0,27898,51
Political parties in Russia,2013,4,9,131756,573
International Foundation for Civil Liberties,2013,1,33,63374,111
Main Intelligence Directorate (Russia),2012,11,24,129334,485
Declaration of State Sovereignty of the Russian Soviet Federative Socialist Republic,2010,8,1,34500,57
Defender of the Fatherland Day,2013,3,6,49288,96
Central Black Earth Region,2014,9,1,34217,77
Political parties in Russia,2009,1,0,63169,187
List of leaders of the Soviet Union,2010,3,3,61976,169
Gleb Kotelnikov,2012,11,2,35928,66
Russian cultural property law,2013,12,19,74952,98
Russian ruble,2014,9,46,237314,718
Unitary enterprise,2011,11,0,29282,52
Little Russia,2009,6,19,77474,223
Template:Year in Russia,2011,3,0,26950,39
Skolkovo innovation center,2014,9,28,66264,106
Lubyanka Criminal Group,2008,12,8,37625,81
Kirillov%27s house,2011,12,0,29585,48
Timeline of Russian innovation,2012,6,117,445539,2166
Template:Soviet dissidents,2012,11,0,37983,155
Template:Russian manned space programs,2012,4,0,64946,242
Sport in Russia,2009,4,5,64896,290
Cossackia,2015,3,3,30027,63
Economy of Russia,2011,9,52,257110,740
Nashi (youth movement),2010,4,53,94229,208
Norwegian rocket incident,2011,9,0,38303,62
Forestry in Russia,2014,12,9,100758,456
Economy of Russia,2007,2,0,161783,351
Samara Bend,2011,3,0,31568,58
"Moscow State Institute of Radio Engineering, Electronics and Automation",2009,11,0,46447,105
Template:Luna programme,2006,10,0,29622,74
GSKB Almaz Antey,2007,11,0,36986,72
Movement Against Illegal Immigration,2013,9,11,56448,160
House of Golitsyn,2007,12,0,52940,166
Potemkin village,2012,5,16,69578,123
Template:Russian North,2006,8,0,22782,51
List of heads of government of Russia,2014,7,35,264194,530
Washington Obkom,2009,6,1,31576,59
Russian Federal Space Agency,2010,12,10,190520,568
Tokhtamysh,2009,7,2,39475,83
State Council (Russia),2009,12,0,41584,100
Protected areas of Russia,2007,10,1,27225,49
Siberia,2012,12,49,206516,772
Vladimir Zhirinovsky%27s donkey video,2014,11,22,65217,130
Stavka,2005,9,0,31154,78
Table of Ranks,2007,6,0,37344,79
List of diplomatic missions in Russia,2009,7,159,560809,1500
Tartary,2007,11,0,33668,81
Ivasi,2013,4,0,28602,49
Khanates of the Caucasus,2010,2,5,36001,72
Collective Security Treaty Organization,2014,6,34,118653,316
SAGE (Soviet%E2%80%93American Gallium Experiment),2011,4,0,43969,142
Kievan Rus%27,2015,3,117,315891,1125
Autonomous okrugs of Russia,2014,11,2,71556,208
As the Bell Rings (Russian TV series),2013,10,0,29786,49
Template:Russian souvenirs,2010,5,0,35366,86
Template:WikiProject RussiaNavbox,2012,2,0,35436,84
President of Russia,2012,12,16,161043,561
Regional parliaments of Russia,2012,2,0,91900,70
