filename,year,month,num_citations,file_size,forward_links
Royal Order of the Intare,2012,8,0,33936,63
Mai Mai,2013,9,4,51183,113
Christian Democratic Party (Rwanda),2006,10,0,33317,76
Public holidays in Rwanda,2005,12,0,35821,65
Template:Rwanda stub,2008,1,0,24635,33
Rwandan Defence Forces,2010,7,21,91306,304
List of diplomatic missions in Rwanda,2011,4,0,51324,119
History of Rwanda,2009,9,31,146916,358
Christian Democratic Party (Rwanda),2006,1,0,33344,75
Union Nationale Rwandaise,2012,3,2,36122,80
I%26M Bank (Rwanda),2012,6,8,40326,88
Mai Mai,2012,5,2,48058,106
Rwanda,2004,12,0,85410,222
Rwandan Civil War,2008,2,15,81211,218
Ruanda Urundi,2010,5,0,45618,82
Prime Minister of Rwanda,2010,2,0,64996,281
Rwandan Civil War,2008,7,15,81313,223
Kigali Institute of Science and Technology,2013,6,2,64026,172
Senate (Rwanda),2009,5,1,44927,163
Kandt House Museum of Natural History,2009,3,1,33692,59
Gersony Report,2011,2,10,44918,81
.rw,2004,12,0,36276,47
Transport in Rwanda,2006,4,1,58120,225
Rwanda,2015,2,251,544813,1093
German East African rupie,2006,11,0,42991,118
Transport in Rwanda,2011,2,8,91464,356
Rwanda at the Olympics,2011,7,1,62123,285
Second Congo War,2014,6,38,187970,522
Transport in Rwanda,2014,4,4,68778,275
Second Congo War,2008,9,20,176861,570
Scouting and Guiding in Rwanda,2008,4,0,39821,117
Ministry of Education (Rwanda),2014,10,5,31315,47
United Nations Rwanda Emergency Office,2008,9,1,24588,30
Umuduri,2011,6,1,27363,51
Prime Minister of Rwanda,2010,7,0,66956,281
Royal Order of the Intare,2006,10,0,29626,55
History of Rwanda,2006,12,0,73564,212
Human rights in Rwanda,2010,10,21,55109,133
Rwanda,2012,10,225,512165,1057
Urugwiro,2011,5,0,24830,38
List of Rwandans,2013,5,7,49393,155
Gacaca court,2006,4,0,29102,61
Murambi Genocide Memorial Centre,2013,4,0,33214,60
History of Rwanda,2009,6,31,149030,367
Urewe,2011,12,0,41188,57
Origins of Hutu and Tutsi,2014,7,19,74181,188
Housing Bank of Rwanda,2013,8,6,37597,76
Mai Mai,2006,4,0,30270,53
International rankings of Rwanda,2012,12,2,35925,102
Index of Rwanda related articles,2011,12,0,45441,138
Second Congo War,2007,10,11,139560,417
Origins of Hutu and Tutsi,2012,10,7,53118,149
List of colonial governors of Ruanda Urundi,2004,9,0,44560,142
Transport in Rwanda,2012,4,6,90286,363
United Nations Rwanda Emergency Office,2007,2,1,24664,32
Water supply and sanitation in Rwanda,2013,5,26,100937,146
Rwanda Development Gateway,2006,9,0,23541,32
Rwandan Civil War,2014,7,34,122411,269
Rwanda,2009,1,60,264691,598
Wife selling,2013,9,345,427805,1114
Economy of Rwanda,2008,7,0,76047,345
Congo Basin,2013,4,1,37231,78
Outline of Rwanda,2009,6,0,84800,205
Maraba coffee,2010,3,29,97065,288
Bank of Kigali,2014,4,16,48831,112
Senate (Rwanda),2010,2,1,54697,223
Rwanda Over The Counter Exchange,2012,12,5,34159,69
Ministry of Disaster Management and Refugee Affairs,2013,3,3,32236,43
Islamic Democratic Party (Rwanda),2008,9,0,33446,73
History of Rwanda,2003,1,0,48271,70
ISO 3166 2:RW,2010,8,0,84092,708
Association des Guides du Rwanda,2010,4,0,41491,96
Rwandese Socialist Party,2008,2,0,32795,70
Rwandan passport,2008,8,0,110207,382
Mai Mai,2014,5,4,52077,117
List of colonial governors of Ruanda Urundi,2005,7,0,44534,142
Rwandan Defence Forces,2005,2,0,23932,27
Constitution of Rwanda,2009,12,0,43913,118
Social Party Imberakuri,2013,1,4,29305,45
History of Rwanda,2012,10,37,178908,476
Shake Hands with the Devil (book),2010,6,0,33975,66
Gustav Adolf von G%C3%B6tzen,2006,12,0,37235,98
Survie,2007,11,2,35140,67
Housing Bank of Rwanda,2012,5,6,36776,69
Index of Rwanda related articles,2013,12,0,42343,133
Democratic Union of the Rwandan People,2007,3,0,34045,75
List of Presidents of Rwanda,2005,11,0,39099,104
Senate (Rwanda),2009,4,1,44907,163
List of Rwandans,2009,8,0,28033,73
Prime Minister of Rwanda,2009,3,0,59070,221
Social Democratic Party (Rwanda),2010,8,2,35884,71
Transport in Rwanda,2009,12,8,79123,290
Banque Populaire du Rwanda SA,2011,4,9,42530,99
Transport in Rwanda,2009,11,8,79509,294
History of Rwanda,2014,3,37,174705,467
Bank of Kigali,2011,6,12,46527,110
List of Presidents of Rwanda,2010,5,0,54581,161
Ministry of Finance and Economic Planning (Rwanda),2013,3,2,35340,60
Transport in Rwanda,2002,2,0,22501,24
Second Congo War,2006,7,3,119584,386
Ruanda Urundi,2013,7,3,65385,148
List of Rwandans,2006,5,0,26728,67
Rwanda Development Gateway,2014,3,0,28803,45
Terracom,2009,10,0,29209,58
Charles Ntakirutinka,2012,3,5,33322,47
Kandt House Museum of Natural History,2013,4,1,30176,47
Urugwiro,2014,10,1,27181,42
German East African rupie,2009,11,0,49319,129
Gacaca court,2011,8,16,67860,112
Kamembe Airport,2015,3,6,42560,72
Rwandan Red Cross,2012,12,0,159597,343
Transport in Rwanda,2015,2,4,68561,269
Congo Basin,2013,5,1,37184,77
Democratic Union of the Rwandan People,2007,9,0,33248,66
.rw,2013,2,0,69389,415
History of Rwanda,2010,1,30,159860,395
Second Congo War,2005,4,0,115892,344
History of Rwanda,2010,7,30,169952,457
List of diplomatic missions of Rwanda,2013,7,0,60361,171
History of Rwanda,2013,5,37,174769,459
List of Presidents of Rwanda,2009,11,0,40678,118
Ruzagayura famine,2013,12,4,34457,58
Geography of Rwanda,2004,4,0,29961,52
Mai Mai,2012,11,3,49265,106
Politics of Rwanda,2014,7,2,76730,294
List of ministers of the Belgian Congo,2013,3,0,35187,56
Gacaca court,2006,2,0,28869,65
Ruanda Urundi,2011,8,0,53142,118
Mai Mai,2006,9,0,30260,55
History of Rwanda,2005,10,0,67849,168
List of ministers of the Belgian Congo,2011,10,0,37471,57
Rwandan Civil War,2007,7,14,78793,210
List of ecoregions in Rwanda,2014,2,0,59955,183
Genocidaires,2008,8,1,32420,79
Timeline of Rwandan history,2012,1,11,61722,161
Pretoria Accord,2012,1,0,29301,54
List of kings of Rwanda,2012,11,0,30484,38
Mai Mai,2005,8,0,30969,54
List of Presidents of Rwanda,2004,11,0,30818,53
History of Rwanda,2003,11,0,49350,75
Rwanda,2008,4,48,237666,546
Murambi Genocide Memorial Centre,2005,5,0,22624,21
Rwanda Nziza,2006,11,0,41708,115
Geography of Rwanda,2012,12,19,102802,340
Politics of Rwanda,2014,1,2,77122,299
Politics of Rwanda,2013,2,2,76292,293
I%26M Bank (Rwanda),2012,1,6,37982,80
Democratic Union of the Rwandan People,2006,6,0,34118,79
History of Rwanda,2008,4,1,77811,228
Idjwi,2007,12,1,35138,70
Mai Mai,2009,10,1,35808,72
Zigama Credit and Savings Bank,2015,1,9,40214,82
List of colonial governors of Ruanda Urundi,2013,7,0,40038,60
Prime Minister of Rwanda,2010,5,0,68413,294
Radio Muhabura,2013,11,6,35569,53
Economy of Rwanda,2008,1,0,75854,345
Liberal Party (Rwanda),2013,3,1,35761,76
Gacaca court,2011,1,15,65034,109
1973 Rwandan coup d%27%C3%A9tat,2014,3,4,45810,97
History of Rwanda,2007,1,0,71530,208
List of ministers of the Belgian Congo,2014,10,0,35701,56
