filename,year,month,num_citations,file_size,forward_links
Military of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2004,4,0,23831,26
Independent Democratic Action,2004,8,0,32456,62
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe at the 2000 Summer Olympics,2013,3,0,67847,273
GD Sundy,2012,7,6,45205,76
Angolar Creole,2013,7,1,40373,86
Fern%C3%A3o do P%C3%B3,2009,8,0,32394,65
Angolar Creole,2011,8,1,42177,89
Batep%C3%A1 massacre,2009,12,0,33813,63
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2004,11,0,90283,194
Associa%C3%A7%C3%A3o dos Escuteiros de S%C3%A3o Tom%C3%A9 e Pr%C3%ADncipe,2009,6,3,37225,52
Demographics of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2009,1,0,46246,130
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe escudo,2009,11,0,38020,69
S%C3%A3o Tom%C3%A9 International Airport,2013,4,3,44992,90
S%C3%A3o Tom%C3%A9 fiscal,2007,11,0,32125,56
List of diplomatic missions in S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2010,7,0,58920,136
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe escudo,2010,8,0,37502,61
Independent Democratic Union of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2009,12,0,38035,80
Force for Change Democratic Movement %E2%80%93 Liberal Party,2005,11,0,34628,70
Economy of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2014,2,8,85598,255
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2010,6,9,232897,721
P%C3%AAro Escobar,2013,10,4,31032,50
Geography of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2008,6,0,41959,138
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe at the Olympics,2009,7,0,59499,267
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2011,3,12,255113,847
Opposition Democratic Coalition,2005,10,0,32992,67
Angolar Creole,2013,3,0,41792,90
Democratic Convergence Party %E2%80%93 Reflection Group,2005,9,0,35041,76
List of birds on stamps of Sao Tome e Principe,2012,3,1,64721,326
Christian Democratic Front,2008,9,0,37436,89
Social Renewal Party (S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe),2009,9,0,37572,80
S%C3%A3o Tom%C3%A9 fiscal,2008,3,0,32123,56
2011 S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe Championship,2012,3,8,66184,159
Pr%C3%ADncipe Island League,2009,9,0,38583,53
Pr%C3%ADncipe Island League,2011,4,0,43453,75
Associa%C3%A7%C3%A3o dos Escuteiros de S%C3%A3o Tom%C3%A9 e Pr%C3%ADncipe,2006,3,0,28563,39
Islam in S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2007,12,0,52273,174
United States Ambassador to S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2012,5,0,74574,285
Portal:S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2009,3,5,109452,197
Portuguese S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2014,9,6,83467,243
Pr%C3%ADncipe Airport,2009,3,0,26411,34
Porto Alegre Airport,2010,2,2,32374,49
Est%C3%A1dio Nacional 12 de Julho,2013,3,0,31720,54
S%C3%A3o Tom%C3%A9 fiscal,2009,10,0,37533,67
Transport in S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2007,8,0,50721,170
Social Renewal Party (S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe),2006,4,0,33769,68
Trindade (football club),2014,3,0,39746,68
Correia (football club),2011,11,0,40377,64
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2010,8,9,151441,286
P%C3%AAro Escobar,2009,9,3,30185,49
Amador (football club),2012,5,0,41969,71
List of people from S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2010,6,0,27027,39
Democratic Convergence Party %E2%80%93 Reflection Group,2004,8,0,33588,68
Geography of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2009,4,0,41870,135
Fang language,2006,6,0,29676,47
Bairros Unidos FC,2013,4,0,42115,71
Federa%C3%A7%C3%A3o Santomense de Futebol,2009,10,0,53760,177
Pr%C3%ADncipe Island League,2011,12,1,42856,68
Fang language,2009,4,0,42436,92
GD Sundy,2010,9,0,37089,50
Inter Bom Bom,2012,7,0,52336,80
.st,2008,8,0,66695,402
S%C3%A3o Tom%C3%A9 fiscal,2012,12,1,38676,64
Politics of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2004,9,0,44574,119
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe at the 1996 Summer Olympics,2008,9,0,66147,262
Demographics of S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,2007,12,0,42393,124
.st,2007,3,0,63752,396
2011 S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe Championship,2012,1,8,65548,155
%C3%81lvaro Caminha,2007,4,0,26888,40
Bairros Unidos FC,2008,10,0,38141,56
FC Porto Real,2008,1,0,37681,50
