filename,year,month,num_citations,file_size,forward_links
Foreign relations of the Sahrawi Arab Democratic Republic,2007,8,0,77186,439
Foreign relations of the Sahrawi Arab Democratic Republic,2011,11,4,59474,175
Free Zone (region),2013,2,18,88210,249
Sahrawi Arab Democratic Republic,2007,9,3,98390,252
Foreign relations of the Sahrawi Arab Democratic Republic,2010,1,11,79669,248
Sahrawi nationality law,2011,1,4,44416,69
Political status of Western Sahara,2013,2,378,604151,706
Free Zone (region),2007,2,14,47297,90
Foreign relations of the Sahrawi Arab Democratic Republic,2013,12,147,318696,515
Dougaj,2012,10,3,40364,76
Sahrawi nationality law,2012,10,4,44360,70
Ain Ben Tili,2006,6,0,28970,60
Coats of arms of Western Sahara,2011,11,0,48987,137
"Sahrawi legislative election, 2012",2015,1,2,47297,87
Sahara Press Service,2014,12,6,42344,76
Political status of Western Sahara,2006,7,50,159312,580
Sahrawi refugee camps,2008,9,2,45678,88
Sahrawi Youth Union,2012,2,4,47172,89
Polisario Front,2010,8,27,131807,392
Sahrawi Arab Democratic Republic,2006,9,3,93517,254
Polisario Front,2007,12,4,115793,374
"Zug, Western Sahara",2008,10,1,27325,42
Sahrawi Arab Democratic Republic,2012,4,18,165333,522
Political status of Western Sahara,2007,9,41,136699,277
Sahrawi Arab Democratic Republic,2011,8,15,168557,536
Sahrawi National Council,2011,1,0,52226,165
Laayoune TV,2013,3,0,30209,51
"Zug, Western Sahara",2013,3,25,90327,178
Former members of the Polisario Front,2012,9,35,57849,95
Political status of Western Sahara,2010,1,55,221209,424
Sahrawi Youth Union,2007,8,0,37462,74
List of diplomatic missions to the Sahrawi Arab Democratic Republic,2012,8,10,63344,153
Elections in the Sahrawi Arab Democratic Republic,2005,10,0,36909,73
Former members of the Polisario Front,2010,8,23,54648,115
Sahrawi Arab Democratic Republic,2012,1,18,163031,516
Sahrawi Arab Democratic Republic,2011,6,15,153480,477
Former members of the Polisario Front,2011,8,38,58610,104
List of diplomatic missions of the Sahrawi Arab Democratic Republic,2012,2,22,78424,152
Sahrawi Youth Union,2011,7,4,47221,89
Tifariti,2006,2,0,31080,65
Constitution of the Sahrawi Arab Democratic Republic,2009,6,1,58483,134
Outline of the Sahrawi Arab Democratic Republic,2009,1,0,86086,120
Elections in the Sahrawi Arab Democratic Republic,2007,10,0,52040,162
Free Zone (region),2011,8,18,68804,205
Sahrawi refugee camps,2012,7,30,103724,185
