filename,year,month,num_citations,file_size,forward_links
LGBT rights in Saint Kitts and Nevis,2013,6,4,37012,78
"Government House, Saint Christopher and Nevis",2012,12,2,31420,48
Independence Square (Basseterre),2012,2,0,29552,48
List of birds of Saint Kitts and Nevis,2013,8,0,73349,328
Outline of Saint Kitts and Nevis,2009,3,1,90335,173
Jeffrey Hazel,2014,11,2,35793,57
Village Superstars F.C.,2012,7,0,73958,124
"Gary Smith (footballer, born 1966)",2009,5,0,35279,70
Governor General of Saint Kitts and Nevis,2013,10,0,94759,230
Mongoose Play,2006,5,0,24324,33
Geography of Saint Kitts and Nevis,2012,10,0,60923,177
St. George%27s Anglican Church (Basseterre),2009,12,0,29525,44
St. Kitts and Nevis Football Association,2009,2,0,53263,162
Battle of Saint Kitts,2008,12,0,38213,104
Saint Kitts and Nevis Cycling Federation,2009,5,0,28206,44
Ian Lake (footballer),2013,11,0,37084,65
Battle of Saint Kitts,2006,7,0,34918,91
Saint Kitts and Nevis Defence Force,2008,12,0,31757,43
Tea meeting,2007,5,0,28550,48
Charles Laplace,2012,12,3,31837,56
Saint Kitts and Nevis Defence Force,2005,2,0,28421,39
Meritzer Williams,2012,7,0,34824,75
Kennedy Simmonds,2012,6,1,46870,64
Republic of Anguilla,2014,1,1,41718,83
Thomas Warner (explorer),2014,7,3,43598,80
Music Makers,2007,6,0,26688,41
Nevis Premier Division,2011,3,0,42856,93
Medical University of the Americas %E2%80%93 Nevis,2011,8,6,33709,49
Governor General of Saint Kitts and Nevis,2006,1,0,41787,71
Ian Lake (footballer),2011,7,0,40894,67
Medical University of the Americas %E2%80%93 Nevis,2013,4,16,51412,70
Lutel James,2007,6,0,32448,67
List of airports in Saint Kitts and Nevis,2008,11,0,41110,133
Saint Kitts and Nevis,2012,9,13,248349,866
Elections in Saint Kitts and Nevis,2005,3,0,36378,75
Edward Hay Drummond Hay,2011,11,3,37378,73
List of diplomatic missions of Saint Kitts and Nevis,2013,12,0,42603,92
Brijesh Lawrence,2014,9,2,37279,68
List of Prime Ministers of Saint Kitts and Nevis,2015,2,1,49755,105
Akil Grier,2013,1,1,34151,62
Saint Kitts and Nevis,2005,8,0,80418,139
"Gary Smith (footballer, born 1966)",2007,4,0,33183,64
Elquemedo Willett,2006,2,0,25680,46
Saint Kitts and Nevis National Cup,2013,12,0,49480,105
.kn,2012,1,0,68977,409
