filename,year,month,num_citations,file_size,forward_links
La Woz,2007,6,0,27354,39
Saint Lucia Freedom Party,2008,11,0,31020,55
.lc,2008,3,0,66633,405
Roman Catholic Archdiocese of Castries,2006,11,0,28139,45
Saint Lucia at the 2004 Summer Olympics,2010,11,1,67586,274
List of mammals of Saint Lucia,2014,4,1,62104,203
Kont,2012,10,0,29025,55
Economy of Saint Lucia,2011,10,4,68445,311
United Nations Security Council Resolution 453,2010,1,0,43136,77
Saint Lucia,2014,7,22,257841,920
Coat of arms of Saint Lucia,2009,2,0,42251,89
Tourism in Saint Lucia,2011,8,2,44041,104
Saint Lucia Football Association,2006,3,0,51316,168
Ignatius Cadette,2009,12,0,29170,55
United Nations Security Council Resolution 453,2012,8,0,44759,79
Outline of Saint Lucia,2009,7,1,94476,233
List of cities in Saint Lucia,2005,7,0,25189,30
Geography of Saint Lucia,2012,9,0,61595,190
Governor General of Saint Lucia,2005,10,0,32973,65
Outline of Saint Lucia,2014,12,1,87795,229
History of Saint Lucia,2011,1,1,48232,127
Law enforcement in Saint Lucia,2012,11,8,41047,82
History of Saint Lucia,2010,1,1,46651,129
Saint Lucia,2006,5,0,86659,225
Saint Lucia National Trust,2013,12,3,30255,42
House of Assembly of Saint Lucia,2012,12,4,56897,127
Politics of Saint Lucia,2003,12,0,30389,41
Area code 758,2013,3,0,49590,207
Military of Saint Lucia,2003,9,0,22739,26
Saint Lucia livre,2007,3,0,28831,47
"Government House, Saint Lucia",2013,1,0,49655,90
Societies of Saint Lucia,2014,1,0,31621,70
Saint Lucia,2012,3,16,228634,847
St. Joseph%27s Convent (Saint Lucia),2013,6,3,32960,47
"Government House, Saint Lucia",2010,12,0,30735,59
Folk Research Centre,2010,4,0,24578,31
Quarters of Saint Lucia,2011,12,0,49772,125
Tourism in Saint Lucia,2014,2,2,44353,103
Outline of Saint Lucia,2009,3,0,81911,171
Elections in Saint Lucia,2007,4,0,41619,100
List of political parties in Saint Lucia,2009,1,0,43608,118
Governor General of Saint Lucia,2014,1,0,92042,227
Saint Lucia amazon,2011,6,0,43822,113
France%E2%80%93Saint Lucia Delimitation Agreement,2011,11,1,36920,87
Geography of Saint Lucia,2003,8,0,27171,51
Saint Lucia at the 1996 Summer Olympics,2007,4,0,63535,264
List of companies of Saint Lucia,2005,12,0,24888,34
Rovers United FC,2014,6,0,27744,41
Saint Lucia black finch,2008,8,0,30815,59
List of Prime Ministers of Saint Lucia,2008,9,0,39697,119
Kont,2006,12,0,26523,36
Parliament of Saint Lucia,2013,3,0,51344,159
Saint Lucia,2008,7,2,158454,617
Coat of arms of Saint Lucia,2007,2,0,46278,41
Megalomys luciae,2007,12,2,33537,69
Senate of Saint Lucia,2010,3,0,46620,165
Saint Lucia,2005,4,0,97372,353
Quarters of Saint Lucia,2009,11,0,50312,128
Politics of Saint Lucia,2004,4,0,31604,68
History of Saint Lucia,2009,11,1,48116,162
Saint Lucia Football Association,2013,2,0,64018,195
Sou Tout Apwe Fete Fini,2008,11,0,30428,55
List of diplomatic missions of Saint Lucia,2012,1,0,44091,82
Battle of St. Lucia,2007,5,0,42441,119
Area code 758,2008,8,0,41708,159
