filename,year,month,num_citations,file_size,forward_links
Law enforcement in Samoa,2010,10,0,32820,74
Coming of Age in Samoa,2007,8,0,31955,54
Samoa College,2011,11,2,31963,56
Ali%CA%BBi,2012,4,5,45622,116
Samoan records in Olympic weightlifting,2012,6,1,46647,99
Samoan Democratic United Party,2011,11,3,33919,56
Fa%27a Samoa,2005,2,0,23044,33
Samoa%E2%80%93United States relations,2014,2,1,81874,331
Aquaculture in Samoa,2013,4,3,34113,60
Mana,2012,5,4,53808,162
Flag of Samoa,2008,2,0,50836,74
Samoa College,2010,7,2,31120,56
Samoa,2006,10,0,124731,344
Fa%27afafine,2011,3,2,55898,184
Archaeology of Samoa,2010,2,7,59551,117
History of Samoa,2014,6,13,83108,249
Samoa,2015,3,71,256851,695
O le Ao o le Malo,2014,9,11,70220,168
Template:Samoa stub,2006,7,0,24621,31
Tilafaiga,2013,4,1,28491,57
Western Samoa Trust Territory,2012,12,12,57846,122
White Sunday,2007,10,0,24606,33
Lloyd Osbourne,2012,4,3,55727,163
Limalama,2009,12,2,33007,53
Salavea,2008,12,0,23909,41
Samoa,2009,11,44,222135,667
Samoa%E2%80%93United States relations,2011,11,0,76696,322
Prime Minister of Samoa,2008,12,0,34791,71
List of diplomatic missions in Samoa,2012,5,4,43160,69
History of Samoa,2010,10,1,61189,196
Malu,2010,12,0,25127,36
Samoan plant names,2015,4,3,58993,228
Fa%27amatai,2010,6,16,88907,145
Lloyd Osbourne,2007,5,0,31929,60
Prime Minister of Samoa,2008,1,0,37002,110
Cabinet of Samoa,2014,4,5,52331,154
Fa%27amatai,2011,3,21,102211,184
Mana,2015,3,35,112727,283
Fa%27ataupati,2010,4,0,25567,34
Occupation of German Samoa,2013,12,9,51013,133
Second Samoan Civil War,2012,11,2,56913,125
Mau movement,2009,9,5,45062,64
Mana,2005,11,0,42976,144
Samoan Democratic United Party,2010,9,3,33263,55
Samoa Girl Guides Association,2007,5,0,29971,53
O le Ao o le Malo,2009,8,10,52033,99
Human Rights Protection Party,2006,12,0,37554,75
Samoan crisis,2011,6,0,54196,96
SS Talune,2013,10,18,52074,101
Samoan passport,2010,2,0,72860,339
Coming of Age in Samoa,2008,1,7,34163,53
Wilhelm Solf,2005,9,0,34299,104
Olaf Frederick Nelson,2007,10,0,26591,42
Samoan nationality law,2010,10,6,62906,239
Coming of Age in Samoa,2010,1,14,48540,63
Radio Polynesia,2010,8,5,29356,46
