filename,year,month,num_citations,file_size,forward_links
Saint Marinus,2013,1,2,37079,63
List of birds of San Marino,2012,10,0,53531,206
Saint Marinus,2004,7,0,28707,36
List of diplomatic missions in San Marino,2008,4,0,80429,139
List of Captains Regent of San Marino,2007,12,1,142395,430
List of Captains Regent of San Marino,2008,1,1,141969,426
San Marino Highway,2013,8,0,31247,50
Miodio,2008,8,0,29290,42
Rovereta,2013,6,0,41723,92
List of diplomatic missions of San Marino,2011,3,0,52177,135
Guaita,2010,11,0,31248,59
Outline of San Marino,2011,10,2,83756,201
Miodio,2008,7,0,29236,41
Sport in San Marino,2013,3,2,49079,151
San Marino,2008,12,11,172528,530
Municipalities of San Marino,2014,3,0,56765,188
Inno Nazionale della Repubblica,2014,8,0,60210,202
Outline of San Marino,2011,7,2,84032,203
Montale (San Marino),2008,10,0,28988,51
Military of San Marino,2009,10,0,47433,110
Cando (river),2009,12,0,28548,48
.sm,2006,1,0,65488,401
Corianino,2007,1,0,28379,47
Fiumicello (river),2013,1,0,31244,56
Transport in San Marino,2013,2,2,59553,196
Index of San Marino related articles,2010,3,0,29457,61
Tourism in San Marino,2007,2,0,35032,95
C%C3%A0 Berlone,2010,11,0,39242,87
Municipalities of San Marino,2013,2,0,57058,198
Enrico Enr%C3%ADquez,2013,7,0,37088,82
De La Fratta,2009,9,0,28063,42
Transport in San Marino,2004,8,0,25246,37
Military of San Marino,2011,3,7,51827,103
History of San Marino,2002,7,0,27805,24
De La Fratta,2008,9,0,26662,36
Women in San Marino,2015,2,5,73399,305
San Marino passport,2012,6,0,79880,350
University of the Republic of San Marino,2010,10,0,29890,41
Communist Youth Federation of San Marino,2009,7,0,28384,43
.sm,2011,4,0,69238,411
"List of Captains Regent of San Marino, 1700%E2%80%931900",2005,4,0,179530,324
San Marino,2012,10,28,238842,801
Acquaviva (San Marino),2007,2,0,39283,63
San Marino,2006,12,2,109004,264
Falciano,2009,4,0,39316,89
Battle of San Marino,2010,2,23,65285,123
Demographics of San Marino,2012,3,2,55220,119
Crociale,2010,11,0,38169,86
Fiorentino,2007,2,0,29381,29
List of newspapers in San Marino,2011,12,0,37089,91
Crisalide (Vola),2014,3,7,75388,222
United Socialist Party (San Marino),2012,4,2,27872,43
Monte San Cristoforo,2008,2,0,26011,38
Grand and General Council,2012,3,0,60992,200
Battle of San Marino,2010,3,23,65043,116
History of San Marino,2014,5,19,95483,235
