filename,year,month,num_citations,file_size,forward_links
Armed Forces of Saudi Arabia,2010,1,7,86921,279
Banu Zuhrah,2007,9,5,31434,62
Fadak,2010,9,21,51690,119
Banu Uqayl,2010,12,0,29991,79
Saudi Payments Network,2008,1,0,29626,63
Template:Campaignbox Ikhwan Revolt,2012,2,0,25054,36
Demographics of Saudi Arabia,2011,11,6,78846,296
Jabrids,2010,4,0,29774,67
Nuclear program of Saudi Arabia,2007,10,7,34668,52
Al Garah,2008,11,0,23860,34
Banu Kinanah,2014,6,2,42069,83
Saudi Arabia%E2%80%93Turkey relations,2013,11,2,59454,194
Nabataean kingdom,2013,7,6,45306,96
Al Qunfotha,2009,8,0,27577,43
Basic Law of Saudi Arabia,2015,4,11,79593,212
Capital Market Authority (Saudi Arabia),2011,12,4,58042,135
Shaybah,2009,3,0,28460,46
Faisal al Duwaish,2010,2,0,26558,42
Abu Sa%27id Jannabi,2012,5,2,26199,38
Royal Saudi Navy,2012,2,11,76409,215
Freedom of religion in Saudi Arabia,2008,8,18,94329,295
Muhammed Murdi Issa Al Zahrani,2010,11,5,66514,207
Iraqi Airways Flight 163,2014,7,1,47682,120
European exploration of Arabia,2006,12,0,28517,54
Jeddah Corniche,2012,5,1,27467,44
Romans in Arabia,2011,3,17,116380,625
Al Safa and Al Marwah,2007,3,0,32390,53
Royal Saudi Strategic Missile Force,2014,2,13,71987,179
Achaemenid Arabia,2010,9,3,38742,124
Abu Hadriyah Highway,2011,9,0,30178,62
Qatif rape case,2012,3,29,62407,73
Saudi Arabian National Guard,2012,2,3,74014,231
King Abdullah Economic City,2010,8,20,69766,127
Abdul Aziz Ben Sharpe Ben Rabah Al Shabari,2010,11,1,31988,48
Jeddah,2011,10,35,234384,697
Faisal al Duwaish,2011,7,0,27993,47
Banu Jusham,2013,3,1,68241,393
Mabkhara,2013,5,0,48120,180
Hafar Al Batin,2009,2,0,82173,277
Human rights in Saudi Arabia,2007,8,17,101797,296
History of Saudi Arabia,2010,10,13,84339,270
Ibrahim ibn Muhammad Al ash Sheikh,2012,4,4,32963,48
Battle of Jeddah (1925),2007,10,2,34423,61
Tuwaiq,2011,7,0,47437,163
Thamud,2007,5,0,42586,55
Ikhwan raid on Busayya,2015,3,2,35556,58
Al Qunfudhah,2007,8,0,26717,39
Manfuha,2009,9,0,31234,70
Al Saudiya,2011,12,2,28964,43
Sharif of Mecca,2004,11,0,26678,48
Unification of Saudi Arabia,2013,7,24,122374,417
Saudi Arabia at the 1984 Summer Olympics,2011,8,1,68805,244
List of Bahranis,2014,7,0,56388,212
Kingdom of Hejaz,2012,7,2,49278,101
Saleh bin Abdul Aziz Al ash Sheikh,2014,12,4,35123,54
Iraqis in Saudi Arabia,2010,7,1,42448,101
Hejaz,2015,3,17,115912,372
Visa requirements for Saudi citizens,2013,8,2,198495,725
Eqab bin Mohaya,2014,4,0,39234,49
Banu Thaqif,2005,4,0,24806,35
Uqair,2011,8,0,64813,203
Human rights in Saudi Arabia,2004,10,0,29478,45
Fadak,2008,4,67,120297,302
E. A. Juffali and Brothers,2012,12,0,27098,49
Dammam,2012,8,7,143328,349
Saudi Emergency Force,2009,5,0,30566,55
Index of Saudi Arabia related articles,2008,5,0,30928,73
Saudi Investment Company,2007,5,1,29279,48
Iraqi Airways Flight 163,2010,12,1,43124,101
Saudi Arabia at the Olympics,2012,2,5,71123,295
Legal system of Saudi Arabia,2011,7,109,259184,511
