filename,year,month,num_citations,file_size,forward_links
Jolof Empire,2012,2,12,60538,120
French frigate M%C3%A9duse (1810),2007,7,2,48077,115
Economy of Senegal,2002,2,0,27470,24
Royal African Company,2008,10,2,47481,140
Maad a Sinig,2012,4,11,71111,206
MV Le Joola,2011,10,11,57161,82
Bakel Airport,2013,1,2,35761,73
Senegalese Democratic Union,2009,8,0,35682,80
Economy of Senegal,2003,9,0,33021,58
Casamance,2008,9,0,34746,69
Socialist Party of Senegal,2011,6,4,40705,87
Basile de Carvalho,2011,11,3,55255,131
Thiaroye,2009,5,2,45744,87
Richard Pierpoint,2008,2,15,39269,53
Patrol vessel Poponquine,2014,2,2,30653,42
Richard Pierpoint,2013,2,6,47206,75
Battle of Dakar,2010,10,1,64980,184
Augustin Diamacoune Senghor,2011,6,0,36050,67
Timeline of Serer history,2013,5,54,170662,602
Sosso Empire,2010,6,0,28614,56
2010 Sahel famine,2011,5,178,454032,1416
Tukar,2012,8,15,86639,285
Jolof Empire,2005,12,0,33143,47
Maad Semou Njekeh Joof,2012,7,6,51535,139
Cap Skirring Airport,2010,4,2,37010,72
Senegal,2008,11,7,199309,713
Languages of Senegal,2008,11,0,40419,119
Mandabi,2007,10,0,25866,37
Water supply and sanitation in Senegal,2012,4,35,105981,130
Template:Senegal stub,2009,6,0,26301,31
Party for Progress and Citizenship,2007,2,0,33308,75
Saloum,2012,9,19,90436,252
Camp de Thiaroye,2013,7,1,29535,54
Jews of Bilad el Sudan,2013,8,24,81480,171
Maad a Sinig Kumba Ndoffene Famak Joof,2011,11,65,144350,310
House of Slaves (Gor%C3%A9e),2010,2,11,47756,66
Kasanga language,2011,9,0,27021,35
Rally of the Ecologists of Senegal,2007,11,1,37188,84
Little Senegal (film),2015,3,2,38689,65
Buddhism in Senegal,2013,3,0,82016,441
Bayot language,2015,4,2,39252,97
"Senegalese prime ministerial referendum, 1970",2010,12,1,52544,110
National Democratic Rally (Senegal),2014,5,2,43828,108
Senegambia and Niger,2009,4,0,62242,202
Faye family,2014,5,42,117533,324
Ceddo,2012,12,1,30340,57
Socialist Movement of the Senegalese Union,2007,6,0,33953,71
Un Transport en Commun,2012,7,0,27267,35
Mossane,2012,4,4,38539,61
Boucott Diemb%C3%A9ring,2013,4,0,27264,46
Air S%C3%A9n%C3%A9gal International,2009,12,10,90441,423
Enampore,2009,8,0,29382,52
Takrur,2010,4,0,36576,77
"Bundu, Senegal",2007,7,0,27619,48
Brak (African kings),2007,6,0,24730,46
Senegalese Party of Socialist Action,2007,11,0,33766,78
Jolof Empire,2009,3,28,59824,89
Jews of Bilad el Sudan,2012,5,24,84044,198
Atlantis Airlines,2008,2,0,33839,85
El Hadj Umar Tall,2006,5,0,34046,96
The Battle of Fandane Thiouthioune,2012,9,73,114900,291
Geography of Senegal,2009,6,0,50329,157
Senegal,2002,4,0,58291,32
Senegal,2014,11,60,332789,1128
Ndiar%C3%A8me B,2006,6,0,26713,50
Faye family,2012,9,42,117127,321
Movement of Young Marxist%E2%80%93Leninists,2007,9,0,34800,78
Malick Sy,2014,5,0,33636,63
Battle of Dakar,2009,12,0,63245,180
Le Matin (Senegal),2010,3,1,27226,43
Authentic Socialist Party (Senegal),2013,4,1,38154,85
Ramata (film),2013,3,4,35536,51
Battle of Dakar,2012,5,5,67593,187
Iran%E2%80%93Senegal relations,2008,12,3,49058,157
Blaise Diagne International Airport,2011,10,3,35042,50
2010 Sahel famine,2015,2,165,415782,1158
Alfred Am%C3%A9d%C3%A9e Dodds,2013,4,0,38501,99
MV Aline Sitoe Diatta,2014,11,2,38376,63
MV Le Joola,2008,9,0,40228,56
Parlons Grand m%C3%A8re,2012,6,0,32114,61
Independent Party of Sine Saloum,2005,11,0,31716,69
Kingdom of Sine,2013,4,24,117336,358
Questions %C3%A0 la terre natale,2014,1,0,37063,63
French West Africa,2010,5,6,109425,344
History of Senegal,2013,3,65,197858,671
MV Le Joola,2009,12,10,54895,104
"Senegalese parliamentary election, 1998",2010,12,1,54871,117
Senegalese Democratic Union %E2%80%93 Renewal,2010,8,0,33990,74
French frigate M%C3%A9duse (1810),2004,9,0,34295,64
French frigate M%C3%A9duse (1810),2007,10,2,48455,122
Basile de Carvalho,2008,1,0,34067,60
Kaabu,2014,6,0,52315,114
Lutte Traditionnelle,2012,9,4,42078,119
Iran%E2%80%93Senegal relations,2008,9,2,49007,155
