filename,year,month,num_citations,file_size,forward_links
Chief of the Serbian General Staff,2013,3,0,49333,116
"Centar, Ni%C5%A1",2008,12,0,25044,38
Transport in Serbia,2010,6,0,60383,259
President of the Government of Vojvodina,2008,12,0,48600,195
List of Serbian Orthodox monasteries,2010,6,2,183333,561
Erste Bank Novi Sad,2006,11,0,28336,51
Rusanda,2009,11,0,31103,55
Portal:Serbia,2013,8,0,116423,260
Vehicle registration plates of Serbia,2010,8,1,106424,436
Minister of Health (Serbia),2013,4,0,52462,144
Happy TV,2010,12,3,69473,151
Government of Serbia,2009,6,0,73704,242
Ma%C4%8Dvanska Mitrovica,2010,10,0,51602,182
Banat Military Frontier,2015,4,0,42437,94
Foreign relations of Serbia,2013,11,105,346286,1310
List of Serbian flags,2007,8,0,73064,209
List of computer systems from Serbia,2009,1,0,38060,111
RTV %C5%A0abac,2012,11,0,43541,90
Serbian Armed Forces,2014,1,9,98086,357
Serbians,2011,9,3,32181,73
List of Serb countries and regions,2014,5,6,95079,375
Gymnasium of Karlovci,2011,8,1,42852,98
List of Serbs,2006,2,0,105732,669
Krofne,2014,2,3,52928,223
List of Serbian women writers,2015,4,0,45329,135
History of Serbia,2011,7,46,233632,940
Beovoz,2004,9,0,26799,47
Shopi,2011,10,12,71819,138
Military Police Battalion Cobra,2009,3,0,30596,56
Island of Vukovar,2014,12,8,48914,147
Zoran Lili%C4%87,2006,10,0,34478,69
A1 motorway (Serbia),2014,8,2,48687,124
Bosnia and Herzegovina%E2%80%93Serbia relations,2009,5,0,57386,176
NATO bombing of the Radio Television of Serbia headquarters,2014,6,12,58940,105
Krofne,2007,7,0,28935,58
Sport in Serbia,2007,4,0,26842,53
Zoran Lili%C4%87,2008,2,1,39145,92
List of diplomatic missions of Serbia,2009,12,57,143714,447
List of Serbs,2009,9,2,193336,947
List of political parties in Serbia,2005,2,0,45910,104
Island of Vukovar,2012,3,10,48350,142
List of diplomatic missions in Serbia,2009,2,0,127256,358
First Belgrade Gymnasium,2013,3,0,31439,68
Beovoz,2009,8,0,53946,191
Vojlovica monastery,2010,5,0,110729,410
RTKG,2011,2,0,43472,97
Govedina,2006,10,0,31748,67
Kru%C5%A1edol monastery,2012,1,0,117148,439
Saint George%27s Cathedral (Novi Sad),2009,2,0,112680,405
Culture in Belgrade,2013,3,2,31234,78
Minister for Kosovo and Metohija,2012,11,0,26716,41
72nd Reconnaissance Commando Battalion,2007,11,0,29307,41
Serbia,2011,12,139,528612,1830
List of governors of national banks of Serbia and Yugoslavia,2009,2,2,36668,116
Military Police Battalion Cobra,2015,1,2,32439,60
Popovica,2012,1,0,40026,123
Kosovo je Srbija,2010,8,18,59818,82
Para (currency),2006,6,0,27306,45
History of Serbia,2008,9,5,138673,538
Serbia,2007,1,24,300947,1304
BELEX15,2013,3,0,25434,33
Transport in Serbia,2003,8,0,24564,26
Saint George%27s Cathedral (Novi Sad),2013,12,1,56343,157
Lists of rulers of Serbia,2012,3,0,28252,44
"%C4%8Cardak, Sremska Kamenica",2007,1,0,37817,122
Moby Dick (band),2010,5,4,30007,53
List of Serbian Orthodox monasteries,2007,4,0,140742,482
Geography of Serbia,2005,3,0,38173,99
Civil Aviation Directorate of the Republic of Serbia,2014,9,1,121341,302
Archbishopric of Belgrade and Karlovci,2012,2,0,38969,76
Serbia,2013,10,263,663698,2067
List of Serbian flags,2013,6,1,123575,348
Deputy Prime Minister of Serbia,2012,9,0,57088,168
Serbs,2004,9,0,85006,336
Foreign relations of Serbia,2006,7,0,64648,170
Minister of Defence (Serbia),2011,11,0,33893,62
Vehicle registration plates of Serbia,2009,1,1,104490,428
Kosovo je Srbija,2010,5,18,59933,85
History of Serbia,2008,11,5,133767,510
Funky G,2008,2,0,27435,49
National Theatre in Belgrade,2006,9,0,41236,95
"Liberation Army of Pre%C5%A1evo, Medve%C4%91a and Bujanovac",2008,3,2,36672,75
Zrenjanin Airport,2008,9,0,45043,114
Lane moje,2009,1,0,30585,41
Milo%C5%A1 Obili%C4%87,2013,1,30,117269,224
Serbian Armed Forces,2012,11,8,90977,328
Cabinet of Nikola %C5%A0ainovi%C4%87,2015,4,3,53468,107
Streli%C5%A1te Sports Hall,2011,12,0,27285,45
Isto%C4%8Dne Kapije,2012,6,0,26368,40
List of Serbian flags,2011,2,0,112595,322
History of Kosovo,2007,2,6,107686,367
Serbia,2003,8,0,66313,52
Beovoz,2009,10,0,54413,195
Rastislali%C4%87 noble family,2011,3,5,32571,53
Funky G,2007,2,0,31154,51
Kosovo je Srbija,2013,8,24,67390,98
Rascians,2008,10,2,34378,60
Minister of Science (Serbia),2013,9,0,40441,97
Mala Remeta monastery,2008,3,0,109089,406
Government of Serbia,2009,2,0,73491,243
List of tallest structures in Serbia,2008,4,0,64409,230
Foreign relations of Serbia,2011,6,76,289149,1202
Vehicle registration plates of Serbia,2014,10,3,121486,415
Serbia Investment and Export Promotion Agency,2013,2,3,33091,49
