filename,year,month,num_citations,file_size,forward_links
History of Seychelles,2006,7,0,39943,128
Seychelles,2011,2,16,221307,813
Demographics of Seychelles,2005,4,0,28432,44
Seychelles National Party,2005,2,0,27928,37
Geography of Seychelles,2007,4,0,51432,162
.sc,2006,4,0,64837,402
Seychelles at the 1996 Summer Olympics,2010,2,0,67050,272
Seychelles,2006,2,0,103745,288
Outline of Seychelles,2012,12,2,84496,225
Koste Seselwa,2011,3,0,45093,120
Shark chutney,2008,6,1,26936,51
Seychelles national rugby union team,2011,2,1,54670,219
Seychelles at the 2000 Summer Olympics,2011,4,0,68207,275
Coat of arms of Seychelles,2008,1,0,53925,52
List of diplomatic missions of Seychelles,2011,4,0,45587,113
Seychelles at the 1996 Summer Olympics,2008,8,0,65714,269
Orion Air,2009,11,0,34679,89
La Passe FC,2011,6,0,37053,70
Anse R%C3%A9union FC,2012,1,0,50850,101
Seychelles,2005,8,0,94427,266
St Michel United FC,2012,1,1,29071,49
Seychelles FA Cup,2007,11,0,31578,93
Seychelles National Party,2007,5,0,37279,75
Legends of the coco de mer,2012,8,12,55895,101
History of Seychelles,2009,9,1,72246,212
Assumption Island Airport,2010,9,1,34437,54
Stade Linit%C3%A9,2007,2,0,26580,38
History of Seychelles,2015,4,4,92245,276
Economy of Seychelles,2013,7,12,81986,260
.sc,2011,2,1,71374,417
Transport in Seychelles,2008,10,0,49837,169
Anse R%C3%A9union FC,2010,6,0,50196,94
People%27s Party (Seychelles),2012,8,1,41224,88
Vall%C3%A9e de Mai,2007,4,0,33504,44
Seychelles at the 2004 Summer Olympics,2014,5,3,82658,299
Coat of arms of Seychelles,2009,3,0,45839,118
Seychelles,2010,9,14,217528,808
Index of Seychelles related articles,2015,3,0,73921,255
Demographics of Seychelles,2008,4,0,48575,172
Seychelles Scout Association,2014,2,1,44397,107
Geography of Seychelles,2013,1,0,75192,312
Languages of Seychelles,2014,10,0,36540,108
Roman Catholicism in Seychelles,2006,9,0,38934,113
History of Seychelles,2008,1,2,68453,234
List of fish on stamps of Seychelles,2007,1,0,32708,75
China%E2%80%93Seychelles relations,2011,1,3,63242,240
Template:Seychelles struct stub,2010,11,0,31474,51
Seychelles National Archives,2014,3,2,41701,84
Co%C3%ABtivy Airport,2010,6,1,34430,59
Seychelles at the 1992 Summer Olympics,2012,6,0,66140,252
Seychelles,2004,9,0,84843,255
Geography of Seychelles,2005,1,0,31116,53
Coat of arms of Seychelles,2009,12,0,48433,126
Outline of Seychelles,2008,10,0,73111,142
Seychellois rupee,2010,6,3,79860,237
.sc,2007,12,1,70746,417
List of cities in Seychelles,2010,9,0,48623,157
.sc,2010,2,1,70694,417
Seychelles at the 1984 Summer Olympics,2013,3,0,57133,208
Seychelles Football Federation,2007,6,0,52980,174
Music of Seychelles,2007,2,0,28543,61
Seychelles Democratic Party,2005,11,0,31940,64
Template:Seychelles stub,2011,8,0,32068,48
Franco Seychellois,2009,9,0,38213,112
Seychelles at the 2004 Summer Olympics,2006,8,0,66475,279
List of cities in Seychelles,2009,2,0,48166,152
Seychellois rupee,2006,8,2,62970,177
Demographics of Seychelles,2009,4,0,53099,177
Seychelles,2010,10,14,219391,812
Template:Seychelles airport stub,2011,8,0,30733,49
Seychelles,2014,6,26,267828,923
Religion in Seychelles,2007,3,0,38782,122
Music of Seychelles,2004,1,0,23424,46
Ladob,2010,10,1,26667,48
Seychelles at the 2004 Summer Olympics,2012,8,0,73451,308
Action of 8 May 1941,2012,9,1,44677,108
Transport in Seychelles,2007,8,0,36473,109
Music of Seychelles,2013,3,0,47374,173
Religion in Seychelles,2010,3,1,52612,200
Seychelles Chess Championship,2007,5,0,29207,47
Economy of Seychelles,2007,11,0,45698,157
Seychelles at the Olympics,2013,9,0,63471,289
Frigate Island caecilian,2007,7,0,30359,57
Seychelles Time,2010,12,0,33352,70
Seychelles Scout Association,2013,7,1,44219,106
Seychelles at the 2000 Summer Olympics,2006,1,0,62593,254
Anse R%C3%A9union FC,2008,9,0,49763,98
Geography of Seychelles,2007,12,0,53411,175
Transport in Seychelles,2006,8,0,37520,114
.sc,2005,12,0,64571,401
Seychelles National Party,2006,8,0,36951,79
Seychelles,2004,6,0,95024,339
Seychellois passport,2007,8,0,112397,396
Seychelles,2012,7,22,255810,922
Saint Louis Suns United,2012,5,0,47023,103
Farquhar Airport,2011,2,2,35447,60
Transport in Seychelles,2004,9,0,23944,34
Saint Louis Suns United,2011,4,0,46498,103
Demographics of Seychelles,2009,2,0,52847,177
Demographics of Seychelles,2006,7,0,39823,125
Koste Seselwa,2010,5,0,44822,128
Seychelles,2010,7,10,212545,807
Foresters (Mont Fleuri),2011,4,0,51789,100
Orion Air,2011,8,0,36734,89
Seychellois passport,2008,10,0,147173,415
State House (Seychelles),2010,7,0,30442,53
La Passe FC,2011,10,0,36787,70
.sc,2007,4,0,67777,408
Roman Catholicism in Seychelles,2010,9,0,41849,121
Seychelles,2013,10,28,266974,915
List of companies based in Seychelles,2013,12,1,49842,146
Islam in Seychelles,2008,9,0,38749,118
Seychelles National Party,2007,2,0,37897,77
People%27s Party (Seychelles),2005,12,0,32889,67
List of colonial governors of Seychelles,2009,11,0,40548,70
Agriculture in Seychelles,2010,4,1,47476,119
Seychelles Party,2006,6,0,31230,63
Franco Seychellois,2013,3,0,40059,115
Seychelles at the 2004 Summer Olympics,2010,7,0,72643,304
Seychelles at the Olympics,2011,12,0,64141,292
Island Conservation Society,2008,2,0,25563,33
Music of Seychelles,2011,5,0,47011,169
Music of Seychelles,2013,7,0,47780,178
Farquhar Airport,2012,1,2,35156,56
Seychelles,2006,3,0,105784,289
Seychelles at the 1994 Commonwealth Games,2009,9,0,46261,78
Seychelles Scout Association,2007,4,0,32526,51
Seychelles at the 2012 Summer Olympics,2012,6,1,68744,280
Geography of Seychelles,2003,7,0,29931,43
St Francis FC (Seychelles),2015,4,1,31736,53
"Seychellois presidential election, 2006",2009,7,0,44516,113
Geography of Seychelles,2005,3,0,33983,70
La Passe FC,2010,7,0,36619,70
Lignes A%C3%A9rienne Seychelles,2012,5,1,29667,55
List of colonial governors of Seychelles,2013,2,0,49724,112
Demographics of Seychelles,2008,7,0,48448,171
Seychellois rupee,2014,2,4,80955,235
"Seychellois parliamentary election, 2007",2007,5,2,42965,97
List of colonial governors of Seychelles,2011,4,0,49423,111
Economy of Seychelles,2009,12,0,63195,216
France%E2%80%93Seychelles Maritime Boundary Agreement,2013,4,1,37455,87
Bird Island Airport,2011,8,0,37545,70
St Michel United FC,2013,3,1,32995,63
Seychellois passport,2009,4,0,149018,417
"Seychellois presidential election, 2011",2013,10,1,48204,110
Seychelles Scout Association,2014,6,1,44671,111
"Seychellois presidential election, 2006",2006,7,0,33998,71
Seychelles,2011,4,16,222201,825
Seychelles,2015,4,36,282824,915
Seychelles Medical and Dental Council,2014,11,5,36287,59
Seychelles at the 1992 Summer Olympics,2012,10,0,66118,248
Seychelles Democratic Party,2013,2,1,38208,80
Military of Seychelles,2007,10,0,40947,115
List of colonial governors of Seychelles,2009,12,0,40857,73
Seychelles,2010,11,14,219103,815
Seychelles National Party,2006,12,0,37511,75
Seychelles,2012,11,23,262188,934
Seychelles at the 2000 Summer Olympics,2006,11,0,67282,272
Lignes A%C3%A9rienne Seychelles,2011,5,1,29543,53
Music of Seychelles,2011,4,0,47751,178
Seychelles Football Federation,2012,5,0,64206,197
China%E2%80%93Seychelles relations,2009,12,3,60176,231
Seychelles at the 2004 Summer Olympics,2006,7,0,66372,279
History of Seychelles,2009,1,2,69915,213
Seychelles at the 2000 Summer Olympics,2005,12,0,61441,250
Seychelles at the 1984 Summer Olympics,2007,9,0,55508,205
National Youth Service (Seychelles),2013,4,1,27853,38
Stade Linit%C3%A9,2007,4,0,26664,34
Vall%C3%A9e de Mai,2007,9,0,36554,48
Vall%C3%A9e de Mai,2006,8,0,32647,45
Transport in Seychelles,2004,11,0,24373,34
Seychelles,2004,2,0,84593,255
Franco Seychellois,2007,1,0,26130,39
Religion in Seychelles,2006,4,0,36584,113
National Youth Service (Seychelles),2004,10,0,24650,33
People%27s Party (Seychelles),2004,10,0,27320,41
Whaling in Seychelles,2011,4,4,35146,84
Franco Seychellois,2013,8,0,40121,114
Bird Island Airport,2010,3,0,34141,63
Seychelles at the 2000 Summer Olympics,2013,1,0,68690,274
Telephone numbers in Seychelles,2011,9,2,44179,112
People%27s Party (Seychelles),2005,2,0,27368,41
Seychelles at the 2000 Summer Olympics,2012,7,0,68564,273
.sc,2005,7,0,62206,392
People%27s Party (Seychelles),2005,5,0,32878,64
Seychelles Democratic Party,2004,8,0,25933,39
Template:Seychelles airport stub,2008,4,0,22750,33
Saint Louis Suns United,2015,4,14,51750,72
Demographics of Seychelles,2013,12,2,61985,179
La Passe FC,2010,9,0,36831,66
St Michel United FC,2011,2,1,25322,28
Geography of Seychelles,2003,12,0,30032,46
Military of Seychelles,2004,9,0,24177,28
Koste Seselwa,2005,8,0,27895,30
Legends of the coco de mer,2011,8,12,55731,100
Economy of Seychelles,2001,5,0,27409,23
Koste Seselwa,2006,3,0,34564,79
Orion Air,2011,9,0,35148,90
Seychelles at the 1980 Summer Olympics,2008,10,0,49536,145
Economy of Seychelles,2010,9,9,76343,243
Seychellois rupee,2008,6,2,76750,232
Geography of Seychelles,2014,4,0,95777,416
Seychellois rupee,2012,1,3,83139,248
List of colonial governors of Seychelles,2006,12,0,27965,53
Indo Seychellois,2006,9,0,27516,54
List of cities in Seychelles,2012,5,0,49021,164
Seychelles,2009,10,10,218173,814
Demographics of Seychelles,2005,10,0,28690,42
Slavery in Seychelles,2008,7,2,27002,51
Economy of Seychelles,2014,11,12,84211,267
Franco Seychellois,2007,8,0,27232,44
Koste Seselwa,2007,4,0,41213,109
Languages of Seychelles,2013,10,0,36834,109
.sc,2008,2,1,70587,417
Legends of the coco de mer,2013,8,12,56043,107
History of Seychelles,2004,11,0,30693,58
Seychelles Party,2005,11,0,24246,37
State House (Seychelles),2009,9,0,28350,48
"Seychellois parliamentary election, 2007",2013,12,1,42634,95
Seychelles,2003,1,0,57179,36
Seychelles at the Olympics,2010,1,0,59544,278
Seychelles at the 2004 Summer Olympics,2004,8,0,54965,241
List of diplomatic missions of Seychelles,2013,12,0,48373,130
Legends of the coco de mer,2011,7,12,55617,102
Demographics of Seychelles,2004,12,0,27740,41
Seychellois rupee,2008,3,2,68016,194
Economy of Seychelles,2006,9,0,45820,158
Vall%C3%A9e de Mai,2007,12,0,37768,49
History of Seychelles,2013,12,2,89116,278
Seychelles Medical and Dental Council,2014,12,5,36480,58
Seychellois rupee,2006,2,0,51075,166
Lignes A%C3%A9rienne Seychelles,2013,9,1,34579,69
Legends of the coco de mer,2014,8,12,56185,100
Franco Seychellois,2014,6,0,41786,118
History of Seychelles,2002,2,0,25607,24
St Michel United FC,2012,2,1,29208,41
Central Bank of Seychelles,2008,4,0,38909,94
Seychelles Time,2009,12,0,33492,74
Geography of Seychelles,2011,5,0,74362,305
Koste Seselwa,2013,2,0,47575,130
People%27s Party (Seychelles),2012,12,1,41343,88
Outline of Seychelles,2008,8,0,69677,139
Islam in Seychelles,2006,7,0,37826,118
Seychelles,2007,10,1,201049,773
Seychelles at the Olympics,2013,7,0,63201,290
Seychelles,2008,1,1,204234,781
Military of Seychelles,2010,6,0,40194,120
List of diplomatic missions in Seychelles,2007,11,0,80548,139
List of diplomatic missions in Seychelles,2012,10,11,89307,198
List of cities in Seychelles,2012,9,0,48907,164
Action of 8 May 1941,2010,4,0,39753,97
National Youth Service (Seychelles),2006,11,0,27071,39
Super Magic Brothers,2007,9,0,26016,40
People%27s Party (Seychelles),2006,1,0,33132,70
Seychelles at the 2004 Summer Olympics,2012,2,0,73360,304
Seychelles,2005,11,0,101753,280
Seychelles at the 1984 Summer Olympics,2010,2,0,57331,206
Seychelles National Party,2006,1,0,35315,72
List of diplomatic missions in Seychelles,2009,4,0,80519,181
Anse R%C3%A9union FC,2014,9,0,56698,106
Ministry of Foreign Affairs (Seychelles),2014,3,1,30299,50
.sc,2007,6,1,70673,417
Seychellois passport,2010,7,0,72755,336
"People%27s Stadium, Seychelles",2011,3,1,28166,46
Seychelles at the 1992 Summer Olympics,2006,5,0,34060,59
Koste Seselwa,2006,4,0,35318,75
Geography of Seychelles,2002,2,0,26619,28
Franco Seychellois,2007,11,0,26907,44
Economy of Seychelles,2010,11,9,76903,247
Seychelles,2006,9,0,112803,334
List of fish on stamps of Seychelles,2012,10,0,37609,113
Desroches Airport,2013,3,2,36057,64
National Youth Service (Seychelles),2010,4,1,27023,37
Seychelles at the 1992 Summer Olympics,2009,9,0,65256,250
Anse R%C3%A9union FC,2008,3,0,44041,88
Military of Seychelles,2011,12,0,41794,127
Seychellois passport,2011,11,0,72915,334
Legends of the coco de mer,2011,10,12,56385,108
Seychelles at the 1992 Summer Olympics,2007,10,0,64356,245
Religion in Seychelles,2010,4,1,52658,202
Seychelles at the 1984 Summer Olympics,2009,2,0,56163,206
Seychelles,2007,5,0,170175,710
History of Seychelles,2011,3,1,72524,208
Seychelles Natural History Museum,2015,4,2,32049,49
Seychelles at the 2004 Summer Olympics,2005,9,0,60318,256
List of diplomatic missions of Seychelles,2008,3,0,30233,37
Orion Air,2010,2,0,34639,88
Seychelles at the Olympics,2010,4,0,59548,278
Transport in Seychelles,2005,1,0,24252,33
Vall%C3%A9e de Mai,2009,3,0,37993,55
Transport in Seychelles,2005,10,0,23988,34
History of Seychelles,2005,12,0,39933,128
Roman Catholicism in Seychelles,2008,5,0,38996,111
History of Seychelles,2007,4,0,43477,134
Geography of Seychelles,2001,5,0,26423,23
Koste Seselwa,2005,9,0,27931,26
Super Magic Brothers,2007,7,0,25029,37
Hederorkis,2010,11,0,30552,50
Roman Catholic Diocese of Port Victoria o Seychelles,2012,8,1,36575,52
Seychellois rupee,2008,2,2,68032,192
Religion in Seychelles,2011,1,1,52977,201
Seychellois passport,2013,3,0,77696,352
Seychelles,2006,7,0,106861,303
List of colonial governors of Seychelles,2010,6,0,49284,111
Koste Seselwa,2009,8,0,42991,112
Template:Seychelles struct stub,2009,5,0,22781,34
Seychelles at the 1996 Summer Olympics,2006,6,0,60707,257
Religion in Seychelles,2006,3,0,36822,109
Seychelles at the 2006 Commonwealth Games,2008,10,0,54901,166
Military of Seychelles,2015,3,6,59304,181
Outline of Seychelles,2009,3,0,77479,158
Military of Seychelles,2006,5,0,24179,29
Economy of Seychelles,2005,4,0,38013,87
Hederorkis,2011,8,0,30771,52
Transport in Seychelles,2008,4,0,44817,155
Seychelles at the 1980 Summer Olympics,2008,1,0,49508,149
Franco Seychellois,2013,12,0,42004,118
Islam in Seychelles,2008,4,0,38472,118
Indo Seychellois,2007,11,0,50532,197
List of diplomatic missions of Seychelles,2008,7,0,29743,42
.sc,2008,3,1,70647,417
Music of Seychelles,2005,8,0,24568,49
Koste Seselwa,2010,9,0,44469,122
Frigate Island caecilian,2008,8,0,31183,59
History of Seychelles,2011,5,1,72546,208
Seychelles Movement for Democracy,2006,12,0,26514,41
Stade Linit%C3%A9,2011,2,0,29231,48
Wildlife of Seychelles,2015,1,2,66614,240
Transport in Seychelles,2015,2,0,51679,173
Seychelles,2002,8,0,57050,36
List of diplomatic missions of Seychelles,2008,8,0,31872,49
Koste Seselwa,2012,4,0,46734,122
Central Bank of Seychelles,2007,5,0,30398,50
Outline of Seychelles,2011,9,2,87409,230
Religion in Seychelles,2008,11,1,52653,202
Transport in Seychelles,2006,2,0,36086,108
Geography of Seychelles,2005,12,0,39167,77
Co%C3%ABtivy Airport,2012,12,1,34637,59
Seychelles at the 1980 Summer Olympics,2010,4,0,52779,151
Orion Air,2011,5,0,37080,94
Vall%C3%A9e de Mai,2008,9,0,38097,52
List of diplomatic missions of Seychelles,2011,11,0,47125,115
History of Seychelles,2007,2,0,43357,132
Transport in Seychelles,2013,1,0,51824,177
Seychelles at the 2000 Summer Olympics,2010,7,0,68226,273
Seychelles Democratic Party,2004,7,0,25096,38
Super Magic Brothers,2010,10,0,44327,79
"Seychellois parliamentary election, 2007",2013,3,2,44898,101
Seychelles,2013,8,28,267095,918
People%27s Party (Seychelles),2004,7,0,26636,43
Lignes A%C3%A9rienne Seychelles,2009,11,1,29443,54
Religion in Seychelles,2006,5,0,36687,110
History of Seychelles,2014,1,2,89046,278
Seychelles at the 2004 Summer Olympics,2004,12,0,56572,244
Seychelles at the 1980 Summer Olympics,2010,5,0,52893,151
Template:Seychelles stub,2012,8,0,32198,48
History of Seychelles,2009,5,1,72673,220
Coat of arms of Seychelles,2011,7,0,49142,123
List of diplomatic missions of Seychelles,2006,12,0,27237,36
Template:Seychelles stub,2012,3,0,32422,48
Central Bank of Seychelles,2009,1,0,68191,285
Demographics of Seychelles,2005,7,0,28347,44
Religion in Seychelles,2006,9,0,38764,122
Seychelles at the 2000 Summer Olympics,2006,8,0,65816,264
People%27s Party (Seychelles),2007,4,0,33521,72
Seychelles,2012,5,22,255117,923
List of fish on stamps of Seychelles,2006,12,0,30620,68
Economy of Seychelles,2008,11,0,61693,209
List of fish on stamps of Seychelles,2012,4,0,36361,105
Vall%C3%A9e de Mai,2013,8,12,76546,119
History of Seychelles,2014,4,2,89372,279
Seychelles International Airways,2009,11,1,30569,54
Seychelles,2011,9,18,227022,845
Seychelles at the 1992 Summer Paralympics,2008,9,1,51864,78
Military of Seychelles,2007,3,0,38323,111
Indo Seychellois,2012,2,3,56627,209
Religion in Seychelles,2014,7,1,53839,204
Roman Catholicism in Seychelles,2007,1,0,39171,111
Seychelles at the 2004 Summer Olympics,2012,12,0,73285,304
Seychelles Football Federation,2006,7,0,52286,175
Seychellois rupee,2005,4,0,49204,159
Seychellois rupee,2012,9,3,84257,254
Wildlife of Seychelles,2010,6,0,51447,180
List of diplomatic missions in Seychelles,2015,3,12,92912,200
Seychelles at the 1992 Summer Olympics,2010,9,0,65672,254
Roman Catholic Diocese of Port Victoria o Seychelles,2013,2,1,37641,57
List of diplomatic missions in Seychelles,2009,7,0,79906,180
Seychelles at the 2004 Summer Olympics,2011,10,0,73454,304
Seychelles Scout Association,2010,3,1,42217,97
List of cities in Seychelles,2004,2,0,24979,25
History of Seychelles,2010,10,1,73059,228
Seychelles Football Federation,2013,7,0,64093,194
Geography of Seychelles,2014,6,0,95592,408
Indo Seychellois,2013,1,3,56460,211
Seychelles at the 1984 Summer Olympics,2008,10,0,55984,201
Seychelles,2011,3,16,221769,819
Bird Island Airport,2010,1,0,32662,53
Economy of Seychelles,2006,10,0,46018,159
Religion in Seychelles,2013,8,1,53481,209
