filename,year,month,num_citations,file_size,forward_links
Lomboko,2013,1,0,30691,53
Child labour in the diamond industry,2011,10,23,75521,152
Roman Catholicism in Sierra Leone,2006,8,0,36527,107
University of Sierra Leone,2007,4,0,27059,45
Cabinet of Sierra Leone,2014,4,1,58328,162
Cabinet of Sierra Leone,2012,4,0,57691,158
United States Ambassador to Sierra Leone,2011,5,0,67576,267
Sierra Leone,2005,4,0,96317,295
Bai Bureh,2007,5,1,34825,82
Black Loyalist,2014,7,29,88859,164
Music of Sierra Leone,2009,3,0,43756,143
Sierra Leonean leone,2006,10,0,55161,137
British West African pound,2013,2,1,50677,191
Politics of Sierra Leone,2014,10,1,70016,253
Bank of Sierra Leone,2011,7,0,61738,259
Lom%C3%A9 Peace Accord,2007,5,0,38987,108
"Granville Town, Province of Freedom",2014,9,0,31379,62
The Sierra Leone Girl Guides Association,2007,2,0,30563,46
Will Claye,2012,5,7,54214,106
West India Regiment,2010,10,13,59084,113
Vice President of Sierra Leone,2013,3,0,40160,98
Blood diamond,2013,4,43,110405,199
Revolutionary United Front,2005,6,0,37766,80
Sierra Leone,2010,6,88,451380,1557
President of Sierra Leone,2011,8,1,71672,272
Mende language,2013,8,5,40491,83
History of Sierra Leone,2011,6,64,170965,369
Crocodile Society,2008,7,0,28278,47
President of Sierra Leone,2014,1,4,82854,329
Islam in Sierra Leone,2006,9,0,38367,122
Sierra Leone Confederation of Trade Unions,2008,9,0,30099,50
President of Sierra Leone,2014,9,4,81255,327
National Reformation Council,2008,7,0,25869,50
Template:SierraLeone hist stub,2011,8,0,23715,33
Child labour in the diamond industry,2014,6,23,73866,139
Sierra Leone,2005,7,0,94289,232
Pan African Air Services,2009,6,0,34326,84
Mende language,2015,3,9,55696,174
Sierra Leone,2005,3,0,95917,297
List of diplomatic missions in Sierra Leone,2009,4,0,55637,132
Sierra Leone%27s Refugee All Stars,2011,3,0,30592,54
Revolutionary United Front,2007,5,23,77053,150
Ansarul Islamic Boys Secondary School,2011,9,0,30944,52
Kissi penny,2014,7,4,31731,48
