filename,year,month,num_citations,file_size,forward_links
Tatra Tiger,2013,3,3,52994,174
Halu%C5%A1ky,2013,3,0,113992,742
Slovak Telekom,2011,3,0,32021,52
Miloslav Schmidt,2009,8,3,32604,71
Tatra Tiger,2014,9,3,52495,169
Douchan Gersi,2011,1,3,30133,57
History of Slovakia,2012,8,48,272711,950
Politics of Slovakia,2006,10,0,67365,231
Prime Minister of Slovakia,2012,5,0,109222,384
CSEMADOK,2014,5,1,33487,59
Poprad Tatry Airport,2012,6,0,47968,101
List of Slovaks,2011,8,0,103785,420
Slovak passport,2007,12,0,74612,332
Nitra railway station,2009,4,0,33891,67
Military of Slovakia,2006,3,0,38137,95
TA3 (news channel),2008,8,0,28894,53
Slovaks of Romania,2008,2,0,35436,96
Slovaks,2012,1,47,174583,452
Slovak Air Force,2007,10,10,48784,92
152mm SpGH DANA,2010,5,1,73274,235
Public transport in Ko%C5%A1ice,2010,10,5,39003,72
Slovensk%C3%A1 telev%C3%ADzia,2005,10,0,29328,41
List of diplomatic missions of Slovakia,2007,10,0,40623,128
Public holidays in Slovakia,2009,12,0,41737,135
Telephone numbers in Slovakia,2009,12,0,37855,123
Tokaj (Slovakia),2008,8,1,36367,75
Rodobrana,2015,4,0,32263,57
"Embassy of Japan, Bratislava",2010,7,0,30873,50
Economy of Slovakia,2010,4,8,74883,224
AMO (band),2013,5,3,34174,55
Dvojka,2014,8,0,37229,77
The Feather Fairy,2011,11,0,32974,62
Rusovce,2008,5,0,43505,95
Military of Slovakia,2002,2,0,27014,24
Alexander Duchnovi%C4%8D Theatre,2008,11,0,33906,61
List of Slovaks,2015,3,1,117699,502
Statue of Janko Kr%C3%A1%C4%BE,2008,2,2,28358,48
Okres,2007,12,0,31776,90
Team (band),2008,10,0,31382,48
Armored train Hurban,2005,12,0,26172,47
Bujanov Tunnel,2014,4,0,30787,54
Remembrance days in Slovakia,2012,6,0,30818,63
Statue of Janko Kr%C3%A1%C4%BE,2012,12,3,30113,55
List of speakers of Slovak parliaments,2008,6,0,44915,90
Government of Slovakia,2008,11,0,56616,192
List of Slovaks,2004,10,0,101351,325
Cauldron (video game company),2011,9,0,35644,76
Team (band),2011,8,0,31132,50
Politics of Slovakia,2014,10,0,114114,433
History of rail transport in Slovakia,2011,5,0,44708,93
