filename,year,month,num_citations,file_size,forward_links
ISO 3166 2:SI,2003,5,0,24525,31
Ad Pirum,2013,8,2,31972,50
Anna of Schaunberg,2010,9,0,25263,42
History of Slovenia,2011,10,39,214214,875
Cvet z juga,2008,10,0,34039,72
ISO 3166 2:SI,2010,7,0,115042,936
Prime Minister of Slovenia,2013,9,0,125260,434
Outline of Slovenia,2008,3,0,41352,62
Ulrich Greifelt,2010,3,0,30533,61
Years in Slovenia,2014,7,0,102531,83
History of Slovenia,2004,11,0,43684,118
Mlinarjev Janez: Slovenski junak ali uplemenitba Tehar%C4%8Danov,2012,3,0,33675,50
La%C5%A1ko Brewery,2013,9,4,35007,61
National Council (Slovenia),2011,12,3,51980,173
Croatia%E2%80%93Slovenia border disputes,2009,11,84,152032,213
Mogersdorf,2010,8,1,48289,105
Constitution of Slovenia,2006,3,0,35491,85
Roman Catholic Archdiocese of Maribor,2012,3,1,41939,70
Municipalities of Slovenia,2008,4,0,54363,275
%C4%8Crni Vrh Observatory,2012,5,2,90175,56
History of Slovenia,2014,11,44,233357,927
%C4%8Cop Street,2011,9,1,69806,313
Geography of Slovenia,2005,5,0,41500,92
List of Slovenes,2003,11,0,90349,609
Geography of Slovenia,2011,9,4,81650,330
Anna of Schaunberg,2009,5,0,25660,43
Nauportus,2015,1,2,31702,52
Cvetka Ahlin,2013,8,0,30800,60
Geography of Slovenia,2005,10,0,41461,96
Holding Slovenske elektrarne,2009,9,3,32047,52
Timeline of Slovenian history,2007,10,0,106156,817
%C4%8Carli TV,2011,4,0,22593,31
Slovenian Parliament,2008,4,0,89805,423
List of historical German names for places in Slovenia,2012,6,0,77980,312
Geografija Slovenije,2008,11,0,27922,50
Slovenes,2005,11,0,51903,149
"List of Hungarian exonyms in Prekmurje, Slovenia",2010,9,0,45228,208
Martin Kramari%C4%8D,2014,8,2,32489,51
Geography of Slovenia,2009,8,2,69086,266
List of historical German names for places in Slovenia,2013,1,0,67146,290
Municipalities of Slovenia,2009,1,0,62269,332
Politics of Slovenia,2009,5,0,75159,273
Class Enemy (film),2015,3,2,40189,62
Slovenia,2009,7,13,288552,1185
Timeline of Slovenian history,2011,4,2,105613,513
Slovenia,2008,10,10,282094,1161
Outline of Slovenia,2008,7,0,71267,177
Economy of Slovenia,2006,2,0,42317,102
Cheese and Jam,2008,11,0,33551,66
Academy of Fine Arts and Design,2010,12,1,30688,60
Av%C4%8De Pumped Storage Plant,2011,3,2,32001,51
Slovene Wikipedia,2006,1,0,60900,163
Slovenia,2008,5,10,267321,1158
Academy of Fine Arts and Design,2011,12,1,31384,59
1X Band,2008,11,0,27334,41
Slovenian Armed Forces,2006,2,0,42434,96
Metaldays,2010,9,0,47811,234
Angie (novel),2011,9,0,30744,50
Abecedarium (Trubar),2009,9,1,30606,56
Transport in Slovenia,2006,2,0,30425,64
Nanana (Karmen Stavec song),2011,6,0,30263,58
List of ambassadors to Slovenia,2012,7,0,139868,458
Ljubljana Stock Exchange,2011,2,1,81466,379
List of Slovenes,2010,12,0,119567,451
Slovenes,2007,1,2,60873,171
Mrtvo morje (novel),2013,3,0,31620,55
Marina Izola,2010,9,0,25340,40
9:06,2011,2,2,32154,43
Lete%C4%8Di ma%C4%8Dki,2013,3,0,31748,55
Balkan Inc.,2012,1,0,32468,60
1605 (record label),2009,8,1,28788,48
Islam in Slovenia,2009,4,0,43783,151
Kosovo%E2%80%93Slovenia relations,2009,1,3,49302,144
Cerklje ob Krki Airport,2012,7,7,49826,86
List of political parties in Slovenia,2014,8,0,85825,280
Ivan Erazem Tatenbah,2015,2,0,34808,62
Big Foot Mama,2009,10,0,27972,42
List of historical German names for places in Slovenia,2013,3,3,84650,341
Fu%C5%BEinski bluz,2011,9,0,31164,55
Nina Ivani%C5%A1in,2011,2,0,28402,51
Lepo je biti sosed,2014,11,0,49378,51
Foreign relations of Slovenia,2003,1,0,35385,70
Academy of Fine Arts and Design,2010,3,1,30636,56
Joker (magazine),2010,4,0,31064,62
AMIS (ISP),2009,7,0,31492,59
Elektro Slovenija,2007,3,0,26001,43
Ministry of the Interior (Slovenia),2012,1,0,31013,58
Slovenia,2002,4,0,66448,35
Devet fantov in eno dekle,2014,9,0,33193,54
Constitution of Slovenia,2005,5,0,28481,56
Geography of Slovenia,2006,1,0,41806,97
Amandus (film),2009,1,0,29514,52
Slovenes,2014,6,66,225694,598
List of political parties in Slovenia,2011,8,0,70905,273
Slovenia in the Junior Eurovision Song Contest 2014,2014,9,3,50295,104
Foreign relations of Slovenia,2009,3,0,75112,272
Economy of Slovenia,2004,2,0,36911,43
Nanana (Karmen Stavec song),2013,1,0,43491,132
Metaldays,2007,5,0,30493,73
List of Slovenes,2015,4,0,83559,440
Foreign relations of Slovenia,2008,9,0,74188,272
Demographics of Slovenia,2005,5,0,31287,60
Argentina Park,2011,8,0,70727,319
Ministry of the Interior (Slovenia),2013,5,0,31704,61
Help in the Winter,2013,3,2,29488,46
List of political parties in Slovenia,2012,7,0,73913,278
Slovenian Parliament,2014,10,5,72756,240
Industrija motornih vozil,2014,8,2,32493,56
Roman Catholic Diocese of Celje,2012,8,0,41080,77
Slovenes,2012,3,30,137241,368
Frischauf Lodge at Okre%C5%A1elj,2014,12,0,37447,62
Naj bogovi sli%C5%A1ijo,2008,10,0,29245,52
Ambasada Gavioli,2013,9,3,41968,81
Bible translations into Slovene,2013,12,0,35463,84
Public holidays in Slovenia,2012,11,11,65505,198
Ciklamen,2014,9,0,31957,54
Cvetka Ahlin,2008,4,0,24803,39
%C4%8Cop Street,2006,7,0,24939,37
Nevidni bataljon,2009,12,1,30516,44
Timeline of Slovenian history,2004,11,0,105974,778
Gimnazijec,2014,9,0,32575,55
Assembly of the Delegates of the Slovene Nation,2014,3,4,44892,83
Slovene Wikipedia,2008,1,0,64798,171
List of Slovenes,2014,8,0,79186,431
Movement for Justice and Development,2007,3,0,27861,43
Demographics of Slovenia,2014,12,35,132392,290
Sport in Slovenia,2012,2,4,72946,271
Transport in Slovenia,2009,12,1,64485,231
Academy of Fine Arts and Design,2011,2,1,30344,54
Slovenes,2011,5,25,130418,350
International rankings of Slovenia,2010,12,11,52345,133
List of historical German names for places in Slovenia,2008,5,0,28783,74
"List of Hungarian exonyms in Prekmurje, Slovenia",2008,8,0,42023,195
Public holidays in Slovenia,2007,10,0,30313,67
Foreign relations of Slovenia,2012,7,30,132142,452
Timeline of Slovenian history,2005,9,0,102640,750
Ledene magnolije,2013,3,0,31529,54
Bank of Slovenia,2007,7,0,34292,64
Sport in Slovenia,2010,6,4,59943,245
List of Slovenes,2005,1,0,103629,705
Atomik Harmonik,2007,1,0,32093,60
Slovenes,2011,8,25,129913,350
Ne %C4%8Dakaj na maj,2008,3,2,29019,43
Slovenes,2014,2,66,225501,600
Municipalities of Slovenia,2006,9,0,53197,277
Demographics of Slovenia,2012,2,1,89554,244
Metaldays,2011,6,0,51433,269
Geography of Slovenia,2008,1,0,53988,184
Hru%C5%A1ica (plateau),2012,12,0,31927,51
Istrabenz,2010,6,0,29781,49
Timeline of Slovenian history,2009,2,0,97842,686
Goodyear Dunlop Sava Tires,2015,2,0,36777,93
Democratic Opposition of Slovenia,2009,12,0,36421,91
Cvetka Ahlin,2008,10,0,25230,42
Roman Catholic Archdiocese of Maribor,2008,2,0,35471,54
History of Slovenia,2005,7,0,45176,140
List of Slovenes,2004,3,0,96119,640
15th Aviation Brigade (Slovenian Armed Forces),2011,12,0,38840,78
Timeline of Slovenian history,2012,3,4,94266,373
Ambasada Gavioli,2007,10,0,26698,45
Elektro Slovenija,2008,3,0,27969,49
Cvet z juga,2011,12,0,34590,77
Friday Night (2000 film),2014,9,1,40092,54
Mlinci,2013,10,0,34784,66
Big Foot Mama,2009,4,0,28243,45
National Progressive Party (Carniola),2009,6,0,30440,56
La%C5%A1ko Brewery,2011,6,1,33224,67
President of Slovenia,2006,4,0,44867,103
Legion of Death (military unit),2014,2,0,78953,250
President of Slovenia,2013,9,0,105345,415
Transport in Slovenia,2011,1,5,69420,233
Devet fantov in eno dekle,2013,3,0,31856,53
League of Communists of Slovenia,2013,11,0,43335,100
Municipalities of Slovenia,2010,3,0,75430,416
Mladost na stopnicah,2012,3,0,31333,51
Slovenian brands,2014,4,0,24833,32
Industrija motornih vozil,2012,8,2,32590,61
List of Slovenes,2012,10,0,105187,438
Celje National Hall,2014,12,0,53220,154
Roman Catholic Archdiocese of Maribor,2012,5,1,42195,72
President of Slovenia,2006,3,0,38610,82
Atomik Harmonik,2006,3,0,30675,50
Slovenes,2013,1,53,200661,538
National Progressive Party (Carniola),2012,3,0,30282,56
"Catherine of Bosnia, Countess of Cilli",2009,11,3,34511,73
List of Slovenes,2006,8,0,112638,778
Foreign relations of Slovenia,2014,5,31,134898,457
Judiciary of Slovenia,2013,12,0,52248,169
"Faculty of Architecture, Ljubljana",2013,3,0,31432,55
Geometric Centre of the Republic of Slovenia,2005,7,0,24718,27
Love Symphony,2009,3,3,33975,53
List of political parties in Slovenia,2014,5,1,79004,286
Celje National Hall,2008,3,0,47886,145
Demographics of Slovenia,2011,2,1,87221,244
ISO 3166 2:SI,2013,3,0,115680,937
Argentina Park,2013,7,0,70956,312
Politics of Slovenia,2004,7,0,49697,135
List of Slovenes,2008,3,0,127715,934
League of Communists of Slovenia,2014,9,0,48161,119
Slovenian Armed Forces,2010,3,5,101085,401
National Council (Slovenia),2011,11,3,51834,169
List of diplomatic missions of Slovenia,2008,5,0,57943,144
Slovenes,2009,6,22,106890,221
Celje Water Tower,2009,11,0,47894,148
Drej%C4%8Dek in trije Marsov%C4%8Dki,2014,9,0,33633,55
Abadon (novel),2012,9,0,30948,55
Bank of Slovenia,2012,11,0,112605,484
List of political parties in Slovenia,2009,9,0,67321,251
Marina Izola,2010,11,0,25117,40
Metaldays,2007,1,0,29350,63
Economy of Slovenia,2014,2,23,121151,311
List of historical German names for places in Slovenia,2012,3,0,70828,304
Demographic history of Slovenia,2014,6,0,52686,113
Judiciary of Slovenia,2012,11,0,49660,154
Balkan Inc.,2013,3,0,32815,59
Foreign relations of Slovenia,2004,4,0,35804,76
Movement for Justice and Development,2008,5,2,31255,61
Geography of Slovenia,2010,11,3,79499,332
Slovenian military ranks,2013,11,0,72510,273
Template:Slovenes,2008,8,0,27358,56
Amebis,2015,4,0,31953,69
Template:Slovenes,2012,4,0,26468,56
Cvetka Ahlin,2012,12,0,30840,53
Municipalities of Slovenia,2010,6,0,75641,417
Class Enemy (film),2014,7,1,37581,58
List of Slovene novels,2011,9,0,40408,140
Slovenian Armed Forces,2008,10,6,103858,388
Fabula Award,2011,11,1,27731,47
Timeline of Slovenian history,2006,2,0,100670,741
Amebis,2008,6,0,28904,61
National Council (Slovenia),2010,12,3,51780,170
Ambasada Gavioli,2007,1,0,26507,44
Janez (given name),2009,6,0,27372,40
List of diplomatic missions in Slovenia,2009,12,1,143688,317
Ivo Boscarol,2014,8,14,54425,74
Croatia%E2%80%93Slovenia border disputes,2010,11,83,153348,187
Confederation of Trade Unions of Slovenia PERGAM,2010,3,0,31729,53
Slovenia,2005,10,0,132912,463
1605 (record label),2013,12,2,36422,60
International rankings of Slovenia,2010,9,0,51414,134
Mlinci,2010,10,0,30459,53
%C4%8Cop Street,2013,9,1,73714,323
Telecommunications in Slovenia,2006,7,0,24610,34
Nanana (Karmen Stavec song),2012,2,0,29979,54
Liberalism in Slovenia,2010,11,0,65103,227
Association of Free Trade Unions of Slovenia,2009,5,0,32029,53
Atomik Harmonik,2008,7,0,32265,67
Municipalities of Slovenia,2012,12,1,88546,453
Av%C4%8De Pumped Storage Plant,2011,11,2,32451,55
List of historical German names for places in Slovenia,2008,9,0,107782,267
%C4%8Cop Street,2012,1,1,72092,318
League of Communists of Slovenia,2011,6,0,41854,99
ISO 3166 2:SI,2005,11,0,72604,423
Slovenian brands,2015,4,0,26971,31
Bank of Slovenia,2010,4,0,110663,482
Timeline of Slovenian history,2004,3,0,98663,719
Constitution of Slovenia,2009,9,0,56278,221
Beer in Slovenia,2010,2,0,39886,135
Devet fantov in eno dekle,2012,3,0,31559,49
MESI (company),2014,10,4,30759,55
Confederation of New Trade Unions of Slovenia %22Independence%22,2006,6,0,26875,35
Slovenian Armed Forces,2003,6,0,31895,40
ISO 3166 2:SI,2012,8,0,115914,941
List of diplomatic missions of Slovenia,2011,7,2,79510,243
Cvet z juga,2008,6,0,29418,43
Slovenian Parliament,2008,8,0,90229,418
Slovenia,2012,3,225,645218,1942
List of Slovenes,2003,7,0,89749,597
Emir Ljubijanki%C4%87,2014,7,1,36469,60
Democratic Opposition of Slovenia,2008,3,0,36238,94
Love Symphony,2011,12,3,36497,66
Jure Balkovec,2014,7,1,34799,59
Confederation of New Trade Unions of Slovenia %22Independence%22,2007,10,0,31175,47
Montenegrins of Slovenia,2010,7,1,42160,89
List of diplomatic missions of Slovenia,2013,7,0,78629,245
Demographic history of Slovenia,2010,10,0,48111,99
ARNES,2008,4,0,29433,53
Hydrometeorological Institute of Slovenia,2013,3,0,26719,43
Public holidays in Slovenia,2008,4,0,40323,130
Fu%C5%BEinski bluz,2012,3,0,31158,51
List of diplomatic missions of Slovenia,2013,9,0,78371,242
Energy (Nu%C5%A1a Derenda song),2012,2,0,30378,56
Jennersdorf,2013,3,1,45607,92
8th Dalmatian Corps,2014,12,5,47157,112
Slovenes,2004,9,0,45514,123
Geography of Slovenia,2012,2,4,81656,328
Municipalities of Slovenia,2011,5,0,86277,453
Slovenes,2005,10,0,51267,144
Class Enemy (film),2013,10,1,36667,56
League of Communists of Slovenia,2012,6,1,44950,105
Liberalism in Slovenia,2006,1,0,44956,155
Matija Ahacel,2012,1,0,29174,58
Mr Nobody (An%C5%BEej De%C5%BEan song),2015,3,0,49582,178
La%C5%A1ko Brewery,2012,2,0,34197,68
Love Symphony,2012,2,3,36267,62
Croatia%E2%80%93Slovenia border disputes,2010,9,83,152507,181
Economy of Slovenia,2004,4,0,36903,43
List of historical German names for places in Slovenia,2009,1,0,69284,284
Geometric Centre of the Republic of Slovenia,2004,7,0,25151,37
%C4%8Crni Vrh Observatory,2013,3,2,90421,64
Mogersdorf,2013,2,1,48780,109
Metaldays,2012,8,0,53200,283
Roman Catholic Diocese of Murska Sobota,2010,12,0,34908,59
Muri%C5%A1a,2013,9,0,31009,55
Av%C4%8De Pumped Storage Plant,2010,7,2,30059,47
National Council (Slovenia),2006,9,1,36314,70
Ljubezni Sinjebradca,2011,10,0,31309,55
ISO 3166 2:SI,2010,10,0,115522,936
Beer in Slovenia,2014,2,0,40236,145
List of Slovenes,2003,8,0,89803,597
Mlinci,2007,8,0,30656,53
Association of Free Trade Unions of Slovenia,2008,3,0,31961,54
Anna of Schaunberg,2014,3,3,30971,50
Modrost starodavnega anka,2012,3,0,31682,50
Ne %C4%8Dakaj na maj,2009,12,2,31174,51
Demographic history of Slovenia,2011,8,0,49014,99
List of companies of Slovenia,2009,3,3,43811,73
Kalvarija (hill),2011,12,0,45160,142
Croatia%E2%80%93Slovenia border disputes,2009,10,81,148747,223
Elektro Slovenija,2014,2,3,33343,48
Timeline of Slovenian history,2005,6,0,102268,742
List of historical German names for places in Slovenia,2009,7,0,68681,292
Roman Catholic Archdiocese of Maribor,2015,3,4,51203,81
Roman Catholic Diocese of Celje,2011,1,0,39322,72
Jenko Award,2012,2,1,32647,72
Slovenian Parliament,2007,7,0,46231,142
Slovene Wikipedia,2014,9,8,78252,187
List of historical German names for places in Slovenia,2011,8,0,70120,310
%C4%8Cop Street,2008,7,0,69652,317
Beneath Her Window,2008,7,2,32121,53
15th Aviation Brigade (Slovenian Armed Forces),2010,1,0,39631,79
Janez (given name),2007,5,0,24058,43
Constitution of Slovenia,2013,7,3,63776,217
Slovenian Parliament,2013,2,6,70456,243
Celje National Hall,2008,4,0,48338,149
Slovenian Armed Forces,2011,11,7,104455,416
Hotel Poldruga zvezdica,2012,3,0,33289,51
History of Slovenia,2010,9,15,110331,494
Nanana (Karmen Stavec song),2013,3,0,43983,136
Love Symphony,2009,10,3,35649,59
Lepo je biti sosed,2011,1,0,31430,57
Demographics of Slovenia,2013,1,35,132113,294
Cvet z juga,2008,9,0,34051,72
President of Slovenia,2007,11,0,54888,162
Gospodin Franjo,2014,9,1,34841,58
Jennersdorf,2005,5,0,27728,35
Metaldays,2013,2,1,57234,313
Outline of Slovenia,2010,10,1,126048,561
Maribor Academic Choir,2012,12,2,47783,151
"List of Hungarian exonyms in Prekmurje, Slovenia",2009,1,0,45045,207
List of diplomatic missions of Slovenia,2010,1,1,80549,242
Economy of Slovenia,2009,5,20,87211,241
President of Slovenia,2008,11,0,69300,284
Confederation of New Trade Unions of Slovenia %22Independence%22,2007,4,0,31513,49
Ulrich Greifelt,2010,10,0,33393,70
Balkan Games,2011,11,5,113164,376
Islam in Slovenia,2009,1,0,43112,146
Cvetka Ahlin,2012,11,0,30789,58
1X Band,2011,3,0,28722,45
Slovene Wikipedia,2005,12,0,60768,162
Constitution of Slovenia,2012,11,1,58562,206
Po%C5%A1ta Slovenije,2011,12,0,32429,108
Balkan Games,2011,8,5,113603,386
Slovenian Armed Forces,2010,10,5,103463,404
Municipalities of Slovenia,2015,3,5,149696,678
Bank of Slovenia,2006,6,0,32112,54
Hru%C5%A1ica (plateau),2013,2,0,31644,57
Lepo je biti sosed,2013,3,0,48991,57
History of Slovenia,2011,11,39,215655,886
Ambasada Gavioli,2009,5,2,39663,82
Janez (given name),2013,7,0,32830,61
Hungarian occupation of Yugoslav territories,2013,9,90,201254,422
Economy of Slovenia,2013,4,27,115085,312
Marina Izola,2009,1,0,25519,36
President of Slovenia,2003,9,0,28332,32
Extreme points of Slovenia,2009,8,0,41984,94
Association of Free Trade Unions of Slovenia,2007,4,0,32007,52
Nanana (Karmen Stavec song),2009,1,0,29921,55
Ambasada Gavioli,2008,10,0,35478,72
Amandus (film),2008,4,0,27502,46
Politics of Slovenia,2009,7,0,79091,281
Croatia%E2%80%93Slovenia border disputes,2010,4,86,157678,212
National Council (Slovenia),2014,7,3,52178,168
Slovenia,2013,1,258,752989,2204
ISO 3166 2:SI,2010,11,0,115556,936
Metaldays,2013,5,2,58850,314
Ad Pirum,2014,8,2,33789,54
Mlinci,2006,5,0,30615,57
Ars Mathematica Contemporanea,2013,11,0,28274,51
Slovenia,2013,5,262,753610,2175
Croatia%E2%80%93Slovenia border disputes,2013,8,121,268866,352
Idrijski %C5%BElikrofi,2013,11,4,32518,44
Claustra Alpium Iuliarum,2010,10,2,31907,57
Municipalities of Slovenia,2013,1,1,89264,453
Ars Mathematica Contemporanea,2012,12,0,28547,52
Cvet z juga,2007,12,0,26533,33
List of Slovenes,2005,9,0,104419,718
%C4%8Caj s kraljico,2011,9,0,31177,55
Dolomite Declaration,2005,4,0,24439,38
Slovenia,2003,8,0,102601,366
National Progressive Party (Carniola),2010,6,0,30868,61
Croatia%E2%80%93Slovenia border disputes,2012,5,120,266516,353
Dan najlep%C5%A1ih sanj,2009,10,0,29435,54
