filename,year,month,num_citations,file_size,forward_links
Nendo tube nosed fruit bat,2013,10,0,37770,74
Economy of the Solomon Islands,2011,7,1,35622,79
Blackbirding,2008,11,9,45973,111
Vanikoro flying fox,2012,12,0,92203,309
Colonist (1861),2013,5,85,182549,301
Pale mountain pigeon,2013,12,1,35140,70
Ghari language,2010,6,0,31584,59
Australia%E2%80%93Solomon Islands Maritime Boundary Agreement,2014,12,1,38468,88
Gela language,2005,6,0,27288,45
Zazao language,2013,2,1,30858,58
Solomon Islands,2002,9,0,58292,35
Governor General of Solomon Islands,2005,4,0,26476,36
Solomon Islands pound,2013,12,1,42821,159
%C3%81lvaro de Menda%C3%B1a de Neira,2014,9,20,61823,130
Makira woodhen,2013,2,1,35665,73
France%E2%80%93Solomon Islands Maritime Delimitation Agreement,2010,7,0,34569,62
Southeast Solomonic languages,2006,3,0,29410,57
History of Solomon Islands,2012,12,4,101712,392
Politics of the Solomon Islands,2004,9,0,45491,164
People%27s Progressive Party (Solomon Islands),2009,8,0,32813,65
%C3%81lvaro de Menda%C3%B1a de Neira,2006,2,0,34477,49
.sb,2010,8,0,70043,410
List of newspapers in the Solomon Islands,2008,8,0,26696,42
Pacific baza,2014,6,1,44410,82
%27Are%27are people,2012,1,3,32869,57
Makira starling,2010,4,0,32329,57
List of diplomatic missions in the Solomon Islands,2009,5,0,52338,99
Blackbirding,2012,1,22,69631,176
Temotu flying fox,2012,9,0,91753,303
Malaita Eagle Force,2007,8,0,25937,44
Makira starling,2014,6,1,34141,68
Roman Catholicism in the Solomon Islands,2011,6,1,39440,77
Solomon Islands rain forests,2006,7,0,27548,54
France%E2%80%93Solomon Islands Maritime Delimitation Agreement,2013,3,1,37079,80
Bairoko Harbor,2008,12,1,30660,58
Biuku Gasa and Eroni Kumana,2011,7,9,72407,240
Solomon Islands,2004,6,0,95810,281
John Cauchi,2009,6,3,30118,57
Ulawa Airport,2009,10,0,32172,56
Solomon Islands,2006,2,0,102258,263
John Cauchi,2014,6,3,38986,74
Adaro (mythology),2006,11,0,24705,42
%C3%81lvaro de Menda%C3%B1a de Neira,2007,10,0,35430,57
Blue faced parrotfinch,2014,7,2,42229,84
Outline of the Solomon Islands,2012,8,1,84927,224
Governor General of Solomon Islands,2007,5,0,35130,72
BellonaAnua Airport,2007,12,0,28899,47
Monarchy of the Solomon Islands,2007,7,0,67082,273
Cheke Holo language,2012,9,0,30528,53
Governor General of Solomon Islands,2005,2,0,26239,36
Santa Ana Airport (Solomon Islands),2012,12,5,35592,56
%C3%81lvaro de Menda%C3%B1a de Neira,2005,3,0,30981,37
Choiseul Bay Airport,2013,2,5,39288,68
Solomon Islands,2012,10,41,229531,741
Kaghau Airport,2007,3,0,27728,43
Solomon Islands,2013,8,42,232960,732
Cheke Holo language,2013,9,1,31452,54
Demographics of the Solomon Islands,2008,3,2,37518,108
Solomon Islands Liberal Party,2008,7,0,34015,83
Geography of the Solomon Islands,2008,8,0,39894,130
Auki Gwaunaru%27u Airport,2009,12,0,30879,49
Solomon Islands,2006,3,0,103025,263
Mono Alu language,2011,11,0,31671,62
History of Solomon Islands,2008,9,0,90784,366
Pale mountain pigeon,2011,2,0,33729,65
Yandina Airport,2007,12,0,28480,46
Lafari Party,2007,9,0,29166,61
Politics of the Solomon Islands,2009,2,0,57087,173
%C3%81lvaro de Menda%C3%B1a de Neira,2008,2,20,55460,134
Makira honeyeater,2007,10,0,30612,52
Solomon Islands,2008,9,16,187614,637
BellonaAnua Airport,2010,3,0,31092,48
North Solomon Islands,2011,3,0,52815,232
Ontong Java flying fox,2008,6,0,31383,59
Malaita Eagle Force,2008,7,0,28261,55
Politics of the Solomon Islands,2008,5,0,57335,175
Christian Alliance Party,2006,6,0,31611,68
Agunua,2010,11,0,26619,47
Fardoulis%27 blossom bat,2008,12,0,33455,63
LGBT rights in the Solomon Islands,2011,1,2,41970,106
United States Ambassador to the Solomon Islands,2014,8,3,79247,292
Kaghau Airport,2015,4,0,31691,51
List of newspapers in the Solomon Islands,2014,8,0,37048,75
Solomon Islands,2008,3,14,174024,547
"Cathedral Church of St Barnabas, Honiara",2014,12,3,29888,39
Politics of the Solomon Islands,2005,4,0,46536,169
Kashi Maru,2006,10,0,27130,47
Solomon Islands rain forests,2008,5,0,27974,58
Blablanga language,2013,3,0,30504,57
List of political parties in the Solomon Islands,2004,8,0,32077,59
Metallic starling,2006,3,0,30566,50
Solomon Islands rain forests,2004,8,0,23829,40
Geography of the Solomon Islands,2014,6,0,40477,139
Mono Airport,2013,1,0,51404,105
Honiara International Airport,2015,4,3,62679,169
Bairoko Harbor,2013,2,1,31557,61
Honiara International Airport,2008,3,0,34651,50
Economy of the Solomon Islands,2012,3,1,36912,87
Nusatupe Airport,2013,1,0,31136,51
Economy of the Solomon Islands,2013,2,1,60505,282
List of airports in the Solomon Islands,2010,3,0,53231,188
Big man (anthropology),2012,9,4,32859,49
North Solomon Islands,2007,4,0,41174,102
Langa Langa Lagoon,2009,1,14,80330,232
Kolombangara monarch,2007,8,0,30156,55
Solomon Islands branch of The Scout Association,2010,8,2,56897,150
Makira woodhen,2014,8,1,35438,67
List of diplomatic missions in the Solomon Islands,2010,7,1,57318,107
Buin Airport,2013,6,0,26727,40
People%27s Progressive Party (Solomon Islands),2006,4,0,34241,71
List of political parties in the Solomon Islands,2004,10,0,31794,60
Malaita tube nosed fruit bat,2011,6,0,92279,300
Chestnut bellied imperial pigeon,2007,8,0,31936,56
Maasina Ruru,2006,11,0,24171,45
Australia%E2%80%93Solomon Islands Maritime Boundary Agreement,2010,11,1,37420,81
Gela language,2006,4,0,25519,35
Black headed myzomela,2009,10,0,32539,60
"Vila, Solomon Islands",2004,3,0,22914,26
History of Solomon Islands,2007,5,0,89746,366
Economy of the Solomon Islands,2003,7,0,27550,44
Vanuatu rain forests,2010,8,0,29724,55
.sb,2010,10,0,70201,410
Pacific baza,2010,2,1,41859,71
Reform Democratic Party,2010,8,2,31018,60
Isabel Barreto,2012,12,0,32147,87
%27Are%27are people,2006,12,0,25549,40
Solomon Islands Labour Party,2004,10,0,26076,38
BellonaAnua Airport,2009,12,0,31094,50
Nendo tube nosed fruit bat,2005,5,0,34279,48
Malaita Eagle Force,2012,11,3,30438,58
Public holidays in the Solomon Islands,2008,10,0,33183,67
Solomons flying fox,2012,5,0,91764,305
BellonaAnua Airport,2013,1,0,31567,53
National Parliament of the Solomon Islands,2010,7,3,51074,118
Solomon Islands Party for Rural Advancement,2012,10,0,32600,70
Yandina Airport,2013,7,4,42020,63
BellonaAnua Airport,2009,10,0,30872,48
Fardoulis%27 blossom bat,2013,1,0,91428,302
Vanikoro flying fox,2011,5,0,91368,301
Makira woodhen,2012,5,0,34034,64
Langalanga language,2012,5,0,30594,53
Scouting and Guiding in the Solomon Islands,2009,12,0,37516,89
Solomon Islands rain forests,2006,9,0,27402,54
Roviana rail,2008,3,0,31347,57
Blackbirding,2007,1,3,34659,78
Temotu flying fox,2010,9,0,90364,297
List of political parties in the Solomon Islands,2005,6,0,34395,70
Solomon Islands,2013,11,43,235073,743
BellonaAnua Airport,2013,2,0,32053,57
History of Solomon Islands,2005,7,0,37407,73
Governor General of Solomon Islands,2006,1,0,27880,44
East Rennell,2006,1,0,28781,36
Christian Alliance Party,2006,10,0,31906,68
Isabel Barreto,2012,6,0,27559,44
Monarchy of the Solomon Islands,2013,6,2,86453,325
Central Bank of Solomon Islands,2012,2,3,60945,238
Gela language,2005,10,0,25055,33
Solomons cuckooshrike,2012,2,0,33638,65
Cross of Solomon Islands,2010,4,2,30139,43
List of airports in the Solomon Islands,2011,10,0,53063,188
Pacific baza,2008,8,1,36707,67
Guadalcanal monkey faced bat,2009,9,0,33325,55
List of diplomatic missions of the Solomon Islands,2011,10,0,40958,70
