filename,year,month,num_citations,file_size,forward_links
Al Shabaab (militant group),2014,10,321,599976,751
Leopard,2005,6,0,62827,82
Somaliland,2004,8,0,75147,223
Flag of Puntland,2011,2,0,30288,47
Flag of Somalia,2012,5,5,62581,184
Absame,2013,12,0,34021,66
2007 Somali National Reconciliation Conference,2013,3,0,43994,102
Italian Somaliland somalo,2009,7,0,35570,60
Disarmament in Somalia,2007,4,31,89876,214
Soomaaliyeey toosoo,2013,1,8,55643,125
Majeerteen,2008,10,3,42496,101
Osman Mahmoud,2008,11,2,33338,66
Yibir,2009,9,38,69255,153
Outline of Somalia,2011,9,23,117836,377
Disarmament in Somalia,2010,1,31,96406,179
Diplomatic and humanitarian efforts in the Somali Civil War,2008,12,70,121637,261
Zeila,2010,5,10,52177,125
Ogaden,2006,10,3,34403,60
United Nations Operation in Somalia II,2006,10,9,42977,96
Leelkase,2015,1,7,35516,66
Islamic Courts Union,2009,5,48,185887,582
Lugh Ganane Airport,2014,9,1,37055,58
Ahmed Yusuf (Gobroon),2009,10,1,27943,56
History of Somalia,2006,8,5,140461,434
Battle of the Hill of the Jews,2014,5,3,39327,85
History of Somalia,2005,12,0,117769,311
"Mission of Somaliland, London",2014,9,3,62163,236
Rescue of Jessica Buchanan and Poul Hagen Thisted,2015,1,5,50190,118
Coat of arms of Somalia,2010,6,0,49805,132
Prime Minister of Somalia,2010,1,0,64446,251
Warsangali,2015,3,7,44352,112
National anthem of Somalia (1960%E2%80%932000),2014,4,3,36877,116
Somaliland University of Technology,2009,4,2,31506,51
Factions in the Somali Civil War,2007,12,4,60974,142
British Somaliland,2008,6,0,84781,331
LGBT rights in Somalia,2008,2,2,43991,137
Unified Task Force,2009,6,16,77835,212
Shia Islam in Somalia,2013,2,2,42237,66
Italian Somaliland rupia,2010,2,1,46192,120
Cabinet of Somalia,2009,11,3,41412,75
Mehri people,2012,11,1,34777,78
Somalia,2007,10,37,287026,1084
Banknotes of the Somaliland shilling,2006,1,0,25813,40
Hiraab,2010,7,2,35321,70
Somali Civil War,2012,8,32,101651,206
Banadir Hospital,2011,9,0,29029,49
History of Somalia,2013,8,130,303666,966
Puntland,2013,4,80,244619,883
Banaadir,2010,2,0,53747,180
Adal Sultanate,2015,2,31,175840,707
Warsangali,2006,12,0,33575,64
Public holidays in Somalia,2013,2,0,45589,182
Sultanate of Ifat,2013,3,12,60466,150
Ali Mohammed Ghedi,2010,10,11,57619,119
Horseed Media,2010,12,2,29665,48
Awdalland,2012,9,6,62604,196
Transport in Somalia,2013,9,19,92637,304
Propaganda in the War in Somalia,2007,1,19,73935,179
Coat of arms of Somalia,2012,9,0,51139,135
Soomaaliyeey toosoo,2008,3,3,43473,105
Adal Sultanate,2008,6,8,39792,90
Zapti%C3%A9,2006,10,0,23145,30
Flag of Somaliland,2009,2,1,62695,207
Regions of Somaliland,2008,11,1,37110,89
Politics of Somalia,2011,4,9,115066,480
Politics of Somalia,2010,7,9,112749,483
Abdullahi Yusuf International Airport,2011,12,1,37601,64
Majeerteen,2014,7,11,48861,151
Coat of arms of Somalia,2015,3,0,52136,139
"Somaliland presidential election, 2003",2005,12,0,37561,77
Hannassa,2014,5,1,28524,65
Majeerteen,2006,8,0,29923,42
Hawiye,2012,2,23,68084,163
Hawiye,2010,11,18,64264,165
Italian Somaliland lira,2013,11,0,32673,58
Majeerteen,2009,5,3,45977,113
Soomaaliyeey toosoo,2010,8,7,47991,108
Flag of Somaliland,2009,10,3,64330,204
Victory Pioneers,2010,2,1,29138,49
Transitional Federal Parliament,2011,12,8,85193,330
Puntland,2012,7,74,216667,785
History of Somalia,2011,12,105,267315,852
Soomaaliyeey toosoo,2004,9,0,29070,28
Reerow Xassan,2007,4,0,31603,49
Xeer,2012,9,17,109249,312
Harti (Darod),2009,12,4,32823,64
Judiciary of Somalia,2011,1,3,53261,104
Demographics of Somalia,2012,6,10,86629,333
Leopard,2013,5,83,353456,969
List of Presidents of Somalia,2007,8,0,44687,136
Isaaq,2007,10,0,34939,78
Trust Territory of Somaliland,2007,12,0,34046,61
Garre,2008,11,0,36128,85
Isaaq,2012,12,12,52353,127
Ahmad ibn Ibrahim al Ghazi,2014,2,35,75745,140
Ajuran Sultanate,2014,7,50,180048,880
Zeila,2010,1,7,48285,109
Military history of Somalia,2013,5,55,200100,753
Greater Somalia,2006,4,0,36243,81
Opone,2012,1,3,35676,103
Ras Kamboni Brigades,2012,5,4,46852,157
Somali Youth League,2006,10,0,29526,55
Yarrow Maaytey,2012,6,0,27711,56
Somaliland campaign (1920),2014,10,8,57583,121
Scouting in Somalia,2011,3,5,52961,148
2007 Somali National Reconciliation Conference,2011,7,0,42963,99
Yusuf Mahamud Ibrahim,2014,9,0,30836,70
Alliance for the Restoration of Peace and Counter Terrorism,2008,9,3,44640,122
History of Somalia (1991%E2%80%932006),2009,2,26,140621,527
Madhiban,2012,12,2,30356,55
.so,2006,1,0,63467,396
Somali Education and Health Organization,2009,10,0,31500,41
Transitional Federal Government,2008,7,0,41530,86
Sultanate of the Geledi,2010,10,2,36725,88
Somaliland campaign (1920),2013,2,8,56774,122
Somaliland campaign (1920),2009,10,8,54182,111
Prime Minister of Somalia,2012,10,1,104374,423
Somali Disaster Management Agency,2013,6,1,27742,41
Greater Somalia,2006,8,2,32622,64
Work and Socialism Party,2013,12,0,37405,86
Guban,2010,10,0,24938,40
Sultanate of the Geledi,2014,7,6,105944,525
Xeer,2009,12,14,133316,545
Soomaaliyeey toosoo,2009,9,3,44332,109
Central Bank of Somalia,2013,2,12,115847,486
Somalia,2005,7,0,104911,279
.so,2012,8,11,77094,415
List of representative offices of Somaliland,2010,7,1,39850,99
Netco (Somalia),2015,3,0,34171,69
Bakara Market,2015,1,1,29876,47
Northern Somali Unionist Movement,2013,3,5,38129,63
Somalia,2010,5,147,436856,1692
Consolidation of states within Somalia (1998%E2%80%932006),2010,10,3,50470,112
Darod,2008,9,7,60624,172
Greater Somalia,2013,4,16,71267,211
Central Bank of Somalia,2007,3,0,35370,102
Sheikh Hassan Barsane,2009,7,0,25004,26
LGBT rights in Somalia,2009,2,1,42631,128
Marehan,2010,9,12,47186,133
