filename,year,month,num_citations,file_size,forward_links
Somaliland,2004,8,0,75046,223
Cabinet of Ministers of Somaliland,2009,10,0,41697,80
Naasa Hablood,2012,9,1,33465,48
Somaliland Armed Forces,2007,5,0,47403,132
British Somaliland,2008,6,0,84758,331
Telecommunications in Somaliland,2010,12,0,40673,121
Postage stamps and postal history of British Somaliland,2010,2,0,52704,196
History of Somaliland,2010,2,6,75451,244
Flag of Somaliland,2009,2,1,62672,207
Regions of Somaliland,2008,11,1,37067,89
Politics of Somaliland,2007,4,0,58637,182
Flag of Somaliland,2009,10,3,64307,204
Puntland%E2%80%93Somaliland dispute,2010,11,19,60084,95
Somaliland shilling,2009,11,4,62710,180
National emblem of Somaliland,2009,12,2,48698,154
Puntland%E2%80%93Somaliland dispute,2013,4,14,53990,96
List of Somaliland politicians,2007,2,0,37990,70
State of Somaliland,2009,5,1,39914,66
Flag of Somaliland,2011,10,3,63911,186
Somaliland shilling,2013,3,6,62741,176
List of Somaliland politicians,2006,5,0,35995,67
House of Elders (Somaliland),2013,4,0,35730,76
Independence Day (Somaliland),2012,10,4,31053,43
Somaliland shilling,2007,9,1,61287,181
Flag of Somaliland,2010,7,3,63082,182
Hargeisa International Airport,2006,9,0,31018,44
Somaliland,2009,5,20,168126,665
Somaliland shilling,2010,5,4,61166,174
Puntland%E2%80%93Somaliland dispute,2008,9,14,50524,88
Somaliland Armed Forces,2012,6,6,52186,152
Somaliland shilling,2006,11,0,60731,173
History of Somaliland,2008,6,3,75615,294
Hargeisa International Airport,2007,9,0,32838,52
Regions of Somaliland,2006,8,0,35277,77
List of Somaliland politicians,2007,8,0,38180,72
Berbera Airport,2008,3,2,31564,53
Politics of Somaliland,2008,12,3,77399,208
House of Representatives (Somaliland),2006,1,0,44211,143
Parliament of Somaliland,2006,1,0,35831,77
LGBT rights in Somaliland,2010,1,0,40075,134
LGBT rights in Somaliland,2012,9,0,40105,133
Naasa Hablood,2011,4,0,31901,60
Somaliland Armed Forces,2015,1,7,62620,196
Somaliland shilling,2008,6,1,61344,183
Politics of Somaliland,2013,2,3,78426,212
Somaliland,2003,8,0,44437,41
Flag of Somaliland,2010,3,3,63541,182
Regions of Somaliland,2005,11,0,25746,43
Bank of Somaliland,2008,8,0,58276,245
Somaliland Armed Forces,2007,11,0,40455,124
Regions of Somaliland,2006,7,0,35901,77
Dul Madoba,2010,5,0,30623,57
Flag of Somaliland,2010,8,3,62996,182
LGBT rights in Somaliland,2011,5,0,40753,131
Hargeisa International Airport,2012,5,3,47016,79
List of Somaliland politicians,2010,4,0,41855,79
Somaliland,2002,9,0,43442,36
List of Somaliland politicians,2009,9,0,39298,73
British Somaliland,2011,2,21,99479,346
Flag of Somaliland,2014,4,3,63687,182
Outline of Somaliland,2009,6,5,86688,186
Parliament of Somaliland,2009,8,0,39341,90
Politics of Somaliland,2006,4,0,58447,182
Berbera Airport,2007,2,0,27436,44
National emblem of Somaliland,2014,2,2,49519,160
Puntland%E2%80%93Somaliland dispute,2012,8,14,53618,91
State of Somaliland,2011,11,16,54794,90
British Somaliland,2008,9,1,85592,331
Independence Day (Somaliland),2011,12,4,29543,44
National emblem of Somaliland,2008,5,0,48157,168
Somaliland,2008,7,19,164027,632
Somaliland,2008,10,21,166996,643
British Somaliland,2006,2,0,32687,51
Telesom,2011,2,0,26313,45
Somaliland shilling,2014,7,6,63477,181
History of Somaliland,2014,2,15,94512,315
Somaliland,2008,4,18,165139,638
Regions of Somaliland,2007,5,0,35273,77
Puntland%E2%80%93Somaliland dispute,2011,4,13,55081,101
British Somaliland,2008,8,1,85494,333
Hargeisa International Airport,2010,12,0,42105,70
National emblem of Somaliland,2011,2,2,48270,154
Somaliland,2013,8,103,311351,1091
Politics of Somaliland,2007,12,3,77157,204
Outline of Somaliland,2014,7,10,74258,186
Burao Airport,2010,9,0,32948,55
Outline of Somaliland,2012,1,25,93532,221
Berbera Airport,2011,9,2,38089,65
Puntland%E2%80%93Somaliland dispute,2010,5,19,54853,78
Flag of Somaliland,2011,1,3,63661,185
Hargeisa International Airport,2014,6,6,61545,138
Hargeisa International Airport,2009,6,0,38690,70
List of Somaliland politicians,2007,3,0,38769,72
British Somaliland,2012,6,20,104366,358
Dul Madoba,2005,11,0,22268,29
British Somaliland,2013,4,20,114685,400
Institute for Practical Research and Training,2011,1,2,27379,40
Cabinet of Ministers of Somaliland,2009,11,0,41743,76
History of Somaliland,2007,8,3,73202,312
National emblem of Somaliland,2011,11,2,48508,154
Politics of Somaliland,2010,7,2,78240,220
Template:Airports in Somaliland,2013,8,0,27515,36
Outline of Somaliland,2009,7,5,87899,193
National emblem of Somaliland,2013,5,2,48756,156
State of Somaliland,2009,10,1,41051,75
Politics of Somaliland,2012,11,3,77897,208
History of Somaliland,2007,10,3,73979,320
Postage stamps and postal history of British Somaliland,2010,10,0,54627,202
List of airports in Somaliland,2008,10,0,35904,115
Somaliland Armed Forces,2013,2,7,62608,196
Somaliland Armed Forces,2008,4,0,42753,137
Flag of Somaliland,2012,11,3,62988,178
British Somaliland,2005,8,0,32853,54
Parliament of Somaliland,2011,7,0,49203,163
State of Somaliland,2008,8,1,36948,57
Somaliland,2004,4,0,73503,219
Puntland%E2%80%93Somaliland dispute,2015,1,15,57624,100
Somaliland Armed Forces,2011,3,3,58823,181
Postage stamps and postal history of British Somaliland,2013,3,0,56088,208
Somaliland shilling,2007,5,1,58091,173
Somaliland,2012,2,80,286150,1043
History of Somaliland,2005,11,0,26495,54
Bank of Somaliland,2014,7,1,64374,260
Somaliland Armed Forces,2010,6,2,49418,164
Outline of Somaliland,2012,2,25,93870,227
Bank of Somaliland,2006,8,0,35501,73
Cabinet of Ministers of Somaliland,2012,9,0,30534,61
History of Somaliland,2005,10,0,26127,53
Hargeisa International Airport,2012,2,3,46713,80
Constitution of Somaliland,2009,5,0,47973,128
Bank of Somaliland,2007,6,0,35835,75
Vice President of Somaliland,2011,7,0,33522,70
Template:Somaliland topics,2014,2,0,32191,87
House of Representatives (Somaliland),2009,5,0,49536,161
Somaliland,2013,11,103,311765,1089
Somaliland shilling,2008,2,1,61162,182
Somtel,2015,3,10,37662,78
Somaliland,2002,6,0,43229,34
Burao Airport,2008,9,0,32658,53
British Somaliland,2005,12,0,32836,55
Berbera Airport,2013,1,3,45971,118
Hargeisa International Airport,2011,3,1,43925,69
