filename,year,month,num_citations,file_size,forward_links
Order of Simon of Cyrene,2011,5,4,34435,57
Great Trek,2007,8,1,37690,66
Agulhas Bank,2010,2,0,51648,182
"Hatfield, Pretoria",2010,2,0,32099,52
District municipality,2009,1,1,105274,549
2007 in South Africa,2007,10,1,27303,51
Kalahari Acacia Baikiaea woodlands,2009,4,2,27749,56
1984 in South Africa,2006,3,0,38823,144
List of English words of Afrikaans origin,2012,6,5,38770,92
1982 in South Africa,2006,2,0,36031,122
Economy of Gauteng,2013,4,21,97163,178
Highveld,2008,9,0,32565,87
List of awards and honours bestowed upon Nelson Mandela,2011,8,45,148046,515
Fort Tenedos,2006,10,0,24263,34
Cape Floristic Region,2010,9,0,51740,114
Blikkiesdorp,2009,11,17,45050,46
Political repression in post apartheid South Africa,2015,3,165,202028,500
Deputy President of South Africa,2005,6,0,42423,125
Hillbrow,2015,4,4,95733,491
Governor General of the Union of South Africa,2013,12,0,121938,416
Government of South Africa,2014,2,0,84463,300
1921 in South Africa,2006,5,0,23535,44
List of English words of Afrikaans origin,2009,6,2,34041,76
Diocese of Mpumalanga,2013,6,0,34584,81
1987 in South Africa,2007,5,0,49788,225
History of South Africa,2009,3,10,222168,1037
Investment Analysts Society of Southern Africa,2007,6,0,30134,51
1965 in South Africa,2013,12,2,45262,72
Economic History Society of Southern Africa,2011,8,0,32444,58
Third Force (South Africa),2014,9,18,95430,451
The bush,2012,11,8,50068,121
1660s in South Africa,2008,2,0,30670,68
Medical treatment during the Second Boer War,2009,1,12,51302,88
Themba Mabaso,2011,1,6,30053,59
Actuarial Society of South Africa,2006,9,0,28303,49
Great Trek,2012,3,8,51221,98
Public holidays in South Africa,2006,7,0,36132,88
Xenophobia in South Africa,2011,2,61,123437,167
Boer Republics,2011,2,3,52332,144
List of English words of Afrikaans origin,2014,2,5,39192,90
Nkandla (homestead),2015,1,27,118000,380
2005 in South Africa,2006,10,0,42912,187
Investment Analysts Society of Southern Africa,2006,9,0,29199,49
Ubuntu (philosophy),2011,4,14,82190,150
Operational Medical Orderly,2013,11,2,38381,48
Bekisa,2010,11,0,28777,51
Adrian Dickson,2010,10,0,29960,58
Abortion in South Africa,2007,5,6,62798,227
Krugerrand,2004,4,0,28922,38
Hillbrow,2011,8,0,38059,82
Common Monetary Area,2013,3,3,34024,65
Water privatisation in South Africa,2008,10,0,35109,58
South African military ranks,2014,11,7,110293,283
List of awards and honours bestowed upon Nelson Mandela,2006,10,0,79917,454
Elbrus Ourtaev,2010,2,0,32042,63
Motlalepula Chabaku,2011,12,0,36356,42
Roman Catholic Archdiocese of Durban,2005,7,0,25992,36
Emergency medical services in South Africa,2010,7,15,63039,115
Anglo Zulu War,2011,1,18,101412,186
1981 in South Africa,2005,4,0,34798,113
Common Tasks for Assessment,2009,10,0,29158,42
The Flames,2010,6,0,33981,70
Mageu,2010,5,0,30574,55
List of fiction set in South Africa,2011,1,0,37395,116
1972 in South Africa,2014,3,2,46385,86
1811 in South Africa,2011,2,0,24644,41
Bloody Sunday (1900),2009,8,0,40610,103
Black Economic Empowerment,2008,2,7,46774,58
South African nationality law,2015,4,2,80927,265
Nkandla (homestead),2014,11,27,118502,387
1808 in South Africa,2011,6,0,25887,44
South African passport,2013,11,8,96417,367
History of South Africa,2014,11,37,250476,900
1989 in South Africa,2010,7,0,33191,88
QSE Scorecard,2013,11,0,39003,88
Coventry Four,2013,8,8,56593,196
Zoutpansberg,2009,7,0,42728,98
Parliament of South Africa,2009,2,0,75474,257
Education in South Africa,2008,2,3,51183,134
Cape Town Science Centre,2008,11,0,31765,58
2010 in South Africa,2014,3,16,54708,96
Boer,2014,3,30,153452,533
British South Africa Company,2004,9,0,29721,46
Cape Town Ecology Group,2009,8,2,29733,49
Equal Education,2014,4,14,129329,358
Biltong,2006,5,0,30964,54
Law of South Africa,2009,11,1,53172,81
1951 in South Africa,2008,10,0,28114,72
Department of Science and Technology (South Africa),2008,1,0,35924,64
1750s in South Africa,2009,12,0,25284,44
Baasskap,2015,1,1,74392,357
Equal Education,2012,7,15,54552,56
Economy of South Africa,2007,3,0,98944,430
Xenophobia in South Africa,2008,8,51,127701,226
Venpet%E2%80%93Venoil collision,2011,11,10,54031,85
Karoo,2008,2,1,59015,170
Messelpad Pass,2014,12,5,29841,50
List of South African slang words,2010,5,7,105184,189
List of diplomatic missions of South Africa,2014,1,1,158794,483
Birmingham Solar Oscillations Network,2006,6,0,26703,49
South African rand,2007,7,0,75077,260
South African contract law,2013,2,215,379669,399
History of the Cabinet of South Africa,2010,8,14,85552,296
South African Human Rights Commission,2010,3,0,26689,36
Investment Analysts Society of Southern Africa,2008,2,0,30378,57
Template:SouthAfrica stub,2005,7,0,27245,30
Prime Minister of South Africa,2011,7,0,57738,176
Delmas Treason Trial,2008,12,2,40967,137
Defence and Aid Fund for Southern Africa,2013,8,1,44721,149
Afrikaner Broederbond,2013,5,15,77337,211
Mitchells Plain,2012,7,7,64511,216
Economy of South Africa,2007,1,0,97344,423
Cecil Margo,2014,7,6,45360,94
Bechuanaland Protectorate,2005,4,0,37043,88
1939 in South Africa,2006,10,0,24600,42
2009 in South Africa,2009,7,9,37734,104
1962 in South Africa,2013,11,0,45437,90
1977 in South Africa,2008,5,0,35735,118
Military Skills Development System,2005,9,0,24912,29
1912 in South Africa,2010,2,0,26892,55
1954 in South Africa,2007,5,0,29889,79
Law of South Africa,2013,4,2,66533,158
South African company law,2012,3,7,37509,57
List of South Africa related topics,2006,3,0,47532,200
Prime Minister of South Africa,2005,2,0,32334,82
Du Toits Peak,2009,4,0,26399,50
Cape Province,2011,8,2,46134,103
1978 in South Africa,2005,11,0,29984,67
1985 in South Africa,2007,4,0,43402,169
List of South African slang words,2012,2,9,121554,205
Agulhas Bank,2007,4,0,29099,50
Phutu,2009,10,0,24893,41
Politics of South Africa,2011,10,8,134465,596
Cecil Margo,2008,3,1,40247,94
Christ the Healer Project,2013,6,1,33529,50
1770s in South Africa,2009,12,0,30874,78
1984 in South Africa,2008,4,0,41098,160
Boer,2005,4,0,31681,39
Joachim Ferrera,2005,8,0,24624,39
1979 in South Africa,2007,5,0,30410,79
"Carnarvon, Northern Cape",2014,5,8,66750,126
Common Tasks for Assessment,2008,1,0,26089,42
1983 in South Africa,2013,12,4,56729,117
Protection of State Information Bill,2011,12,18,52331,72
South African nationality law,2013,9,1,73903,260
Pieter Toerien,2010,4,0,34776,86
