filename,year,month,num_citations,file_size,forward_links
Feeder Airlines,2014,12,6,49682,119
Ministry of Telecommunication and Postal Services (South Sudan),2012,12,1,36157,72
Juba,2010,2,2,66907,115
John Garang Memorial University,2013,2,5,37514,62
Southern Sudan Autonomous Region (2005%E2%80%9311),2011,10,13,78489,232
History of South Sudan,2011,9,19,99637,294
United Nations Mission in South Sudan,2012,1,3,67544,200
Juba Stadium,2013,7,4,40050,85
John Garang Memorial University,2013,6,5,36180,64
New Sudan Education Initiative,2010,12,3,37217,75
Southern Sudan Autonomous Region (2005%E2%80%9311),2011,2,0,24034,29
John Garang Memorial University,2015,1,5,36437,67
Yei Agricultural and Mechanical University,2012,7,2,33863,56
Flag of South Sudan,2012,3,3,66425,191
History of South Sudan,2015,1,37,128725,352
United Nations Flight 544 shootdown,2013,11,11,60561,88
Anglo Egyptian Sudan,2010,2,1,57587,128
Juba,2007,2,0,46004,66
Upper Nile University,2011,7,4,37685,70
Upper Nile University,2011,8,4,37761,70
List of banks in South Sudan,2009,5,0,35228,97
South Sudan,2008,6,4,104528,218
Aja language (Nilo Saharan),2006,6,0,30878,54
Aja language (Nilo Saharan),2005,6,0,26897,41
South Sudanese passport,2012,12,3,80971,346
Geography of South Sudan,2012,4,2,60103,218
Olu%E2%80%99bo language,2010,6,0,26396,43
Africa Education %26 Leadership Initiative,2013,6,0,34814,44
Mukaya Payam,2009,11,0,32212,72
Juba,2008,6,0,55334,80
Anglo Egyptian Sudan,2008,2,1,71360,278
Melut Basin,2008,5,3,29360,56
Flag of South Sudan,2012,12,2,69025,188
Sudanese conflict in South Kordofan and Blue Nile,2014,9,173,281747,537
Kids for World Health,2011,1,5,35117,64
Panykang County,2013,3,1,33214,76
South Sudan Television,2013,3,1,30122,48
Ministry of Animal Resources and Fisheries (South Sudan),2014,11,1,35344,69
Anglo Egyptian Sudan,2011,11,0,59685,135
South Sudan,2009,8,15,129182,328
South Sudan,2007,7,3,77106,123
Second Sudanese Civil War,2006,8,0,65082,192
South Sudan,2014,11,161,408350,871
Nuer language,2011,7,2,36048,66
"Ministry of Commerce, Industry and Investment (South Sudan)",2012,4,1,36185,74
Education in South Sudan,2012,9,6,57614,166
Constitution of South Sudan,2013,11,3,50096,129
Second Sudanese Civil War,2007,12,5,77056,231
Second Sudanese Civil War,2013,5,21,142515,405
2014 Bentiu massacre,2015,4,14,37216,43
Anyanya II,2013,6,3,24718,35
National Legislature (South Sudan),2012,5,4,42547,79
List of presidents of South Sudan,2012,6,0,87361,322
South Sudan,2006,12,3,73435,111
South Sudanese passport,2014,8,4,81742,350
Geography of South Sudan,2014,2,2,59634,219
List of hospitals in South Sudan,2013,6,0,37664,57
.ss,2013,9,3,64067,413
List of diplomatic missions of South Sudan,2011,7,2,49019,116
Ministry of Roads and Bridges (South Sudan),2012,4,1,35254,71
List of presidents of South Sudan,2011,8,0,85048,319
