filename,year,month,num_citations,file_size,forward_links
List of Spanish flags,2008,2,0,113196,291
Same sex marriage in Spain,2015,1,93,219008,428
Merida pocket,2011,8,0,36015,137
Batasuna,2007,4,4,69923,177
Cockade of Spain,2007,4,0,26435,47
%C3%89l (song),2009,3,0,29522,55
Red Terror (Spain),2007,6,19,52998,127
Mozarabic Rite,2011,3,4,64529,198
Spanish warship Destructor (1886),2008,5,5,31903,44
House of Bourbon,2014,1,5,313011,1602
La Cala de Mijas,2012,4,0,38576,77
Royal Household of Spain,2011,9,4,70027,265
Festimad,2007,10,0,25783,40
History of Spain,2015,3,127,335198,1139
Uni%C3%B3n General de Trabajadores,2011,2,0,41670,72
Spanish Inquisition,2010,4,98,253611,824
Catholic Monarchs,2009,4,1,58045,131
Economy of Spain,2006,10,1,65104,265
Kingdom of the Suebi,2013,1,104,193487,445
Spanish Navy Marines,2013,3,3,74358,233
"Medrano, Spain",2007,10,0,44161,216
Conquest of the Canary Islands,2013,5,24,107037,305
List of Spanish regional legislatures,2009,4,7,73162,214
Sport in Spain,2013,10,1,121798,634
Politics of Spain,2014,9,45,223774,692
Black ladino,2005,3,0,24524,45
Al Andalus,2010,8,115,258141,991
Four Kingdoms of Andalusia,2009,12,5,32584,49
Transport in Spain,2013,5,3,85690,359
Spanish society after the democratic transition,2015,2,14,61653,100
Spanish Pyrenees,2008,10,1,26882,46
Captain general,2008,6,7,46217,118
Instituci%C3%B3n Libre de Ense%C3%B1anza,2014,11,3,70707,172
House of Bourbon,2014,4,5,614634,1935
Pact of forgetting,2011,5,0,26871,37
Bolsa de Madrid,2007,9,1,33133,56
Imperator totius Hispaniae,2013,1,134,183525,324
Al Andalus,2012,11,42,178870,588
History of Spain,2002,2,0,39324,72
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2006,5,0,66806,339
United States v. The Amistad,2004,3,0,36279,103
Trabancos (river),2014,3,16,100235,289
History of Spain,2009,5,21,203793,951
Spanish Inquisition,2006,9,40,158294,405
"Lady, Lady",2012,4,0,44079,120
Lope de Barrientos,2007,7,17,105521,319
List of Spain related topics,2006,9,0,57186,229
Forests of the Iberian Peninsula,2009,8,4,98418,346
List of Spanish inventors and discoverers,2014,12,54,93836,232
Flags of the autonomous communities of Spain,2005,12,0,76653,232
Slavery in Spain,2014,12,7,67102,261
Flags of the autonomous communities of Spain,2006,8,0,81798,241
Petroleum Revolution,2012,4,0,32572,59
Imperator totius Hispaniae,2013,6,134,183866,326
Immigration to Spain,2008,9,4,188299,461
Valnal%C3%B3n,2007,12,0,22380,30
Iberian Federalism,2015,3,7,56449,141
Prime Minister of Spain,2011,9,16,173486,557
Balmis Expedition,2006,3,0,31380,53
Template:Spain stub,2012,5,0,37812,45
Kingdom of Galicia,2010,2,26,123304,499
Fundamental Laws of the Realm,2009,4,0,32843,47
Elviria,2014,6,0,30899,48
Moscow gold,2009,11,149,231476,329
Pillars of Hercules,2008,11,8,81366,277
