filename,year,month,num_citations,file_size,forward_links
Sri Lanka Green Alliance,2012,7,0,24509,32
Sinhala Only Act,2012,5,12,60369,155
National Cadet Corps (Sri Lanka),2015,1,2,40982,66
Dutch%E2%80%93Portuguese War,2011,7,3,147098,494
Black July,2014,1,48,181762,492
Pettah Market,2007,7,0,30016,49
Kingdom of Dambadeniya,2011,10,2,70667,202
Sri Lanka Armed Forces,2005,6,0,29115,40
Attack on Pakistani ambassador to Sri Lanka,2013,6,4,34184,52
Culavamsa,2007,10,6,38474,96
Sri Lankan place name etymology,2009,9,14,72408,174
Jaya Sri Maha Bodhi,2006,9,0,30075,45
Portuguese Ceylon,2009,10,0,107352,382
Colebrooke%E2%80%93Cameron Commission,2014,2,3,58120,168
Malabars,2010,4,3,25936,58
Arseculeratne v. Priyani Soysa,2011,4,0,29423,36
Dipavamsa,2012,1,3,98323,573
Avukana Buddha statue,2012,5,10,53151,94
Eelam War IV,2010,1,72,181672,407
GCSU Sri Lanka,2010,3,1,34984,49
LGBT rights in Sri Lanka,2015,4,4,62565,149
List of civilian massacres attributed to Sri Lankan government forces,2014,4,121,208554,489
Template:Sri Lankan security forces,2012,12,0,29201,66
Sri Lanka lion,2007,4,0,31426,57
Telecommunications in Sri Lanka,2013,7,0,101122,469
Indo Sri Lanka Accord,2013,5,21,115540,408
History of Sri Lanka,2007,6,18,149468,503
Apparel industry of Sri Lanka,2015,3,20,58714,46
Isurumuniya,2006,11,0,32787,59
Yakadadoli,2008,1,0,25284,42
Copyright law of Sri Lanka,2015,1,6,59432,127
List of Sinhalese monarchs,2006,8,0,83020,681
Joseph Vaz,2006,9,0,35828,101
Monarchy of Ceylon,2012,6,1,52868,152
Template:Biosphere reserves of Sri Lanka,2012,6,0,24209,37
Boat Mail,2011,9,0,33341,75
Indian Peace Keeping Force,2007,11,49,165707,469
Dutch Ceylon,2011,4,5,123420,397
Shakthi FM,2012,7,0,32496,70
List of military operations of the Sri Lankan Civil War,2012,3,0,60079,238
Thanthirimale,2013,8,3,30788,52
Sri Lankan Civil War,2005,5,0,50122,82
Kadugannawa Ambalama,2015,3,4,31900,43
National Science Foundation of Sri Lanka,2012,6,0,32781,47
Black July,2008,8,28,70097,146
Indian numbering system,2010,7,0,44850,87
Kandy City Centre,2011,6,1,44703,88
Tamil Eelam Army,2007,4,0,26748,47
Origins of the Sri Lankan civil war,2007,4,4,81506,250
Kumudini boat massacre,2009,1,5,68804,193
Ceylonese rixdollar,2009,11,0,47323,163
Geography of Sri Lanka,2009,5,0,77779,258
Kalutara prison riots,2007,1,0,28085,53
Kalinga (India),2010,8,16,58858,199
Hambantota bid for the 2018 Commonwealth Games,2013,9,4,56929,90
Vishnupalita Kambhoja,2010,12,21,40807,77
Appallagoda Ambalama,2013,12,0,30014,46
Sri Lankan rupee,2013,10,1,125507,386
Mirusuvil massacre,2008,1,11,79700,229
Polonnaruwa,2006,7,0,41860,51
Caste system in Sri Lanka,2014,5,4,68984,177
List of Sinhala words of Tamil origin,2007,6,0,51178,93
Dutch%E2%80%93Portuguese War,2009,9,0,137142,446
Sri Lankan state sponsored colonisation schemes,2007,2,0,33209,53
