filename,year,month,num_citations,file_size,forward_links
Port of Gaza,2012,5,15,47627,126
Kidnapping of Alan Johnston,2013,3,129,241410,308
Greater Syria,2009,4,3,60723,250
Battle of Ain Jalut,2008,2,10,72022,204
Anglican Bishop in Jerusalem,2011,2,5,42894,87
Palestinian Media Watch,2010,6,3,36800,69
Al Khalasa,2009,3,4,82188,518
Lists of cities in the Palestinian territories,2007,11,0,38442,100
Roman Catholicism in the Palestinian territories,2009,11,0,40785,129
Palestinian right of return,2008,8,79,155603,366
All Palestine Government,2007,5,0,28735,53
Emirate of Transjordan,2013,1,43,148625,433
History of the Palestinian people,2012,7,52,85958,185
Cremisan Valley,2011,11,2,30919,44
President of the State of Palestine,2014,5,6,48828,91
Emirate of Transjordan,2003,4,0,30728,56
Thomas C. Wasson,2009,6,14,36511,54
Economy of Gaza City,2012,11,23,66004,146
Nabataean kingdom,2013,7,6,45306,96
Arabia Petraea,2012,3,1,89435,333
Palestinian flag,2006,9,0,51888,63
Rafah,2006,3,0,36125,67
Jaffa orange,2010,10,14,69881,119
List of Jewish leaders in the Land of Israel,2007,5,28,79951,179
Cremisan Valley,2008,3,1,26791,49
Treaty of S%C3%A8vres,2012,5,18,187545,697
Battle of Beersheba (1917),2008,5,2,66649,190
Palestine Liberation Organization,2006,5,0,110540,301
United Nations Partition Plan for Palestine,2011,2,105,218556,481
White Paper of 1939,2014,4,29,99681,269
Palestine Exploration Fund,2014,12,9,51184,123
Izz ad Din al Qassam,2007,8,2,41913,99
Kingdom of Judah,2010,3,49,144839,615
Estimates of the Palestinian Refugee flight of 1948,2007,5,0,73084,202
Bayt Jibrin,2009,12,65,171896,794
Battle of Beersheba (1917),2013,4,174,273944,293
Demographic history of Palestine,2013,11,71,173287,386
All Palestine Government,2012,10,18,68567,145
Ramattan,2009,1,7,30701,43
Demographic history of Palestine,2010,7,63,92245,113
Baibars,2009,11,30,76065,195
Muhammad Sawalha,2013,8,17,55736,65
First Intifada,2005,7,0,39416,53
DAM (band),2011,5,4,47055,95
Template:Palestinian elections,2013,2,0,27961,45
Palestinian nationalism,2005,11,0,26079,46
Fida%27i,2009,3,0,48533,142
List of cities administered by the State of Palestine,2008,12,2,57082,217
The Source (novel),2013,10,1,47970,167
International aid to Palestinians,2008,4,38,95924,130
Al Aqsa TV,2010,11,12,51648,84
Black September in Jordan,2010,5,21,140779,560
Corpus separatum (Jerusalem),2013,8,18,63125,110
George J. Adams,2007,11,3,54588,229
Jaffa orange,2008,7,2,33567,61
List of Jewish leaders in the Land of Israel,2007,6,28,79792,181
Rafah,2005,7,0,39829,85
Bayt Jibrin,2013,1,65,175650,796
Esarhaddon%27s Treaty with Ba%27al of Tyre,2013,9,1,31860,56
Palestinian Declaration of Independence,2005,5,0,28585,42
List of Palestinians,2013,10,8,117067,679
Emirate of Transjordan,2007,9,0,82141,345
Jaffa orange,2012,4,14,68581,118
Battle of Ain Jalut,2014,12,15,93564,237
Holy Land,2009,11,10,64329,217
DAM (band),2009,6,0,34970,68
"Mount Zion Cemetery, Jerusalem",2012,5,69,161240,303
Template:Palestinians,2014,11,0,37314,103
1948 Palestinian exodus,2006,6,0,96203,178
Fida%27i,2004,10,0,27664,32
List of Palestinian organizations designated as terrorist,2008,1,0,26368,40
Palestinian nationalism,2009,1,0,48349,180
Template:West Bank Labelled Map,2010,4,0,53045,156
British Mandate for Palestine (legal instrument),2012,12,86,185458,335
Palestinian nationalism,2007,8,0,48658,191
Palestinian National Authority,2005,2,0,102488,284
Media coverage of the Arab%E2%80%93Israeli conflict,2007,1,15,67238,140
Gaza War (2008%E2%80%9309),2014,11,483,871470,1237
Timeline of Ottoman Syria history,2015,4,6,92307,442
Herod the Great,2011,3,49,176995,839
Ma%27an News Agency,2013,4,8,44285,76
Al Hayat al Jadida,2009,8,0,28120,43
Ma%27an News Agency,2015,1,14,55990,82
Fathi Ahmad Hammad,2011,4,3,27247,43
Civil war in Palestine (793%E2%80%9396),2010,7,5,41313,90
Palestinian territories,2010,11,62,153821,345
Outline of the Palestinian territories,2011,12,8,250014,1304
Palestinians,2008,5,136,312369,910
First Intifada,2003,12,0,33781,39
Ancient synagogues in Palestine,2015,4,9,55162,127
