filename,year,month,num_citations,file_size,forward_links
Coat of arms of Suriname,2009,10,0,38912,68
Flag of Suriname,2005,5,0,36733,40
"Template:Suriname parliamentary election, 2005",2005,12,0,27066,47
Geography of Suriname,2014,3,0,44209,107
Economy of Suriname,2004,6,0,38039,92
Surinamese passport,2013,1,0,78707,350
Battle of Suriname,2013,3,0,59561,285
Surinamese people,2013,8,7,67332,238
Telephone numbers in Suriname,2013,12,1,36717,59
"Friendship, Suriname",2008,5,0,26480,36
Suriname,2013,11,56,299501,938
Template:Presidents of Suriname,2010,8,0,27002,41
Politics of Suriname,2004,8,0,37503,75
Suriname,2010,5,24,217225,681
Indo Surinamese,2006,11,0,29120,65
The Guianas,2013,11,8,55946,154
Suriname,2006,2,0,125948,364
Gouvernementsgebouw,2013,3,2,44186,81
China%E2%80%93Suriname relations,2014,4,0,35137,69
Mosque Keizerstraat,2012,9,0,36180,63
December murders,2012,3,3,35865,47
Template:Largest cities of Suriname,2014,10,1,30245,60
West Suriname Plan,2013,3,5,31128,51
Suriname (Kingdom of the Netherlands),2012,11,5,62757,164
Party for Democracy and Development through Unity,2009,5,0,37183,71
.sr,2007,11,0,65516,401
Suriname,2002,4,0,57808,40
Progressive Reform Party (Suriname),2009,11,0,36545,72
Flag of Suriname,2012,4,0,51070,86
Template:Presidents of Suriname,2012,6,0,26054,41
Kondreman,2008,9,0,34932,68
Surinamese dollar,2010,1,0,70699,228
List of colonial governors of Suriname,2010,11,0,64753,69
Islam in Suriname,2006,2,0,29196,52
Abraham Crijnssen,2013,7,0,33315,68
Suriname national basketball team,2013,1,0,46393,137
Transport in Suriname,2010,2,0,40342,97
Education in Suriname,2010,4,0,32937,66
Kwinti language,2014,6,2,31670,59
List of diplomatic missions in Suriname,2009,3,0,31182,45
Surinamese guilder,2010,12,0,43836,97
Rhine (ship),2009,8,0,29871,82
Jodensavanne,2011,3,0,31757,60
Resorts of Suriname,2007,8,0,45791,95
The Guianas,2015,1,8,64652,153
Foreign relations of Suriname,2005,5,0,28704,77
The Guianas,2014,4,8,63446,154
Flag of Suriname,2004,5,0,36346,37
Surinamese dollar,2007,2,0,68145,224
Military of Suriname,2008,1,0,31304,59
SS Chenab,2006,12,0,27558,65
Kaseko,2014,3,0,31274,64
Mosque Keizerstraat,2010,7,0,33240,54
Guiana Shield,2013,6,2,78811,266
De Surinaamsche Bank,2006,9,0,30451,52
Avon (ship),2008,11,0,28859,74
Asante dialect,2004,9,0,22616,31
Jodensavanne,2013,2,1,34239,61
National Democratic Party (Suriname),2010,9,0,38145,77
Mosque Keizerstraat,2009,6,0,30414,46
Coat of arms of Suriname,2009,5,0,39253,68
"Friendship, Suriname",2007,5,0,25657,35
Baithak Gana,2010,6,0,28273,52
Flag of Suriname,2004,3,0,36218,37
Constitution of Suriname,2013,3,2,60688,171
Fort Zeelandia (Paramaribo),2006,2,0,26960,42
Surinamese dollar,2015,1,1,72989,236
Keti Koti,2013,5,0,27366,44
Ndyuka language,2013,2,0,40655,93
