filename,year,month,num_citations,file_size,forward_links
Phophonyane Falls Nature Reserve,2013,6,1,33724,61
Human rights in Swaziland,2010,6,1,45266,121
History of Swaziland,2013,4,2,85295,261
Military of Swaziland,2007,9,0,38661,107
House of Assembly of Swaziland,2006,5,0,34114,75
HIVAIDS in Swaziland,2011,7,10,77076,233
Coat of arms of Swaziland,2010,2,0,45851,117
Karoo Supergroup,2014,10,22,107518,278
Trade Union Congress of Swaziland,2013,9,11,40036,51
People%27s United Democratic Movement,2011,12,8,36330,60
Economy of Swaziland,2007,4,0,76378,357
Pius Vilakati,2014,3,10,33380,44
Telephone numbers in Swaziland,2010,10,0,41147,134
Elections in Swaziland,2006,2,0,43824,133
Economy of Swaziland,2006,10,0,73632,353
People%27s United Democratic Movement,2013,2,9,40197,70
Demographics of Swaziland,2007,11,0,41850,138
Swaziland Communist Party,2005,7,0,23497,29
Transport in Swaziland,2008,6,0,40796,115
Demographics of Swaziland,2008,3,0,42510,135
LGBT rights in Swaziland,2011,1,2,41485,116
History of Swaziland,2009,9,0,85685,367
People%27s United Democratic Movement,2008,6,0,30274,51
Demographics of Swaziland,2007,1,0,40655,126
Education in Swaziland,2013,3,1,39364,108
Parliament of Swaziland,2008,9,0,44998,140
Demographics of Swaziland,2007,4,0,40539,125
Elections in Swaziland,2008,9,1,53739,161
Karoo Supergroup,2008,10,0,27544,61
LGBT rights in Swaziland,2014,12,8,48805,123
Islam in Swaziland,2013,10,2,64975,334
Karoo Supergroup,2012,1,8,39513,95
Military of Swaziland,2014,8,21,83873,208
List of diplomatic missions of Swaziland,2008,7,0,35143,55
Karoo Supergroup,2011,1,4,34215,91
Royal Swazi Sun Hotel,2008,10,0,27989,45
HIVAIDS in Swaziland,2011,8,10,77538,235
History of Swaziland,2009,6,0,85863,370
Nkulunkulu Mnikati wetibusiso temaSwati,2012,9,1,47922,118
Swazi Music Radio,2009,10,0,30016,57
Minister of Foreign Affairs (Swaziland),2015,1,0,26746,35
Cuisine of Swaziland,2011,10,3,84753,504
Outline of Swaziland,2009,7,1,92280,228
Swaziland Stock Exchange,2006,7,0,27593,47
King Mswati III International Airport,2014,7,12,68979,146
High Commissioner for Southern Africa,2011,1,0,35259,87
Parliament of Swaziland,2012,2,0,47111,154
History of Swaziland,2009,5,0,85177,366
List of diplomatic missions in Swaziland,2008,3,0,56754,91
Nsoko Airfield,2014,10,1,34737,56
Swazi Media Commentary,2011,4,6,26346,38
Swazi Music Radio,2008,11,0,29969,57
Template:Swaziland stub,2013,7,0,33467,50
Coat of arms of Swaziland,2010,9,0,46583,121
History of Swaziland,2004,1,0,33639,55
Rondavel,2014,4,3,63264,257
Human rights in Swaziland,2012,8,22,100592,177
.sz,2006,4,0,62164,392
