filename,year,month,num_citations,file_size,forward_links
World Water Week in Stockholm,2009,7,0,31741,60
F%C3%A5ngad i en dr%C3%B6m,2010,6,0,30658,60
List of motorways in Sweden,2009,5,0,43864,153
Earl,2013,10,4,72829,221
LunarStorm,2009,2,3,29970,55
Courtyard Crisis,2011,1,0,28067,55
Swedish Pomerania,2009,6,8,114342,489
Lomma,2011,7,2,52370,158
Fyrk,2008,12,0,23928,37
Duchy of Estonia (1561%E2%80%931721),2005,7,0,27667,69
Little Saturday,2013,1,0,30830,62
Welfare in Sweden,2011,3,3,31965,50
Consumer Agency (Sweden),2014,1,0,33136,65
Swedish Museum of Natural History,2007,11,0,33897,58
Telecommunications in Sweden,2012,10,2,125801,592
Dalecarlian dialects,2014,4,2,44816,92
Liberalism and centrism in Sweden,2007,5,0,56389,201
Earl,2005,11,0,40588,102
List of wars involving Sweden,2014,12,2,88214,346
Geography of Sweden,2008,4,0,64237,257
Pitted Ware culture,2014,11,9,86808,466
Pomerania during the Early Modern Age,2015,3,46,174838,688
Herr Mannelig,2011,7,0,40862,77
Anarchism in Sweden,2007,3,0,68433,338
New Sweden,2012,7,28,104636,264
Earl,2014,4,5,74564,216
Norrmalmstorg robbery,2010,11,2,44198,83
List of state visits made by King Carl XVI Gustaf of Sweden,2006,11,0,45161,263
Royal Swedish Academy of War Sciences,2014,8,0,32456,69
Finnish War,2014,11,23,130481,425
Prostitution in Sweden,2006,8,0,33268,81
Nicholas Gustafson,2012,11,7,35409,55
First League of Armed Neutrality,2010,8,4,107306,479
Privy Council of Sweden,2015,1,0,58461,149
Hakkapeliitta,2006,11,0,42838,121
NORDEFCO,2011,12,2,33413,42
User:Harocssandbox,2015,4,228,607172,1807
Embassy of Sweden in Moscow,2010,6,1,34147,59
Geography of Sweden,2001,5,0,33529,69
Swedish extradition of Baltic soldiers,2010,9,2,37037,71
Chali,2010,7,0,28548,48
Kristallen,2011,3,4,34367,39
Royal Swedish Society of Naval Sciences,2013,3,0,32618,64
The Common Link,2009,10,0,25172,42
Lagerlunda rail accident,2012,3,0,31402,58
Transport in Sweden,2002,2,0,25941,36
Swedish Standard Industrial Classification,2008,10,1,27199,34
Idrottsarvet,2011,1,0,29534,52
Political unions involving Sweden,2005,4,0,34208,103
Swedish Navy,2009,12,0,76091,182
Brita Pipare,2009,8,0,26103,36
Brahe Church,2015,2,1,31375,60
Sweden%E2%80%93Finland,2007,9,0,39986,103
Cap of the North,2012,5,0,36767,85
Kronohemman,2010,5,1,27152,42
Riksdag of the Estates,2009,10,1,52411,169
Norrmalmstorg robbery,2005,1,0,31932,55
Government of Sweden,2011,9,1,81603,335
Tre Kronor (castle),2011,9,1,38657,58
Social security in Sweden,2010,5,0,34271,56
Explorer Vodka,2010,6,0,27425,50
En dag,2014,1,0,45053,133
Per Hallberg,2010,3,0,26110,46
Jon Jarl,2009,5,0,26924,51
List of Swedish cultural institutions,2005,4,0,36669,99
Swedish Governors General,2008,6,1,43489,210
Royal Swedish Academy of Agriculture and Forestry,2003,5,0,25054,31
History of Pomerania,2007,6,1,103798,487
National Defence Radio Establishment,2015,2,76,201843,514
HSwMS Carlskrona (P04),2009,10,0,41587,81
Alla barnen,2010,8,0,30023,52
Treaty of Valiesar,2010,5,0,37020,104
National Export Credits Guarantee Board (Sweden),2005,9,0,26781,41
Stockholm Stock Exchange,2011,12,2,54764,193
BESK,2006,12,0,27822,57
Pomerania during the High Middle Ages,2011,1,106,277955,1048
Environmental Protection Agency (Sweden),2008,1,0,25094,28
F%C3%B6reningen Vetenskap och Folkbildning,2007,7,0,27664,36
Sailing at the 1912 Summer Olympics,2007,11,2,64344,188
Template:Sweden stub,2005,3,0,28913,32
History of Pomerania,2010,3,203,296741,1176
Kungah%C3%A4lla,2014,1,7,38218,78
Government of Sweden,2007,6,1,71178,285
BESK,2007,6,0,28346,58
Swedish Gold Coast,2006,9,0,26242,33
History of Sweden (1991%E2%80%93present),2008,2,1,54626,166
Scandinavian prehistory,2006,9,0,53528,175
Finnish War,2014,9,23,130441,429
Royal Swedish Academy of Agriculture and Forestry,2006,3,0,31010,53
Hallands%C3%A5s,2008,8,0,29121,49
Brita Pipare,2007,9,0,26136,40
Eva Margareta Fr%C3%B6lich,2011,12,2,28184,55
Gammalsvenskby,2006,12,0,36040,71
H%C3%B6gstadium,2010,9,0,25140,39
Gotland,2006,9,1,58665,105
Norrmalmstorg robbery,2014,8,5,49596,84
