filename,year,month,num_citations,file_size,forward_links
Conservatoire de Musique de Gen%C3%A8ve,2011,12,0,33639,52
Tour de Sol,2011,7,0,60275,201
John Caspar Wild,2012,7,0,28614,55
Le M%C3%A9tailler,2008,6,0,27114,44
Coop (Switzerland),2010,7,0,35231,64
Basler L%C3%A4ckerli,2010,9,1,31396,59
Holy Roman Empire,2012,7,26,254227,965
Cima dei Cogn,2013,6,1,33513,59
Mont de la Gouille,2010,3,0,30292,48
Gross Furkahorn,2012,2,0,30707,46
List of 2005 Swiss incumbents,2007,5,0,88586,249
Marcel Bezen%C3%A7on,2014,12,0,36429,81
German toponymy,2014,2,0,53236,233
Postal codes in Switzerland and Liechtenstein,2005,4,0,100746,870
Einsiedeln Abbey,2010,9,1,52955,114
Extreme points of Switzerland,2007,10,0,49898,142
Lake Z%C3%BCrich right bank railway line,2012,4,2,108712,161
M%C3%BCnch (family lineage),2012,9,3,42488,80
Lower Grindelwald Glacier,2008,6,0,28218,37
Compagnie G%C3%A9n%C3%A9rale de Navigation sur le lac L%C3%A9man,2012,9,0,49828,80
Roman Catholic Diocese of Basel,2006,12,0,42382,229
Le Grutl%C3%A9en,2013,10,3,34509,66
Swiss nationality law,2007,8,5,40647,65
Extreme points of Switzerland,2008,1,4,56951,149
Swiss franc,2008,8,19,139100,384
Politics of Switzerland,2010,10,3,108894,415
"Djambo, Djambo",2009,8,0,32280,59
List of political parties in Switzerland,2008,8,0,60617,186
List of aerial tramways in Switzerland,2006,3,0,51382,214
ExPASy,2012,5,2,32650,54
Foreign relations of Switzerland,2003,8,0,23188,27
Tour de Sol,2012,10,0,60780,206
Swiss Guard,2011,3,10,110367,270
Transport in Switzerland,2013,2,2,74775,284
Religion in Switzerland,2008,7,4,52354,176
Coop (Switzerland),2008,9,0,32028,54
Theban Legion,2006,3,0,32360,57
Geneva Motor Show,2012,10,84,227646,714
Geography of Switzerland,2006,4,0,51878,179
Frilihorn,2010,4,0,31312,53
Swiss Plateau,2005,7,0,67433,206
Politics of Switzerland,2005,6,0,50922,137
Theban Legion,2008,8,9,47252,114
Braunvieh,2014,9,1,42665,95
President of the Swiss Confederation,2013,12,1,73375,288
Swiss Federal Railways,2013,6,15,107501,298
"Embassy of Switzerland, London",2014,3,1,62329,247
Grindelwald%E2%80%93M%C3%A4nnlichen gondola cableway,2013,5,2,38938,65
Economy of Switzerland,2009,7,18,98436,188
Swiss people,2010,6,26,85439,235
"Unus pro omnibus, omnes pro uno",2008,2,14,44755,113
Swiss nationality law,2007,9,5,41112,69
Historical Dictionary of Switzerland,2014,10,0,37336,41
Marco Camenisch,2008,5,2,34935,71
Liberalism and radicalism in Switzerland,2011,10,0,57751,195
Index of Switzerland related articles,2010,6,0,62270,349
Coop (Switzerland),2006,9,0,26587,38
Swiss National Bank,2006,4,0,32186,52
Aircraft Accident Investigation Bureau (Switzerland),2014,12,4,129171,323
Braunwaldbahn,2013,3,1,33366,57
John Caspar Wild,2009,7,0,28681,53
Euler Committee of the Swiss Academy of Sciences,2013,11,4,27163,30
La Luette,2008,6,0,27013,44
Districts of Switzerland,2007,11,0,63991,111
Holy Roman Empire,2013,6,39,273254,1008
R%C3%B6stigraben,2009,9,3,31431,56
Marcel Benoist Prize,2013,9,0,48171,111
Portal:Switzerland,2006,11,0,97133,379
Holy Roman Empire,2014,11,51,289385,1032
Military of Switzerland,2009,4,15,132591,419
Schweizerischer Sch%C3%BCtzenverein,2010,12,0,27791,73
Armasuisse,2014,3,1,63007,220
Concordance system,2005,9,0,24973,40
Languages of Switzerland,2015,2,14,124219,464
Il pleut de l%27or,2010,12,7,41385,59
Politics of Switzerland,2005,9,0,51272,138
Politics of Switzerland,2006,3,1,65429,187
Direct democracy,2007,3,3,88932,209
Index of Switzerland related articles,2008,3,0,63814,347
Public holidays in Switzerland,2011,6,1,45670,135
Auto AG Rothenburg,2007,3,0,29475,68
Direct democracy,2003,4,0,37371,41
Zivildienst,2010,5,1,34295,50
Roman Catholic Diocese of Sion,2004,8,0,41526,139
Combin de Boveire,2010,2,0,30280,48
Bishop of Lausanne,2006,3,0,27130,55
Extreme points of Switzerland,2009,10,4,59671,155
Swiss Guard,2011,9,11,114183,279
Piz Gannaretsch,2014,3,1,34510,62
Swiss Federal Council,2009,3,13,156193,558
Stanser Verkommnis,2009,9,0,25982,39
H%C3%B6hberghorn,2008,9,0,26376,42
List of Presidents of the Swiss Diet,2012,10,0,33690,49
Oberwachtmeister,2015,1,0,38262,81
Inventory of Swiss Heritage Sites,2010,11,0,314135,2451
Swiss Guard,2013,12,20,135248,394
Amour on t%27aime,2013,3,0,42143,119
History of Switzerland,2008,10,7,107525,427
Landsgemeinde,2010,6,6,37587,62
Manoir de Ban,2013,3,5,33220,48
Communist Party of SwitzerlandMarxist%E2%80%93Leninists,2010,10,1,32086,47
Nicolas Lehotzky,2012,3,1,30573,44
Poverty in Switzerland,2008,11,0,36907,56
Lions Air,2007,7,2,36994,89
Lavaux,2008,8,0,39262,77
German toponymy,2009,2,0,44912,177
Martin Schippert,2012,3,0,41306,129
Languages of Switzerland,2013,1,11,110248,416
Loten Namling,2012,5,1,34533,62
Couleur 3,2011,7,0,36373,79
Swiss nationality law,2008,10,3,40885,68
Direct democracy,2008,3,6,102986,253
Einsiedeln Abbey,2006,6,0,39365,93
Transport in Switzerland,2013,3,2,74937,288
Transport in Switzerland,2009,12,2,62839,220
Martin Schippert,2008,7,0,36383,122
Nicolas Lehotzky,2011,12,0,25171,36
Swiss Guard,2006,1,0,49806,176
.ch,2007,10,0,68064,405
Politics of Switzerland,2011,3,3,109190,416
Telecommunications in Switzerland,2004,8,0,24482,41
Voting in Switzerland,2009,3,1,56579,137
Gun politics in Switzerland,2007,7,7,53295,97
Military of Switzerland,2011,1,33,131251,350
Federal Business Census,2011,10,1,27274,29
Sport in Switzerland,2015,3,11,83714,325
List of tallest structures in Switzerland,2008,3,0,67908,290
Berner Schilling,2005,11,0,25622,37
Dans le jardin de mon %C3%A2me,2007,12,0,25720,37
Henry J. Hefty,2015,2,11,49915,61
Public Eye Award,2011,10,19,45498,77
Basel massacre,2006,9,0,25712,42
Holy Roman Empire,2005,4,0,118047,358
Berner Schilling,2008,10,0,26467,44
Data codes for Switzerland,2009,11,0,59939,169
Public holidays in Switzerland,2011,5,1,45786,137
Swiss Federal Council,2005,12,0,47908,105
Erguel,2012,4,0,22527,33
R%C3%B6stigraben,2006,3,0,26780,40
Inventory of Swiss Heritage Sites,2012,4,0,316715,2422
Dalle Molle Institute for Semantic and Cognitive Studies,2012,10,2,33385,52
Watch Valley,2013,10,0,26505,48
Counts of Toggenburg,2014,1,1,42143,76
Roman Catholic Diocese of Sion,2011,3,0,61929,131
List of diplomatic missions in Switzerland,2011,8,0,175289,358
Beat Huwyler,2014,9,2,29935,47
Transport in Switzerland,2014,3,4,78889,297
"Je vais me marier, Marie",2014,12,0,42377,113
Io senza te,2008,10,0,31884,69
Marco Camenisch,2005,1,0,27674,56
BaselWorld,2011,3,0,34103,50
George Bastl,2012,7,0,58331,113
RUAG,2012,10,0,35716,87
Tour de Sol,2012,6,0,62724,212
Swiss Federal Constitution,2006,12,0,57522,173
Walter F%C3%BCrst,2008,4,0,27121,44
Federal Palace of Switzerland,2008,10,0,47200,123
Evangelical Reformed Church of the Canton Basel Stadt,2014,4,4,31622,45
Banknotes of the Swiss franc,2012,6,14,103621,192
Swiss franc,2008,9,19,139092,383
Rheinwaldhorn,2010,4,2,46180,98
Rail transport in Switzerland,2009,9,0,72916,230
Swiss people,2007,6,7,46763,130
Public holidays in Switzerland,2005,6,0,31295,74
Voting in Switzerland,2012,1,4,85341,308
Swiss Guard,2006,3,0,54686,186
Gun politics in Switzerland,2013,9,17,79151,129
Zivildienst,2009,4,1,37772,65
Nuclear power in Switzerland,2007,8,3,71219,191
Federal Chancellor of Switzerland,2014,11,0,69806,158
