filename,year,month,num_citations,file_size,forward_links
Islamization of Syria,2010,10,4,30594,64
Seleucia Pieria,2006,5,0,39337,99
Politics of Syria,2012,9,14,103086,387
Mesopotamia,2015,2,50,254303,1082
"Bara, Syria",2005,10,0,26727,56
Economy of Syria,2006,5,0,37999,102
Greater Syria,2009,4,3,60723,250
Reform Party of Syria,2012,8,5,43701,109
Layali Ibn Awa,2014,11,1,33663,56
Lajat,2006,2,0,27251,34
Outline of Syria,2008,8,1,79076,277
Syrian passport,2009,2,0,118023,388
Reform Party of Syria,2009,3,4,49529,140
People%27s Council of Syria,2006,3,0,43682,93
Judiciary of Syria,2011,4,3,59230,189
Nabataean kingdom,2013,7,6,45299,96
Hama,2014,3,39,284396,1386
Struggle Companies (Syria),2014,8,7,55712,188
Television in Syria,2010,5,0,27332,41
Geography of Syria,2011,9,2,150043,361
Syria and weapons of mass destruction,2010,11,34,68667,115
Fares al Khoury,2014,2,6,66183,206
Ibrahim Hananu,2014,8,7,39752,67
%C4%B0skenderun,2005,1,0,39405,54
Aq Sunqur al Hajib,2008,7,0,28221,52
Hassiba,2011,4,0,29721,46
Syrian Interim Government,2014,8,11,110831,352
Battle of Al Tabqa air base,2015,4,36,110958,231
Shebaa farms,2013,9,45,134602,195
Qatna,2011,2,2,76729,277
Aqrab massacre,2012,12,7,117931,526
Syriatel,2008,1,0,26419,34
Arrai TV,2014,1,3,36237,73
LGBT rights in Syria,2007,3,0,48086,105
Abgar V,2013,10,15,72502,137
Template:Syrian security forces,2014,8,0,28119,48
Foreign relations of Syria,2006,8,0,55793,180
Batata harra,2011,1,0,38189,165
Aq Sunqur al Hajib,2012,8,0,31422,57
Laodice I,2012,10,14,45427,74
Politics of Syria,2012,2,8,96516,381
Index of Syria related articles,2009,3,0,30870,77
Subhi Barakat,2014,10,1,38436,92
Name of Syria,2014,5,8,51929,130
%C4%B0skenderun,2008,6,0,76449,250
Commercial Bank of Syria,2015,2,3,39399,83
Beth Nahrain,2013,12,4,32828,71
Template:Syrian diaspora,2012,2,0,33043,49
Al Muzaffar Mahmud II,2014,9,2,37674,104
Television in Syria,2013,6,4,47492,134
Syrian Civil War,2012,1,389,751551,1554
Abgar V,2004,6,0,36199,54
Syrian Army,2011,2,6,173991,443
%C4%B0skenderun,2010,11,1,84742,270
Water politics in the Middle East,2008,7,11,41644,78
Abgar V,2006,6,0,45695,78
Rashidun Caliphate,2007,11,29,188266,947
Akram Shammaa,2015,4,9,42905,84
King%27s Highway (ancient),2012,11,0,40020,131
Hama,2010,11,27,129000,436
Mohannad Ibrahim,2010,11,0,42620,95
Fawzi Selu,2008,7,0,52256,206
Laodice I,2010,7,0,30454,55
Callisthenes (Syrian),2007,3,0,26958,43
Israeli involvement in the Syrian Civil War,2015,4,53,141358,380
As Salih Ayyub,2014,9,14,51455,140
Husni al Za%27im,2014,9,7,75640,237
Central Bank of Syria,2012,9,9,75022,271
Portal:Syria,2007,6,1,94919,246
%C4%B0skenderun,2010,6,1,81586,266
Abdallah al Battal,2013,4,12,53660,119
Demographics of Syria,2006,11,0,33052,78
Syrian%E2%80%93Palestinian Congress,2011,6,1,27402,38
List of diplomatic missions in Syria,2012,7,28,93273,169
Hatay Province,2010,5,5,141713,587
History of Syria,2007,5,0,76318,334
Cham Palaces and Hotels,2008,6,0,26905,53
Jazira Canton,2015,2,7,58524,137
Seleucia Pieria,2013,7,3,79473,436
Demographics of Syria,2012,9,8,66695,221
Telecommunications in Syria,2013,8,20,139488,622
Nassim al Roh,2009,12,1,29240,46
Mu%27in ad Din Unur,2011,10,0,38582,100
Muhammad ibn Shirkuh,2014,2,12,42265,106
Zenobia,2013,4,9,80361,201
Bab al Salam,2009,1,0,32356,65
Moataz Salhani,2012,3,1,33096,49
Syrian Army,2013,3,28,161838,615
Jamil al Ulshi,2011,10,0,53219,182
Fakhr al Mulk Radwan,2014,2,0,46774,123
Politics of Syria,2008,11,1,71678,253
President of Syria,2012,6,1,67761,227
%C4%B0skenderun,2007,10,0,75847,243
Fertile Crescent Plan,2011,11,2,29087,61
Syrian opposition,2012,1,13,65112,154
National Coalition for Syrian Revolutionary and Opposition Forces,2014,5,58,239999,592
Syrian opposition,2015,3,93,283978,995
Syrian Pearl Airlines,2012,2,3,46627,111
Syrian Telecom,2013,9,6,31788,55
Syrian Armed Forces,2011,5,13,96904,308
Laodice I,2010,4,0,30192,54
Adham Khanjar,2009,10,1,31661,63
Syrian cheese,2013,1,0,34849,70
Directorate General of Antiquities and Museums,2015,1,3,38295,55
Nabataeans,2009,9,13,66207,178
Laodice I,2008,9,0,28123,49
Republic of Venice,2013,4,21,136116,438
Via Maris,2008,12,0,35495,102
Syrian Turkmen National Bloc,2013,12,5,32132,48
"Bara, Syria",2015,1,0,38369,69
Syria,2012,2,168,527028,1626
Syrian people,2011,12,9,105270,571
Friends of Syria Group,2012,12,52,155009,84
North Syrian Arabic,2011,8,0,52716,148
Muslim Brotherhood of Syria,2011,4,19,57866,121
Syria News,2007,5,0,22662,27
Beth Nahrain,2010,7,4,32434,71
Arab Academy of Damascus,2013,9,2,32758,59
Zenobia,2010,1,6,67133,166
%C4%B0skenderun,2005,5,0,39540,61
Shebaa farms,2009,10,45,147942,261
Aq Sunqur al Hajib,2009,8,0,31031,58
Hasmonean dynasty,2005,8,0,71615,323
Subhi Barakat,2014,12,1,38886,99
Nabataeans,2009,7,10,63008,176
Syrian wild ass,2010,12,4,49239,128
