filename,year,month,num_citations,file_size,forward_links
Kuomintang,2011,2,119,456551,1224
Oyster omelette,2007,11,0,39020,107
History of education in Taiwan,2009,7,0,54751,183
Culture of Taiwan,2011,8,18,111407,443
Oyster omelette,2007,2,0,38804,112
Kuomintang,2008,4,3,189254,766
Wild Lily student movement,2007,12,0,30401,47
Y1C Problem,2011,10,2,37677,76
List of islands of Taiwan,2006,5,0,30743,69
Aerospace Industrial Development Corporation,2012,12,1,42970,104
Made in Taiwan,2010,9,2,43882,73
Sky lantern,2009,11,2,46059,94
Energy in Taiwan,2009,2,2,31962,58
Bamboo Union,2009,4,0,29306,41
228 Hand in Hand Rally,2006,2,0,26757,52
List of Taiwanese people,2007,5,0,46107,184
ROC consumer voucher,2009,3,3,26535,43
Kuomintang,2011,8,131,531908,1399
Hukou system,2015,4,34,93367,168
Dayi method,2006,5,0,30044,60
Taiwanese Hokkien,2011,3,24,229488,748
Pescadores Campaign (1895),2014,9,4,56191,106
Antragsdelikt,2011,6,9,54394,100
List of cities in Taiwan,2012,3,0,225891,1591
Template:Airports in Taiwan,2007,4,0,23164,28
List of Taiwanese writers,2005,7,0,31020,66
Mudan Incident (1871),2014,7,2,54831,100
Religious goods store,2011,12,0,34647,92
List of Taiwanese writers,2006,6,0,31822,73
Taiwan Stock Exchange,2006,12,0,26860,33
Cross Strait Tourism Exchange Association,2013,11,5,35095,60
Battle of Nanri Island,2012,2,0,61393,244
Taiwan Trade Shows,2013,6,0,28903,48
Ocean Sky Chan Monastery,2012,1,0,35719,73
Council for Economic Planning and Development,2012,11,3,46661,102
Mudan Incident (1871),2012,5,4,58205,103
List of political parties in the Republic of China,2010,9,0,83438,265
District Courts (Republic of China),2014,10,1,60124,135
Pinang xi shi,2008,9,0,35650,63
List of rulers of Taiwan,2007,10,0,50412,233
Tung ting tea,2009,10,0,31162,59
Mona Rudao,2011,2,0,29286,57
Taiwan Stock Exchange,2007,8,0,27309,37
George Leslie Mackay,2012,8,2,63515,191
List of educational institutions in Taichung,2013,4,7,89347,75
National Languages Committee,2012,1,2,37579,73
Hukou system,2013,1,22,79677,161
Kaohsiung Incident,2009,11,7,44815,72
Ta Chia hsi revolt,2007,3,0,27719,48
Tzu Chi,2004,6,0,35293,96
Geology of Taiwan,2011,4,22,97698,186
Taixinan Basin,2014,10,6,32268,40
Maokong Gondola,2009,3,7,54611,104
