filename,year,month,num_citations,file_size,forward_links
Badakhshan,2004,8,0,37459,59
Presidential National Guard,2013,12,2,30957,57
Islamic Renaissance Party of Tajikistan,2009,3,1,38359,82
History of Tajikistan,2008,3,11,93360,358
Kushan Empire,2014,2,57,288112,1023
List of political parties in Tajikistan,2005,3,0,34897,66
Roman Catholicism in Tajikistan,2006,3,0,35935,103
Economy of Tajikistan,2006,3,0,28807,42
Rastokhez,2010,9,3,33139,63
Sasanian Empire,2009,8,72,319559,1143
Sasanian Empire,2009,1,69,307208,1080
Kushan Empire,2011,10,35,224645,648
Kushan Empire,2014,6,59,290574,1025
Khujand clan,2007,9,2,25602,39
Roxana,2006,8,0,37952,69
"Embassy of Tajikistan, London",2013,10,0,51193,218
Turkestan Autonomous Soviet Socialist Republic,2005,11,0,37970,51
Ghaychak,2013,4,0,53323,147
History of Tajikistan,2004,4,0,28017,46
Border Troops Academy,2015,3,1,27870,42
President of Tajikistan,2012,4,0,58480,130
Darvaz (region),2009,9,2,34465,66
Transport in Tajikistan,2006,2,0,27877,45
Tajikistani somoni,2013,2,3,91113,216
"Aga Khan Lyc%C3%A9e, Khorog",2012,3,0,31229,59
Farkhor Air Base,2011,9,4,40106,73
Kingdom of Balhara,2008,1,0,37437,98
Sasanian Empire,2014,12,144,513229,1837
Politics of Tajikistan,2006,8,0,52466,153
G%C3%B6kt%C3%BCrks,2007,3,0,58097,232
Khufi language,2014,4,0,30745,55
"To Get to Heaven, First You Have to Die",2014,4,1,38451,76
Outline of Tajikistan,2008,12,1,84134,277
Turkestan Autonomous Soviet Socialist Republic,2009,7,0,58924,146
Economy of Tajikistan,2014,1,22,104832,227
Samarkand Oblast,2013,1,1,52466,196
Tajikistani somoni,2010,4,1,78734,202
Transport in Tajikistan,2012,2,5,61161,206
Flag of the Tajik Soviet Socialist Republic,2005,5,0,36497,68
Boris Marshak,2012,1,2,44092,79
Persianate society,2007,12,59,131444,289
.tj,2006,4,0,62867,393
Takhti Sangin,2009,9,3,43051,98
United Nations Mission of Observers in Tajikistan,2008,12,6,38427,81
Supreme Assembly (Tajikistan),2009,4,5,65555,243
Tajikistani somoni,2009,11,1,78782,204
Hotel Tajikistan,2014,11,2,31149,47
Hephthalite Empire,2007,3,12,62121,137
Economy of Tajikistan,2009,6,11,78363,205
Civil war in Tajikistan,2007,11,13,54426,116
Tajikistan,2010,10,60,263019,755
United States Ambassador to Tajikistan,2010,5,0,68313,289
Tajik Border Troops,2014,4,3,28625,51
Tajikistani ruble,2010,12,5,51689,102
Tajikistan,2008,2,16,192178,601
Persianate society,2010,12,59,142739,382
Military of Tajikistan,2014,3,13,99484,247
Flag of Tajikistan,2006,7,0,57826,65
Roxana,2011,10,1,45526,98
Economic Cooperation Organization,2011,4,7,103357,294
Anzob Tunnel,2011,8,1,28827,51
Saman Khuda,2009,8,4,32268,62
Emirate of Bukhara,2010,3,6,51365,118
Tajikistan%E2%80%93Afghanistan bridge at Panji Poyon,2015,4,3,40394,72
Supreme Assembly (Tajikistan),2010,10,5,69983,251
Drug Control Agency,2011,1,5,28201,39
Gharmi people,2011,11,7,39237,83
Yuezhi,2012,11,38,114012,378
Emblem of Tajikistan,2007,11,0,53748,61
Isma%27il ibn Ahmad,2006,5,0,33458,62
Economy of Tajikistan,2015,1,23,108074,235
List of political parties in Tajikistan,2013,12,0,52424,157
Tajikistan,2004,11,0,92108,193
Turkestan Autonomous Soviet Socialist Republic,2010,4,0,65063,161
Ittihodi Scouthoi Tojikiston,2005,11,0,38447,72
Badakhshan,2009,4,0,43100,93
List of fish on stamps of Tajikistan,2005,7,0,25557,40
Ittihodi Scouthoi Tojikiston,2013,1,1,41663,78
Badakhshan,2008,8,0,44651,92
Democratic Party (Tajikistan),2007,1,0,34655,69
Tajikistani somoni,2006,5,0,51050,118
Tajik passport,2012,7,4,213318,1179
Bukharan People%27s Soviet Republic,2014,6,3,82742,191
Template:Tajikistan party stub,2009,8,0,31749,59
Politics of Tajikistan,2004,2,0,34078,79
Badakhshan,2010,9,4,76812,182
Anthem of the Tajik Soviet Socialist Republic,2013,7,0,54928,103
Khomiddin Sharipov,2010,8,5,33488,62
Tajik Academy of Sciences,2010,10,0,29380,44
Flag of the Tajik Soviet Socialist Republic,2006,4,0,38783,76
Regions of Tajikistan,2010,1,2,51910,146
"To Get to Heaven, First You Have to Die",2009,7,0,35928,76
Tajik National University,2010,12,0,32257,54
United Tajik Opposition,2006,1,0,26168,46
Roxana,2007,9,0,34572,60
Samar Airlines,2010,10,0,33406,64
History of Tajikistan,2013,6,17,110591,385
G%C3%B6kt%C3%BCrks,2012,6,55,178059,657
Socialist Party of Tajikistan,2011,11,8,35331,56
Kushan Empire,2012,7,47,287600,980
Tajikistan Humanitarian International University,2009,2,0,26520,38
Supreme Assembly (Tajikistan),2006,3,0,36685,68
List of fish on stamps of Tajikistan,2007,3,0,28408,47
Farkhor Air Base,2007,12,1,38975,95
Geography of Tajikistan,2012,9,3,80827,328
Politics of Tajikistan,2009,6,4,77018,249
Politics of Tajikistan,2012,11,4,80188,254
Darvaz (region),2005,9,0,23698,26
People%27s Democratic Party of Tajikistan,2006,11,0,39250,72
Dastarkh%C4%81n,2009,4,0,37327,74
Emirate of Bukhara,2011,3,6,54865,137
President of Tajikistan,2010,4,0,67329,143
Bukharan People%27s Soviet Republic,2012,11,3,83324,195
G%C3%B6kt%C3%BCrks,2009,3,13,103414,443
Soviet Central Asia,2013,12,7,162875,643
Economy of Tajikistan,2007,4,4,41668,117
Hephthalite Empire,2013,5,30,165328,591
Saman Khuda,2009,12,4,33544,67
Bukharan People%27s Soviet Republic,2009,10,3,59331,140
Social Democratic Party (Tajikistan),2013,3,0,36092,74
Kushan Empire,2008,2,38,181165,699
Takhti Sangin,2009,12,3,43309,100
Template:Tajikistan party stub,2010,9,0,30621,56
Flag of the Tajik Soviet Socialist Republic,2006,3,0,37202,71
Military of Tajikistan,2011,2,5,69287,181
Supreme Assembly (Tajikistan),2011,12,4,70947,253
Transport in Tajikistan,2009,9,5,58496,194
Yuezhi,2010,6,32,108879,365
Russian Turkestan,2006,6,0,40634,129
List of diplomatic missions of Tajikistan,2009,7,0,54071,140
Military of Tajikistan,2011,10,5,64876,160
Kushan Empire,2004,12,0,56084,164
Principality of Ushrusana,2014,8,9,47198,100
Hephthalite Empire,2014,5,37,186052,676
Outline of Tajikistan,2009,12,2,98767,306
Tajikistani ruble,2013,8,5,54424,113
List of political parties in Tajikistan,2009,3,0,52000,153
Sasanian Empire,2003,10,0,48198,141
Gharmi people,2006,3,0,24586,37
Emblem of the Tajik Soviet Socialist Republic,2012,11,0,47793,107
Outline of Tajikistan,2014,1,2,97278,312
List of earthquakes in Tajikistan,2014,12,2,29883,48
Ittihodi Scouthoi Tojikiston,2006,7,0,30763,50
Badakhshan,2006,5,0,37274,63
Soviet Central Asia,2013,9,7,163185,650
G%C3%B6kt%C3%BCrks,2006,6,0,51152,194
Islamic Renaissance Party of Tajikistan,2007,6,1,41144,91
Roxana,2013,5,2,47492,108
Khanate of Bukhara,2013,11,3,61009,144
Soviet Central Asia,2008,9,3,155135,650
Economy of Tajikistan,2010,12,18,90693,224
Hephthalite Empire,2014,10,37,185414,663
Yovon,2008,10,1,27077,38
Anthem of the Tajik Soviet Socialist Republic,2006,9,0,44747,83
Khanate of Bukhara,2011,4,2,45357,90
Sasanian Empire,2007,6,56,247331,792
Telecommunications in Tajikistan,2007,8,0,36339,109
People%27s Democratic Party of Tajikistan,2005,11,0,37716,70
Kushan Empire,2007,2,13,128788,528
Emblem of Tajikistan,2006,2,0,37559,51
Agricultural University of Tajikistan,2009,1,0,28549,44
Saman Khuda,2011,1,6,33936,67
Education in Tajikistan,2009,3,1,36191,98
Kushan Empire,2013,9,56,285831,1026
History of Tajikistan,2007,1,1,76135,270
Copyright law of Tajikistan,2008,11,0,27344,44
.tj,2008,8,0,69757,412
TRACECA,2010,2,2,30120,71
Civil war in Tajikistan,2012,6,21,73976,163
Yuezhi,2009,9,27,106308,360
Komedes,2011,1,65,93079,236
ISO 3166 2:TJ,2003,5,0,24631,31
