filename,year,month,num_citations,file_size,forward_links
Zanzibar red colobus,2009,5,3,57133,154
Economy of Tanzania,2013,11,11,97823,342
Zanzibar City,2013,4,5,47682,61
History of Tanzania,2013,9,25,144932,504
Stand on Zanzibar,2011,3,4,63834,224
Chadema,2012,12,1,39815,92
Assistant medical officer,2011,12,12,34262,56
Alliance for Change and Transparency,2015,3,3,44315,90
Roman Catholic Diocese of Same,2009,8,0,31983,50
Transport in Tanzania,2004,7,0,25198,40
Tanzania People%27s Defence Force,2012,5,3,72314,202
Matengo Highlands,2012,5,14,51150,63
Portal:Tanzania,2010,4,0,103327,277
Great Rift Valley,2008,9,4,75285,212
Roman Catholic Diocese of Iringa,2013,2,0,36950,60
Centre of Youth and Development and Adult Education,2007,3,0,25952,29
Angelina Wapakhabulo,2011,4,3,28736,44
Karoo Supergroup,2014,10,22,107518,278
Chadema,2009,12,0,42344,114
Roman Catholic Diocese of Lindi,2011,2,0,35945,61
List of companies of Tanzania,2014,3,0,41770,117
Tanganyika,2009,4,3,89713,333
Persecution of people with albinism,2014,6,65,139770,266
TIPER,2013,3,0,27051,49
List of Tanzania National Assembly members,2007,3,0,205183,555
Elections in Tanzania,2015,2,1,73393,282
Chaga languages,2012,5,0,30134,62
Persecution of people with albinism,2011,11,20,85145,269
Zanzibar Musical Club,2012,6,0,28642,42
Chadema,2013,8,0,41820,104
Olduvai Gorge,2010,4,6,50146,130
Postage stamps and postal history of Tanzania,2007,3,0,29913,68
"Southern Highlands, Tanzania",2014,8,2,32111,60
Ngulu language,2012,5,0,30656,54
Road to Zanzibar,2015,1,1,50845,121
Roman Catholic Diocese of Lindi,2011,11,0,36229,61
LGBT rights in Tanzania,2014,5,16,65691,143
International rankings of Tanzania,2011,7,1,38763,128
"Postage stamps and postal history of Kenya, Uganda, Tanganyika",2013,3,3,56558,202
Zanzibari ryal,2006,6,0,27558,45
Olduvai Gorge,2014,8,5,66665,150
Federal institutions of Tanzania,2009,4,0,55586,122
Roman Catholic Diocese of Lindi,2014,1,0,36748,59
First National Bank of Tanzania,2013,3,6,37562,93
Roman Catholicism in Tanzania,2014,12,0,45401,158
Stand on Zanzibar,2005,5,0,28958,55
Tandahimba District,2010,9,0,25900,44
Tanganyika,2014,8,0,108261,461
LGBT rights in Tanzania,2015,4,16,90321,235
Constitution of Tanzania,2011,2,1,42870,104
.tz,2006,10,0,64870,394
Roman Catholic Diocese of Musoma,2011,1,0,33388,57
List of Tanzanian regions by area,2010,1,0,35029,100
Leslie Scott (board game designer),2010,12,4,29862,50
Politics of Tanzania,2008,4,1,79563,183
Ujamaa,2006,8,0,27609,42
Persecution of people with albinism,2012,2,20,86019,269
"Chaani, Tanzania",2014,8,0,26023,40
Tanzania,2013,6,61,307011,1046
List of ethnic groups in Tanzania,2011,3,0,61408,283
Tanedu,2012,4,0,26090,36
MV Umoja,2012,5,6,43397,87
Great Rift Valley,2008,11,4,75422,209
Water privatization in Dar es Salaam,2011,2,11,41854,51
Sauti ya Umma,2007,9,0,36639,92
Great Rift Valley,2010,7,3,79059,239
Nyalali Commission,2009,12,0,28517,49
Ilimba,2011,12,0,27536,49
Ministry of Finance and Economic Affairs (Tanzania),2009,1,3,37569,86
Tanzania Labour Party,2005,11,0,35006,78
Gowni,2005,4,0,23566,38
Central Zambezian Miombo woodlands,2010,1,1,38661,108
Rank and insignia of the Tanzanian Armed Forces,2007,6,0,34695,63
Persecution of people with albinism,2009,7,10,42603,63
List of companies of Tanzania,2010,9,0,39608,115
Roman Catholic Diocese of Mahenge,2013,2,0,36334,60
Mdundiko,2010,10,1,25439,49
History of Tanzania,2008,7,7,85722,330
