filename,year,month,num_citations,file_size,forward_links
History of the Bahamas,2011,5,18,117710,477
Bahamas Customs Service,2011,1,1,25740,47
List of Ta%C3%ADnos,2009,4,41,72993,127
Geography of the Bahamas,2003,5,0,26232,41
.bs,2010,12,0,68888,407
History of the Bahamas,2005,5,0,30681,58
Bahamian dollar,2014,2,9,95897,318
The Bahamas,2002,8,0,59756,49
Royal Bahamas Defence Force,2014,8,7,76189,201
List of Governors of the Bahamas,2012,11,0,103005,222
Conch (people),2006,1,0,26374,49
Eleutheran Adventurers,2007,1,0,23258,26
LGBT rights in the Bahamas,2015,4,40,80582,131
List of Governors of the Bahamas,2014,10,2,100877,224
Royal Bahamas Defence Force,2008,10,0,39028,68
BTC (Bahamas),2006,5,0,26702,45
The Bahamas,2012,11,50,346874,1275
Parliament of the Bahamas,2014,12,4,87009,208
Politics of the Bahamas,2013,7,0,72834,230
Guanahani,2011,8,6,47443,82
List of hospitals in Bahamas,2004,6,0,23686,32
Bimini Road,2014,2,49,88563,98
Guanahani,2013,11,34,77659,104
Economy of the Bahamas,2011,7,2,70672,237
Bimini Road,2006,9,0,32977,65
The Bahamas,2002,11,0,59866,47
Geography of the Bahamas,2012,6,7,92672,238
Monarchy of the Bahamas,2012,11,4,106030,422
List of diplomatic missions of the Bahamas,2008,1,0,32724,55
List of residents of the Bahamas,2012,7,7,37040,74
LGBT rights in the Bahamas,2011,6,16,54029,110
Area code 242,2008,8,0,43418,181
Bahamas Ministry of Tourism,2012,2,2,30441,46
Raid on Charles Town,2014,9,7,44555,84
Lucaya International School,2009,12,0,34002,68
Royal Bahamas Defence Force,2011,1,1,60066,96
History of the Turks and Caicos Islands,2014,4,6,57624,154
Transport in the Bahamas,2013,2,2,60437,259
Bahamas Maritime Authority,2012,8,2,33072,58
Capture of the Bahamas (1782),2011,3,10,53505,152
The Bahamas,2005,12,0,94491,206
History of the Bahamas,2015,1,32,144686,541
Local government in the Bahamas,2006,5,0,43247,137
Bimini Road,2008,7,17,50395,83
United States Ambassador to the Bahamas,2010,11,0,70882,291
Hope Town District Council,2012,8,4,54242,97
List of diplomatic missions of the Bahamas,2013,3,0,41303,95
Bahamas in the American Civil War,2010,8,7,46946,100
Bahamas Customs Service,2014,6,1,28024,50
BTC (Bahamas),2009,7,0,27297,45
Daron Beneby,2010,11,0,27384,45
History of the Bahamas,2004,8,0,29937,56
Monarchy of the Bahamas,2012,12,4,106240,424
