filename,year,month,num_citations,file_size,forward_links
List of buildings and structures in the Gambia,2011,4,0,71806,84
Gambian dalasi,2005,11,0,43289,131
Afrinat International Airlines,2012,4,4,35210,76
Coat of arms of the Gambia,2008,9,0,45779,119
Economy of the Gambia,2014,7,4,93658,382
Maad a Sinig,2012,4,11,71084,206
Geography of the Gambia,2007,1,0,39438,117
British West African pound,2013,2,1,50658,191
Albreda,2006,4,0,28787,50
Demographics of the Gambia,2010,9,0,46290,118
LGBT rights in the Gambia,2010,11,3,47378,139
Mining industry of the Gambia,2010,10,1,43915,115
Gambia Radio %26 Television Service,2012,2,0,27785,43
"Farasuto Forest Community Nature Reserve, the Gambia",2009,9,0,30741,55
List of heads of state of the Gambia,2007,6,0,44652,109
Timeline of Serer history,2013,5,54,170638,602
Tukar,2012,8,15,86616,285
Maad Semou Njekeh Joof,2012,7,6,51515,139
LGBT rights in the Gambia,2008,12,2,47237,134
Jews of Bilad el Sudan,2013,8,24,81457,171
Maad a Sinig Kumba Ndoffene Famak Joof,2011,11,65,144327,310
Anglican Diocese of Gambia and the Rio Pongas,2013,3,0,31509,52
"Gambian presidential election, 2001",2012,4,3,46068,113
Albreda,2009,3,2,40185,71
Faye family,2014,5,42,117504,324
Alliance for Patriotic Reorientation and Construction,2005,4,0,35061,66
List of heads of state of the Gambia,2012,4,1,84396,301
List of heads of government of the Gambia,2008,1,0,37952,110
Coat of arms of the Gambia,2012,5,0,49055,133
Aku people,2006,3,0,25457,39
Muslim Congress Party,2010,10,3,29479,50
LGBT rights in the Gambia,2010,12,3,46966,129
List of colonial governors of the Gambia,2008,9,0,37580,114
List of diplomatic missions in the Gambia,2014,6,31,93064,168
Islam in the Gambia,2006,9,0,38285,120
Muslim Congress Party,2013,3,3,29337,50
The Gambia at the Olympics,2012,12,7,67516,301
ISO 3166 2:GM,2011,10,1,81717,700
History of the Gambia,2007,4,0,86114,425
Gambian passport,2012,5,0,74621,340
Trust Bank Limited (Gambia),2011,5,6,37768,70
Oyster stew,2014,1,0,25808,42
Jews of Bilad el Sudan,2012,5,24,84021,198
Gambian records in athletics,2012,1,4,149911,684
Tourism in the Gambia,2010,11,6,41074,104
The Battle of Fandane Thiouthioune,2012,9,73,114877,291
Faye family,2012,9,42,117109,321
United Democratic Party (Gambia),2012,5,1,37714,80
President of the Gambia,2010,11,0,22813,29
Outline of the Gambia,2008,5,0,70428,114
Kingdom of Sine,2013,4,24,117315,358
Gambia Civil Aviation Authority,2013,1,2,30281,47
United Party (Gambia),2009,9,6,31005,48
Kachikally Museum and Crocodile Pool,2010,10,1,31765,49
United Democratic Party (Gambia),2013,3,1,36647,67
Postage stamps and postal history of the Gambia,2012,1,1,52422,179
Kaabu,2014,6,0,52292,114
Lutte Traditionnelle,2012,9,4,41915,117
Banjul International Airport,2014,11,15,59861,100
The Royal House of Boureh Gnilane Joof,2012,7,39,94950,256
Jola Fonyi language,2008,12,0,30446,52
Afrinat International Airlines,2009,5,0,32371,66
Karon language,2008,5,0,31426,54
Serer history,2015,4,51,129214,334
Transport in the Gambia,2008,3,0,37347,112
Coat of arms of the Gambia,2008,3,0,53178,49
The Gambia Scout Association,2006,1,0,26928,39
British West African pound,2007,6,0,33379,63
Sanankuya,2013,8,3,26229,45
Coat of arms of the Gambia,2008,11,0,45869,119
Gambian dalasi,2007,1,1,56766,142
Loul,2012,9,3,63010,177
Lord Ligonier (slave ship),2013,10,2,36118,55
Amar Godomat,2012,5,10,71859,227
Albreda,2010,6,2,36581,64
List of heads of government of the Gambia,2010,11,0,40190,90
The Gambia,2007,3,3,158534,446
Polygamy in the Gambia,2014,11,1,47297,188
Military of the Gambia,2007,2,1,39073,119
Index of Gambia related articles,2011,4,0,46680,51
Transport in the Gambia,2007,4,0,36796,105
The Gambia,2007,10,4,158116,529
"Gambian presidential election, 2001",2010,10,3,44833,116
Military of the Gambia,2004,7,0,25930,35
List of diplomatic missions in the Gambia,2010,10,0,60763,147
Tiramakhan Traore,2013,7,4,32952,58
LGBT rights in the Gambia,2010,8,3,46721,132
List of colonial governors of the Gambia,2005,6,0,44247,192
Military of the Gambia,2006,9,0,35950,109
List of colonial governors of the Gambia,2011,3,0,36711,64
.gm,2007,11,0,65379,395
Senegambia Confederation,2012,12,14,57894,111
Karon language,2008,12,0,35457,73
Jews of Bilad el Sudan,2010,4,25,84649,203
History of the Gambia,2009,12,1,92577,421
Amar Godomat,2014,5,7,72360,213
History of the Gambia,2006,11,0,48526,193
Boukar Djillakh Faye,2013,9,17,79979,218
Tukar,2012,10,15,85797,277
Demographics of the Gambia,2010,10,0,46469,123
Portal:The Gambia,2013,4,0,70222,148
Template:Administrative divisions of the Gambia,2006,5,0,27469,33
Maad a Sinig Kumba Ndoffene Fa Ndeb Joof,2012,5,25,93080,256
National Assembly of the Gambia,2012,12,1,57203,167
The Royal House of Boureh Gnilane Joof,2015,2,39,96710,258
Royal West African Frontier Force,2008,8,0,39237,107
Portal:The Gambia,2014,7,0,70500,146
The Gambia,2013,8,50,265703,781
Index of Gambia related articles,2009,4,0,28381,47
The Gambia at the Olympics,2007,3,0,61046,281
Aku people,2009,8,0,34547,71
Public holidays in the Gambia,2006,10,0,36495,112
Maad a Sinig,2012,3,11,40599,89
"Gambian presidential election, 2011",2014,2,13,61495,121
Coat of arms of the Gambia,2011,4,0,47576,127
Gambia Press Union,2013,1,1,28933,51
Amar Godomat,2013,3,7,72184,214
Pulaar language,2011,5,0,39315,102
Islam in the Gambia,2008,12,0,38194,113
War Jabi,2011,11,2,23761,31
Banjul International Airport,2013,5,8,55127,123
People%27s Progressive Party (Gambia),2012,3,0,33931,65
Mining industry of the Gambia,2011,1,1,42829,110
List of heads of state of the Gambia,2008,1,0,46488,119
