filename,year,month,num_citations,file_size,forward_links
Education in Togo,2013,2,1,46630,151
"The British School of Lom%C3%A9, Togo",2006,12,0,24818,30
Association Scoute du Togo,2011,5,1,43971,107
C%C3%A9phas Bansah,2013,3,4,38781,68
Rally for the Support of Democracy and Development,2012,10,1,35266,80
Togo,2011,7,21,209613,710
Alliance of Democrats for Integral Development,2010,3,1,35238,78
Coordination of New Forces,2007,11,1,35037,83
Mamprusi people,2014,5,0,35175,60
Chico Olympio,2005,12,0,24834,40
List of heads of state of Togo,2008,7,0,40401,104
Togoland,2008,5,0,50697,117
Geography of Togo,2002,6,0,26266,34
National Confederation of Togolese Workers,2008,11,0,31106,53
C%C3%A9phas Bansah,2010,8,0,40672,89
National Assembly (Togo),2006,1,0,43727,146
Template:Togo airport stub,2009,8,0,30776,55
Togo National Museum,2009,9,1,28264,47
Okada (commercial motorcycle),2012,12,4,45483,82
Togo,2014,6,37,235636,730
Geography of Togo,2009,3,0,42120,155
French Togoland,2009,11,0,65510,208
History of Togo,2006,1,0,64504,226
British Togoland,2009,7,2,44059,86
List of commissioners of French Togoland,2011,11,0,33028,44
National Confederation of Togolese Workers,2008,12,0,31442,54
Cokossi,2013,11,1,30585,44
Flag of Togo,2007,8,1,59465,70
Flag of Togo,2011,4,3,62401,177
History of rail transport in Togo,2015,1,12,74243,114
Roman Catholic Diocese of Atakpam%C3%A9,2013,1,0,32551,50
Togo,2006,6,0,111245,269
Party of Togolese Unity,2006,11,0,33287,76
Geography of Togo,2009,11,0,42003,153
Bissa people,2007,12,1,34612,62
Bissa people,2011,2,3,40039,80
Union for Democracy and Social Progress (Togo),2005,10,0,31227,62
Alhaji Grunshi,2014,5,8,40028,80
Politics of Togo,2012,3,0,81273,292
Roman Catholic Diocese of Kpalim%C3%A9,2009,12,0,32494,52
Rally for the Support of Democracy and Development,2008,5,1,35464,80
History of Togo,2012,2,7,88766,227
Education in Togo,2008,6,1,38221,107
Military of Togo,2014,3,21,79900,216
Democratic Convention of African Peoples,2008,1,8,40328,83
Togoland,2005,10,0,30959,60
Council of Ministers of Togo,2009,5,2,37752,68
Lutte Traditionnelle,2012,9,4,42078,119
Togo National Museum,2008,10,1,27846,48
Index of Togo related articles,2010,1,0,30022,70
Togo,2015,3,39,250735,755
Bank of West Africa (BAO),2009,8,7,68808,217
United Nations Security Council Resolution 136,2008,2,0,28010,34
French Togoland,2013,12,0,80135,283
List of political parties in Togo,2010,1,0,52279,171
"Togolese presidential election, 1998",2013,3,1,48948,132
History of Togo,2007,12,2,76978,255
Bowili language,2014,6,2,32662,62
Education in Togo,2010,4,1,46308,147
Gold Coast in World War II,2015,1,0,27189,50
Geography of Togo,2009,4,0,42012,155
.tg,2011,1,0,68610,409
Togo,2007,9,3,153648,532
History of Togo,2008,2,3,77196,255
Dahomey Gap,2008,3,0,28010,62
Culture of Togo,2006,1,0,21922,21
Democratic Pan African Party,2009,11,1,34237,75
Kposo people,2009,11,0,27674,47
Transport in Togo,2009,12,2,48635,140
Lom%C3%A9%E2%80%93Tokoin Airport,2014,7,3,46256,116
Hotel du 2 Fevrier,2011,6,0,30622,57
List of political parties in Togo,2005,7,0,34510,78
Togoland,2010,4,7,66366,168
Bissa people,2015,4,7,52627,144
Party of Action for Change in Togo,2015,4,1,34239,71
Association des Guides du Togo,2007,2,0,29671,45
Emblem of Togo,2007,9,0,52173,55
Togoland,2006,9,0,33950,64
Emblem of Togo,2008,1,0,52093,55
Lom%C3%A9%E2%80%93Tokoin Airport,2010,1,1,40508,77
Togo,2009,7,16,181577,597
Bissa people,2008,5,1,34755,64
Hotel du 2 Fevrier,2009,5,0,27517,46
Ministry of Mines and Energy (Togo),2013,2,1,29435,49
United States Ambassador to Togo,2011,7,6,82538,331
Association des Guides du Togo,2007,5,0,30450,49
United Nations Security Council Resolution 136,2010,4,0,43436,82
La Poste du Togo,2015,3,1,30742,83
Democratic Convention of African Peoples,2006,2,0,31983,66
Roman Catholic Diocese of Kara,2009,6,0,31851,51
French West Africa in World War II,2007,5,1,95496,447
Sansann%C3%A9 Mango Airport,2013,3,0,33272,60
Kabye people,2011,5,2,31534,53
Togo,2006,3,0,104915,248
Geography of Togo,2014,1,0,66141,297
Togolese people in Italy,2013,5,1,35263,95
Ahlon language,2013,8,1,31111,54
Regrouping of the Live Forces of Youth for Change,2009,10,1,35678,80
Elections in Togo,2013,12,0,70036,246
Roman Catholic Diocese of Atakpam%C3%A9,2009,5,0,32053,52
Flag of Togo,2007,6,1,58985,68
Transport in Togo,2005,10,0,26901,35
Togo,2012,3,33,221268,692
Octaviano Olympio,2005,12,0,26253,53
Economy of Togo,2009,2,0,56271,191
Kposo language,2014,6,3,34094,66
Demographics of Togo,2004,3,0,28318,51
Roman Catholic Diocese of Kpalim%C3%A9,2009,5,0,32367,52
Togbe Agorkoli,2011,12,2,24597,36
Transport in Togo,2006,8,0,38985,107
Communist Party of Togo,2007,2,0,36092,77
"The British School of Lom%C3%A9, Togo",2010,2,1,31554,53
Togoland,2007,3,0,42830,97
Demographics of Togo,2014,7,3,57890,173
Atlantic Bank Group,2010,10,6,41064,105
British Togoland,2014,10,4,50512,122
Geography of Togo,2004,10,0,32265,67
Association Scoute du Togo,2006,6,0,28923,41
Coordination of New Forces,2009,12,5,38214,82
Emblem of Togo,2006,10,0,51767,55
Roman Catholic Diocese of Sokod%C3%A9,2010,4,0,32896,52
Association Scoute du Togo,2009,11,0,33149,50
Kolokope Airport,2009,1,0,31901,53
Geography of Togo,2010,7,0,61161,272
List of Presidents of the National Assembly of Togo,2011,3,0,32088,59
Mamprusi people,2012,7,0,31003,50
National Confederation of Togolese Workers,2014,7,0,31568,52
German West African Company,2014,5,2,44167,118
Dahomey Gap,2005,9,0,27842,59
Togo,2011,1,21,211691,719
La Poste du Togo,2010,3,1,30538,81
Flag of Togo,2008,9,1,52147,135
Kotokolia,2011,10,1,26995,39
Lom%C3%A9%E2%80%93Tokoin Airport,2013,10,2,46299,118
Bank of West Africa (BAO),2009,2,7,69839,228
History of Togo,2014,6,9,100178,258
T%C3%A9l%C3%A9vision Togolaise,2013,3,0,31581,57
Yorubaland,2013,8,8,65738,232
Template:Togo airport stub,2008,4,0,22434,33
Lom%C3%A9%E2%80%93Tokoin Airport,2007,2,0,33488,55
Togbe Agorkoli,2014,9,2,28815,44
Alliance of Democrats for Integral Development,2007,3,0,34170,71
Association Scoute du Togo,2009,12,0,35417,58
List of diplomatic missions in Togo,2008,8,0,45828,78
National Assembly (Togo),2013,3,0,60243,192
Niamtougou International Airport,2011,12,1,35544,61
Woold Hom%C3%A9,2011,10,2,29765,48
Emblem of Togo,2006,11,0,51851,51
Telephone numbers in Togo,2007,10,0,24490,34
Ahlon language,2011,11,0,31132,57
Mamprusi people,2010,9,0,28738,46
Cokossi,2010,8,1,31907,51
Yorubaland,2010,9,0,47135,170
Communaut%C3%A9 %C3%89lectrique du B%C3%A9nin,2010,6,0,30191,57
Kposo language,2011,9,0,31680,57
Association des Guides du Togo,2009,3,0,31254,48
Togo,2008,5,4,161590,575
Youth of the Rally of the Togolese People,2008,9,0,26098,40
Bawina,2013,11,2,31982,51
National Union of Independent Trade Unions of Togo,2006,6,0,28252,42
List of heads of state of Togo,2011,4,0,74456,276
