filename,year,month,num_citations,file_size,forward_links
%CA%BBEua,2015,2,1,47688,62
%27Otai,2011,7,1,30823,77
Politics of Tonga,2004,4,0,32061,61
Battle of Velata,2010,6,0,31308,37
George Tupou I,2007,12,0,37995,72
2006 Nuku%E2%80%98alofa riots,2008,3,18,64396,121
Tu%27i Kanokupolu,2007,11,0,36272,76
Tonga at the Olympics,2012,9,8,68688,298
Transport in Tonga,2007,8,0,32489,75
Tu%CA%BBi Tonga Empire,2008,2,0,41933,76
%27Aho%27eitu,2012,3,0,31607,50
Tonga,2011,1,38,223657,696
Kae and Longopoa,2010,3,9,41046,72
Pasifika Times,2010,8,0,32995,63
Telecommunications in Tonga,2015,1,2,97775,438
Ha%27amonga %27a Maui,2008,2,0,28792,45
Neiafu Market,2011,10,5,32822,54
Ha%27afeva,2007,4,0,26794,44
Economy of Tonga,2006,12,0,40218,103
%27Ata,2011,2,0,35234,61
Kailao,2005,9,0,24770,35
Tongan pa%CA%BBanga,2006,9,0,64359,150
List of diplomatic missions of Tonga,2008,7,0,30892,46
Harold Wood (minister),2006,8,0,27693,59
ISO 3166 2:TO,2007,7,0,26126,41
Tu%27i Kanokupolu,2013,11,6,79413,122
Template:Tonga stub,2012,8,0,31746,47
George Tupou I,2008,3,0,37985,74
Battle of Velata,2013,8,0,28256,46
List of diplomatic missions in Tonga,2010,7,1,41134,73
Tonga,2012,8,51,251994,771
%CA%BBUluakimata I,2010,10,0,27739,43
"Royal Palace, Tonga",2009,12,0,37681,69
Niuatoputapu,2011,3,2,38211,75
Free Wesleyan Church,2006,1,0,26614,40
Tu%CA%BBipelehake,2006,7,0,34116,66
2006 Nuku%E2%80%98alofa riots,2013,5,20,68048,91
Sangone,2006,9,0,33773,58
Cabinet of Tonga,2010,7,8,38844,85
Outline of Tonga,2014,11,3,84545,226
Tu%27i Tonga Fefine,2007,5,0,25381,44
Jesse Bogdonoff,2013,12,3,31342,44
Viliami Tung%C4%AB Mailefihi,2008,4,2,31871,51
Battle of Kaba,2009,2,0,31376,69
Ha%27afeva,2009,2,0,27373,44
Telephone numbers in Tonga,2014,9,3,37143,77
Tonga,2014,12,49,256073,793
List of Tongan consorts,2009,10,2,37127,48
Tonga,2006,10,17,145057,464
Politics of Tonga,2012,4,6,71577,177
Tonga at the Olympics,2009,1,3,65136,296
Tonga,2011,8,40,236951,773
National Reserve Bank of Tonga,2013,2,3,32552,52
Mu%27a (Tongatapu),2006,4,0,28799,46
Tu%27i Kanokupolu,2010,10,17,64450,37
Radio Tonga,2007,4,0,33267,91
Fly Niu Airlines,2005,11,0,31864,80
Legislative Assembly of Tonga,2010,7,9,54236,117
%27Otai,2010,10,0,28035,51
Finau %27Ulukalala,2011,7,1,38113,58
Outline of Tonga,2008,7,1,68561,129
Geography of Tonga,2005,12,0,29436,42
His Majesty%27s Armed Forces (Tonga),2009,9,1,44085,81
Tu%CA%BBi Tonga Empire,2011,10,12,72320,255
Television Tonga,2006,2,0,25248,43
Tafahi,2008,10,0,36640,69
Television Tonga,2009,2,0,29967,58
History of Tonga,2013,6,7,49601,118
List of diplomatic missions in Tonga,2009,4,0,38688,70
Politics of Tonga,2013,2,6,71287,175
Jesse Bogdonoff,2010,5,2,28034,48
Radio Tonga,2008,6,0,33090,86
Hule fortress,2007,12,0,24487,34
List of diplomatic missions of Tonga,2008,1,0,30909,46
Tafahi,2007,2,0,32976,52
People%27s Democratic Party (Tonga),2011,1,3,39392,87
Niuafo%CA%BBou language,2011,12,2,38499,93
List of monarchs of Tonga,2009,12,1,45700,100
His Majesty%27s Armed Forces (Tonga),2008,6,0,35724,65
"Royal Palace, Tonga",2006,9,0,34135,59
Politics of Tonga,2007,7,0,63003,161
His Majesty%27s Armed Forces (Tonga),2012,1,5,52687,85
Tonga at the Olympics,2009,5,3,65148,296
Free Wesleyan Church,2013,5,2,33944,58
Telephone numbers in Tonga,2009,11,2,26878,40
Tu%CA%BBi Tonga Empire,2011,1,11,70169,248
Prime Minister of Tonga,2008,8,0,34232,66
Tautahi Gold,2010,1,0,74875,196
Outline of Tonga,2011,7,2,86657,218
%CA%BBEua,2010,2,1,39182,62
Ha%27amonga %27a Maui,2013,2,1,34294,58
George Tupou I,2005,9,0,32816,62
Tu%CA%BBi Ha%CA%BBatakalaua,2013,10,0,43277,109
Timeline of Tongan history,2013,3,0,40159,119
