filename,year,month,num_citations,file_size,forward_links
Transnistria,2011,6,132,281319,798
Vladimir Bodnar,2013,11,1,29452,54
President of Transnistria,2012,6,0,71473,254
Flag of Transnistria,2009,9,6,57403,131
Joint Control Commission,2006,8,0,29713,51
"Dub%C4%83sari District, Transnistria",2015,2,2,60231,247
Dub%C4%83sari Reservoir,2012,4,0,22372,29
Moldavian Autonomous Soviet Socialist Republic,2011,10,14,98994,289
History of Transnistria,2009,1,21,89327,279
International recognition of Transnistria,2011,5,6,64292,132
Tudor Petrov Popa,2006,2,0,29968,58
Demographic history of Transnistria,2007,1,2,31865,54
Moldavian Autonomous Soviet Socialist Republic,2013,6,16,104435,297
14th Army involvement in Transnistria,2008,6,10,53824,151
%C8%98tefan Ur%C3%A2tu,2012,7,8,55150,233
Referendums in Transnistria,2010,2,2,43515,101
Andrey Safonov,2010,8,1,87496,149
Yitzhak Yitzhaky (politician born 1902),2013,2,1,32336,67
Chaim Zanvl Abramowitz,2006,7,0,27988,42
Media of Transnistria,2008,10,13,53209,121
Flag of Transnistria,2006,6,0,40061,45
Demographic history of Transnistria,2008,12,2,28657,39
Transnistria,2009,5,130,269019,775
Alexandru Popovici (Moldovan footballer),2009,8,1,39883,66
Valerian Tulgara,2008,4,2,28785,53
President of Transnistria,2012,1,0,71879,252
Intercentre Lux,2008,11,0,27559,54
Yitzhak Yitzhaky (politician born 1902),2009,8,1,28840,52
Parliament of Transnistria,2007,4,2,55803,169
Transnistria,2006,11,47,131565,293
Transnistrian border customs issues,2010,9,13,53179,133
Social Democratic Party of Pridnestrovie,2007,9,0,32641,65
Chairman of the Presidium of the Supreme Soviet of the Pridnestrovian Moldavian Soviet Socialist Republic,2012,5,1,31031,42
Aleksandr Ivanovich Korolyov,2006,12,0,31369,57
"Parcani, Transnistria",2012,11,3,55560,230
Ta%C8%99l%C3%AEc,2013,1,0,47679,214
Valerian Tulgara,2007,5,2,28713,53
Stepan Beril,2015,3,1,28994,48
Transnistria,2006,12,59,143276,364
Anthem of Transnistria,2010,12,0,58561,177
