filename,year,month,num_citations,file_size,forward_links
Lagahoo,2008,4,0,26428,44
Brother Resistance,2007,7,0,25715,39
Dame Lorraine,2014,3,0,31182,63
"Cedros, Trinidad and Tobago",2008,2,0,30370,48
Economy of Trinidad and Tobago,2009,1,0,67097,320
Wallerfield,2007,1,0,24901,40
Couronian colonization of the Americas,2015,2,6,49728,106
Warszewiczia coccinea,2013,1,0,35602,74
.tt,2006,9,0,68173,406
Princes Town Regional Corporation,2006,6,0,33140,67
List of Trinidad and Tobago%E2%80%93related topics,2013,12,2,241315,1386
National Union of Government and Federated Workers,2012,3,0,33885,60
Maxi taxi,2012,10,1,29104,57
Rhone (ship),2008,4,0,29400,75
History of Trinidad and Tobago,2011,9,12,149325,620
Warszewiczia coccinea,2009,9,0,35039,79
Cedula of Population,2012,1,4,29411,37
Trinidad and Tobago Red Cross Society,2009,10,0,26637,42
Nariva Swamp,2006,3,1,27827,52
University of Trinidad and Tobago,2012,8,3,37573,60
House of Representatives (Trinidad and Tobago),2007,11,0,43616,86
Estate Police Association,2007,4,0,27429,43
Amalgamated Engineering and General Workers%27 Trade Union,2007,3,0,29450,46
Black Power Revolution,2015,1,0,37927,88
Sixth Form Government Secondary School,2009,6,0,28417,50
Horace Ov%C3%A9,2013,6,14,44058,95
History of Trinidad and Tobago,2010,6,10,145238,603
List of Trinidad and Tobago%E2%80%93related topics,2009,12,0,228263,1367
Post Amazers,2007,4,0,24895,39
Public holidays in Trinidad and Tobago,2014,6,2,53174,167
"Cedros, Trinidad and Tobago",2010,9,5,33450,61
Princes Town Regional Corporation,2013,2,0,34843,68
Penal Debe Regional Corporation,2013,10,0,37128,78
Area code 868,2010,3,0,55679,214
List of newspapers in Trinidad and Tobago,2014,4,9,56768,83
Natural history of Trinidad and Tobago,2007,3,0,41208,64
Trinidad and Tobago Stock Exchange,2006,10,0,27946,49
People%27s Partnership,2014,2,3,35873,58
Rhone (ship),2008,6,0,29544,75
House of Representatives (Trinidad and Tobago),2011,3,0,49478,97
Trinidad and Tobago literature,2014,12,0,59769,174
Iere Village,2008,11,0,29466,46
John Alcindor,2015,1,15,47830,71
History of Trinidad and Tobago,2013,5,13,166120,680
Natural history of Trinidad and Tobago,2006,5,0,37587,46
Carlsen Air Force Base,2012,2,0,75944,240
Piarco International Airport,2006,4,0,35899,78
Transport in Trinidad and Tobago,2002,2,0,23213,24
People%27s Partnership Administration,2013,11,0,55305,91
Rhine (ship),2009,8,0,29871,82
List of Trinidad and Tobago%E2%80%93related topics,2008,3,0,187380,1203
Couronian colonization of the Americas,2012,12,6,47695,101
Samuel Knaggs,2007,9,0,25469,53
La Diablesse,2012,5,1,25673,37
L%27Anse Mitan,2013,3,0,28287,52
Piarco International Airport,2007,7,0,35730,78
Spiritual BaptistShouter Liberation Day,2013,1,1,29927,45
Mama D%27Leau,2011,4,1,26006,37
Noel Woodroffe,2010,10,3,39329,65
Foreign relations of Trinidad and Tobago,2011,11,3,69289,192
Government Campus Plaza,2009,4,0,24997,39
Jos%C3%A9 Mar%C3%ADa Chac%C3%B3n,2005,6,0,28231,54
Public Services Association,2006,11,0,28880,50
Canboulay,2012,3,0,31425,62
Trinidad and Tobago passport,2014,11,7,93179,358
Cedula of Population,2008,6,2,23654,30
Prostitution in Trinidad and Tobago,2008,9,3,36825,58
Lakshmi Girls%27 Hindu College,2013,4,1,27232,34
"National Museum and Art Gallery, Trinidad",2006,5,0,26093,37
SS Chenab,2006,12,0,27558,65
Islamic Broadcast Network,2009,10,0,35539,69
Trinidad and Tobago Newsday,2012,7,2,36306,63
The Red House (Trinidad and Tobago),2012,8,0,33633,40
Trinidad and Tobago national basketball team,2011,7,0,28456,39
"Communication, Transport and General Workers Union",2007,5,0,29053,45
Viceroyalty of New Granada,2004,1,0,33240,45
List of diplomatic missions of Trinidad and Tobago,2008,8,0,37801,70
LGBT rights in Trinidad and Tobago,2014,8,11,66429,122
Contract Killers,2011,11,0,36480,67
Jamaat al Muslimeen coup attempt,2007,2,0,30440,70
Avon (ship),2008,11,0,28859,74
Politics of Trinidad and Tobago,2003,2,0,27211,28
Politics of Trinidad and Tobago,2007,8,0,55165,180
List of Trinidad and Tobago%E2%80%93related topics,2011,2,0,235465,1378
List of political parties in Trinidad and Tobago,2011,9,0,65784,222
Caroline Taylor,2011,4,7,33039,55
Trinidad and Tobago,2009,4,21,310416,1225
Noel Woodroffe,2011,5,3,40075,68
Columbus Communications,2008,6,0,65722,274
List of Presidents of Trinidad and Tobago,2013,1,0,42400,81
Governor General of Trinidad and Tobago,2004,7,0,25013,40
Burrokeet,2011,12,0,33481,60
San Juan Laventille Regional Corporation,2006,6,0,33582,70
North Eastern College,2012,4,0,33786,55
United States Ambassador to Trinidad and Tobago,2011,7,2,72540,278
Trinidad and Tobago at the 1994 Commonwealth Games,2008,10,0,49327,83
Transport in Trinidad and Tobago,2014,3,4,48423,140
Trinidad and Tobago Electricity Commission,2014,9,1,34352,60
Telecommunications Authority of Trinidad and Tobago,2007,2,0,26088,32
Tobago House of Assembly,2015,4,8,45453,98
International rankings of Trinidad and Tobago,2010,9,1,39280,105
Trinidad and Tobago dollar,2007,10,1,76792,249
Cole Cold,2013,1,1,40972,152
Trinidad and Tobago dollar,2011,7,3,86634,283
San Juan Laventille Regional Corporation,2009,12,0,35599,73
Bank and General Workers Union,2009,9,0,28692,48
Index of Trinidad and Tobago related articles,2011,4,3,188139,1208
John Stanley Beard,2011,9,2,32659,63
List of heads of state of Trinidad and Tobago,2013,10,0,42030,86
Jumna (ship),2008,10,0,28098,49
Rhone (ship),2007,3,0,29427,80
List of political parties in Trinidad and Tobago,2010,10,0,64680,214
President of Trinidad and Tobago,2009,1,0,37630,85
History of Trinidad and Tobago,2010,2,11,144727,608
Piarco International Airport,2008,1,0,45025,82
Maxi taxi,2011,12,2,30094,59
.tt,2007,10,0,68868,407
House of Representatives (Trinidad and Tobago),2005,11,0,35864,94
List of Presidents of Trinidad and Tobago,2004,8,0,28894,50
Economy of Trinidad and Tobago,2015,1,15,97984,370
Piarco International Airport,2010,1,6,74546,210
San Juan Laventille Regional Corporation,2013,3,0,35899,75
John L. Estrada,2008,2,5,54420,136
Telecommunications in Trinidad and Tobago,2011,7,0,101793,491
Trinidad Express Newspapers,2006,6,0,28353,45
Ganges (1882),2007,9,0,27838,72
