filename,year,month,num_citations,file_size,forward_links
History of French era Tunisia,2009,1,10,79306,295
Hasan ibn al Nu%27man,2007,10,3,31878,69
History of Tunisia,2004,6,0,32451,83
Almohad Caliphate,2007,3,0,48411,127
Praetorian prefecture of Africa,2007,9,19,82022,264
Ala Khallidi,2005,4,0,23609,28
Gafsa Radio,2010,7,0,29000,46
History of Tunisia,2012,8,27,84348,276
Popular Unity Movement,2009,7,0,35609,69
Tunisian Revolution,2011,2,208,414697,762
Scillium,2011,2,6,31130,54
Education in Tunisia,2010,1,33,90580,121
ISO 3166 2:TN,2007,12,0,32531,89
French conquest of Tunisia,2010,7,6,61354,170
Constituent Assembly of Tunisia,2012,7,17,79850,164
Lufti Bin Swei Lagha,2010,10,9,55265,109
Transport in Tunisia,2011,11,2,53039,156
Prostitution in Tunisia,2010,10,0,22079,25
Justice and Development Party (Tunisia),2015,3,1,37317,90
ISO 3166 2:TN,2006,7,0,27769,38
Telecommunications in Tunisia,2004,8,0,25486,34
Salah Rais,2008,9,0,57992,216
Marwan Ali,2008,7,0,26445,45
Timeline of Tunis,2013,10,7,68196,171
Praetorian prefecture of Africa,2013,10,24,104749,363
Tunisian Communist Party,2009,10,1,39194,83
Tunisian Armed Forces,2014,9,11,100552,292
"Sahel, Tunisia",2007,8,0,34963,75
History of medieval Tunisia,2013,8,187,211383,619
Court of Cassation (Tunisia),2010,9,0,28070,53
Tunisian passport,2009,3,0,118137,409
Barbary Wars,2004,7,0,26986,42
Djerid,2006,3,0,24598,48
K%C3%A8ne ya ma k%C3%A8ne...,2013,2,0,31146,52
LGBT rights in Tunisia,2008,12,7,49292,147
National Destourian Initiative,2014,10,3,43480,100
Judeo Tunisian Arabic,2010,3,1,74836,228
A Summer in La Goulette,2012,11,1,35042,70
John Troglita,2013,2,23,68184,136
French protectorate of Tunisia,2011,11,17,171474,560
Tunisian dinar,2006,9,0,61364,178
Syphax Airlines,2012,6,0,54056,144
History of medieval Tunisia,2011,9,188,211940,628
ISO 3166 2:TN,2009,12,0,84912,710
Making Of (film),2013,4,0,28269,39
Hannibal TV,2009,7,1,30094,49
Polygamy in Tunisia,2009,11,1,34594,90
Viva la Muerte (film),2014,4,4,43964,84
