filename,year,month,num_citations,file_size,forward_links
Lydia,2004,11,0,36832,64
German%E2%80%93Turkish Non Aggression Pact,2012,2,6,45676,96
Chinese people in Turkey,2014,3,5,61345,215
Atat%C3%BCrk%27s cult of personality,2014,6,22,111965,222
Kuru%C5%9F,2009,11,0,36576,66
Greater Syria,2009,4,3,60723,250
Deep state,2013,4,49,161034,483
Kavass,2013,5,0,26962,46
Kirazc%C4%B1k,2013,8,0,32436,56
Mahir %C3%87a%C4%9Fr%C4%B1,2012,11,4,40697,82
List of people from Sivas,2013,2,1,31191,81
Greater Iran,2006,11,24,101739,416
Arnauts,2009,7,1,26611,40
Bold Pilot,2008,5,0,24782,33
Vehicle registration plates of Turkey,2008,6,0,61317,249
Ethnic cleansing of Circassians,2013,4,38,92906,191
Mehmet%C3%A7ik,2010,11,4,32046,65
International rankings of Turkey,2014,5,0,62959,254
Smoking in Turkey,2013,12,7,70939,298
Ministry of Justice (Turkey),2013,12,2,35254,74
Economy of Turkey,2007,3,0,101782,474
I Apologize campaign,2015,4,12,70778,191
Culture of Turkey,2005,5,0,32015,56
Ministry of Environment and Urban Planning (Turkey),2011,2,0,34179,73
Property in Turkey,2009,11,6,62548,152
Conscription in Turkey,2015,1,10,70668,86
Live It Up (Y%C3%BCksek Sadakat song),2012,2,2,35758,55
Mustafa Alt%C4%B1oklar,2006,2,0,25521,41
Empire of Trebizond,2013,4,7,128889,515
G%C3%BCnd%C3%BCz Tekin Onay,2009,10,7,92166,226
Eutelsat 31A,2008,7,0,23418,31
Science and technology in Turkey,2008,5,1,51453,111
List of Turkish philosophers and scientists,2009,12,6,30954,81
Orkut B%C3%BCy%C3%BCkk%C3%B6kten,2009,6,1,37453,69
"K%C4%B1z%C4%B1lkaya, Burdur",2013,3,2,35479,64
6th Corps (Turkey),2014,11,0,29113,51
Aegean Army,2014,4,4,46150,77
Battle of Issus,2010,10,7,70744,151
Sedat La%C3%A7iner,2010,9,5,32999,48
Byzantine Empire,2007,11,153,412597,1069
Politics of Turkey,2007,5,0,75918,250
Pardus (operating system),2007,7,0,45574,90
Ak%C4%B1nc%C4%B1 Air Base,2012,2,2,38659,83
Salah Rais,2008,9,0,57992,216
Esmer Yarim,2013,3,0,45754,140
List of earthquakes in Turkey,2010,9,8,58250,146
%C3%96zdemir Turan,2010,4,0,29463,54
List of maritime incidents in the Turkish Straits,2008,1,5,37456,106
"Karacao%C4%9Flan, Mut",2012,9,2,34739,58
Alevism,2007,12,21,134833,434
Ministry of Forest and Water Management (Turkey),2007,4,0,30218,42
Ani,2010,3,28,136804,484
Ko%C3%A7 family,2013,12,1,34935,95
Bilim ve Teknik,2010,4,0,27939,49
Tenedos,2011,1,13,107743,424
Economy of Turkey,2009,8,59,182308,672
Atat%C3%BCrk%27s cult of personality,2015,2,22,112286,228
Eutelsat 31A,2014,6,1,67078,182
Politics of Turkey,2009,6,11,136911,494
Dorylaeum,2013,7,4,61080,361
Empire of Trebizond,2014,1,14,139991,523
Occupation of Turkish Armenia,2014,10,25,114629,312
Turkology,2009,9,0,101079,369
Culture of Turkey,2008,8,19,171676,765
General Command of Mapping (Turkey),2010,5,0,35626,70
Borsa Istanbul,2008,4,0,49638,155
Anatolian Bulgarians,2008,7,0,42882,127
Empire of Nicaea,2004,5,0,41837,94
Metropolitan municipalities in Turkey,2010,1,6,38916,153
List of diplomatic missions of Turkey,2008,6,0,120299,415
Al %CA%BFAw%C4%81%E1%B9%A3im,2013,11,37,90859,215
Alevism,2009,12,21,136276,402
Pontus,2010,3,3,102910,417
Salih Uyar,2011,4,5,65323,191
Radyo Na%C4%9Fme,2013,10,2,27652,46
List of French Turks,2011,5,20,59715,102
Byzantine Empire,2005,9,0,123356,408
Transport in Turkey,2006,11,0,44979,152
Bet%C3%BCl Mardin,2008,2,0,31069,75
Greater Iran,2014,7,83,265188,1068
Empire of Trebizond,2006,4,0,56577,217
Ministry of Youth and Sports (Turkey),2013,5,4,41298,91
Vehicle registration plates of Turkey,2006,2,0,40031,117
"Ministry of Transport, Maritime and Communication (Turkey)",2007,4,1,31040,45
Turkish Armed Forces,2010,8,40,152705,506
2014 Republican People%27s Party Extraordinary Convention,2014,8,18,58712,82
Vehicle registration plates of Turkey,2013,9,2,84205,301
Turko Persian tradition,2009,4,28,85262,234
Germa (Galatia),2014,5,2,27351,54
Australia%E2%80%93Turkey relations,2008,12,0,62361,233
Turkology,2007,7,0,31845,48
Tales from the Expat Harem,2007,6,0,70423,356
Tao Klarjeti,2010,7,0,72809,279
Water politics in the Middle East,2008,7,11,41644,78
Arif Mardin,2007,4,0,47355,146
2008%E2%80%9309 Turkish Basketball League,2013,3,0,73896,213
J%C4%B0TEM,2006,6,0,26599,40
Thrace,2013,9,8,83687,270
History of Turkey,2011,4,20,103866,292
Ali Y%C4%B1ld%C4%B1r%C4%B1m Ko%C3%A7,2010,5,2,33145,68
Aintab plateau,2010,9,0,31649,73
List of diplomatic missions in Turkey,2009,2,0,144009,358
Hasan Do%C4%9Fan,2010,9,4,34683,56
National Intelligence Organization (Turkey),2010,9,10,98770,328
Hacilar,2009,5,0,34353,61
Culture of Turkey,2010,8,19,174544,775
Abolition of the Ottoman Sultanate,2011,10,5,35901,75
Vedat Uysal,2010,9,0,32553,70
Turkey,2009,9,137,639327,2380
Apostolic Vicariate of Istanbul,2014,1,0,39978,67
Sevim Tekeli,2013,11,11,48162,68
Bet%C3%BCl Mardin,2007,2,0,28672,70
Orkut B%C3%BCy%C3%BCkk%C3%B6kten,2011,9,15,55758,74
Vehicle registration plates of Turkey,2012,12,1,73093,282
Tao Klarjeti,2007,4,0,71578,344
Tales from the Expat Harem,2012,7,0,68196,357
Byzantine Empire,2002,8,0,64044,108
Ceramus,2012,9,1,57080,359
"%C4%B0brahimli, Mut",2015,2,1,34360,58
List of people from Kayseri,2013,9,10,41187,77
Secularism in Turkey,2011,11,20,129459,430
Byzantine Empire,2012,12,218,751215,2551
Politics of Turkey,2001,5,0,31980,23
Culture of Turkey,2008,12,19,171597,768
National Security Council (Turkey),2012,8,15,67694,155
Anatolia,2014,11,48,244901,958
Ceramus,2014,1,1,56724,354
Dragut,2011,11,18,120260,451
Amik Valley,2013,7,3,38738,63
Hac%C4%B1nuhlu,2014,5,1,34655,69
R%C3%BBm,2008,3,1,33017,87
%C3%87ukurova,2011,5,27,129996,449
Pisidia,2006,5,0,42833,124
%C3%87ay%C3%B6n%C3%BC,2006,3,0,30264,46
Hemigrammocapoeta kemali,2008,5,0,30926,56
Property in Turkey,2008,12,7,65250,174
Anatolia,2003,1,0,37654,34
"K%C3%BCrk%C3%A7%C3%BC, Mut",2011,10,1,34950,59
Ararat anomaly,2007,12,2,32325,65
Binbashi,2007,7,0,27647,45
Ireland%E2%80%93Turkey relations,2009,6,0,22540,25
Turkey,2004,11,0,158254,560
Asius (mythology),2007,5,0,31178,75
Revaluation of the Turkish Lira,2008,2,3,97195,359
Turko Persian tradition,2007,2,27,83162,225
Battle of Sarikamish,2010,7,40,169255,485
Battle of Issus,2007,12,5,64887,143
Ahmet Alkan,2007,3,0,24219,36
Dolmu%C5%9F,2005,12,0,29697,52
List of festivals in Turkey,2015,4,0,81695,256
Nuclear energy in Turkey,2014,1,10,81724,234
Index of Turkey related articles,2007,1,0,83237,690
G%C3%BCme,2015,2,2,33769,55
Cihan Ozdemir,2012,1,0,38013,71
G%C3%B6zl%C3%BCkule,2012,5,9,61411,346
List of arrested journalists in Turkey,2013,3,15,74527,173
Smoking in Turkey,2012,12,6,71345,301
Salah Rais,2012,4,5,64833,229
Claudiopolis (Cilicia),2013,7,4,31721,65
Ethiopia%E2%80%93Turkey relations,2009,1,2,55052,179
Bilim ve Teknik,2009,3,0,27075,40
Tao (historical region),2008,5,0,26569,39
List of English words of Turkic origin,2005,9,0,26371,53
Politics of Turkey,2012,7,17,147960,517
LGBT history in Turkey,2014,12,11,66659,164
Economic Cooperation Organization,2011,4,7,103357,294
Name of Turkey,2009,10,2,52797,206
Turkey,2004,9,0,157008,560
Turkey,2014,11,316,812178,2414
Hac%C4%B1sait,2014,5,1,35099,68
Kavass,2007,4,0,24820,38
Ercan G%C3%BCndo%C4%9Fan,2012,8,1,42616,46
2003 in Turkey,2014,9,0,77926,259
Byzantine Empire,2013,3,213,722914,2557
Property in Turkey,2006,12,2,52213,142
Alevism,2012,1,27,163758,597
Arif Mardin,2012,9,2,101848,549
Emin Fuat Keyman,2007,5,0,26301,45
D%C3%B6nmeh,2010,8,6,44783,102
Pardus (operating system),2007,10,0,41692,78
Kalpak,2009,5,1,39767,83
Thracians,2013,1,53,113495,324
Algeria%E2%80%93Turkey relations,2012,3,0,58441,198
Anarchism in Turkey,2009,3,0,73552,355
Ko%C3%A7 family,2014,1,5,37583,103
Kingdom of Georgia,2011,11,2,41081,94
Hacilar,2014,10,1,59658,340
Tao (historical region),2013,2,0,32371,79
Aegean Army,2006,5,0,26747,43
Culture of Turkey,2011,2,19,176591,782
ISO 3166 2:TR,2006,2,0,44469,198
Economy of Turkey,2006,8,0,86784,357
"Koru, Yalova",2014,5,2,35589,68
G%C3%B6kbelen,2014,4,1,37391,67
Dragut,2007,5,0,77328,347
Ka Mer,2009,2,0,27426,50
State feminism,2011,3,11,85331,396
R%C3%BBm,2012,4,2,44605,144
Kuru%C5%9F,2013,7,1,36824,66
Hacilar,2009,8,0,33259,54
Greater Iran,2009,5,26,118614,506
E7 (countries),2012,9,5,53751,155
List of people on stamps of Turkey,2010,10,0,28360,50
List of Turkic languages poets,2005,7,0,31026,56
"Embassy of Northern Cyprus, Ankara",2007,8,0,28968,51
Pergamon,2001,5,0,31496,33
Battle of Sarikamish,2015,2,39,172159,500
Muhacir,2012,10,21,104433,300
S%C3%BCreyya Serdenge%C3%A7ti,2006,8,0,35658,82
Alevism,2008,4,21,133767,425
Issus (town),2012,6,0,56780,340
Vatan ve H%C3%BCrriyet,2008,10,0,25646,43
2008%E2%80%9309 Turkish Basketball League,2010,3,0,77642,205
Anatolian Plate,2013,1,1,45708,150
Halil %C4%B0nalc%C4%B1k,2012,1,7,45326,81
Turkish Armed Forces,2015,1,58,218685,851
List of assassinated people from Turkey,2008,8,22,73243,220
Transport in Turkey,2010,9,7,62140,208
Hacilar,2014,4,1,60413,344
Human rights in Turkey,2006,9,0,78457,247
Pergamon,2003,8,0,33099,37
Template:Turkey%E2%80%93PKK conflict,2012,6,0,60403,185
Ev iyesi,2010,12,0,27316,45
Economy of Turkey,2011,8,74,222747,728
Ararat anomaly,2009,9,3,33952,63
Kosovo%E2%80%93Turkey relations,2011,3,6,66879,232
Ali %C3%9Cnal,2013,12,1,29650,51
Dorylaeum,2013,2,4,61796,367
Telecommunications in Turkey,2013,3,4,98113,418
Politics of Turkey,2011,8,17,148473,523
Empire of Nicaea,2006,9,0,45174,114
Anatolia,2003,4,0,37756,34
R%C3%BBm,2006,2,0,31792,71
Turkey,2012,12,175,737241,2490
Babai Revolt,2013,6,2,54427,268
ISO 3166 2:TR,2009,12,3,95908,776
Green Fascism,2012,8,0,29058,69
Thracians,2007,3,2,82332,383
Property in Turkey,2014,11,9,65219,155
List of Turkish philosophers and scientists,2009,8,6,31169,81
Hamdanid dynasty,2006,11,0,33658,75
.tr,2007,2,0,66779,405
Occupation of Turkish Armenia,2008,8,21,88323,235
List of party leaders in Turkey,2014,2,0,46607,125
Thracians,2005,12,0,45478,118
Dragut,2008,3,0,78919,359
Science and technology in Turkey,2011,1,1,67161,138
Deep state,2012,3,49,162331,487
Arzashkun,2007,6,0,25555,39
Orkut B%C3%BCy%C3%BCkk%C3%B6kten,2006,5,0,32683,47
Muhacir,2013,11,27,116420,327
Melek Amet,2014,12,8,50457,52
List of diplomatic missions in Turkey,2009,4,0,154958,420
Telecommunications in Turkey,2012,3,7,112504,527
"Kurtsuyu, Mut",2015,2,1,34684,64
Turkish Armed Forces,2012,5,49,167072,605
Pornography in Turkey,2011,5,5,31644,47
Empire of Trebizond,2009,4,2,73224,221
TEMA Foundation,2012,8,0,26269,37
%C3%96zel %C3%87evre Koruma Kurumu,2012,6,3,30394,39
Empire of Trebizond,2015,2,29,194990,681
Names of the Levant,2011,1,4,62439,269
ISO 3166 2:TR,2005,3,0,44839,195
Geography of Turkey,2006,2,0,76122,235
Beylik of Dulkadir,2010,2,0,175745,560
Portal:Turkey,2013,9,0,108217,335
Canada%E2%80%93Turkey relations,2012,12,0,66165,268
D%C3%B6n Art%C4%B1k,2015,3,0,46741,137
.tr,2006,10,0,66340,405
List of diplomatic missions in Turkey,2012,3,2,164346,428
Asia (Roman province),2008,6,13,62014,105
Thracians,2007,10,6,89404,409
Transport in Turkey,2007,4,0,47593,164
G%C3%BCme,2014,5,2,34596,63
List of English words of Turkic origin,2004,6,0,25690,55
Haydar Haydar,2011,4,0,24999,37
German%E2%80%93Turkish Non Aggression Pact,2012,7,6,50631,95
%C3%87%C3%B6melek,2012,8,2,36261,62
Kirazc%C4%B1k,2012,10,0,30818,53
Halil %C4%B0nalc%C4%B1k,2009,2,1,35121,63
Hayr%C3%BCnnisa G%C3%BCl,2011,4,5,40280,69
Portal:Turkey,2011,11,0,94988,283
"Ministry of Food, Agriculture and Livestock (Turkey)",2012,11,0,35837,74
Muharrem %C4%B0nce,2014,9,5,35317,66
Haydar Haydar,2007,10,0,25999,44
Mysia,2006,10,0,37446,86
Lake Saka Nature Reserve Area,2009,2,0,28948,53
Culture of Turkey,2013,3,22,181380,747
Historical regions of Armenia,2009,11,1,50932,172
Manbij plain,2012,10,0,29171,66
D%C3%B6nme Dolap,2013,3,0,45755,141
B%C3%BClent %C4%B0plik%C3%A7io%C4%9Flu,2012,2,1,35962,65
Secularism in Turkey,2007,5,9,70303,201
Transport in Mersin Province,2012,9,4,32070,72
Battle of Issus,2006,1,0,48974,98
G%C3%B6zl%C3%BCkule,2014,5,9,62769,350
Economy of Turkey,2010,4,57,178067,654
Ministry of Health (Turkey),2012,11,0,33842,72
"K%C3%BCrk%C3%A7%C3%BC, Mut",2012,12,1,35384,64
"Ye%C5%9Filk%C3%B6y, Mut",2014,6,1,34359,69
Empire of Trebizond,2010,2,2,108603,429
2014 Justice and Development Party Extraordinary Congress,2015,2,18,65620,77
Neo Ottomanism,2014,10,9,64876,174
Culture of Turkey,2007,7,0,74484,271
Byzantine Empire,2006,4,0,224314,782
Battle of Issus,2014,6,7,73410,183
Battle of Sarikamish,2011,8,38,164255,478
Deep state,2009,10,47,161608,484
Eutelsat 31A,2013,9,0,45529,117
Turkology,2007,3,0,32416,47
Antioch of Pisidia,2014,11,10,154884,631
Didai didai dai,2011,5,0,29121,51
Index of articles related to the Ottoman Empire,2011,7,0,93608,654
Medal of Independence (Turkey),2010,4,1,32097,59
List of diplomatic missions of Turkey,2010,4,78,195432,592
European Union%E2%80%93Turkey Customs Union,2005,8,0,26768,36
Lydia,2014,9,23,188874,776
List of diplomatic missions in Turkey,2014,3,1,210076,546
Battle of Issus,2012,10,7,70104,160
