filename,year,month,num_citations,file_size,forward_links
United States Ambassador to Turkmenistan,2011,7,0,71515,279
Environmental issues in Turkmenistan,2008,2,0,39208,80
Mongol invasion of Khwarezmia and Eastern Iran,2011,10,15,106282,345
Sasanian Empire,2009,8,72,319559,1143
Sasanian Empire,2009,1,69,307211,1080
Turkmenpochta,2013,10,3,39619,107
Outline of Turkmenistan,2009,2,0,78706,196
Balkan (newspaper),2007,12,0,27105,49
Turkestan Autonomous Soviet Socialist Republic,2005,11,0,37970,51
Ghaychak,2013,4,0,53323,147
Geography of Turkmenistan,2007,10,0,60238,181
Iran%E2%80%93Turkmenistan Friendship Dam,2012,8,4,38181,56
Outline of Turkmenistan,2011,7,2,95560,263
State Academy of Arts of Turkmenistan,2015,2,2,50744,114
Yomut carpet,2009,12,0,29835,57
Sufi Dynasty,2014,8,8,37666,65
Flag of the Turkmen Soviet Socialist Republic,2006,4,0,38777,71
Turkmenistan,2014,11,56,306715,829
Khanate of Khiva,2013,3,7,87751,313
Assembly of Turkmenistan,2012,11,1,62867,227
Saparmurat Niyazov,2012,5,42,165169,439
Magtymguly Pyragy,2008,4,0,29909,49
President of Turkmenistan,2010,8,0,43171,80
Battle of Dandanaqan,2013,2,6,38476,61
The main museum of Turkmenistan,2012,9,4,36394,60
Sasanian Empire,2014,12,144,513230,1837
Roman Catholicism in Turkmenistan,2013,2,2,44136,119
Panjdeh Incident,2010,12,2,38233,73
Geok Tepe,2008,12,0,35830,65
Turkestan Autonomous Soviet Socialist Republic,2009,7,0,58924,146
Turkmen Agricultural University Named after S.A. Niyazov,2014,12,1,45007,81
Communist Party of Turkmenistan,2005,9,0,28158,42
Iran%E2%80%93Turkmenistan Friendship Dam,2014,2,4,39917,59
Geography of Turkmenistan,2006,10,0,59068,178
Elections in Turkmenistan,2006,12,0,40280,84
Turkmen Union of Democratic Forces,2007,6,1,29085,48
Turkmenistan,2014,8,55,306891,829
Dahae,2009,12,2,42188,107
Flag of the Turkmen Soviet Socialist Republic,2008,8,0,42785,81
Hephthalite Empire,2007,3,12,62121,137
Ruhy%C3%BDet Palace,2008,4,0,27104,43
Republican Party of Turkmenistan,2007,5,0,29349,48
.tm,2007,9,0,37753,38
Transport in Turkmenistan,2007,12,0,38110,75
Galkan HC,2014,2,3,29061,46
Scouting in Turkmenistan,2012,1,1,48437,178
ISO 3166 2:TM,2009,12,1,82343,691
Turkmenistan,2012,1,41,234220,691
Gyzylgaya,2012,12,0,27023,34
Archabil Hotel Ashgabat,2014,12,1,44705,95
Economic Cooperation Organization,2011,4,7,103357,294
.tm,2012,9,1,69863,411
Kerki Airport,2009,2,1,31516,52
State Russian Drama Theatre named after Pushkin,2010,1,1,32084,52
Panjdeh Incident,2011,8,2,36914,72
Monument to the Constitution,2014,10,2,43725,102
Saparmurat Niyazov,2011,9,42,166846,441
Transcaspian Oblast,2010,9,3,36626,80
Battle of Dandanaqan,2009,4,0,34719,59
Turkestan Autonomous Soviet Socialist Republic,2010,4,0,65063,161
Turkmenistan,2004,6,0,87850,164
Archabil Hotel Ashgabat,2013,3,2,35558,55
Scouting in Turkmenistan,2011,3,1,48054,176
Template:Turkmenistan struct stub,2010,11,0,31852,52
Politics of Turkmenistan,2003,10,0,32926,85
List of World Heritage Sites in Turkmenistan,2014,10,3,47024,118
Panjdeh Incident,2011,10,2,37272,78
Khanate of Khiva,2007,3,0,52368,137
"Turkmenistani parliamentary election, 2013",2014,3,7,57712,109
Scouting in Turkmenistan,2005,12,0,27441,56
Pakistan%E2%80%93Turkmenistan relations,2013,11,1,60510,198
Mongol invasion of Khwarezmia and Eastern Iran,2009,6,14,106763,336
Turkmenistan,2002,10,0,65518,53
Ruhnama,2012,9,11,53038,94
Trans Karakum Railway,2009,6,0,27758,51
"Turkmenistani parliamentary election, 2013",2013,4,4,50816,97
Magtymguly Pyragy,2008,5,0,30221,53
ISO 3166 2:TM,2007,9,0,28793,50
Telecommunications in Turkmenistan,2010,3,5,49503,142
Politics of Turkmenistan,2011,10,7,96402,279
List of diplomatic missions of Turkmenistan,2012,1,0,58865,157
Geok Tepe,2003,10,0,24668,32
Kidarites,2012,10,0,56890,155
Military of Turkmenistan,2010,4,16,72248,208
Khanate of Khiva,2012,3,7,70642,188
Battle of Marv,2012,1,4,40954,81
List of diplomatic missions of Turkmenistan,2011,3,0,58143,155
Politics of Turkmenistan,2013,7,7,96249,279
Oghuz Yabgu State,2010,2,4,31154,58
Soviet Central Asia,2013,12,7,162876,643
Hephthalite Empire,2013,5,30,165343,591
Turkmen Air Force,2014,6,5,55268,113
Geok Tepe,2011,4,1,34821,60
Ruhnama,2003,12,0,27309,41
Geography of Turkmenistan,2005,2,0,34814,65
Mongol invasion of Khwarezmia and Eastern Iran,2011,6,15,106500,343
Yomut carpet,2007,1,0,29320,53
Russian Turkestan,2006,6,0,40634,129
History of Turkmenistan,2013,4,23,115862,360
Hephthalite Empire,2014,5,37,186074,676
Index of Turkmenistan related articles,2013,2,0,42804,153
Sasanian Empire,2003,10,0,48198,141
United States Ambassador to Turkmenistan,2009,1,1,66366,270
Fishing industry in Turkmenistan,2009,7,3,43209,110
Turkmenistan%E2%80%93Uzbekistan relations,2009,7,2,51257,96
Republican Party of Turkmenistan,2009,11,2,37462,64
The State Insurance Organization of Turkmenistan,2015,2,2,35242,52
United Nations Security Council Resolution 741,2013,2,0,51777,138
Dahae,2011,3,2,40701,101
Soviet Central Asia,2013,9,7,163185,650
Turkmenistan,2014,5,49,292734,787
Sufi Dynasty,2012,12,8,36689,66
Economy of Turkmenistan,2010,11,4,65947,159
Khanate of Bukhara,2013,11,3,61009,144
Soviet Central Asia,2008,9,3,155135,650
Hephthalite Empire,2014,10,37,185429,663
Khanate of Bukhara,2011,4,2,45357,90
Republican Party of Turkmenistan,2007,8,0,33363,58
Sasanian Empire,2007,6,56,247339,792
Turkmenistan,2008,9,5,189190,682
Oghuz Yabgu State,2011,6,4,51842,143
Turkmenistan%E2%80%93Uzbekistan barrier,2008,11,4,39047,69
Turkmenabat Airport,2012,12,0,35378,64
Battle of Geok Tepe,2011,10,11,39258,53
Telephone numbers in Turkmenistan,2011,6,0,42578,120
Gyzylgaya,2013,9,0,28867,47
Mongol invasion of Khwarezmia and Eastern Iran,2010,11,14,105768,340
TRACECA,2010,2,2,30120,71
