filename,year,month,num_citations,file_size,forward_links
List of by elections in Tuvalu,2014,5,28,74815,115
.tv,2014,8,3,76784,424
History of Tuvalu,2006,2,0,35635,103
Tuvalu,2006,8,8,114471,316
Demographics of Tuvalu,2006,2,0,26496,40
Protestantism in Tuvalu,2006,2,0,30650,34
Politics of Tuvalu,2014,3,52,117295,226
%C3%81lvaro de Menda%C3%B1a de Neira,2014,9,20,61823,130
"Tuvaluan constitutional referendum, 2008",2008,8,2,38155,88
Tuvaluan language,2013,4,8,75991,150
Funafuti International Airport,2015,2,13,74124,157
Niulakita,2005,10,0,29779,35
%C3%81lvaro de Menda%C3%B1a de Neira,2006,2,0,34477,49
Jack Buckland,2015,4,30,87572,233
Tuvalu at the 2010 Commonwealth Games,2014,5,3,41684,111
Tuvalu Trust Fund,2013,11,14,58086,55
Tuvaluan language,2008,1,0,39099,72
Tuvalu at the 2006 Commonwealth Games,2008,7,0,44126,137
History of Tuvalu,2009,10,8,133893,538
Japanese government issued Oceanian Pound,2014,7,0,44743,162
List of mammals of Tuvalu,2011,8,1,42712,97
Demographics of Tuvalu,2004,3,0,25406,37
Tuvalu Games,2012,10,6,52998,115
%C3%81lvaro de Menda%C3%B1a de Neira,2007,10,0,35430,57
Timeline of the history of Tuvalu,2014,8,14,83584,272
Tuvaluan language,2012,10,13,73156,152
Outline of Tuvalu,2012,5,1,80453,202
Tuvaluan mythology,2015,4,20,58271,89
Outline of Tuvalu,2013,11,3,83291,233
List of islands of Tuvalu,2006,1,0,28445,39
Parliament of Tuvalu,2014,8,47,140506,416
%C3%81lvaro de Menda%C3%B1a de Neira,2005,3,0,30981,37
Tuvalu at the Olympics,2011,12,1,58649,268
Funafuti Conservation Area,2014,4,17,73714,151
Football in Tuvalu,2012,2,0,43310,108
Tuvaluan language,2004,5,0,29998,24
Tuvaluan language,2010,7,13,66507,123
Prime Minister of Tuvalu,2012,11,0,49653,145
List of islands of Tuvalu,2009,9,0,67111,211
Gilbert and Ellice Islands,2005,4,0,37278,111
ISO 3166 2:TV,2011,6,1,84252,698
United Nations Security Council Resolution 1290,2013,2,2,51671,121
History of Tuvalu,2010,4,8,133923,538
%C3%81lvaro de Menda%C3%B1a de Neira,2008,2,20,55460,134
Telecommunications in Tuvalu,2006,8,0,28229,47
Tuvaluan records in athletics,2009,10,1,108795,546
Demographics of Tuvalu,2009,2,0,37159,83
Tuvaluan language,2004,9,0,31854,36
Tuvalu national football team,2008,10,1,92446,256
Politics of Tuvalu,2009,4,0,46309,149
Parliament of Tuvalu,2010,5,1,45557,113
Foreign relations of Tuvalu,2009,3,3,71219,155
Demographics of Tuvalu,2012,3,4,44930,91
Climate change in Tuvalu,2013,10,36,121257,300
List of mammals of Tuvalu,2014,4,4,47057,122
List of mammals of Tuvalu,2013,10,3,45215,110
Coat of arms of Tuvalu,2007,12,0,42681,52
Tuvalu A Division,2006,11,0,29392,56
ISO 3166 2:TV,2012,4,1,84192,698
Public holidays in Tuvalu,2015,4,9,54823,155
"Nui by election, 2011",2011,8,5,36654,61
List of diplomatic missions of Tuvalu,2009,4,2,38062,83
Tuvalu Maritime Training Institute,2013,4,8,45074,55
Prime Minister of Tuvalu,2012,5,0,50115,153
Tonga (Tuvalu),2013,3,0,28831,52
Elections and political parties in Tuvalu,2011,4,0,46186,117
Niulakita,2012,1,4,51186,147
Tuvalu Overseas Seamen%27s Union,2007,5,0,28389,43
Demographics of Tuvalu,2003,6,0,25074,31
Monarchy of Tuvalu,2013,7,9,88605,312
