filename,year,month,num_citations,file_size,forward_links
Uganda Securities Exchange,2009,10,1,43205,130
ISO 3166 2:UG,2009,3,0,81930,713
Uganda People%27s Congress,2005,7,0,26979,38
Energy in Uganda,2014,2,13,66774,192
Transport in Uganda,2002,6,0,23765,36
Uganda Martyrs,2010,3,4,53142,163
Human rights in Uganda,2014,7,23,93441,242
List of Governors of Uganda,2012,10,0,31036,67
Port Bell,2006,7,0,25893,52
History of Uganda,2007,1,0,60034,206
Gladys Kalema Zikusoka,2010,11,0,45461,113
Banking in Uganda,2015,2,30,113271,272
Entebbe Kampala Highway,2014,12,6,88647,429
History of Uganda,2008,7,0,71503,283
Petroleum Authority of Uganda,2014,8,4,59722,283
List of Ugandans,2012,1,0,44849,169
Imperial Bank Uganda,2011,7,7,61947,305
Uganda People%27s Defence Force,2010,10,17,83869,296
Scott Hicks,2009,6,1,37328,60
Kyaka,2014,3,0,26721,41
"Putti, Uganda",2009,7,3,29267,42
List of diplomatic missions of Uganda,2010,8,0,60235,158
Uganda at the Olympics,2012,5,0,73764,323
Uganda Securities Exchange,2007,4,0,35702,76
Uganda Securities Exchange,2005,10,0,23313,21
Expulsion of Asians from Uganda,2010,2,4,37764,81
Uganda Railway,2010,2,8,58137,153
Buganda Agreement (1900),2013,4,0,25952,46
Uganda Local Governments Association,2013,3,3,51896,49
Uganda People%27s Defence Force,2006,12,0,39436,107
List of diplomatic missions of Uganda,2011,10,0,60040,158
United Nations Security Council Resolution 177,2007,9,0,28192,43
Bank of Uganda,2012,9,6,65402,317
Port Bell,2015,1,4,70530,338
Monarchy of Uganda,2013,2,1,43074,131
Nyabinghi,2006,9,0,22197,27
Bank of Uganda,2013,2,6,65460,317
Dufile,2009,3,0,26269,47
Society of the One Almighty God,2014,7,1,24755,31
Second Congo War,2014,6,38,187970,522
Uganda,2014,12,120,411364,1178
Expulsion of Asians from Uganda,2013,3,9,52879,107
Ezra Suruma,2012,11,9,38541,102
Second Congo War,2008,9,20,176849,570
"Postage stamps and postal history of Kenya, Uganda, Tanganyika",2013,3,3,56558,202
Uganda People%27s Defence Force,2007,2,0,39273,110
Parliament of Uganda,2014,6,4,69311,200
Scott Hicks,2005,11,0,27914,57
History of Buganda,2010,10,2,48860,99
Outline of Uganda,2010,5,1,106494,366
National Enterprise Corporation,2013,4,0,31039,69
National Resistance Movement,2007,7,0,54513,143
People%27s Redemption Army,2012,10,5,28473,47
Fishing in Uganda,2015,2,13,104369,267
Bujagali Hydroelectric Power Station,2011,3,8,57235,162
Uganda,2004,12,0,96860,338
Rubaga Cathedral,2014,5,4,34601,68
Scott Hicks,2005,9,0,26002,52
Urewe,2011,12,0,41188,57
Kampala Intercontinental Hotel,2014,4,9,65105,302
Rwenzururu region,2014,6,13,54888,103
Port Bell,2006,5,0,25959,55
Uganda Revenue Authority,2013,2,0,26487,43
History of Buganda,2015,4,2,50999,106
Communications in Uganda,2004,12,0,24459,40
Banking in Uganda,2010,3,17,68407,180
Uganda,2007,1,10,159462,558
Uganda at the Olympics,2008,4,0,73403,321
Grand Imperial Hotel,2010,2,1,57722,293
National Resistance Movement,2009,11,0,54376,141
Second Congo War,2007,10,11,139560,417
Expulsion of Asians from Uganda,2011,1,9,52715,119
Uganda People%27s Defence Force,2006,5,0,28790,37
Delano Lewis,2014,5,24,82322,193
Uganda Martyrs,2007,12,0,32544,68
History of Uganda,2012,10,2,72750,258
Delano Lewis,2007,8,3,28586,61
Kyaka,2007,3,0,26492,44
Supreme Court of Uganda,2009,4,3,37791,88
Kampala Serena Hotel,2010,1,5,59887,286
Rwenzururu region,2007,10,0,35656,68
Education in Uganda,2014,7,9,79658,232
