filename,year,month,num_citations,file_size,forward_links
Emirates Post,2012,12,1,24082,36
Emirate of Nejd,2013,12,5,64409,203
Dibba Al Hisn,2009,4,2,94705,330
Economy of the United Arab Emirates,2007,5,0,78163,376
Union National Bank,2011,10,0,31680,59
Habtoor Hotels,2014,10,12,37236,44
United Arab Emirates,2010,1,152,464733,1366
Dubai Group,2015,2,4,34224,61
Dubai International Holy Quran Award,2010,1,0,28056,47
Hussain Al Jassmi,2012,11,2,38357,70
Politics of the United Arab Emirates,2013,12,12,90989,329
Geography of the United Arab Emirates,2009,2,1,56407,169
Emiratisation,2010,4,11,35355,49
Emirate of Nejd,2015,3,5,64652,198
Politics of the United Arab Emirates,2014,4,13,93056,331
Union Defence Force (UAE),2015,1,6,107531,340
Union Defence Force (UAE),2009,3,2,83539,235
Polygamy in the United Arab Emirates,2014,10,2,42995,151
United Arab Emirates,2014,10,235,560986,1315
"Embassy of the United Arab Emirates, London",2014,1,2,60852,241
Mabkhara,2013,5,0,48120,180
Qatar%E2%80%93United Arab Emirates relations,2012,11,1,47709,121
Contents of the United States diplomatic cables leak (United Arab Emirates),2011,5,13,81900,252
Central Bank of the United Arab Emirates,2013,9,0,89307,351
Mohammed Al Shaibani,2014,12,15,54898,97
Template:UAE League Cup Seasons,2011,2,0,24924,37
Zaki Nusseibeh,2013,11,1,30012,49
History of the United Arab Emirates,2005,8,0,32754,68
MBC FM,2008,5,0,31419,58
Qadhi Saeed Almurooshid,2014,6,24,99643,102
Union Defence Force (UAE),2012,5,5,90912,294
United Arab Emirates Army,2010,9,0,57531,157
Dubai Islamic Bank,2010,5,0,34061,56
Kempinski Hotel Mall of the Emirates,2010,2,1,36435,52
Federal National Council,2014,3,9,80029,245
Upper Zakum oil field,2013,9,1,33139,60
Royal families of the United Arab Emirates,2015,4,0,40807,88
History of the Jews in the United Arab Emirates,2008,6,10,96836,464
Higher Colleges of Technology,2010,11,6,61010,110
Federal National Council,2007,8,0,35117,70
Istithmar World,2011,7,52,72418,90
Military history of the United Arab Emirates,2014,5,0,38751,98
Sport in the United Arab Emirates,2013,11,4,72913,287
Emiratis,2013,11,13,77769,255
Land reclamation in the United Arab Emirates,2012,12,4,35045,58
Istithmar World,2013,8,54,74572,96
Emirate of Diriyah,2013,3,7,73362,233
Motivate Publishing,2012,11,0,30618,49
7days,2010,4,1,25550,40
Kempinski Hotel Mall of the Emirates,2010,10,1,36366,48
Emirate of Diriyah,2010,12,5,67593,209
Godolphin Racing,2010,1,1,32628,80
GITEX,2009,5,0,27297,48
GITEX,2010,11,1,28809,41
Persian Gulf campaign of 1809,2013,12,12,98079,442
Saqr bin Mohammad Al Qasimi,2013,9,14,62507,115
Emirates Amateur Radio Society,2012,4,1,38521,76
ARY Group,2013,3,0,34465,57
Dubai Internet City,2005,6,0,24469,31
Emarat,2013,9,7,65161,419
E 311 road (United Arab Emirates),2009,1,1,29809,51
Al Nisr Publishing,2010,8,0,28027,49
Template:Airlines of the United Arab Emirates,2010,4,0,30805,59
Emirate of Diriyah,2011,4,5,67528,207
Dibba Al Hisn,2009,5,2,94764,333
Transport in the United Arab Emirates,2006,2,2,33552,71
List of diplomatic missions in the United Arab Emirates,2009,5,0,104928,215
Desert Heat (hip hop),2010,12,2,36985,70
Saqr bin Mohammad Al Qasimi,2007,11,0,33482,64
.ae,2008,2,0,70023,407
Dubai Internet City,2012,2,2,72785,261
Dibba Al Hisn,2014,10,2,97512,340
History of the Jews in the United Arab Emirates,2009,3,10,94519,366
History of the Jews in the United Arab Emirates,2009,10,10,94340,372
Kempinski Hotel Mall of the Emirates,2010,8,1,36822,52
GITEX,2009,8,0,27261,45
Dibba Al Hisn,2015,2,2,100693,341
Al Maktoum,2013,2,2,31789,66
Aldar Properties,2014,11,0,39508,80
Mashreq (Bank),2007,10,0,30714,49
Economy of Dubai,2009,3,3,43949,108
Umm Hurair,2008,4,1,39730,138
Template:Emirati diaspora,2011,5,0,24982,38
Kosovo%E2%80%93United Arab Emirates relations,2014,3,8,69036,181
Federal Supreme Council,2015,4,0,68658,229
Arab Unity School,2010,1,7,32128,46
Kempinski Hotel Mall of the Emirates,2013,3,3,39400,55
History of Dubai,2014,3,80,161262,332
City of Arabia,2015,3,4,40424,88
Dubai Shopping Festival,2010,9,3,33861,48
Dubai Bank,2010,12,0,32152,61
Template:Emirates of the United Arab Emirates,2010,5,0,37461,52
Umm Hurair,2008,2,1,39348,138
Afghanistan%E2%80%93United Arab Emirates relations,2010,7,2,48889,119
Dibba Al Hisn,2009,11,2,92297,320
Union Defence Force (UAE),2004,8,0,30396,46
.ae,2011,4,4,100809,524
Postage stamps and postal history of Sharjah,2008,1,0,68377,269
Dana Gas,2013,2,3,34011,63
Sahi school health programme,2015,2,0,36661,65
Dubai Bank,2011,11,0,32703,61
History of the United Arab Emirates,2012,12,25,177847,667
National Day (United Arab Emirates),2013,10,0,33129,59
Ministry of Higher Education and Scientific Research (UAE),2012,1,3,34943,65
Polygamy in the United Arab Emirates,2011,7,1,38225,140
Dubai Internet City,2006,8,0,32610,55
Dhahi Khalfan Tamim,2014,4,4,39700,71
Salem Saad,2015,2,3,41893,82
Jebel Ali,2005,7,0,27238,35
Dubai International Holy Quran Award,2010,9,0,31091,49
The Gulf Today,2012,8,0,27992,45
Transport in the United Arab Emirates,2013,4,2,71774,287
My Vision: Challenges in the Race for Excellence,2007,11,0,26930,34
Federal National Council,2012,1,8,75821,245
History of the Jews in the United Arab Emirates,2014,10,9,61685,132
List of Ambassadors of the United Kingdom to the United Arab Emirates,2010,11,1,63234,224
Economy of Dubai,2009,4,3,44673,118
Economy of the United Arab Emirates,2002,2,0,30968,24
Al Isaily preserve,2006,7,0,24451,35
United Arab Emirates,2014,9,219,546614,1338
Dubai Shopping Festival,2007,1,0,25816,33
Dubai Internet City,2008,2,0,37059,60
Outline of the United Arab Emirates,2009,7,2,103573,267
Khabees,2008,3,0,31914,60
Abu Dhabi Investment Authority,2011,3,3,39021,59
Emirate of Diriyah,2007,10,1,45932,122
Galadari Printing and Publishing,2011,4,0,27551,43
Borse Dubai,2009,12,1,30251,59
Ajman University of Science and Technology,2010,1,1,39341,58
Ajman University of Science and Technology,2013,2,0,35146,53
National Day (United Arab Emirates),2014,6,2,36659,61
Telecommunications Regulatory Authority (UAE),2012,9,6,54389,140
Saqr bin Mohammad Al Qasimi,2011,9,13,59478,102
ARY Group,2006,5,0,24849,51
Khor Fakkan,2010,1,0,81422,232
Rail transport in the United Arab Emirates,2009,7,0,23617,25
Ajman University of Science and Technology,2007,5,0,30323,53
Transport in the United Arab Emirates,2014,10,6,86341,346
Arab Unity School,2013,5,7,36903,59
Mashreq (Bank),2006,8,0,26512,46
Nekhailat,2008,5,0,22388,36
Transport in the United Arab Emirates,2013,5,2,72456,295
Al Lulu Island,2008,12,0,41435,120
Geography of the United Arab Emirates,2010,5,2,86215,363
Higher Colleges of Technology,2013,8,5,45768,66
Sikhism in the United Arab Emirates,2010,7,3,51560,170
Dubai Group,2011,9,4,35035,68
Transport in the United Arab Emirates,2008,5,4,40346,100
United Arab Emirates,2012,5,164,526981,1481
Emiratis,2008,11,2,29628,53
Politics of the United Arab Emirates,2006,8,0,45942,143
List of Free Trade Zones in the United Arab Emirates,2013,6,0,69112,233
Template:UnitedArabEmirates company stub,2010,11,0,30596,50
Politics of the United Arab Emirates,2010,10,12,94714,347
United Arab Emirates,2007,9,17,202665,667
Dubai Inc.,2011,12,1,28522,47
E Government in the United Arab Emirates,2012,11,30,99578,96
Al Maktoum,2014,7,2,32560,56
Emirates of the United Arab Emirates,2015,4,1,80512,245
Panorama FM,2006,10,0,27619,52
Ahmad Ali Al Sayegh,2008,8,0,24364,31
United Arab Emirates dirham,2005,7,0,45337,112
Banu Kaab,2008,10,0,25371,44
History of Dubai,2011,2,80,161161,336
Ahmed Sultan Bin Sulayem,2013,9,30,74324,86
Jebel Ali,2012,12,1,75043,296
UAE Rugby Player Awards,2014,8,1,32142,49
Template:Navbox Emirates Group,2012,4,0,27198,51
History of Dubai,2014,9,80,161820,329
Culture of Dubai,2013,7,0,53214,196
Dubai Internet City,2008,7,1,66362,219
Dubai Shopping Festival,2011,2,2,33500,46
Ahmed Sultan Bin Sulayem,2012,6,23,67452,74
Federal Supreme Council,2014,12,0,68108,238
Jebel Ali,2013,10,1,75990,301
Habtoor Hotels,2015,4,12,45285,45
Template:UAE President%27s Cup seasons,2011,12,0,30118,35
Dubai Group,2012,3,4,34375,64
Shihhi Arabic,2011,7,1,55672,149
Emarat,2011,9,7,64324,415
National Day (United Arab Emirates),2015,4,2,52520,157
1995 in the United Arab Emirates,2015,1,0,48333,129
Outline of the United Arab Emirates,2010,11,2,100892,261
History of Dubai,2012,1,78,160553,339
.ae,2005,11,0,68196,399
History of the United Arab Emirates,2007,11,1,84160,370
Emirates Business 247,2014,10,1,28931,44
List of diplomatic missions in the United Arab Emirates,2012,2,4,166155,349
Emiratis,2013,5,11,78826,267
Ajman University of Science and Technology,2012,9,0,32907,43
Sorouh Real Estate,2015,2,5,37686,56
Al Sayegh Airlines,2012,4,0,43553,112
Mashreq (Bank),2015,4,0,62065,180
Emiratis,2011,9,11,83802,266
Qatar%E2%80%93United Arab Emirates relations,2011,4,1,47085,122
Dhahi Khalfan Tamim,2011,4,1,31691,52
History of the United Arab Emirates,2008,11,1,84186,367
United Arab Emirates at the 1988 Summer Olympics,2007,11,0,67360,232
Emirates of the United Arab Emirates,2010,9,1,78866,257
Dubai Internet City,2008,12,1,74641,260
Template:United Arab Emirates topics,2014,11,0,39002,119
Revenue stamps of the United Arab Emirates,2014,12,5,66790,171
Template:Airports in the United Arab Emirates,2013,10,0,30201,45
Higher Colleges of Technology,2007,3,0,35120,91
Dubai Internet City,2008,4,1,41039,69
Persian Gulf campaign of 1809,2011,5,12,93739,417
List of diplomatic missions in the United Arab Emirates,2012,4,4,166681,350
Dubai Airports Company,2011,4,2,27398,45
GITEX,2014,9,5,38540,60
Transport in the United Arab Emirates,2004,9,0,26155,43
Seizure of Abu Musa and the Greater and Lesser Tunbs,2011,3,6,40725,73
Nekhailat,2014,3,0,30069,55
Godolphin Racing,2005,8,0,25708,41
Arab Unity School,2009,3,6,30974,48
Scouting and Guiding in the United Arab Emirates,2010,6,0,45854,149
E 311 road (United Arab Emirates),2014,3,3,39549,74
Dubai Internet City,2006,12,0,35067,62
Hoyamal,2013,1,0,22759,37
Economy of the United Arab Emirates,2011,7,6,107190,490
My Vision: Challenges in the Race for Excellence,2009,6,0,27599,42
Union Defence Force (UAE),2004,7,0,29914,43
Emiratisation,2007,3,0,26491,40
Red Crescent Society of the United Arab Emirates,2015,1,1,167535,358
The Address the BLVD,2012,12,2,31170,48
The Gulf Today,2005,10,0,23109,30
Al Maktoum Airport Cargo Gateway,2013,9,2,29183,47
Template:Emirates of the United Arab Emirates,2010,7,0,36861,46
Emiratis,2012,6,11,83571,270
Dibba Al Hisn,2013,4,2,98072,341
Higher Colleges of Technology,2009,4,0,46534,93
Sharjah Wanderers,2014,9,2,25864,30
History of Dubai,2009,12,79,132983,185
.ae,2010,6,2,98375,514
Dubai Internet City,2011,7,2,73036,250
Majid (comics),2013,6,1,34318,77
Zaki Nusseibeh,2009,4,0,28543,38
United Arab Emirates,2004,12,0,103998,221
Aldar Properties,2010,8,1,37387,65
ETA Star Group,2012,6,4,33132,47
Dubai Inc.,2010,10,1,25545,32
United Arab Emirates Army,2013,1,1,65391,177
Russia%E2%80%93United Arab Emirates relations,2011,11,1,79920,294
Saqr bin Mohammad Al Qasimi,2012,2,13,59811,105
Emblem of the United Arab Emirates,2011,6,2,67612,209
Persian Gulf campaign of 1809,2015,3,13,66029,143
Emirates of the United Arab Emirates,2007,1,0,40903,80
Politics of the United Arab Emirates,2006,12,0,46769,144
"Al Karama, United Arab Emirates",2011,5,7,36317,53
Transport in the United Arab Emirates,2012,8,3,72386,289
Shihhi Arabic,2014,6,3,57029,152
Union Defence Force (UAE),2006,8,0,33460,54
ADCC Submission Wrestling World Championship,2008,6,0,164096,77
Scouting and Guiding in the United Arab Emirates,2009,1,0,38515,115
Dubai Properties Group,2014,5,3,39799,50
Geography of the United Arab Emirates,2005,2,0,30702,50
Emirate of Nejd,2010,6,4,58555,173
E 311 road (United Arab Emirates),2006,4,0,26865,36
Union Defence Force (UAE),2012,10,6,90874,302
Prostitution in the United Arab Emirates,2008,4,1,39053,108
History of the United Arab Emirates,2014,2,29,182096,676
Template:Airports in the United Arab Emirates,2007,12,0,27237,36
Mubarraz class fast attack craft,2013,5,0,32225,57
Emiratis in the United Kingdom,2010,11,7,51580,111
List of diplomatic missions in the United Arab Emirates,2014,9,1,168128,356
Khor Fakkan,2013,9,0,89207,268
Template:Years in the United Arab Emirates,2014,12,0,32200,83
History of the Jews in the United Arab Emirates,2009,5,10,94590,376
Emiratisation,2014,11,12,31387,33
Saqr bin Mohammad Al Qasimi,2009,8,1,38399,80
United Arab Emirates,2002,11,0,76228,36
Kempinski Hotel Mall of the Emirates,2008,11,1,36968,57
Geography of the United Arab Emirates,2013,1,2,87821,373
7days,2011,4,1,33994,73
Al Zaabi,2014,5,0,29281,46
Politics of the United Arab Emirates,2007,2,0,50466,143
GITEX,2010,10,1,28224,39
List of diplomatic missions of the United Arab Emirates,2007,9,0,36593,99
Trucial States,2011,3,4,52225,97
United Arab Emirates,2013,6,161,478389,1243
Jebel Ali,2009,7,1,70832,282
Mashreq (Bank),2005,4,0,25107,36
Al Khan,2012,7,0,35434,85
Template:Largest cities of the United Arab Emirates,2014,5,0,31209,67
History of the United Arab Emirates,2007,12,1,84018,366
Dubai Internet City,2008,10,1,74649,267
Union Defence Force (UAE),2012,6,5,90816,298
Abu Dhabi Investment Authority,2010,4,3,35512,52
Emirate of Nejd,2014,2,5,64359,195
Bukhoor,2009,7,0,30987,64
ARY Group,2009,6,0,30067,65
Bukhoor,2011,12,0,30737,62
Emblem of the United Arab Emirates,2012,6,2,69093,210
Abu Dhabi Investment Authority,2010,3,2,34782,51
City of Arabia,2008,10,0,32912,86
Russia%E2%80%93United Arab Emirates relations,2012,9,1,101570,332
Dubai Group,2009,10,2,33847,64
Higher Colleges of Technology,2006,5,0,35643,98
Dibba Al Hisn,2010,12,2,92553,302
"Marina Mall, Abu Dhabi",2009,1,0,29327,49
ADCC Submission Wrestling World Championship,2012,1,2,268101,349
Khor Fakkan,2011,6,0,81022,226
Dubai Islamic Bank,2009,7,1,30921,49
UAE Rugby Player Awards,2015,2,2,35111,45
Template:UnitedArabEmirates stub,2012,7,0,34798,47
Banu Kaab,2006,4,0,25550,44
Al Lulu Island,2011,5,0,40800,120
Nekhailat,2006,11,0,21855,25
Aldar Properties,2006,2,0,26027,37
Economy of the United Arab Emirates,2011,2,5,104449,479
The Gulf Today,2011,4,0,27865,43
United Arab Emirates,2003,2,0,73506,44
Dhahi Khalfan Tamim,2013,10,1,31901,51
Dubai Internet City,2005,5,0,24617,32
Abu Dhabi Investment Authority,2007,3,0,33849,61
Al Maktoum,2010,12,2,31154,61
Geography of the United Arab Emirates,2014,10,2,86692,365
Dhahi Khalfan Tamim,2013,9,1,32406,59
Dibba Al Hisn,2009,12,2,91663,307
Transport in the United Arab Emirates,2009,4,5,49027,155
Dubai International Convention Centre,2009,5,0,29683,40
Khabees,2009,7,0,32181,67
Jebel Ali,2013,6,1,76168,297
Template:Life in the United Arab Emirates,2012,2,0,25266,43
Vehicle registration plates of the United Arab Emirates,2012,4,0,41784,113
Star Select,2011,12,0,48076,150
Transport in the United Arab Emirates,2015,4,8,91144,345
Trucial States,2009,10,0,43638,80
United Arab Emirates dirham,2010,11,6,75401,183
Union National Bank,2013,11,0,33550,56
Template:UnitedArabEmirates stub,2008,11,0,27373,30
Bani Yas,2007,6,0,24371,37
Higher Colleges of Technology,2010,3,1,51719,111
Ahmad Ali Al Sayegh,2005,10,0,23847,33
Template:Airlines of the United Arab Emirates,2013,3,0,32055,69
Central Bank of the United Arab Emirates,2010,9,0,78653,337
Saqr bin Mohammad Al Qasimi,2014,12,14,62492,124
Template:Emirates of the United Arab Emirates,2013,2,0,38200,48
Rail transport in the United Arab Emirates,2014,3,1,35046,93
Dibba Al Fujairah,2014,4,0,42438,130
Dubai Internet City,2015,2,5,76027,267
Transport in the United Arab Emirates,2008,2,4,39020,92
Star Select,2013,6,0,81619,483
Dana Gas,2014,8,5,36426,60
Persian Gulf campaign of 1809,2010,12,12,93722,418
United Arab Emirates dirham,2009,1,5,72614,162
List of diplomatic missions of the United Arab Emirates,2011,3,0,84202,244
Bukhoor,2010,4,0,30886,61
Dubai Financial Services Authority,2014,8,2,33429,54
The Gulf Today,2005,12,0,23400,31
History of Dubai,2013,6,80,163223,333
Kempinski Hotel Mall of the Emirates,2010,4,1,36446,50
Economy of Dubai,2013,1,6,51070,123
Dubai International Holy Quran Award,2007,9,0,28169,51
Template:Largest cities of the United Arab Emirates,2012,1,0,31138,63
Al Zaabi,2011,4,0,27747,49
List of United Arab Emirates related topics,2011,2,0,144765,785
United Arab Emirates,2012,12,173,555620,1506
Al Sidra Media,2013,1,1,28107,49
Roman Catholicism in the United Arab Emirates,2006,8,0,38809,118
United Arab Emirates Army,2014,7,2,70362,193
Template:UAE cities,2009,6,0,28810,70
Godolphin Racing,2014,7,10,45025,84
Dubai Inc.,2010,11,1,25650,34
Al Hamiri family,2010,10,0,35107,65
Emirate of Diriyah,2007,8,1,45710,121
Emirates of the United Arab Emirates,2005,9,0,26819,39
List of United Arab Emirates related topics,2013,7,0,145444,782
Dubai Bank,2010,4,0,30261,62
Template:UAE midsize imagemap with emirate names,2010,4,0,25668,28
United Arab Emirates,2014,4,189,510461,1315
Emirates of the United Arab Emirates,2011,8,1,78366,246
Transport in the United Arab Emirates,2009,10,6,77800,322
Law enforcement in the United Arab Emirates,2014,4,0,41000,112
Alpha Data,2014,3,1,31488,54
Abdulatif Al Sayegh,2011,11,3,32774,39
Postage stamps and postal history of Sharjah,2012,8,2,46953,140
Seizure of Abu Musa and the Greater and Lesser Tunbs,2013,4,10,59048,106
Dubai Bank,2010,8,0,31518,62
ARY Group,2004,10,0,23830,38
Awraq newspaper,2009,1,0,28035,49
Politics of the United Arab Emirates,2013,4,12,90687,319
Union National Bank,2011,9,0,32024,59
Godolphin Racing,2014,12,7,44215,85
Seizure of Abu Musa and the Greater and Lesser Tunbs,2012,12,10,58853,104
1994 in the United Arab Emirates,2015,1,0,48333,129
ADCC Submission Wrestling World Championship,2009,4,1,194939,386
Al Lulu Island,2011,1,0,40703,118
Abu Dhabi Investment Authority,2013,12,10,49177,57
List of diplomatic missions in the United Arab Emirates,2011,9,4,166927,346
Emblem of the United Arab Emirates,2009,5,1,51096,119
Postage stamps and postal history of Sharjah,2013,7,2,46606,139
ADCC Submission Wrestling World Championship,2006,8,0,30016,36
Emiratis,2012,3,11,83602,276
History of Dubai,2008,8,0,34469,106
Emiratisation,2010,3,11,35419,49
Abu Dhabi Islands Archaeological Survey,2009,2,0,28739,48
