filename,year,month,num_citations,file_size,forward_links
Unionism in Ireland,2003,8,0,45205,111
Estate agent,2005,11,0,25533,37
Independent scientist,2012,11,5,39603,80
National Union of Women%27s Suffrage Societies,2012,1,1,37081,62
Materials Knowledge Transfer Network,2013,9,0,31152,48
United Kingdom constituencies,2011,10,8,60121,172
A Man Without Love (Kenneth McKellar song),2010,9,1,33388,65
UK Metric Association,2007,3,0,27212,50
Unreformed House of Commons,2009,2,0,203692,821
Unionism in Ireland,2009,10,31,128759,349
Five economic tests,2008,3,2,36169,70
SMART (grant scheme),2005,6,0,25624,33
List of earthquakes in the British Isles,2014,1,59,172483,341
Premium Bond,2007,8,2,35859,55
List of urban areas in the United Kingdom,2009,1,5,51666,224
Cambria,2006,8,0,29886,64
Teddy Boy,2008,7,2,33066,80
Frontbench Team of Charles Kennedy,2013,11,0,74095,335
List of British regional nicknames,2005,2,0,25519,45
Joint Combat Aircraft,2011,5,7,39743,90
Forms of address in the United Kingdom,2004,10,0,37141,27
Highly Skilled Migrant Programme,2009,4,7,32585,40
Portal:Wales,2007,7,0,89379,233
National parks of the United Kingdom,2006,9,0,33363,71
"Symbols of the United Kingdom, the Channel Islands and the Isle of Man",2012,7,10,119618,419
Royal Marines,2007,6,6,123763,481
DESG,2013,3,4,44871,119
Liberal Democrat Frontbench Team,2014,1,5,77912,237
Chartism,2011,8,20,85743,190
New Scientist,2013,9,17,80947,210
United Kingdom,2014,8,499,1049256,2770
Constitution of the United Kingdom,2011,4,29,199033,775
Andrew Cross Award,2009,6,0,25010,36
British Armed Forces,2007,3,96,166308,468
JourneyWeb,2011,3,0,25677,45
Declining a British honour,2008,11,3,91358,316
ISO 3166 2:GB,2003,10,0,53781,282
Clause IV,2014,3,4,74122,312
Private finance initiative,2008,8,7,52894,118
Private finance initiative,2009,1,38,129855,208
Ariel programme,2008,6,0,23040,27
Treasury test discount rate,2008,12,0,26271,41
Queen%27s Awards for Enterprise,2011,2,18,96506,123
Faugh A Ballagh,2007,1,0,25987,33
Biotechnology and Biological Sciences Research Council,2009,6,0,39104,82
Royal Air Force,2005,10,0,109156,359
Royal Marines,2002,10,0,36134,78
Liberal Democrat Frontbench Team,2005,5,0,29550,74
United Kingdom,2010,4,288,792399,2805
List of major crimes in the United Kingdom,2008,11,4,68546,286
Administrative geography of the United Kingdom,2012,9,3,113599,480
Beatrice oil field,2014,1,4,29044,30
New Labour,2013,3,68,220441,762
TXII,2007,12,0,28648,53
Institute of Physics,2007,5,0,42968,93
Real estate in the United Kingdom,2014,2,3,91960,473
Anglo Irish people,2014,9,14,111872,549
Census in the United Kingdom,2007,1,0,38207,78
United States Ambassador to the United Kingdom,2010,9,0,76055,353
Transport in the United Kingdom,2010,5,24,158906,687
Royal Air Force,2008,3,17,156744,578
Northern Ireland,2002,1,0,52459,39
Lord Mayor of London,2014,12,7,100695,373
Spending Review,2008,1,0,25722,39
Anglo Portuguese Alliance,2011,6,1,59489,207
Traveline,2011,3,13,50079,149
Portal:Wales,2007,8,0,89449,233
Scotland,2004,5,0,110819,352
Centre for Life,2013,6,8,57178,127
Gate guardian,2012,7,5,46662,140
Estate agent,2009,5,4,37431,60
Engineering and Physical Sciences Research Council,2014,6,4,64401,209
Up Series,2013,5,17,142824,241
Green belt (United Kingdom),2014,9,18,68290,126
List of Royal Variety Performances,2014,7,2,239411,2186
Broken Britain,2010,7,11,29527,40
Caroline era,2007,2,4,52833,194
Royal Commission on the Constitution (United Kingdom),2013,3,8,85188,317
List of festivals in the United Kingdom,2012,3,0,77946,254
Thatcherism,2014,4,53,150298,386
National Cancer Intelligence Network,2011,10,0,28569,43
Mods and rockers,2014,4,13,53376,154
British Forces Broadcasting Service,2006,8,0,36062,111
Yeomanry,2006,6,0,37777,64
Electrical wiring in the United Kingdom,2013,3,5,74441,104
Royal Institution Christmas Lectures,2007,4,0,57508,193
Parliamentary sovereignty,2007,2,0,46863,122
List of prisons in the United Kingdom,2015,3,140,250964,522
Budget Day,2015,3,20,81416,166
Royal Observer Corps,2015,3,18,245493,656
List of disasters in Great Britain and Ireland by death toll,2009,6,12,124149,782
Government Chief Scientific Adviser,2010,12,0,45670,127
Chobham armour,2008,6,34,69292,130
Military Vehicles and Engineering Establishment,2012,11,3,43506,74
England,2007,8,72,311881,1332
Home Nations,2010,9,2,37477,96
Geograph Britain and Ireland,2009,1,17,47916,74
Quis separabit%3F,2008,12,4,29992,54
Retail Price Index,2012,8,14,44838,53
British Weights and Measures Association,2013,11,11,50366,82
List of Great British Trees,2010,3,0,42313,162
List of tallest buildings and structures in Leicester,2010,7,0,31060,53
List of current members of the British Privy Council,2014,12,154,674879,2841
Mortgage industry of the United Kingdom,2012,7,9,46032,63
Ariel 5,2011,3,3,33188,55
History of British animation,2009,5,0,29741,42
Transport Direct,2013,1,58,122724,176
List of political families in the United Kingdom,2014,2,0,141833,699
Transport Research Laboratory,2008,5,0,32459,60
Open Rights Group,2011,7,20,64516,182
Spark spread,2014,5,0,49724,146
Treaty of The Hague (1895),2010,12,0,34023,65
Highly Skilled Migrant Programme,2009,5,7,33115,46
Ariel 6,2009,6,0,22374,25
States headed by Elizabeth II,2008,11,1,93136,227
Chobham armour,2008,10,38,73011,136
Road protest in the United Kingdom,2011,6,35,95019,149
Environmental direct action in the United Kingdom,2014,3,14,55886,111
List of British by net worth,2011,5,1,43737,144
List of United Kingdom Parliament constituencies,2013,6,12,299734,1534
Chartism,2014,2,48,99071,115
Anglo,2003,11,0,21259,25
New Left,2007,12,0,70840,223
Abstentionism,2013,3,14,49762,151
Terminology of the British Isles,2007,9,38,151686,621
Financial Conduct Authority,2013,1,11,44410,46
Ordnance Survey National Grid,2013,2,6,63799,171
List of RNLI stations,2009,9,0,55171,257
List of major crimes in the United Kingdom,2007,5,0,62350,259
Shared Interest,2008,6,5,48804,124
Great Britain,2007,8,11,109581,375
List of people on the cover of Attitude magazine,2010,9,0,47567,216
British Weights and Measures Association,2007,9,4,43990,82
Parliamentary sovereignty in the United Kingdom,2014,9,30,63733,97
Northern Ireland peace process,2005,6,0,64119,214
Home Nations,2009,1,4,36474,103
Ariel 1,2015,1,2,52407,122
New Puritans (movement),2006,1,0,27680,44
List of organisations with a British royal charter,2010,12,1,321166,720
Drought in the United Kingdom,2011,1,15,74803,170
Community politics,2011,5,0,30349,48
List of people convicted under Terrorism Acts in the United Kingdom,2015,3,0,31938,58
Financial Times,2008,10,17,123798,509
East London Tech City,2013,5,23,110622,376
