filename,year,month,num_citations,file_size,forward_links
Economy of Uruguay,2009,1,9,79790,339
Uruguay,2009,1,47,242980,715
"Portal:UruguaySelected articleMonth 01, 2012",2011,12,0,24544,30
South America air forces maneuvers,2010,9,12,62251,108
Jos%C3%A9 Luis Massera,2014,5,7,49790,104
Charr%C3%BAa people,2010,7,0,44287,98
Governorate of the R%C3%ADo de la Plata,2009,1,1,51728,140
1973 Uruguayan general strike,2009,8,0,27413,47
Uruguayan Sign Language,2012,5,0,26498,41
Charr%C3%BAa people,2010,1,0,44089,94
United Provinces of the R%C3%ADo de la Plata,2013,3,3,146315,541
Politics of Uruguay,2006,12,0,63523,213
Uruguayan peso,2010,1,0,66617,172
Caipiroska,2011,9,0,30587,53
Outline of Uruguay,2010,10,4,91464,278
Viceroyalty of the R%C3%ADo de la Plata,2007,7,0,63559,259
Uruguayan Air Force,2009,12,4,67724,205
Philip Morris v. Uruguay,2014,11,13,49299,73
List of Presidents of Uruguay,2013,8,6,142679,547
Economy of Uruguay,2010,3,7,75004,328
Climate of Uruguay,2012,1,2,56489,192
.uy,2006,4,0,63196,388
Irreligion in Uruguay,2012,10,7,38597,43
Roman Catholic Diocese of Florida,2013,4,2,37913,62
Estancia,2014,10,1,34079,67
Index of Uruguay related articles,2009,2,0,61595,166
List of Uruguayans,2004,1,0,24931,42
Viceroyalty of the R%C3%ADo de la Plata,2005,6,0,55345,224
National Library of Uruguay,2013,4,0,36237,66
Uruguay,2008,8,43,197970,541
Jonas Coe,2013,1,7,44014,106
Politics of Uruguay,2005,10,0,48746,141
Uruguayan nationality law,2010,10,0,50684,191
Vice President of Uruguay,2005,9,0,28015,80
Jos%C3%A9 Luis Massera,2011,9,5,43927,87
List of museums in Uruguay,2014,3,0,52125,193
Casapueblo,2012,7,0,34237,57
Economy of Uruguay,2007,7,16,87842,358
Atlantic Forest,2009,1,0,55753,157
Eduardo Darino,2013,12,105,143631,89
ISO 3166 2:UY,2009,5,0,91200,699
Economy of Uruguay,2010,7,8,103452,500
Roman Catholic Diocese of Minas,2012,7,0,34646,54
Liga Federal,2012,7,2,64355,188
Uruguay,2006,8,0,136151,346
Politics of Uruguay,2008,1,0,83071,325
Portal:Uruguay,2011,2,0,90785,245
Constitution of Uruguay,2009,5,0,42245,92
National Library of Uruguay,2015,4,1,46530,77
Flag of Uruguay,2004,6,0,37189,36
Geography of Uruguay,2008,8,0,62586,113
Partido Ecologista Radical Intransigente,2014,11,2,72358,258
Uruguay,2014,5,105,413392,988
Charr%C3%BAa people,2014,2,7,67587,216
Juan D%C3%ADaz de Sol%C3%ADs,2007,8,2,33641,55
National Library of Uruguay,2008,3,0,30813,52
Flag of the Treinta y Tres,2007,2,0,27727,46
Atlantic Forest,2005,11,0,32461,45
Uruguayan Air Force,2013,7,7,75609,207
Geography of Uruguay,2012,10,3,89831,297
Viceroyalty of the R%C3%ADo de la Plata,2004,11,0,53491,184
Caipiroska,2008,2,0,25694,35
1973 Uruguayan general strike,2009,6,0,26480,45
Religion in Uruguay,2008,4,0,35275,80
Bolsa de Valores de Montevideo,2014,4,0,39854,54
Greetingman,2014,1,4,34881,65
Military of Uruguay,2014,4,6,83344,297
Jonas Coe,2012,2,0,33549,66
Abortion in Uruguay,2013,11,10,84475,384
.uy,2006,11,0,63280,392
Uruguay,2012,10,99,387670,901
Vice President of Uruguay,2008,12,1,45411,116
List of Uruguayans,2010,5,0,47740,170
Himno a Flores,2011,4,1,31204,57
Politics of Uruguay,2007,6,0,79894,320
Atlantic Forest,2013,5,20,92272,217
List of Uruguayans,2010,9,0,49028,176
Governor of Montevideo,2008,7,0,29297,65
Economy of Uruguay,2008,4,17,88957,364
Uruguayan savanna,2008,11,0,27781,49
Mineral industry of Uruguay,2009,10,1,38559,49
Hernando Arias de Saavedra,2013,10,9,59257,126
Banco de la Rep%C3%BAblica Oriental del Uruguay,2012,7,1,37014,66
Portal:UruguayWikimedia,2006,11,0,26407,18
Roman Catholic Diocese of Florida,2009,10,0,26842,41
Roman Catholic Diocese of Maldonado Punta del Este,2013,7,2,39599,63
Revolution of the Lances,2009,10,0,34239,66
Atlantic Forest,2012,1,18,83849,173
Confederaci%C3%B3n General del Trabajo del Uruguay,2014,7,1,30298,46
