filename,year,month,num_citations,file_size,forward_links
History of Bukhara,2013,5,22,75123,199
Shia Islam in Uzbekistan,2012,11,2,41265,64
Alisher Usmanov,2008,3,27,73300,121
Alisher Usmanov,2012,1,32,76506,113
Andijan Uprising of 1898,2010,2,0,26719,50
Template:Uzbekistan media stub,2012,11,0,30746,49
Syr Darya Oblast,2012,4,1,60196,210
Sasanian Empire,2009,8,72,319555,1143
Sasanian Empire,2009,1,69,307211,1080
Uzbekistani som,2007,3,3,79888,204
List of diplomatic missions in Uzbekistan,2013,3,0,66991,162
Central Bank of Uzbekistan,2009,3,0,67624,268
Roxana,2006,8,0,37952,69
President of Uzbekistan,2006,7,0,41031,83
Elections in Uzbekistan,2007,3,0,52724,121
Alisher Usmanov,2012,9,35,84689,129
Khwarezm,2008,11,11,98332,382
Economy of Uzbekistan,2006,8,0,47643,104
Turkestan Autonomous Soviet Socialist Republic,2005,11,0,37970,51
Ghaychak,2013,4,0,53325,147
Uzbekistan,2015,4,102,394707,1076
History of Uzbekistan,2007,12,4,61904,187
Law enforcement in Uzbekistan,2014,1,1,23891,34
Ministry of Public Health (Uzbekistan),2015,3,0,30928,57
Sufi Dynasty,2014,8,8,37666,65
Buzkashi,2013,9,9,106342,510
Central Asian Union,2012,10,4,39620,83
Economy of Uzbekistan,2005,11,0,44287,105
Sarmishsay,2009,11,0,27925,58
History of Bukhara,2012,9,19,72333,188
Khanate of Khiva,2013,3,7,87751,313
Kakaydy,2012,10,1,33302,55
Uzbekistan Ground Forces,2014,3,5,48459,141
Sasanian Empire,2014,12,144,513230,1837
Sport in Uzbekistan,2013,1,0,42936,130
Senate of Uzbekistan,2008,11,0,38045,77
Telecommunications in Uzbekistan,2009,4,0,43120,118
G%C3%B6kt%C3%BCrks,2007,3,0,58097,232
Turkestan Autonomous Soviet Socialist Republic,2009,7,0,58924,146
Uzbekistan,2005,5,0,110192,238
Samarkand Oblast,2013,1,1,52466,196
Aqsaqal,2009,5,3,38341,74
Mutabar Tadjibayeva,2014,5,9,51930,48
People%27s Democratic Party of Uzbekistan,2008,6,0,45212,100
Economy of Uzbekistan,2010,11,19,84808,228
History of Bukhara,2009,12,16,62950,174
Sport in Uzbekistan,2010,10,0,40593,118
Hephthalite Empire,2007,3,12,62121,137
Uzbekistan National Revival Democratic Party,2014,9,7,52300,122
Eugene Schuyler,2009,1,3,50431,120
Khwarezm,2014,1,24,120165,419
Lyab i Hauz,2008,10,0,34687,58
Afghanistan%E2%80%93Uzbekistan barrier,2010,6,3,35839,65
Scouting in Uzbekistan,2006,10,0,35607,71
De Russification,2015,3,31,77277,146
Fayzulla Khodzhayev,2007,2,0,41942,94
Roxana,2011,10,1,45526,98
Economic Cooperation Organization,2011,4,7,103357,294
List of diplomatic missions in Uzbekistan,2011,8,0,66427,152
Emirate of Bukhara,2010,3,6,51365,118
Prime Minister of Uzbekistan,2013,12,0,52333,99
Uzbekistan Liberal Democratic Party,2010,1,2,51008,112
Kalpak,2009,5,1,39767,83
Uzbekistan,2014,10,100,393235,1092
Abdulrauf Fitrat,2011,10,2,35078,67
Shia Islam in Uzbekistan,2010,6,2,41276,62
Ministry of Public Health (Uzbekistan),2014,4,0,30939,56
Damir Salimov,2012,9,1,31041,50
UzDaewooAuto,2011,2,5,53198,137
Frontier Service (Uzbekistan),2015,3,3,27949,43
Karakalpak Autonomous Oblast,2006,10,0,40826,92
National Olympic Committee of the Republic of Uzbekistan,2015,1,0,41017,96
Sogdia,2007,5,1,53760,168
Yuezhi,2012,11,38,114012,378
Hizb an Nusra,2007,3,1,30371,61
Xionites,2013,1,12,56001,117
Scouting in Uzbekistan,2006,5,0,33927,67
Turkestan Autonomous Soviet Socialist Republic,2010,4,0,65063,161
Abu%27l Khayr Khan,2006,9,0,28046,37
Eugene Schuyler,2013,5,11,74129,162
UzDaewooAuto,2013,12,7,68001,201
Nasrullah Khan (Bukhara),2007,7,0,24836,36
Central Asian Union,2007,10,3,34227,73
Uzbek Soviet Socialist Republic,2012,12,5,100376,187
Transport in Uzbekistan,2013,4,2,52403,188
Bukharan People%27s Soviet Republic,2014,6,3,82742,191
Syr Darya Oblast,2013,11,1,60386,217
Khanate of Khiva,2007,3,0,52368,137
Bogustan,2013,3,0,37318,69
Nasrullah Khan (Bukhara),2011,5,0,25644,34
Timurid dynasty,2014,1,37,220831,805
Uzbekbaatar,2007,3,0,28863,57
ErkLiberty Democratic Party,2010,12,1,39276,52
Chaghaniyan,2007,8,0,26103,48
Mongol invasion of Central Asia,2012,6,7,86157,297
Muhammad Shaybani,2010,5,0,34549,68
Armed Forces of the Republic of Uzbekistan,2013,1,15,82057,262
Saka,2008,9,60,122257,463
Roxana,2007,9,0,34572,60
G%C3%B6kt%C3%BCrks,2012,6,55,177987,657
Sogdia,2009,9,16,78598,250
Public holidays in Uzbekistan,2011,12,2,38990,106
Buzkashi,2010,6,5,79436,367
Buzkashi,2012,1,6,97020,484
Bissekty Formation,2010,8,21,92097,214
Khwarezm,2010,11,25,112336,394
Khwarezm,2008,10,11,97894,374
Uzbekistan,2006,5,0,162165,402
Kidarites,2012,10,0,56890,155
Index of Uzbekistan related articles,2011,4,0,48990,214
Communist Party of Uzbekistan,2009,9,0,35354,99
Central Asian Union,2009,4,4,40810,87
Mohammed Alim Khan,2014,3,2,46959,106
Khanate of Khiva,2012,3,7,70643,188
LGBT rights in Uzbekistan,2009,10,0,56411,187
History of Uzbekistan,2009,5,5,55851,121
Dastarkh%C4%81n,2009,4,0,37327,74
Emirate of Bukhara,2011,3,6,54865,137
Bukharan People%27s Soviet Republic,2012,11,3,83324,195
Oghuz Yabgu State,2010,2,4,31154,58
G%C3%B6kt%C3%BCrks,2009,3,13,103342,443
Soviet Central Asia,2013,12,7,162875,643
Zarautsoy Rock Paintings,2014,2,2,26302,38
Poykent,2010,7,1,31295,49
Hephthalite Empire,2013,5,30,165327,591
Bukharan People%27s Soviet Republic,2009,10,3,59331,140
Kurash,2007,7,0,34088,59
Buzkashi,2012,12,6,101491,499
Transport in Uzbekistan,2007,10,0,34201,49
ISO 3166 2:UZ,2009,7,0,84521,710
Koi Krylgan Kala,2011,9,2,36221,62
Young Bukharians,2008,11,0,26162,46
Tourism in Uzbekistan,2015,4,2,60980,171
Prime Minister of Uzbekistan,2005,10,0,26399,38
Transport in Uzbekistan,2007,3,0,32327,49
Emblem of the Uzbek Soviet Socialist Republic,2009,3,0,42857,94
Prime Minister of Uzbekistan,2010,11,0,54005,103
Uzbekistan at the Olympics,2014,11,0,132617,448
