filename,year,month,num_citations,file_size,forward_links
Nahavaq language,2012,12,1,31124,56
Amicale F.C.,2015,1,0,70100,132
East Ambae language,2011,10,0,31671,56
Blackbirding,2008,11,9,45973,111
Vanuatu branch of The Scout Association,2010,11,3,56940,159
New Hebrides,2011,12,0,108003,436
Uripiv language,2005,8,0,28963,59
North Efate language,2015,3,2,32936,58
Vanuatuan passport,2013,2,22,115210,364
Parliament of Vanuatu,2006,3,0,35942,69
Geography of Vanuatu,2013,9,0,35578,95
Ni Vanuatu,2009,8,4,30785,44
List of newspapers in Vanuatu,2014,10,2,36182,71
Blackbirding,2012,1,22,69631,176
Aquaculture in Vanuatu,2012,6,3,38588,74
Economy of Vanuatu,2008,12,2,33619,91
Vera%27a language,2013,8,2,36636,65
Vanuatu,2006,9,1,134340,439
President of Vanuatu,2012,12,0,54261,168
List of islands of Vanuatu,2015,3,0,54968,169
Yatel F.C.,2008,5,0,44669,79
Vanuatu at the 1992 Summer Olympics,2013,2,0,61031,241
Prime Minister of Vanuatu,2009,8,0,40623,108
Walter Lini,2009,12,0,35536,95
List of airports in Vanuatu,2011,7,0,46034,183
List of birds of Vanuatu,2008,10,0,79595,334
Westtan Verts F.C.,2010,2,1,44645,78
Politics of Vanuatu,2011,5,0,47258,145
United Nations Security Council Resolution 489,2010,4,0,44167,75
National Community Association,2013,3,0,38318,90
List of earthquakes in Vanuatu,2014,9,24,57878,57
National United Party (Vanuatu),2013,12,0,44924,111
Vanuatu branch of The Scout Association,2010,6,3,56678,158
Nahavaq language,2015,4,2,32348,53
Vanuatu,2004,5,0,79031,179
Cuisine of Vanuatu,2009,7,1,36052,74
Melanesian Progressive Party,2006,7,0,32317,60
Ifira Black Bird F.C.,2015,2,0,44623,84
Vanuatu Red Cross Society,2012,12,0,161614,349
Vanuatu,2007,4,2,140439,516
List of diplomatic missions in Vanuatu,2012,12,0,56914,117
Amicale F.C.,2012,6,0,65127,133
Dorig language,2012,2,3,38403,79
New Hebrides franc,2005,8,0,25508,46
Politics of Vanuatu,2011,4,0,47052,144
President of Vanuatu,2011,1,0,43436,110
Erakor Golden Star,2008,5,0,40520,74
Vanuatu Football Federation,2010,5,0,47770,135
Korman Stadium,2005,9,0,22864,28
Mota language,2011,12,2,36096,69
Epauto Adventist High School,2010,6,1,31980,50
People%27s Progress Party (Vanuatu),2015,2,0,44095,111
New Hebrides franc,2009,5,0,44966,145
History of Vanuatu,2004,9,0,30260,74
Prime Minister of Vanuatu,2008,3,0,38077,118
List of newspapers in Vanuatu,2014,2,2,35947,71
Vanuatu,2013,3,62,284970,932
Spirit 08 F.C.,2014,3,6,42664,72
New Hebrides franc,2013,5,0,45316,144
Economy of Vanuatu,2012,3,5,40004,107
Vanuatu Foreign Investment Board,2012,8,2,29539,44
List of earthquakes in Vanuatu,2012,2,23,58656,65
Nagriamel,2012,12,2,31344,64
Ni Vanuatu,2013,8,4,33875,61
Human rights in Vanuatu,2015,3,11,62388,121
Prime Minister of Vanuatu,2013,6,6,60936,197
Vanuatu at the Olympics,2013,12,1,66618,304
Demographics of Vanuatu,2010,5,0,39074,98
2009 Vanuatu Census,2014,9,2,28269,48
LGBT rights in Vanuatu,2009,10,0,41640,110
Outline of Vanuatu,2014,11,2,84474,226
Melanesian socialism,2012,9,0,60233,271
Nagriamel,2007,4,0,29538,44
John Frum,2005,2,0,29409,40
Vanuatu vatu,2005,5,0,42557,121
Nevinbimbaau,2006,5,0,23648,32
Walter Lini,2005,4,0,28600,59
Vanuatu at the 1996 Summer Olympics,2010,2,0,62899,263
Economy of Vanuatu,2013,3,5,39582,108
Lap lap,2013,12,2,27240,46
John Frum,2008,5,5,39167,69
Vanuatu Council of Trade Unions,2006,6,0,25541,39
Tafea F.C.,2008,9,0,62258,125
Big man (anthropology),2012,9,4,32859,49
Presbyterian Church of Vanuatu,2014,3,12,41173,78
Makura language,2015,4,2,33168,56
John Frum,2008,2,5,39163,71
Melanesian Progressive Party,2009,5,0,37642,81
List of birds of Vanuatu,2009,2,0,79678,335
LGBT rights in Vanuatu,2010,3,0,41287,107
John Frum,2011,4,10,43537,69
Economy of Vanuatu,2006,8,0,31465,96
L%27Hebdo du Vanuatu,2011,11,5,32423,58
New Hebrides,2008,9,0,104721,429
Melanesian Progressive Party,2007,5,0,32037,60
Walter Lini,2007,12,0,34826,96
Parliament of Vanuatu,2008,5,0,37879,77
Amicale F.C.,2011,7,0,64838,130
Vanuatu vatu,2007,2,0,47057,97
Vanuatu at the 2000 Summer Olympics,2012,8,3,69371,277
President of Vanuatu,2009,12,0,40778,90
Namba (clothing),2014,5,3,31940,59
Vanuatu rain forests,2010,8,0,29724,55
Vanuatu vatu,2011,5,2,54364,105
John Frum,2008,8,5,42469,76
Vanuatu,2010,10,61,285570,915
Outline of Vanuatu,2011,12,1,89082,224
List of airports in Vanuatu,2009,8,0,45518,176
Malvatu Mauri,2007,9,2,25410,34
Tafea F.C.,2009,1,0,62665,128
Roman Catholic Diocese of Port Vila,2009,12,0,29788,41
John Frum,2009,4,7,41389,74
Mwotlap language,2006,12,0,26829,41
Vanua%27aku Pati,2012,11,1,41452,92
Melanesian socialism,2013,4,0,60209,273
Cuisine of Vanuatu,2013,9,1,36836,82
Green Confederation,2008,8,0,57783,210
Vanuatu at the Olympics,2009,7,0,63225,289
Ni Vanuatu,2009,9,4,30717,48
Vanuatu women%27s national football team,2014,3,0,76106,199
Presbyterian Church of Vanuatu,2015,3,12,44108,83
Blackbirding,2007,1,3,34659,78
Tamambo language,2006,7,0,38013,68
Vanuatu,2008,10,12,208329,821
Ni Vanuatu,2015,3,5,47666,125
Olrat language,2013,4,5,38215,61
Vanuatu Girl Guides Association,2009,9,0,28723,46
