filename,year,month,num_citations,file_size,forward_links
Bernard Francis Law,2014,4,13,84014,228
LGBT rights in Vatican City,2006,9,0,43281,105
Old St. Peter%27s Basilica,2013,12,10,120520,534
Vatican City,2014,1,82,352499,1058
Geography of Vatican City,2009,6,1,49916,136
Acta Apostolicae Sedis,2009,12,6,36497,54
Tomb of the Julii,2008,7,0,33234,69
Funeral of Pope John Paul II,2010,6,15,139566,505
Telephone numbers in Vatican City,2011,9,0,38198,116
Holy See%27s reaction to the 2008 Kosovo declaration of independence,2013,5,14,68449,193
Alois Estermann,2014,9,6,40287,65
Reginald Foster (Latinist),2007,5,0,37721,53
List of diplomatic missions of the Holy See,2009,4,2,124412,377
Domus Sanctae Marthae,2013,8,11,89430,270
Vatican Museums,2004,7,0,34627,41
List of papal legates to England,2009,10,3,30832,60
Politics of Vatican City,2005,1,0,38627,73
United States Ambassador to the Holy See,2009,8,7,78351,342
Geography of Vatican City,2008,10,1,49248,132
Bernard Francis Law,2009,12,2,62177,178
Prince Assistants to the Papal Throne,2006,12,0,26201,32
Clementine Hall,2012,6,0,28080,62
Coats of arms of the Holy See and Vatican City,2013,9,23,101156,299
Sala Regia (Vatican),2014,7,1,50794,173
Crime in Vatican City,2012,6,4,36655,64
List of newspapers in Vatican City,2008,3,0,23506,31
Reginald Foster (Latinist),2005,7,0,32897,46
Outline of Vatican City,2009,8,5,118512,343
List of places named after Pope John Paul II,2008,2,13,79543,293
Culture of Vatican City,2007,3,0,37041,110
Vatican Pharmacy,2013,4,6,52329,151
Vaticanology,2014,2,2,32744,67
Acta Apostolicae Sedis,2008,11,6,32735,46
Domus Sanctae Marthae,2013,7,11,89083,268
Joaqu%C3%ADn Navarro Valls,2013,4,3,59391,168
Alois Estermann,2011,4,6,38383,62
Vatican City,2012,1,82,314878,1022
Paul VI Audience Hall,2008,12,5,34865,62
Vaticanology,2015,1,2,34911,65
Papal mediation in the Beagle conflict,2010,5,13,73862,144
United States Ambassador to the Holy See,2009,12,6,72812,320
Acta Apostolicae Sedis,2010,4,6,37539,54
Mater Ecclesiae,2013,3,1,38510,67
Anselmo Guido Pecorari,2012,12,4,35080,62
Transport in Vatican City,2013,3,4,62400,230
Vicar General for Vatican City,2011,12,0,31030,57
Geography of Vatican City,2004,5,0,27905,35
Vatican City,2008,1,48,217143,607
Gibraltar Vatican Joint Issue,2013,5,14,57626,99
Tomb of the Julii,2008,3,0,31263,59
Holy See%27s reaction to the 2008 Kosovo declaration of independence,2013,1,14,68497,194
Philatelic and Numismatic Office of the Vatican City State,2009,10,2,47024,137
Federico Lombardi,2012,8,8,39703,69
Vatican Library,2008,5,4,56621,123
Tomb of the Julii,2013,3,0,32317,60
Vatican City,2005,1,0,98658,236
Lateran Treaty,2004,10,0,34783,50
Kaspar von Silenen,2007,9,0,27503,42
Vatican City,2004,3,0,94003,206
Holy See%E2%80%93Mexico relations,2013,8,2,65991,236
Vatican Hill,2006,7,0,33334,70
Economy of Vatican City,2010,11,3,45823,128
Marcelo S%C3%A1nchez Sorondo,2010,9,1,49738,86
The Story of the Vatican,2015,1,1,32811,59
Vatican and Holy See passports,2015,4,3,92431,404
Transport in Vatican City,2008,10,2,44218,131
Vatican Museums,2010,8,2,67320,164
Marshal of the Holy Roman Church and the Sacred Conclave,2010,6,0,31191,56
Alois Estermann,2013,2,6,40891,76
Geography of Vatican City,2005,3,0,29436,37
List of places named after Pope John Paul II,2008,5,15,81805,303
Apostolic Palace,2006,7,0,45213,105
Old St. Peter%27s Basilica,2010,4,5,48895,91
Elmar M%C3%A4der,2008,3,2,26822,44
Angelo Caloia,2011,9,2,34229,56
Vatican Museums,2006,9,0,55707,131
Camillo Ruini,2009,11,1,44729,131
Economy of Vatican City,2009,8,2,39603,101
