filename,year,month,num_citations,file_size,forward_links
Welser,2005,8,0,26820,43
Roman Catholic Diocese of Ciudad Guayana,2013,6,0,45416,100
Electricidad de Caracas,2012,3,2,32869,58
S%C3%BAmate,2008,5,49,97690,302
Jun%C3%ADn 2 oil field,2014,10,1,31993,57
El Callao Municipality,2014,3,6,42163,83
The Discovery of Guiana,2012,9,3,32582,45
South America air forces maneuvers,2010,9,12,62251,108
"Cede%C3%B1o Municipality, Bol%C3%ADvar",2013,2,6,39242,67
List of Venezuelans,2010,2,0,125109,653
New Andalusia Province,2013,4,0,40956,103
Transport in Venezuela,2005,6,0,29657,43
Congress of Angostura,2009,3,0,59839,189
Juan Bautista Mariano Picornell y Gomila,2009,11,0,25187,37
Sim%C3%B3n Bol%C3%ADvar,2007,6,4,107790,365
"Venezuelan constitutional referendum, 2007",2007,5,0,46543,123
Roman Catholic Diocese of Carora,2008,6,0,32857,53
Gran Colombia,2008,3,0,85439,274
Banesco,2009,11,1,40144,91
List of Presidents of Venezuela,2005,7,0,40553,210
Venezuelan Air Force,2012,3,12,84545,218
Roman Catholic Diocese of Barinas,2014,1,0,44488,98
Amazonas State Anthem,2009,8,0,27352,40
Andr%C3%A9s Bello Catholic University,2012,9,3,38262,59
"Independencia, Venezuela",2011,12,6,38605,66
"Bol%C3%ADvar, Barinas",2008,3,7,37504,56
Venezuelan Federation of Chambers of Commerce,2006,12,0,26627,40
Sim%C3%B3n Bol%C3%ADvar,2011,5,28,227371,816
Santiago Mari%C3%B1o,2011,7,15,60698,134
Alberto Arvelo Torrealba Municipality,2010,3,6,40398,62
Jacqueline Saburido,2007,6,0,36088,55
Instituto de Estudios Superiores de Administraci%C3%B3n,2011,12,4,31261,50
Plan %C3%81vila,2005,10,0,24596,37
List of Presidents of Venezuela,2014,8,8,149294,468
Alonso de Ojeda,2013,1,7,78496,185
Corimon,2013,8,0,34238,85
Roman Catholic Diocese of Los Teques,2013,4,0,45246,99
Venezuela,2010,1,74,328193,1024
Bolivarian Revolution,2008,10,63,151928,362
Confederaci%C3%B3n de Trabajadores de Venezuela,2006,2,0,28147,48
Congress of C%C3%BAcuta,2007,4,0,47087,117
"Acevedo, Venezuela",2012,6,6,39375,71
Frescolita,2013,2,2,38508,155
Geography of Venezuela,2002,9,0,27626,33
Gran Colombia,2010,5,11,131260,490
CADIVI,2010,4,5,28315,29
Caracas Stock Exchange,2008,12,2,53508,171
Punto Fijo Pact,2006,7,0,33951,86
Shortages in Venezuela,2015,2,82,150134,128
Rafael N%C3%BA%C3%B1ez (hacker),2007,5,0,27519,49
Spanish reconquest of New Granada,2007,9,0,33254,86
Juan Carlos Chirinos,2012,4,1,37942,55
Venezuelan Army,2009,1,0,43622,147
Bolivarian Revolution,2004,3,0,25203,25
Bolivarian Circles,2005,8,0,25245,32
Mission Robinson,2014,5,4,46877,118
Rodrigo Granda affair,2010,2,0,57329,179
Antonio Ricaurte,2009,9,4,37869,84
Venezuelan Ministry of Environment and Natural Resources,2015,1,0,36182,81
Antonio D%C3%ADaz Municipality,2011,9,6,39996,68
Pedro Camejo,2011,7,0,31387,56
Aricagua Municipality,2008,12,6,37155,59
Atures Municipality,2012,6,6,38898,63
Kuken%C3%A1n tepui,2011,12,2,34972,61
Roman Catholic Diocese of Barcelona,2013,4,0,45724,100
Economy of Venezuela,2006,8,1,87706,403
"Venezuelan presidential election, 2006",2010,7,89,191751,288
List of Venezuelans,2005,4,0,43455,172
Bank of the South,2012,3,12,81304,265
BBVA Provincial,2010,11,0,37484,92
Orinoco Belt,2010,2,6,53455,121
Alto Orinoco Municipality,2011,12,6,41615,67
Noticiero Digital,2011,1,16,56193,66
"Movement for a Responsible, Sustainable and Entrepreneurial Venezuela",2012,11,1,47999,103
Llanero,2014,1,0,41379,110
Pedro Camejo,2015,1,0,32673,57
Flora of Venezuela,2012,2,4,51302,173
Roman Catholic Diocese of Barcelona,2014,1,0,45778,100
Alto Orinoco Municipality,2008,8,6,40450,74
Venezuelan War of Independence,2011,3,2,78346,297
Venezuelan War of Independence,2008,4,2,57056,234
History of Venezuela (1999%E2%80%93present),2012,7,183,261863,408
Military career of Sim%C3%B3n Bol%C3%ADvar,2009,12,8,134387,507
Cabruta,2010,5,1,31596,55
Corruption in Venezuela,2009,11,5,32509,55
Outline of Venezuela,2011,11,6,101609,304
Famasloop,2012,8,0,34749,84
Venezuela,2009,4,56,297978,979
Foreign aid to Venezuela,2006,1,0,31557,68
"Bol%C3%ADvar, T%C3%A1chira",2008,10,6,38984,63
Sim%C3%B3n Bol%C3%ADvar,2008,11,6,151758,492
Caracciolo Parra Olmedo Municipality,2011,12,6,38998,60
Venezuelan Air Force,2011,4,10,75039,180
M%C3%A9rida cable car,2012,3,1,35355,53
Sim%C3%B3n Bol%C3%ADvar,2006,4,3,87978,197
Democratic Unity Roundtable,2012,3,4,37545,66
"Venezuelan presidential election, 2006",2006,11,53,134897,239
Academic grading in Venezuela,2010,10,0,42108,120
Education in Venezuela,2009,8,2,57326,180
"Jim%C3%A9nez Municipality, Lara",2013,2,6,38157,68
Francisco Linares Alc%C3%A1ntara Municipality,2010,5,5,40274,62
Index of Venezuela related articles,2007,9,0,29847,67
Rafael N%C3%BA%C3%B1ez (hacker),2009,12,3,32691,53
Transport in Venezuela,2008,1,1,56922,199
Frescolita,2004,11,0,22652,28
List of Venezuelans,2010,12,0,128663,669
"Chimire, Venezuela",2013,8,7,44896,59
Public holidays in Venezuela,2012,5,0,53505,204
Arzobispo Chac%C3%B3n Municipality,2013,2,6,38728,64
Carmona Decree,2013,10,8,38870,59
Roman Catholic Archdiocese of Maracaibo,2007,9,0,31806,53
Economic policy of the Hugo Ch%C3%A1vez government,2015,2,170,286355,318
History of Roman Catholicism in Venezuela,2009,12,0,24662,27
Economy of Venezuela,2012,8,73,175205,340
Bolivarian diaspora,2015,4,32,97441,103
Viceroyalty of New Granada,2004,1,0,33240,45
List of Presidents of Venezuela,2008,12,5,134908,417
Antonio Pinto Salinas Municipality,2008,10,6,38420,60
Corruption in Venezuela,2009,7,5,31867,54
History of the Venezuelan oil industry,2010,1,25,75253,83
Juan Manuel Cajigal Municipality,2012,6,5,38359,60
Bolivarian Circles,2013,3,7,45565,103
Economy of Venezuela,2011,6,48,135685,288
Sim%C3%B3n Bol%C3%ADvar,2014,5,43,239448,781
List of Miss Venezuela editions,2010,10,0,46146,224
Bolivarian Circles,2014,12,7,47265,104
Lake tanker,2015,5,6,89438,66
Venezuelan Army,2008,7,0,40234,138
Barinas Municipality,2013,2,6,38276,67
Venezuelan Army,2007,9,0,40232,136
Venezuelan Army,2013,8,10,118533,300
Orinoco Belt,2012,1,6,53522,116
Geography of Venezuela,2012,9,0,70512,238
Venezuelan venezolano,2013,2,0,50304,76
Gran Sabana Municipality,2011,10,6,37746,61
Adrenalina Caribe,2009,1,0,29208,53
Jos%C3%A9 N%C3%BA%C3%B1ez de C%C3%A1ceres,2011,1,5,60553,124
Women%27s Development Bank,2010,6,0,32060,51
Corpozulia,2007,5,0,30707,59
Battle of La Victoria (1812),2009,3,0,33172,66
Venezuelans,2012,7,32,77218,180
Jacqueline Saburido,2011,5,9,43420,69
List of Venezuelan cooperatives,2008,6,0,43000,134
Casacoima Municipality,2014,10,6,38960,55
Index of Venezuela related articles,2015,3,0,95152,337
Mission Habitat,2015,1,2,41123,113
Economy of Venezuela,2012,12,76,184329,345
List of Presidents of Venezuela,2008,6,4,132066,494
List of First Ladies of Venezuela,2011,12,0,52722,119
Plan %C3%81vila,2014,4,7,35056,57
List of anthems of Venezuela,2006,1,0,28556,63
Eastern Region (Venezuela),2013,11,0,28771,47
Los Salias,2014,8,6,38267,62
Esmeralda%E2%80%93Yaruroan languages,2011,5,0,62605,360
Liberalism in Venezuela,2006,1,0,44707,149
Corimon,2012,2,0,31988,75
Banesco,2014,1,1,41689,86
Carlos Ortega,2008,10,11,33642,64
Venezuelan National Guard,2014,6,27,89161,127
La Orchila,2009,9,2,61907,213
Jennifer Sa%C3%A1,2014,10,0,27320,40
1945 Venezuelan coup d%27%C3%A9tat,2014,12,1,42772,89
Captaincy General of Venezuela,2010,6,3,58275,161
Sim%C3%B3n Bol%C3%ADvar,2012,11,37,229266,743
Llanero,2009,9,0,36775,85
Venezuelan War of Independence,2009,12,2,64685,233
