filename,year,month,num_citations,file_size,forward_links
Quan h%E1%BB%8D,2010,7,2,32552,59
Nelumbo nucifera,2007,8,2,61133,111
L%C3%BD Thi%C3%AAn B%E1%BA%A3o,2009,8,0,39406,83
Vietnam War,2008,11,167,464264,1364
Vietnam Human Rights Network,2014,12,12,43105,38
AH1,2012,9,4,97919,416
Thanh Ni%C3%AAn H%C3%A0nh Kh%C3%BAc,2007,1,0,38341,56
Environmental issues in Vietnam,2009,3,0,38363,67
Thuong Nguyen Cuc Foshee,2011,6,4,28859,53
%C3%81o g%E1%BA%A5m,2012,11,2,48629,262
Dispatches (book),2007,8,0,27875,46
Bank for Investment and Development of Vietnam,2010,11,7,44469,78
Central Intelligence Office,2014,4,2,33984,60
B%C3%A1nh khoai m%C3%AC,2008,3,0,27131,45
Ti%E1%BA%BFn Qu%C3%A2n Ca,2011,2,0,54165,152
Politics of Vietnam,2010,9,0,97863,426
Religion in Vietnam,2014,3,69,179567,503
Ti%E1%BA%BFn Qu%C3%A2n Ca,2006,2,0,33587,37
Qu%E1%BB%91c B%E1%BA%A3o,2012,9,0,29764,49
People%27s Action Party of Vietnam,2013,12,0,33969,64
Nguy%E1%BB%85n Thi%E1%BB%87n Nh%C3%A2n,2014,9,2,42634,103
Vietnam People%27s Navy,2012,1,25,189424,458
Land reform in North Vietnam,2013,3,25,56816,68
Vietnamese democracy movement,2011,3,3,29681,45
Action of 1 March 1968,2013,9,22,120693,419
Yahoo! 360%C2%B0,2013,7,7,65536,193
Phu Cat Airport,2013,9,2,60367,122
History of Vietnam,2003,5,0,34925,74
Flag of Vietnam,2006,11,1,59921,72
Religion in Vietnam,2007,5,3,55685,176
Template:Vietnam party stub,2009,3,0,21968,31
U.S. Vietnam Dialogue Group on Agent OrangeDioxin,2011,1,7,38365,54
Xuyen Pham,2007,2,1,27529,70
Red River system,2009,8,0,28655,56
Ming Shilu,2011,7,2,29126,45
Indochina Wars,2015,4,0,58182,171
List of historical capitals of Vietnam,2010,11,0,30234,72
Vehicle registration plates of Vietnam,2011,7,0,43060,155
Yahoo! 360%C2%B0,2007,11,2,49629,181
Economy of Vietnam,2009,7,4,104831,236
Presidential Guard (South Vietnam),2013,11,0,43483,132
Roman Catholic Archdiocese of Hu%E1%BA%BF,2009,6,2,37018,84
L%C6%B0u Th%E1%BB%8B Di%E1%BB%85m H%C6%B0%C6%A1ng,2013,11,4,89083,228
Template:Dong Son culture,2012,8,0,23771,39
War in Vietnam (1954%E2%80%9359),2014,10,25,98365,157
Military history of Vietnam,2012,2,0,41311,87
Vietnam Airlines,2013,7,150,428033,914
Template:Vietnamese independence movement,2009,6,0,39068,96
History of Vietnam,2008,5,4,194372,776
Economy of Vietnam,2011,10,20,140753,410
AH1,2008,2,3,44850,174
Hai Phong University,2008,10,0,31743,56
Nelumbo nucifera,2015,3,14,120155,467
Constitution of the Socialist Republic of Vietnam,2005,5,0,27252,38
Quan h%E1%BB%8D,2009,4,1,31053,61
