filename,year,month,num_citations,file_size,forward_links
Maritime Jewel,2011,1,5,45836,98
Water supply and sanitation in Yemen,2012,4,26,127196,266
Mudhaffar Mosque,2012,12,0,27933,49
Al Aswad Al Ansi,2009,9,0,29359,53
Anglo Ottoman Convention of 1913,2008,9,0,27762,48
History of Yemen,2008,9,26,126259,474
Ziyadid dynasty,2013,9,15,44068,110
Hadhramaut,2013,3,12,63436,172
Arabian Desert,2011,11,5,74666,276
Yemen Scouts and Guides Association,2006,11,0,30363,44
Dhu Nuwas,2005,7,0,27226,47
Al Sabeen Maternal Hospital,2011,7,2,30383,48
Yemeni Revolution,2011,6,165,366944,899
Aden Trade Union Congress,2014,7,3,41660,105
Aden International Airport,2009,3,0,36359,58
Prime Minister of Yemen,2009,8,0,37905,83
Al Mansur al Husayn,2015,1,1,27627,49
South Arabia,2014,7,8,49199,180
Gold Mohur Hotel,2014,12,1,31308,56
Ziyadid dynasty,2013,10,15,40691,102
Blasphemy law in Yemen,2014,3,13,50475,77
Template:Yemen stub,2013,3,0,34047,48
.ye,2008,3,0,68848,412
Qu%27aiti,2010,10,2,45517,102
Dhu Nuwas,2013,9,7,38659,77
Emblem of Yemen,2009,10,0,55128,187
Supreme People%27s Council (South Yemen),2012,12,1,25989,43
Al Mansur al Qasim,2012,3,3,31946,63
Al Akhdam,2014,11,10,61281,213
History of Yemen,2004,2,0,41754,53
Salim Hamdan,2008,5,24,84926,193
2014 Rada%27 bombings,2015,1,8,45326,95
Mehri people,2012,11,1,34777,78
Upper Yafa,2010,3,0,34711,64
Turan Shah,2013,3,7,53943,167
Economy of Yemen,2008,9,2,83789,186
Tahiride,2014,1,7,37332,78
Yemen,2009,7,32,239601,855
Alwaziri coup,2013,9,2,70253,267
Queen of Sheba,2010,12,23,110048,326
John P. O%27Neill,2008,12,3,47077,131
Arabian Desert,2010,12,5,75751,280
Yemeni Socialist Party,2010,7,0,38725,71
Aden Protectorate,2005,12,0,54167,164
Transport in Yemen,2008,12,1,46092,134
Sabaeans,2004,7,0,27495,32
House of Folklore,2012,6,2,33655,64
Dhu Nuwas,2004,9,0,25315,38
Al Aswad Al Ansi,2010,11,0,31245,58
Yemeni rial,2009,2,0,65922,165
Ancient history of Yemen,2008,8,22,72516,201
Al Mu%27ayyad Muhammad,2012,3,3,32528,63
House of Representatives (Yemen),2015,1,0,85226,343
Al Mahdi Ibrahim,2011,11,3,29886,54
Islamic Jihad of Yemen,2011,9,5,40401,80
Vahriz,2013,9,1,32505,62
Federation of Arab Emirates of the South,2013,10,0,42967,83
Kaleb of Axum,2007,11,10,41716,94
Yemeni Air Force,2008,2,2,44933,99
Aden Abyan Islamic Army,2014,12,0,30852,60
Siege of Sana%27a (570),2015,3,1,30166,59
Emirate of Beihan,2013,7,0,37074,64
Al Mukhtar al Qasim,2013,5,3,27330,46
Anglo Ottoman Convention of 1913,2009,5,0,27718,43
Qu%27aiti,2009,8,2,44825,92
Al Mahdi al Husayn,2012,7,2,28577,58
Yemen,2003,7,0,60834,47
Eritrea%E2%80%93Yemen relations,2013,8,1,42988,101
Hamdanid sultans,2013,5,4,31953,64
Yemeni passport,2010,1,2,77922,347
Sayhad,2013,3,1,27979,49
Prime Minister of Yemen Arab Republic,2008,7,0,40425,185
An Nasir Muhammad,2011,2,2,27850,49
Muhammad bin Yahya Hamid ad Din,2011,11,8,35766,69
List of diplomatic missions in Yemen,2015,1,13,93571,219
Al Mansur al Qasim,2013,4,4,33631,68
HMS Bodenham (M2609),2006,10,0,26385,38
Shabab Yemeni,2014,9,0,32693,53
Al Mu%27ayyad Muhammad,2013,3,3,32446,63
Sabaean language,2011,2,3,36797,73
Ta%27izzi Adeni Arabic,2011,9,1,56029,152
South Arabia,2008,12,6,34969,93
Sulayhid dynasty,2013,6,9,38306,76
Banu Judham,2011,8,0,25572,45
Upper Yafa,2010,12,0,34252,60
Outline of Yemen,2012,11,3,98240,308
Qu%27aiti,2005,9,0,29134,60
Maflahi,2010,12,0,28929,51
Sheba,2014,10,32,105711,422
Military of Yemen,2011,3,3,121032,329
Taiz International Airport,2011,2,1,36757,54
List of Speakers of the Assembly of Representatives of Yemen,2009,5,1,25129,29
Yemeni Socialist Party,2007,8,0,36001,60
Sheba,2012,10,16,97972,416
USS Cole bombing,2006,8,0,38712,94
Yemen,2014,8,289,700844,2050
Dathina,2010,12,0,31888,61
An Nasir Muhammad,2010,3,2,26483,43
Arabian Desert,2009,11,6,69926,274
Turan Shah,2009,6,1,32888,53
Almaqah,2008,2,0,33540,64
Yemeni Socialist Party,2013,7,8,52625,110
Military of Yemen,2012,8,9,97424,285
Jamal Ahmad Mohammad Al Badawi,2008,1,12,48845,112
Queen of Sheba,2007,3,7,69183,172
Geography of Yemen,2007,11,0,43435,127
Shaib,2011,2,0,31798,60
Salim Hamdan,2006,1,0,29031,58
Internet in Yemen,2008,10,5,42581,100
Queen Arwa University,2015,4,3,44796,55
Dhu Nuwas,2010,7,5,34974,73
Outline of Yemen,2009,2,2,88548,269
Kathiri,2013,1,0,35493,69
Sayun Airport,2009,9,0,31812,54
Kingdom of Awsan,2008,12,0,27516,39
Al Mansur an Nasir,2012,10,4,29953,58
Rassids,2014,5,18,65895,196
Qaed Salim Sinan al Harethi,2015,2,4,33560,57
Rasulid dynasty,2009,1,0,31354,58
Ancient history of Yemen,2008,6,23,72670,205
Imams of Yemen,2010,3,4,40423,84
Zabur,2013,11,11,93619,445
Legal system of Yemen,2013,3,1,38785,59
Socotra Airport,2015,1,1,41154,93
Marib Dam,2010,8,0,35893,77
HMS Bodenham (M2609),2011,5,0,56788,200
Bridge of the Horns,2009,9,5,36495,68
State feminism,2011,3,11,85331,396
USS Cole bombing,2012,12,57,141866,343
Sultanate of Lahej,2011,7,1,40442,80
Jamal Ahmad Mohammad Al Badawi,2010,1,13,50528,78
Prime Minister of Yemen,2010,11,0,38221,84
Minister of Foreign Affairs of Yemen,2015,1,0,24413,36
Sheba,2008,12,1,46447,148
Kaleb of Axum,2011,6,10,45009,95
Emblem of Yemen,2009,5,0,55165,189
Fahsa,2011,10,0,27411,47
Emblem of Yemen,2006,10,0,50902,53
Yemeni passport,2009,7,0,117490,388
Emblem of Yemen,2013,2,0,52588,146
Sana%27a International School,2006,6,0,27591,46
Ta%27izzi Adeni Arabic,2011,11,1,56000,152
Al Mahdi Salah ad Din,2011,8,4,28582,52
Template:Years in Yemen,2013,1,0,54871,33
Bathari language,2013,10,2,57830,154
Salim Hamdan,2010,4,61,184856,336
Al Mansur Muhammad,2011,1,3,28855,55
Emirate of Beihan,2011,5,0,36914,58
Ammar Abadah Nasser al Wa%27eli,2010,11,7,41865,76
Military of Yemen,2008,6,0,49646,165
Haushabi,2011,8,0,32388,64
Pakistan%E2%80%93Yemen relations,2012,4,0,59394,201
Awwam,2013,3,0,28270,48
Queen Arwa University,2009,7,0,32928,60
Queen of Sheba,2010,10,22,103365,288
Mehri people,2015,1,3,39987,93
Nasserist Unionist People%27s Organisation,2007,8,3,35440,66
Imams of Yemen,2011,8,7,57292,146
Al Mahdi Muhammad,2012,8,6,34279,72
Wadi Dawan,2011,3,4,40314,94
Qahtanite,2004,7,0,24193,28
Colony of Aden,2011,3,17,104436,377
Aden Protectorate,2007,3,0,54028,170
Upper Yemen,2010,4,0,27996,54
An Nasir Ahmad,2012,11,4,30805,63
Yemeni Air Force,2015,1,14,86462,236
Lower Yafa,2009,9,0,31812,50
Ta%27izzi Adeni Arabic,2009,10,1,56153,151
Epistle to Yemen,2006,10,0,26292,43
Salim Hamdan,2005,11,0,25556,41
Al Mansur Ali I,2011,1,3,30159,53
Ziyadid dynasty,2009,5,0,27526,46
Cabinet of Yemen,2013,1,2,76440,217
History of Yemen,2005,8,0,51964,186
Colony of Aden,2005,9,0,32574,55
USS Cole bombing,2006,9,0,41555,108
Rasulid dynasty,2010,9,0,32820,63
Queen of Sheba,2006,8,6,58242,123
Marib Dam,2013,4,15,57160,102
Nasserist Unionist People%27s Organisation,2015,1,3,37826,71
Lower Aulaqi Sultanate,2013,7,0,35221,72
Emblem of Yemen,2014,5,0,54201,142
Al Hadi Muhammad,2010,1,2,29033,60
Colony of Aden,2014,4,21,120522,414
Islamic history of Yemen,2008,5,0,42582,94
Yemen,2010,7,78,299519,897
Democratic Republic of Yemen,2015,2,1,41750,83
Nageeb al Hadi,2010,8,3,56025,209
Prostitution in Yemen,2015,2,3,37738,99
Sabaeans,2005,7,0,29340,40
Sheba,2013,11,32,106579,422
Alawi (sheikhdom),2010,6,0,33772,65
Yemeni Socialist Party,2012,10,0,45202,102
Queen of Sheba,2007,4,7,69290,172
Qahtanite,2012,3,3,70639,389
Fishing in Yemen,2013,12,1,36380,49
Yemen at the 2005 West Asian Games,2015,4,1,40840,84
List of Yemen related topics,2008,1,0,126683,786
Muhammad ash Shawkani,2014,3,7,37081,67
Aden International Airport,2013,6,2,51899,105
Geography of Yemen,2010,3,2,56691,172
Muhammad ash Shawkani,2007,6,7,34948,56
Dhu Nuwas,2010,2,5,34651,72
Telecommunications in Yemen,2008,6,0,41751,118
Sayyid Alavi Thangal,2014,11,5,51261,147
Yufirids,2013,6,7,33829,62
Prostitution in Yemen,2009,1,2,35057,94
Colony of Aden,2011,1,17,103724,370
Politics of Yemen,2010,3,2,69493,190
Kaidun meteorite,2006,3,3,28622,48
Islamic Jihad of Yemen,2010,7,5,29978,45
Qahtanite,2007,2,0,29548,62
Sheba,2007,4,0,37534,89
Sayyid Alavi Thangal,2013,2,2,52830,147
Zabur,2014,9,12,96903,458
Sabaeans,2014,8,20,96982,369
Dathina,2013,2,0,32317,64
Alwaziri coup,2014,1,2,70931,266
Federation of Arab Emirates of the South,2007,11,0,37957,80
Mahdids,2013,10,4,31672,61
Ba %27Alawi sada,2014,4,2,35960,80
John P. O%27Neill,2005,8,0,34955,95
Transport in Yemen,2012,7,7,58073,179
List of Yemenis,2008,1,0,36783,159
Ancient history of Yemen,2008,4,23,72058,198
Queen of Sheba,2010,2,19,113372,354
Queen of Sheba,2007,12,11,86228,254
Aden Protectorate,2014,6,2,68500,210
Nasserist Unionist People%27s Organisation,2009,3,3,34086,62
Yemen Post,2013,8,0,33980,94
Zabur,2011,7,11,52828,172
Ahmad al Muhajir,2012,10,5,38185,85
Ahmad al Muhajir,2008,3,0,30444,68
Yahya bin Muhammad as Siraji,2013,7,4,32636,62
Politics of Yemen,2002,6,0,28545,27
Abu%27l Fath an Nasir ad Dailami,2015,2,3,33936,65
Al Wathiq al Mutahhar,2010,12,3,26003,42
Hadhramaut,2011,3,10,57342,158
Sheba,2006,9,0,36303,77
Turan Shah,2009,5,1,32633,47
Geography of Yemen,2010,1,2,54072,162
Islamic Jihad of Yemen,2014,8,5,41131,83
Template:Yemen party stub,2010,9,0,30337,56
Fadhli Sultanate,2010,7,0,34735,59
Hubasha,2014,5,4,28805,53
Minaeans,2009,8,0,33047,65
Mahra Sultanate,2010,1,0,34365,70
Vahriz,2013,12,7,31250,51
Prime Minister of Yemen Arab Republic,2004,7,0,36938,178
John P. O%27Neill,2002,5,0,24349,29
An Nasir Ali bin Salah,2012,8,3,29708,51
Turan Shah,2012,1,7,49852,137
Maritime Jewel,2011,4,5,45180,100
Kaidun meteorite,2014,5,5,151151,989
Qahtanite,2010,3,4,47072,139
Abu%27l Fath an Nasir ad Dailami,2013,3,3,32636,65
Timeline of Yemeni history,2015,5,15,115571,183
Telecommunications in Yemen,2007,8,0,40232,107
.ye,2010,1,0,69086,411
HMS Bodenham (M2609),2014,7,0,56375,196
Economy of Yemen,2009,7,4,86393,194
Arethas (martyr),2014,12,4,33981,61
Prime Minister of Yemen,2012,6,0,62560,226
Revenue stamps of Aden,2013,5,2,59638,165
History of Yemen,2006,8,17,120118,514
Yemen German Hospital,2012,12,2,33507,55
House of Representatives (Yemen),2009,12,0,59816,161
Colony of Aden,2014,1,21,118377,406
Dimaj Institute,2010,4,3,34751,66
Bruce Conde,2009,10,0,27954,50
Kathiri,2011,2,0,35835,76
Hodeidah University,2011,5,0,34319,81
Timeline of Yemeni history,2009,7,0,41298,133
Ziyadid dynasty,2005,9,0,25132,39
Himyarite Kingdom,2015,3,12,83061,142
History of Yemen,2004,11,0,49369,178
President of Yemen Arab Republic,2013,11,2,38800,70
Emirate of Beihan,2005,10,0,28227,45
Template:YemenPresidents,2012,11,0,25219,37
Yemeni Confederation of Labor Unions,2007,4,0,30058,50
Greater Yemen,2015,1,0,35318,116
Kindah,2014,8,6,39563,82
Salim Hamdan,2009,11,61,183640,338
Politics of Yemen,2009,12,2,69791,192
Amin Saad Muhammad al Zumari,2010,10,6,40198,76
Upper Aulaqi Sultanate,2012,11,0,33521,60
Al Aswad Al Ansi,2011,9,0,33835,76
Yemen,2008,12,32,235857,843
President of Yemen Arab Republic,2013,2,2,38929,76
Najahid dynasty,2013,10,5,32134,57
South Arabia during World War I,2014,10,4,124288,458
Yemen,2001,11,0,60237,36
Al Mansur Ali II,2012,1,7,36638,71
Marib Dam,2010,7,0,35416,77
Oman%E2%80%93Yemen relations,2012,4,3,43471,92
List of diplomatic missions in Yemen,2013,3,0,74783,176
Politics of Yemen,2005,10,0,41599,120
Dar as Sa%27d,2015,1,0,28575,52
Al Mukhtar al Qasim,2010,12,2,26423,43
Wadi Dawan,2011,10,4,40901,99
Taiz International Airport,2007,8,0,29438,42
Aden Abyan Islamic Army,2006,3,0,26472,44
Himyarite Kingdom,2013,9,8,73186,129
LGBT rights in Yemen,2011,1,9,62885,227
Kaidun meteorite,2007,2,3,30795,54
