filename,year,month,num_citations,file_size,forward_links
Chizongwe Secondary School,2009,8,4,32139,53
List of Zambians,2007,1,0,30928,61
Postage stamps and postal history of Zambia,2010,9,1,54536,189
Portal:Zambia,2011,2,0,82031,262
Barotseland,2011,9,6,43336,139
Kafue Gorge Upper Power Station,2009,10,1,30536,46
Luapula Province border dispute,2006,6,0,61598,68
Distro Kuomboka,2008,11,0,28394,52
History of Christianity in Zambia,2012,1,106,119905,112
Copperbelt University,2012,12,0,31889,47
Outline of Zambia,2014,11,2,144769,670
Rail transport in Zambia,2006,8,0,25717,36
Barotse Floodplain,2012,1,8,48549,134
Climate of Zambia,2013,12,0,46703,141
International Coffee Agreement,2015,1,19,68689,118
Roman Catholic Archdiocese of Kasama,2013,3,0,38312,67
Zambia Forestry College,2012,10,0,29424,52
British South Africa Company,2004,9,0,29721,46
Southern Africa Freedom Trail,2014,12,9,34053,42
Federation of Rhodesia and Nyasaland,2008,9,0,98097,219
Roman Catholic Diocese of Mongu,2011,2,0,33148,55
Zambian Defence Force,2008,9,2,41305,131
List of Zambians,2011,8,0,55001,240
Ecoregions of Zambia,2010,10,1,54311,106
Intermarket Bank,2010,10,6,36324,71
Jenkem,2013,8,39,90200,177
Monuments and Historic Sites of Zambia,2007,5,2,51624,147
Index of Zambia related articles,2008,5,0,67606,399
Copperbelt strike of 1935,2005,12,0,25376,41
List of Vice Presidents of Zambia,2013,2,1,50184,153
Mambwe people,2007,11,0,27920,44
Mpezeni,2013,3,1,28931,60
Second Congo War,2014,6,38,187969,522
Second Congo War,2008,9,20,176861,570
Mbunda Lukwakwa,2014,12,4,31302,43
Zamtel,2006,11,0,27981,50
Ngoma Airport,2008,10,0,27626,44
ZEPRS,2008,10,3,41004,61
Roman Catholic Diocese of Mpika,2011,6,0,35188,53
Jenkem,2009,6,31,102872,273
British South Africa Company,2006,5,0,33317,59
National Democratic Focus,2007,6,0,31966,62
Roman Catholic Archdiocese of Kasama,2014,11,0,40234,68
Transport in Zambia,2006,2,0,38645,115
Zambian traditional ceremonies,2008,2,0,23875,29
Outline of Zambia,2008,6,0,66298,139
