filename,year,month,num_citations,file_size,forward_links
Southerns cricket team,2014,10,1,36334,84
Manicaland cricket team,2011,4,1,38208,100
International rankings of Zimbabwe,2012,12,1,25737,40
Daniel Rowland (runner),2013,10,28,58584,38
Indigenisation and Economic Empowerment Act,2014,11,6,39071,44
Kalahari Acacia Baikiaea woodlands,2009,4,2,27749,56
Great Zimbabwe,2003,12,0,34460,40
History of Zimbabwe,2013,1,92,202697,436
Zimbabwe National Army,2013,6,15,79993,185
Samuel Sipepa Nkomo,2014,8,4,44104,99
Ubuntu (philosophy),2011,4,14,82164,150
Archbishop of Harare,2008,4,0,27720,52
Land reform in Zimbabwe,2004,11,0,39910,71
Khami,2004,10,0,27115,32
Pebbly Arkose Formation,2012,5,9,54195,91
Roman Catholic Diocese of Chinhoyi,2009,4,0,32860,45
Ministry of Labour and Social Welfare (Zimbabwe),2009,2,2,28616,40
Mazvikadei Dam,2010,10,1,30404,46
Colonial history of Southern Rhodesia,2007,11,6,55856,94
Samuel Sipepa Nkomo,2013,3,2,37893,82
Zimbabwe People%27s Revolutionary Army,2007,12,0,32285,61
No independence before majority rule,2008,9,1,27458,45
Terence Ranger,2014,8,4,40392,84
Rhodesian Bush War,2011,12,88,261888,756
Rhodesia,2012,3,58,220742,612
Federation of Rhodesia and Nyasaland,2008,9,0,98097,219
Rhodesia%27s Unilateral Declaration of Independence,2006,7,0,61700,190
Zimbabwe National Army,2009,9,0,56905,141
Oscar Machapa,2015,1,6,35195,50
Operation Murambatsvina,2006,4,28,74459,168
White people in Zimbabwe,2012,1,146,219601,468
List of Zimbabweans,2009,8,0,38337,151
Nehanda Nyakasikana,2014,7,6,39179,63
Lookout Masuku,2008,10,2,33219,63
Torwa dynasty,2013,3,0,36342,77
Internal Settlement,2006,2,0,24590,37
Terence Ranger,2005,8,0,24682,34
Index of Zimbabwe related articles,2007,8,0,46117,190
Harare International School,2006,6,0,30344,54
Mazvikadei Dam,2014,7,1,33651,52
Kingdom of Zimbabwe,2010,3,1,49974,100
SW Radio Africa,2006,11,0,25945,45
Nehanda Nyakasikana,2008,12,4,35369,72
Second Congo War,2014,6,38,187970,522
Gukurahundi,2008,6,9,40275,74
SW Radio Africa,2012,7,0,31194,67
Senate of Zimbabwe,2012,5,1,56336,242
Women of Zimbabwe Arise,2012,3,6,42205,95
Neria,2005,2,0,22699,31
Standard Chartered Zimbabwe,2012,1,6,49558,140
List of diplomatic missions in Zimbabwe,2009,1,2,73928,129
Chimurenga,2010,10,5,43818,104
Second Congo War,2008,9,20,176860,570
Zimbabwe Defence Forces,2007,12,0,41138,124
Racism in Zimbabwe,2012,6,5,42709,60
Outline of Zimbabwe,2014,12,3,124275,485
Ubuntu (philosophy),2014,3,25,152615,501
Ubuntu (philosophy),2012,11,20,95507,160
Portal:Zimbabwe,2012,8,0,56670,127
Cabinet of Zimbabwe,2013,4,1,63485,250
RENAMO,2015,2,24,70375,138
Rhodesian Bush War,2008,12,31,124836,390
Template:History of Zimbabwe,2009,5,0,36826,65
Rhodesia (region),2009,10,2,33289,66
Ezekiel H. Guti,2011,1,2,36954,74
Civil Aviation Authority of Zimbabwe,2013,1,3,36726,56
Oliver Saunyama,2014,2,0,32055,52
Hwata dynasty,2011,9,0,47683,58
RENAMO,2006,3,0,38722,87
Julia Tukai Zvobgo,2014,11,25,47570,34
Public holidays in Zimbabwe,2013,3,0,55843,234
Apostles of Johane Maranke,2006,12,0,27981,46
"World%27s View, Nyanga",2005,8,0,24968,39
Oscar Machapa,2014,2,6,35312,54
Zimbabwe,2006,6,11,136565,340
Rhodesian Bush War,2010,5,56,163636,426
Zimbabwe Defence Forces,2009,6,0,44385,123
Education in Zimbabwe,2011,12,11,51813,130
RENAMO,2014,4,24,67028,131
Apostles of Johane Maranke,2007,2,0,28597,50
Arnold Tsunga,2008,5,1,28245,43
Zimbabwe,2002,8,0,62491,45
Land reform in Zimbabwe,2010,3,14,82395,123
Zimbabwe Rhodesia,2012,7,1,61606,157
Zimbabwe African National Union,2013,7,8,54543,120
.zw,2010,8,0,66402,398
N2 road (Zimbabwe),2014,2,0,26927,46
Geography of Zimbabwe,2003,10,0,27823,47
Mike Campbell (Pvt) Ltd v Zimbabwe,2010,6,23,49899,45
Gokomere,2010,7,0,33142,81
Zimbabwe,2005,5,0,101817,310
Scouting and Guiding in Zimbabwe,2009,3,0,39933,124
Languages of Zimbabwe,2012,2,0,98055,465
Sport in Zimbabwe,2012,3,7,51488,128
LGBT rights in Zimbabwe,2013,1,21,62911,171
Chipinge District,2013,10,0,24661,40
Ezekiel H. Guti,2010,7,2,35705,75
Second Congo War,2007,10,11,139560,417
Great Zimbabwe,2014,11,86,179515,296
National Association of NGOs,2013,5,4,28387,36
Pink Map,2014,4,62,85298,149
Operation Murambatsvina,2007,8,32,81484,185
Outline of Zimbabwe,2009,6,2,131368,485
Gazaland,2014,1,0,31338,66
Geography of Zimbabwe,2009,9,0,59808,229
Great Zimbabwe,2009,5,10,77024,164
Shawasha,2010,7,0,27730,51
Donald Ngoma,2014,4,6,35459,55
Terence Ranger,2007,11,3,30227,51
List of diplomatic missions of Zimbabwe,2013,2,0,71523,216
Tererai Trent,2012,2,9,42246,47
Politics of Zimbabwe,2013,7,7,112938,430
Colonial history of Southern Rhodesia,2010,9,7,66781,143
Zimbabwe African National Liberation Army,2013,12,0,41277,107
Portal:Zimbabwe,2008,5,0,55898,121
Bindura Nickel Corporation,2009,1,0,29536,61
.zw,2010,9,0,68164,405
Geography of Zimbabwe,2008,9,0,54580,210
Khami,2013,1,0,41765,69
Minister of State in the Deputy Prime Minister%27s Office (Zimbabwe),2009,2,1,27654,37
Harare International School,2015,1,1,54418,97
List of hospitals in Zimbabwe,2013,1,0,41692,58
Lookout Masuku,2008,12,2,29304,51
Zimbabwe,2010,4,168,484689,1579
Ishe Komborera Africa,2014,2,2,26938,32
"Mount Pleasant School, Harare",2009,1,5,31759,49
Gweru Polytechnic Institute,2009,3,0,28097,44
Ubuntu (philosophy),2005,2,0,32193,36
Zimbabwe Express Airlines,2010,10,0,33255,67
Malnutrition in Zimbabwe,2013,1,0,37230,88
Zimbabwe African National Union,2007,12,0,33173,63
Tafataona Mahoso,2009,6,6,43706,98
Lobengula,2010,9,3,43429,76
Southern Rhodesian Legislative Assembly,2011,5,1,28855,41
Geography of Zimbabwe,2013,4,1,90685,432
Nehanda Nyakasikana,2008,10,4,35035,68
Mukarakate,2007,1,0,26929,46
Ministry of National Housing and Social Amenities (Zimbabwe),2012,12,1,28028,45
Ishe Komborera Africa,2009,7,0,25915,36
Rudd Concession,2014,9,117,272033,580
2007 Zimbabwean political crisis,2008,11,0,39068,112
Zimbabwe African People%27s Union,2012,9,6,61251,149
Federation of Rhodesia and Nyasaland,2005,7,0,63835,95
White people in Zimbabwe,2012,10,148,227027,476
Ziwa,2012,12,0,31825,53
Transport in Zimbabwe,2007,10,0,45744,145
Rhodesian Bush War,2014,4,101,322703,985
Rhodesia,2015,2,133,320188,588
Zimbabwean sign languages,2014,12,6,63686,257
"Embassy of Zimbabwe, London",2008,4,0,29447,73
Rhodesia (region),2014,11,3,40720,94
Makwayera,2014,3,0,31188,58
Mid Airlines (Zimbabwe),2005,3,0,31196,77
Zimbabwe Industrial Index,2007,7,0,45105,102
Vice President of Zimbabwe,2009,12,0,36183,96
Rozwi Empire,2011,5,1,55789,95
Racism in Zimbabwe,2015,2,5,45622,58
Chapungu Sculpture Park,2006,11,0,32534,70
Federation of Rhodesia and Nyasaland,2004,1,0,35433,64
Unholy alliance (geopolitical),2011,10,8,37225,86
