id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.00000000000000E+05	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	1.93050600000000E+06	3366	16441329	44822
31	AZE	azerbaijan	1.06100500000000E+06	2002	9390161	24439
408	PRK	north korea	1.30650000000000E+06	2085	8090788	17766
262	DJI	djibouti	8.00000000000000E+00	155	1819059	5571
470	MLT	malta	3.32000000000000E+03	685	4545131	14276
624	GNB	guinea-bissau	1.98650000000000E+05	286	1784413	5321
348	HUN	hungary	2.82989900000000E+06	1099	6609895	16810
196	CYP	cyprus	4.60770000000000E+04	860	4993330	13832
52	BRB	barbados	1.20000000000000E+02	342	2542869	7487
64	BTN	bhutan	5.42970000000000E+04	552	3132760	8245
398	KAZ	kazakhstan	1.55834880000000E+07	760	5030223	15433
440	LTU	lithuania	1.21050000000000E+06	505	2661259	8709
178	COG	republic of the congo	3.56000000000000E+04	141	1469208	3847
583	FSM	micronesia	1.61000000000000E+02	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	2.76200000000000E+05	704	4735890	11635
646	RWA	rwanda	4.59614000000000E+05	967	3336595	8388
32	ARG	argentina	1.09620490000000E+07	990	5511252	15099
288	GHA	ghana	1.62597000000000E+06	947	8538852	21475
688	SRB	serbia	1.91889100000000E+06	1151	9300724	29834
36	AUS	australia	1.78706320000000E+07	2755	11101694	28276
192	CUB	cuba	3.76146000000000E+05	1614	7528766	21710
894	ZMB	zambia	1.14515600000000E+06	402	2458163	5416
417	KGZ	kyrgyzstan	5.95209000000000E+05	533	3545032	10445
320	GTM	guatemala	8.96290000000000E+05	1322	4848474	13327
56	BEL	belgium	3.36226000000000E+05	1488	10269267	29189
332	HTI	haiti	5.78677880000000E+05	1113	5020928	12590
854	BFA	burkina faso	4.21065600000000E+06	259	1527119	4376
430	LBR	liberia	2.30000000000000E+05	365	1718839	3951
384	CIV	ivory coast	8.68000000000000E+05	262	2167518	5976
620	PRT	portugal	2.90625000000000E+05	647	4092352	13893
208	DNK	denmark	1.44406000000000E+06	2063	11934319	37996
608	PHL	philippines	7.30988000000000E+06	2188	15381963	47504
686	SEN	senegal	1.11723800000000E+06	623	2955926	7496
498	MDA	moldova	9.30758000000000E+05	644	2743879	7589
180	COD	democratic republic of the congo	2.33930000000000E+06	909	5917790	13487
428	LVA	latvia	5.77600000000000E+05	794	5572986	17451
191	HRV	croatia	5.85123000000000E+05	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.03586000000000E+05	1276	9077454	26947
144	LKA	sri lanka	1.26205000000000E+06	1869	11872045	31454
780	TTO	trinidad and tobago	3.90700000000000E+03	216	3222597	9394
100	BGR	bulgaria	1.88790000000000E+06	1797	9396414	26534
388	JAM	jamaica	2.48800000000000E+03	363	3393538	9123
8	ALB	albania	1.43400000000000E+05	1535	8302985	23141
24	AGO	angola	2.05620400000000E+06	727	4117112	11212
422	LBN	lebanon	5.28500000000000E+04	2103	10491745	28502
458	MYS	malaysia	6.97995000000000E+05	1583	8991892	26779
508	MOZ	mozambique	2.73730000000000E+06	510	3320356	8927
764	THA	thailand	1.37452720000000E+07	1742	10201818	25955
300	GRC	greece	1.01579000000000E+06	3233	12349644	35028
558	NIC	nicaragua	4.70465870000000E+05	723	3757972	9785
562	NER	niger	1.02429000000000E+07	711	3238542	8754
124	CAN	canada	1.59171000000000E+07	3417	14180797	41982
4	AFG	afghanistan	3.18292200000000E+06	3010	12811496	34286
634	QAT	qatar	3.33000000000000E+02	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea		167	1412177	3962
729	SDN	sudan	1.00884020000000E+07	748	5011562	13750
324	GIN	guinea	2.25500000000000E+06	225	1499153	3969
591	PAN	panama	1.50180000000000E+05	453	3567520	10326
524	NPL	nepal	3.33907700000000E+06	1983	12359198	31019
140	CAF	central african republic	1.55200000000000E+05	557	2733055	6687
442	LUX	luxembourg	2.90390000000000E+04	445	4297239	12666
716	ZWE	zimbabwe	1.37874500000000E+06	1994	7759641	18564
748	SWZ	swaziland	7.26950000000000E+04	174	1305466	3510
706	SOM	somalia	3.97538000000000E+05	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	1.07777003000000E+06	1002	5647358	14170
662	LCA	saint lucia	0.00000000000000E+00	150	1856218	4866
96	BRN	brunei	1.80000000000000E+03	491	3348866	9852
364	IRN	iran	9.65620000000000E+06	5882	20529075	53463
784	ARE	united arab emirates	1.92100000000000E+03	556	3552603	8937
466	MLI	mali	3.66133800000000E+06	625	3401409	9256
682	SAU	saudi arabia	2.36050000000000E+05	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	1.47762000000000E+05	900	7055535	23274
600	PRY	paraguay	1.70299000000000E+06	192	2667817	6873
156	CHN	china	9.38449600000000E+07	3598	15920522	47263
51	ARM	armenia	1.74945000000000E+05	3008	13593125	39051
296	KIR	kiribati		112	990189	3050
84	BLZ	belize	3.09590000000000E+04	414	3294506	10922
