id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.48700000000000E+04	287	1825108	4556
882	WSM	samoa	2.83000000000000E+03	209	1577359	4175
392	JPN	japan	3.64560000000000E+05	3366	16441329	44822
31	AZE	azerbaijan	8.26580000000000E+04	2002	9390161	24439
408	PRK	north korea	1.20410000000000E+05	2085	8090788	17766
262	DJI	djibouti	2.31800000000000E+04	155	1819059	5571
470	MLT	malta	3.20000000000000E+02	685	4545131	14276
624	GNB	guinea-bissau	2.81200000000000E+04	286	1784413	5321
348	HUN	hungary	9.05300000000000E+04	1099	6609895	16810
196	CYP	cyprus	9.24000000000000E+03	860	4993330	13832
52	BRB	barbados	4.30000000000000E+02	342	2542869	7487
64	BTN	bhutan	3.81170000000000E+04	552	3132760	8245
398	KAZ	kazakhstan	2.69970000000000E+06	760	5030223	15433
440	LTU	lithuania	6.26740000000000E+04	505	2661259	8709
178	COG	republic of the congo	3.41500000000000E+05	141	1469208	3847
583	FSM	micronesia	7.00000000000000E+02	159	1195659	3795
20	AND	andorra	4.70000000000000E+02	394	2196134	6844
516	NAM	namibia	8.23290000000000E+05	704	4735890	11635
646	RWA	rwanda	2.46700000000000E+04	967	3336595	8388
32	ARG	argentina	2.73669000000000E+06	990	5511252	15099
288	GHA	ghana	2.27540000000000E+05	947	8538852	21475
688	SRB	serbia	8.74600000000000E+04	1151	9300724	29834
36	AUS	australia	7.68230000000000E+06	2755	11101694	28276
192	CUB	cuba	1.06440000000000E+05	1614	7528766	21710
894	ZMB	zambia	7.43390000000000E+05	402	2458163	5416
417	KGZ	kyrgyzstan	1.91800000000000E+05	533	3545032	10445
320	GTM	guatemala	1.07160000000000E+05	1322	4848474	13327
56	BEL	belgium	3.02800000000000E+04	1488	10269267	29189
332	HTI	haiti	2.75600000000000E+04	1113	5020928	12590
854	BFA	burkina faso	2.73600000000000E+05	259	1527119	4376
430	LBR	liberia	9.63200000000000E+04	365	1718839	3951
384	CIV	ivory coast	3.18000000000000E+05	262	2167518	5976
620	PRT	portugal	9.15900000000000E+04	647	4092352	13893
208	DNK	denmark	4.24300000000000E+04	2063	11934319	37996
608	PHL	philippines	2.98170000000000E+05	2188	15381963	47504
686	SEN	senegal	1.92530000000000E+05	623	2955926	7496
