id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.88000000000000E+05	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	1.17865900000000E+07	3366	16441329	44822
31	AZE	azerbaijan	2.85845000000000E+06	2002	9390161	24439
408	PRK	north korea	5.23330000000000E+06	2085	8090788	17766
262	DJI	djibouti	1.60000000000000E+01	155	1819059	5571
470	MLT	malta	1.71000000000000E+04	685	4545131	14276
624	GNB	guinea-bissau	2.64189000000000E+05	286	1784413	5321
348	HUN	hungary	1.36210040000000E+07	1099	6609895	16810
196	CYP	cyprus	7.87800000000000E+04	860	4993330	13832
52	BRB	barbados	3.40000000000000E+02	342	2542869	7487
64	BTN	bhutan	1.59723000000000E+05	552	3132760	8245
398	KAZ	kazakhstan	1.81412800000000E+07	760	5030223	15433
440	LTU	lithuania	4.45930000000000E+06	505	2661259	8709
178	COG	republic of the congo	3.16500000000000E+04	141	1469208	3847
583	FSM	micronesia	2.67000000000000E+02	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	8.70000000000000E+04	704	4735890	11635
646	RWA	rwanda	9.98200000000000E+05	967	3336595	8388
32	ARG	argentina	5.17926090000000E+07	990	5511252	15099
288	GHA	ghana	2.74591300000000E+06	947	8538852	21475
688	SRB	serbia	9.18004300000000E+06	1151	9300724	29834
36	AUS	australia	3.55976630000000E+07	2755	11101694	28276
192	CUB	cuba	1.09907000000000E+06	1614	7528766	21710
894	ZMB	zambia	2.90004400000000E+06	402	2458163	5416
417	KGZ	kyrgyzstan	1.72829000000000E+06	533	3545032	10445
320	GTM	guatemala	1.80877900000000E+06	1322	4848474	13327
56	BEL	belgium	3.09749700000000E+06	1488	10269267	29189
332	HTI	haiti	6.13317950000000E+05	1113	5020928	12590
854	BFA	burkina faso	4.86972200000000E+06	259	1527119	4376
430	LBR	liberia	2.38000000000000E+05	365	1718839	3951
384	CIV	ivory coast	2.71248100000000E+06	262	2167518	5976
620	PRT	portugal	1.21560000000000E+06	647	4092352	13893
208	DNK	denmark	9.11348700000000E+06	2063	11934319	37996
608	PHL	philippines	2.58171790000000E+07	2188	15381963	47504
686	SEN	senegal	1.31870200000000E+06	623	2955926	7496
498	MDA	moldova	2.65433780000000E+06	644	2743879	7589
180	COD	democratic republic of the congo	1.79375000000000E+06	909	5917790	13487
428	LVA	latvia	1.94870000000000E+06	794	5572986	17451
191	HRV	croatia	3.18977700000000E+06	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.22249800000000E+06	1276	9077454	26947
144	LKA	sri lanka	4.83695500000000E+06	1869	11872045	31454
780	TTO	trinidad and tobago	6.35900000000000E+03	216	3222597	9394
100	BGR	bulgaria	8.36448000000000E+06	1797	9396414	26534
388	JAM	jamaica	2.99600000000000E+03	363	3393538	9123
8	ALB	albania	6.60500000000000E+05	1535	8302985	23141
24	AGO	angola	1.67534200000000E+06	727	4117112	11212
422	LBN	lebanon	1.78745000000000E+05	2103	10491745	28502
458	MYS	malaysia	2.71466200000000E+06	1583	8991892	26779
508	MOZ	mozambique	2.23850000000000E+06	510	3320356	8927
764	THA	thailand	4.15333280000000E+07	1742	10201818	25955
300	GRC	greece	4.55202000000000E+06	3233	12349644	35028
558	NIC	nicaragua	1.01162743000000E+06	723	3757972	9785
562	NER	niger	4.34710000000000E+06	711	3238542	8754
124	CAN	canada	6.63724000000000E+07	3417	14180797	41982
4	AFG	afghanistan	6.52032900000000E+06	3010	12811496	34286
634	QAT	qatar	1.97500000000000E+03	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea		167	1412177	3962
729	SDN	sudan	5.94700000000000E+06	748	5011562	13750
324	GIN	guinea	3.40900000000000E+06	225	1499153	3969
591	PAN	panama	4.24052000000000E+05	453	3567520	10326
524	NPL	nepal	8.58028500000000E+06	1983	12359198	31019
140	CAF	central african republic	2.66300000000000E+05	557	2733055	6687
442	LUX	luxembourg	1.73287000000000E+05	445	4297239	12666
716	ZWE	zimbabwe	9.98450000000000E+05	1994	7759641	18564
748	SWZ	swaziland	8.38250000000000E+04	174	1305466	3510
706	SOM	somalia	3.83243000000000E+05	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	3.65379899000000E+06	1002	5647358	14170
662	LCA	saint lucia	0.00000000000000E+00	150	1856218	4866
96	BRN	brunei	1.85000000000000E+03	491	3348866	9852
364	IRN	iran	2.26501000000000E+07	5882	20529075	53463
784	ARE	united arab emirates	1.39163000000000E+05	556	3552603	8937
466	MLI	mali	5.73625200000000E+06	625	3401409	9256
682	SAU	saudi arabia	9.72500000000000E+05	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	8.38748000000000E+05	900	7055535	23274
600	PRY	paraguay	6.27239200000000E+06	192	2667817	6873
156	CHN	china	5.52876400000000E+08	3598	15920522	47263
51	ARM	armenia	5.43659000000000E+05	3008	13593125	39051
296	KIR	kiribati		112	990189	3050
84	BLZ	belize	1.11934000000000E+05	414	3294506	10922
788	TUN	tunisia	1.32800000000000E+06	1217	5287228	14404
804	UKR	ukraine	6.31996600000000E+07	3680	18180124	51204
434	LBY	libya	3.05900000000000E+05	1912	8030270	20645
270	GMB	gambia	2.27653000000000E+05	363	2260222	6453
246	FIN	finland	4.08370000000000E+06	656	5122395	13520
480	MUS	mauritius	1.28000000000000E+03	224	2507536	7547
28	ATG	antigua and barbuda	9.00000000000000E+01	55	1282394	3375
233	EST	estonia	9.73050000000000E+05	981	5722888	17295
760	SYR	syria	4.20642800000000E+06	3049	14605831	40095
214	DOM	dominican republic	8.73313340000000E+05	428	3088770	8806
104	MMR	burma	3.10675000000000E+07	2410	9196976	20975
586	PAK	pakistan	3.64498100000000E+07	4205	21477320	68229
642	ROU	romania	2.09458780000000E+07	789	5283644	15969
690	SYC	seychelles		66	1450952	4500
203	CZE	czech republic	7.51776500000000E+06	348	3304578	9155
818	EGY	egypt	2.23052000000000E+07	3001	11672118	30922
598	PNG	papua new guinea	1.81000000000000E+04	387	3195466	8519
840	USA	united states	4.36553678000000E+08	15304	52182114	151469
40	AUT	austria	4.85756022000000E+06	1311	10892096	32445
496	MNG	mongolia	3.83796000000000E+05	1667	8899314	27064
170	COL	colombia	3.89828860000000E+06	1023	7038812	20089
340	HND	honduras	6.86727000000000E+05	722	3315102	6948
554	NZL	new zealand	1.09843700000000E+06	1427	6201233	15155
242	FJI	fiji	6.12400000000000E+03	343	2428571	6108
174	COM	comoros	3.68000000000000E+04	109	1375712	3984
792	TUR	turkey	3.74752640000000E+07	2857	14049568	44033
826	GBR	united kingdom	2.00761000000000E+07	8628	35289924	107339
450	MDG	madagascar	3.99792600000000E+06	635	4426741	10294
368	IRQ	iraq	6.50067400000000E+06	2568	11919538	33762
50	BGD	bangladesh	5.42534120000000E+07	3254	19238292	57315
478	MRT	mauritania	2.96950000000000E+05	494	2817073	7565
858	URY	uruguay	4.04510000000000E+06	454	3979898	10642
250	FRA	france	6.75182810000000E+07	1730	10752330	34546
44	BHS	bahamas	7.00000000000000E+02	400	2513540	6910
703	SVK	slovakia	3.41496100000000E+06	567	4087803	11688
372	IRL	ireland	2.40340000000000E+06	1615	6484724	16329
