id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.11600000000000E+02	287	1825108	4556
882	WSM	samoa	1.11230000000000E+02	209	1577359	4175
392	JPN	japan	1.01270000000000E+02	3366	16441329	44822
31	AZE	azerbaijan	1.65880000000000E+02	2002	9390161	24439
408	PRK	north korea	1.03280000000000E+02	2085	8090788	17766
262	DJI	djibouti	1.33950000000000E+02	155	1819059	5571
470	MLT	malta	8.64600000000000E+01	685	4545131	14276
624	GNB	guinea-bissau	1.29440000000000E+02	286	1784413	5321
348	HUN	hungary	8.76900000000000E+01	1099	6609895	16810
196	CYP	cyprus	9.04000000000000E+01	860	4993330	13832
52	BRB	barbados	1.05720000000000E+02	342	2542869	7487
64	BTN	bhutan	9.65000000000000E+01	552	3132760	8245
398	KAZ	kazakhstan	1.10980000000000E+02	760	5030223	15433
440	LTU	lithuania	9.68800000000000E+01	505	2661259	8709
178	COG	republic of the congo	1.64010000000000E+02	141	1469208	3847
583	FSM	micronesia	1.01760000000000E+02	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	8.39600000000000E+01	704	4735890	11635
646	RWA	rwanda	1.38420000000000E+02	967	3336595	8388
32	ARG	argentina	1.10670000000000E+02	990	5511252	15099
288	GHA	ghana	1.36050000000000E+02	947	8538852	21475
688	SRB	serbia	1.00940000000000E+02	1151	9300724	29834
36	AUS	australia	1.06150000000000E+02	2755	11101694	28276
192	CUB	cuba	1.43970000000000E+02	1614	7528766	21710
894	ZMB	zambia	2.16010000000000E+02	402	2458163	5416
417	KGZ	kyrgyzstan	1.12620000000000E+02	533	3545032	10445
320	GTM	guatemala	1.21020000000000E+02	1322	4848474	13327
56	BEL	belgium	1.06010000000000E+02	1488	10269267	29189
332	HTI	haiti	1.06820000000000E+02	1113	5020928	12590
854	BFA	burkina faso	8.45500000000000E+01	259	1527119	4376
430	LBR	liberia	1.40170000000000E+02	365	1718839	3951
384	CIV	ivory coast	1.31070000000000E+02	262	2167518	5976
620	PRT	portugal	1.02800000000000E+02	647	4092352	13893
208	DNK	denmark	9.90300000000000E+01	2063	11934319	37996
608	PHL	philippines	1.26530000000000E+02	2188	15381963	47504
686	SEN	senegal	1.33400000000000E+02	623	2955926	7496
498	MDA	moldova	9.57600000000000E+01	644	2743879	7589
180	COD	democratic republic of the congo	1.21150000000000E+02	909	5917790	13487
428	LVA	latvia	1.17430000000000E+02	794	5572986	17451
191	HRV	croatia	9.19600000000000E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.19240000000000E+02	1276	9077454	26947
144	LKA	sri lanka	1.37310000000000E+02	1869	11872045	31454
780	TTO	trinidad and tobago	1.20580000000000E+02	216	3222597	9394
100	BGR	bulgaria	9.05400000000000E+01	1797	9396414	26534
388	JAM	jamaica	1.03330000000000E+02	363	3393538	9123
8	ALB	albania	1.09590000000000E+02	1535	8302985	23141
24	AGO	angola	1.35570000000000E+02	727	4117112	11212
422	LBN	lebanon	9.32600000000000E+01	2103	10491745	28502
458	MYS	malaysia	1.38770000000000E+02	1583	8991892	26779
508	MOZ	mozambique	1.28850000000000E+02	510	3320356	8927
764	THA	thailand	1.30180000000000E+02	1742	10201818	25955
300	GRC	greece	9.08700000000000E+01	3233	12349644	35028
558	NIC	nicaragua	1.36220000000000E+02	723	3757972	9785
562	NER	niger	1.03030000000000E+02	711	3238542	8754
124	CAN	canada	8.53900000000000E+01	3417	14180797	41982
4	AFG	afghanistan	1.04250000000000E+02	3010	12811496	34286
634	QAT	qatar	1.59650000000000E+02	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	1.10910000000000E+02	167	1412177	3962
729	SDN	sudan	1.06140000000000E+02	748	5011562	13750
324	GIN	guinea	1.32160000000000E+02	225	1499153	3969
591	PAN	panama	1.35000000000000E+02	453	3567520	10326
524	NPL	nepal	1.35540000000000E+02	1983	12359198	31019
140	CAF	central african republic	1.24020000000000E+02	557	2733055	6687
