id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.88000000000000E+03	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	6.10544100000000E+03	3366	16441329	44822
31	AZE	azerbaijan	2.69409700000000E+03	2002	9390161	24439
408	PRK	north korea	4.00558700000000E+03	2085	8090788	17766
262	DJI	djibouti	2.00000000000000E+03	155	1819059	5571
470	MLT	malta	5.15060200000000E+03	685	4545131	14276
624	GNB	guinea-bissau	1.32992200000000E+03	286	1784413	5321
348	HUN	hungary	4.81324700000000E+03	1099	6609895	16810
196	CYP	cyprus	1.70974700000000E+03	860	4993330	13832
52	BRB	barbados	2.83333300000000E+03	342	2542869	7487
64	BTN	bhutan	2.94165400000000E+03	552	3132760	8245
398	KAZ	kazakhstan	1.16413500000000E+03	760	5030223	15433
440	LTU	lithuania	3.68385000000000E+03	505	2661259	8709
178	COG	republic of the congo	8.89045000000000E+02	141	1469208	3847
583	FSM	micronesia	1.65838500000000E+03	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	3.14989000000000E+02	704	4735890	11635
646	RWA	rwanda	2.17182200000000E+03	967	3336595	8388
32	ARG	argentina	4.72472000000000E+03	990	5511252	15099
288	GHA	ghana	1.68878500000000E+03	947	8538852	21475
688	SRB	serbia	4.78403600000000E+03	1151	9300724	29834
36	AUS	australia	1.99196400000000E+03	2755	11101694	28276
192	CUB	cuba	2.92192400000000E+03	1614	7528766	21710
894	ZMB	zambia	2.53244400000000E+03	402	2458163	5416
417	KGZ	kyrgyzstan	2.90366900000000E+03	533	3545032	10445
320	GTM	guatemala	2.01807300000000E+03	1322	4848474	13327
56	BEL	belgium	9.21254500000000E+03	1488	10269267	29189
332	HTI	haiti	1.05986100000000E+03	1113	5020928	12590
854	BFA	burkina faso	1.15652300000000E+03	259	1527119	4376
430	LBR	liberia	1.03478300000000E+03	365	1718839	3951
384	CIV	ivory coast	3.12497800000000E+03	262	2167518	5976
620	PRT	portugal	4.18271000000000E+03	647	4092352	13893
208	DNK	denmark	6.31101700000000E+03	2063	11934319	37996
608	PHL	philippines	3.53182000000000E+03	2188	15381963	47504
686	SEN	senegal	1.18032300000000E+03	623	2955926	7496
