id	code	country	indicator	citations	fsize	links
626	TLS	east timor	5.16761943300000E+07	287	1825108	4556
882	WSM	samoa	2.41795189297982E+07	209	1577359	4175
392	JPN	japan	3.71504305494509E+09	3366	16441329	44822
31	AZE	azerbaijan	2.61943700000000E+09	2002	9390161	24439
408	PRK	north korea	2.27000000000000E+08	2085	8090788	17766
262	DJI	djibouti	2.86004467676864E+08	155	1819059	5571
470	MLT	malta	-1.86852681031812E+09	685	4545131	14276
624	GNB	guinea-bissau	1.45018621974000E+07	286	1784413	5321
348	HUN	hungary	-4.30198820905098E+09	1099	6609895	16810
196	CYP	cyprus	6.07038884922858E+08	860	4993330	13832
52	BRB	barbados	3.76399680000000E+08	342	2542869	7487
64	BTN	bhutan	4.97843780081267E+07	552	3132760	8245
398	KAZ	kazakhstan	9.73852165174268E+09	760	5030223	15433
440	LTU	lithuania	7.12435948504092E+08	505	2661259	8709
178	COG	republic of the congo	2.03829649421100E+09	141	1469208	3847
583	FSM	micronesia	1.89200700000000E+06	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	9.03778871292441E+08	704	4735890	11635
646	RWA	rwanda	1.10780483979835E+08	967	3336595	8388
32	ARG	argentina	1.13921472813625E+10	990	5511252	15099
288	GHA	ghana	3.22700000000000E+09	947	8538852	21475
688	SRB	serbia	1.97433818161039E+09	1151	9300724	29834
36	AUS	australia	5.19668340470406E+10	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1.81090000000000E+09	402	2458163	5416
417	KGZ	kyrgyzstan	7.57642400000000E+08	533	3545032	10445
320	GTM	guatemala	1.35011438600000E+09	1322	4848474	13327
56	BEL	belgium	-3.26850598258601E+09	1488	10269267	29189
332	HTI	haiti	1.85777879375000E+08	1113	5020928	12590
854	BFA	burkina faso	3.74319285887800E+08	259	1527119	4376
430	LBR	liberia	7.00267800000000E+08	365	1718839	3951
384	CIV	ivory coast	3.70991547521700E+08	262	2167518	5976
620	PRT	portugal	7.88159192217336E+09	647	4092352	13893
208	DNK	denmark	1.59721004221859E+09	2063	11934319	37996
608	PHL	philippines	3.66392199541345E+09	2188	15381963	47504
686	SEN	senegal	2.98256720103600E+08	623	2955926	7496
498	MDA	moldova	2.49040000000000E+08	644	2743879	7589
180	COD	democratic republic of the congo	1.69758583080627E+09	909	5917790	13487
428	LVA	latvia	8.80800000000000E+08	794	5572986	17451
191	HRV	croatia	5.88376068046733E+08	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.15018538943910E+08	1276	9077454	26947
144	LKA	sri lanka	9.15570803057883E+08	1869	11872045	31454
780	TTO	trinidad and tobago	1.71260000000000E+09	216	3222597	9394
100	BGR	bulgaria	1.88767006423571E+09	1797	9396414	26534
388	JAM	jamaica	6.65798914016550E+08	363	3393538	9123
8	ALB	albania	1.25378330934152E+09	1535	8302985	23141
24	AGO	angola	-7.12001742446139E+09	727	4117112	11212
422	LBN	lebanon	3.02893378673277E+09	2103	10491745	28502
458	MYS	malaysia	1.15826757442897E+10	1583	8991892	26779
508	MOZ	mozambique	6.69742243246010E+09	510	3320356	8927
764	THA	thailand	1.26497479517730E+10	1742	10201818	25955
300	GRC	greece	2.94541793839579E+09	3233	12349644	35028
558	NIC	nicaragua	8.45100000000000E+08	723	3757972	9785
562	NER	niger	6.31444822281600E+08	711	3238542	8754
124	CAN	canada	7.07531715029449E+10	3417	14180797	41982
4	AFG	afghanistan	5.96022660000000E+07	3010	12811496	34286
634	QAT	qatar	-8.40384615384615E+08	325	2200454	5911
585	PLW	palau	5.70000000000000E+06	120	1516509	4406
226	GNQ	equatorial guinea	1.91400000000000E+09	167	1412177	3962
729	SDN	sudan	2.17911654433400E+09	748	5011562	13750
324	GIN	guinea	1.35330000000000E+08	225	1499153	3969
591	PAN	panama	5.05320000000000E+09	453	3567520	10326
524	NPL	nepal	7.36306903401249E+07	1983	12359198	31019
140	CAF	central african republic	8.00000000000000E+05	557	2733055	6687
442	LUX	luxembourg	3.00753735930926E+10	445	4297239	12666
716	ZWE	zimbabwe	4.00000000000000E+08	1994	7759641	18564
748	SWZ	swaziland	2.42012556247048E+07	174	1305466	3510
706	SOM	somalia	1.07110000000000E+08	2758	11573292	30219
798	TUV	tuvalu	3.36811546479117E+05	925	3622703	8914
862	VEN	venezuela	7.04000000000000E+09	1002	5647358	14170
662	LCA	saint lucia	8.35150422222222E+07	150	1856218	4866
96	BRN	brunei	8.95000000000000E+08	491	3348866	9852
364	IRN	iran	3.04994500000000E+09	5882	20529075	53463
784	ARE	united arab emirates	1.04879509870660E+10	556	3552603	8937
466	MLI	mali	4.10287672050800E+08	625	3401409	9256
682	SAU	saudi arabia	9.29769333333333E+09	1666	10453381	29624
659	KNA	saint kitts and nevis	1.10789970370370E+08	59	1396862	3739
756	CHE	switzerland	-8.17947259210424E+09	900	7055535	23274
600	PRY	paraguay	3.46100000000000E+08	192	2667817	6873
156	CHN	china	3.47848740396860E+11	3598	15920522	47263
51	ARM	armenia	3.70196773387321E+08	3008	13593125	39051
296	KIR	kiribati	9.00000000000000E+06	112	990189	3050
84	BLZ	belize	8.92856100583642E+07	414	3294506	10922
788	TUN	tunisia	1.05862258218395E+09	1217	5287228	14404
804	UKR	ukraine	4.50900000000000E+09	3680	18180124	51204
434	LBY	libya	7.02000000000000E+08	1912	8030270	20645
270	GMB	gambia	2.52800000000000E+07	363	2260222	6453
246	FIN	finland	-5.29674040916473E+09	656	5122395	13520
480	MUS	mauritius	2.58587556267800E+08	224	2507536	7547
28	ATG	antigua and barbuda	1.34288999629630E+08	55	1282394	3375
233	EST	estonia	9.64588952514754E+08	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	1.59970000000000E+09	428	3088770	8806
104	MMR	burma	2.25460397173397E+09	2410	9196976	20975
586	PAK	pakistan	1.30700000000000E+09	4205	21477320	68229
642	ROU	romania	4.10800000000000E+09	789	5283644	15969
690	SYC	seychelles	1.77608082134727E+08	66	1450952	4500
203	CZE	czech republic	5.00691150703100E+09	348	3304578	9155
818	EGY	egypt	5.55300000000000E+09	3001	11672118	30922
