id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	3.01521820155324E+00	209	1577359	4175
392	JPN	japan	7.55157109098272E-02	3366	16441329	44822
31	AZE	azerbaijan	3.56092951521621E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	1.96385174424220E+01	155	1819059	5571
470	MLT	malta	-1.93783823084241E+01	685	4545131	14276
624	GNB	guinea-bissau	1.50938665958870E+00	286	1784413	5321
348	HUN	hungary	-3.22430108384323E+00	1099	6609895	16810
196	CYP	cyprus	2.77041928854679E+00	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	2.79489454257085E+00	552	3132760	8245
398	KAZ	kazakhstan	4.19987829808324E+00	760	5030223	15433
440	LTU	lithuania	1.55106774688435E+00	505	2661259	8709
178	COG	republic of the congo	1.44705231659220E+01	141	1469208	3847
583	FSM	micronesia	5.98271217600745E-01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	6.89219905552228E+00	704	4735890	11635
646	RWA	rwanda	1.47289759436183E+00	967	3336595	8388
32	ARG	argentina	1.86790511427143E+00	990	5511252	15099
288	GHA	ghana	6.70377912483163E+00	947	8538852	21475
688	SRB	serbia	4.33733155259179E+00	1151	9300724	29834
36	AUS	australia	3.33041212544324E+00	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	6.75183154857121E+00	402	2458163	5416
417	KGZ	kyrgyzstan	1.04845087814132E+01	533	3545032	10445
320	GTM	guatemala	2.50965978994974E+00	1322	4848474	13327
56	BEL	belgium	-6.22803271982663E-01	1488	10269267	29189
332	HTI	haiti	2.19613081332819E+00	1113	5020928	12590
854	BFA	burkina faso	2.90509542219511E+00	259	1527119	4376
430	LBR	liberia	3.58934960513722E+01	365	1718839	3951
384	CIV	ivory coast	1.19435719084768E+00	262	2167518	5976
620	PRT	portugal	3.46712241228991E+00	647	4092352	13893
208	DNK	denmark	4.75533434729151E-01	2063	11934319	37996
608	PHL	philippines	1.34670062512806E+00	2188	15381963	47504
686	SEN	senegal	2.01637905105119E+00	623	2955926	7496
498	MDA	moldova	3.12486708668953E+00	644	2743879	7589
180	COD	democratic republic of the congo	5.19283957675866E+00	909	5917790	13487
428	LVA	latvia	2.84526528414637E+00	794	5572986	17451
191	HRV	croatia	1.01674364444842E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.76467860664766E+00	1276	9077454	26947
144	LKA	sri lanka	1.36282128257402E+00	1869	11872045	31454
780	TTO	trinidad and tobago	6.95025035256451E+00	216	3222597	9394
100	BGR	bulgaria	3.46489438544502E+00	1797	9396414	26534
388	JAM	jamaica	4.63575227148533E+00	363	3393538	9123
8	ALB	albania	9.70177201953572E+00	1535	8302985	23141
24	AGO	angola	-5.73370770946047E+00	727	4117112	11212
422	LBN	lebanon	6.82924159514321E+00	2103	10491745	28502
458	MYS	malaysia	3.69865536094186E+00	1583	8991892	26779
508	MOZ	mozambique	4.28489614832105E+01	510	3320356	8927
764	THA	thailand	3.26654028517526E+00	1742	10201818	25955
300	GRC	greece	1.21595751141782E+00	3233	12349644	35028
558	NIC	nicaragua	7.50825694367061E+00	723	3757972	9785
562	NER	niger	8.52449241862621E+00	711	3238542	8754
124	CAN	canada	3.87313275159813E+00	3417	14180797	41982
4	AFG	afghanistan	2.93467412431667E-01	3010	12811496	34286
634	QAT	qatar	-4.13503558936739E-01	325	2200454	5911
585	PLW	palau	2.30728689776776E+00	120	1516509	4406
226	GNQ	equatorial guinea	1.22845361705517E+01	167	1412177	3962
729	SDN	sudan	3.27362341797500E+00	748	5011562	13750
324	GIN	guinea	2.20258943226166E+00	225	1499153	3969
591	PAN	panama	1.18485934895107E+01	453	3567520	10326
524	NPL	nepal	3.81617920834120E-01	1983	12359198	31019
140	CAF	central african republic	5.20096616449806E-02	557	2733055	6687
442	LUX	luxembourg	5.00165468834520E+01	445	4297239	12666
716	ZWE	zimbabwe	2.96515937731653E+00	1994	7759641	18564
748	SWZ	swaziland	6.38335870835104E-01	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	8.78890419639771E-01	925	3622703	8914
862	VEN	venezuela	1.60626602619119E+00	1002	5647358	14170
662	LCA	saint lucia	6.25222983066621E+00	150	1856218	4866
96	BRN	brunei	5.55516390478938E+00	491	3348866	9852
364	IRN	iran	8.26757664026662E-01	5882	20529075	53463
784	ARE	united arab emirates	2.60673763562725E+00	556	3552603	8937
466	MLI	mali	3.74940963477630E+00	625	3401409	9256
682	SAU	saudi arabia	1.24226044523684E+00	1666	10453381	29624
659	KNA	saint kitts and nevis	1.44658850628875E+01	59	1396862	3739
756	CHE	switzerland	-1.19332720343090E+00	900	7055535	23274
600	PRY	paraguay	1.19306107661474E+00	192	2667817	6873
156	CHN	china	3.76448657214142E+00	3598	15920522	47263
51	ARM	armenia	3.54860770675687E+00	3008	13593125	39051
296	KIR	kiribati	5.32697142857143E+00	112	990189	3050
84	BLZ	belize	5.49688642057092E+00	414	3294506	10922
788	TUN	tunisia	2.25269527936852E+00	1217	5287228	14404
804	UKR	ukraine	2.54127515325469E+00	3680	18180124	51204
434	LBY	libya	9.46097653934107E-01	1912	8030270	20645
270	GMB	gambia	2.79801695878959E+00	363	2260222	6453
246	FIN	finland	-1.98135932225621E+00	656	5122395	13520
480	MUS	mauritius	2.16767641398841E+00	224	2507536	7547
28	ATG	antigua and barbuda	1.11852736729545E+01	55	1282394	3375
233	EST	estonia	3.87692395614942E+00	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	2.61544119578025E+00	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	5.62666542517507E-01	4205	21477320	68229
642	ROU	romania	2.16623065546929E+00	789	5283644	15969
690	SYC	seychelles	1.23053085544328E+01	66	1450952	4500
203	CZE	czech republic	2.39799177954843E+00	348	3304578	9155
818	EGY	egypt	2.04174812068671E+00	3001	11672118	30922
598	PNG	papua new guinea	1.18224650318357E-01	387	3195466	8519
840	USA	united states	1.75911999570613E+00	15304	52182114	151469
40	AUT	austria	3.64408204126088E+00	1311	10892096	32445
496	MNG	mongolia	1.86768024095556E+01	1667	8899314	27064
170	COL	colombia	4.28058817229136E+00	1023	7038812	20089
340	HND	honduras	5.76295289913148E+00	722	3315102	6948
554	NZL	new zealand	-2.74313638674810E-01	1427	6201233	15155
242	FJI	fiji	4.10407234693419E+00	343	2428571	6108
174	COM	comoros	2.32673182473538E+00	109	1375712	3984
792	TUR	turkey	1.55971916330267E+00	2857	14049568	44033
826	GBR	united kingdom	1.80381809910042E+00	8628	35289924	107339
450	MDG	madagascar	7.89120450676548E+00	635	4426741	10294
368	IRQ	iraq	1.24363745173472E+00	2568	11919538	33762
50	BGD	bangladesh	1.00116175835450E+00	3254	19238292	57315
478	MRT	mauritania	2.70792503728582E+01	494	2817073	7565
858	URY	uruguay	5.00659815928564E+00	454	3979898	10642
250	FRA	france	2.30912778343928E-01	1730	10752330	34546
44	BHS	bahamas	4.53980997624703E+00	400	2513540	6910
703	SVK	slovakia	2.19867705463433E+00	567	4087803	11688
372	IRL	ireland	2.15273570844795E+01	1615	6484724	16329
418	LAO	laos	3.79512281264670E+00	410	2605137	6778
410	KOR	south korea	9.36772280610577E-01	1484	6604974	14929
68	BOL	bolivia	5.71747196340081E+00	402	3681253	10308
454	MWI	malawi	3.19637049579976E+00	750	3050315	7024
218	ECU	ecuador	7.67471838353835E-01	898	5252818	12692
376	ISR	israel	4.06270026711581E+00	7951	25677910	65553
604	PER	peru	4.59505078754885E+00	633	5381479	16059
12	DZA	algeria	8.03720091500114E-01	721	6797727	19565
752	SWE	sweden	-8.83108840322666E-01	2004	10834574	30870
356	IND	india	1.50138171123124E+00	5042	24381167	70861
834	TZA	tanzania	4.28987779659958E+00	556	4721413	11868
499	MNE	montenegro	1.01105509378730E+01	1239	6874308	19854
762	TJK	tajikistan	1.26717429523163E+00	569	3856874	11733
768	TGO	togo	1.94180540999568E+00	74	1478904	4415
400	JOR	jordan	5.34005581104285E+00	914	5592938	15060
152	CHL	chile	7.30817150558433E+00	1430	7410887	19636
512	OMN	oman	2.04112581209604E+00	244	2740041	7050
566	NGA	nigeria	1.07492609619039E+00	1168	7926035	20332
724	ESP	spain	3.22438700104523E+00	3334	16565176	45770
268	GEO	georgia	5.92515926224044E+00	1722	7851210	21567
578	NOR	norway	5.12555368364208E-01	1151	7215017	20016
694	SLE	sierra leone	3.48356058812343E+00	610	3195183	7907
504	MAR	morocco	3.23675752491070E+00	1463	8889048	23442
266	GAB	gabon	4.42525762138431E+00	185	2259207	6708
328	GUY	guyana	6.70619267615000E+00	569	3495270	9188
308	GRD	grenada	8.93849330607922E+00	124	1579737	4471
887	YEM	yemen	-3.71499776295391E-01	925	5317491	14964
643	RUS	russia	3.36963433301971E+00	3858	19559146	53313
728	SSD	south sudan		971	4079530	9758
48	BHR	bahrain	3.00646538186359E+00	984	5534198	14791
360	IDN	indonesia	2.68836744381303E+00	1109	6315182	17660
148	TCD	chad	3.98428129730581E+00	446	2572952	6902
484	MEX	mexico	3.33832345857411E+00	1935	10624402	27978
426	LSO	lesotho	1.92272944357346E+00	83	1161694	3443
112	BLR	belarus	3.13222037849379E+00	996	4888728	12776
670	VCT	saint vincent and the grenadines	1.78661521936027E+01	47	1275427	3160
800	UGA	uganda	4.83498452311052E+00	668	3381652	9634
108	BDI	burundi	2.53630097748084E-01	210	1796598	4801
404	KEN	kenya	9.31134989243671E-01	1096	8286607	20012
72	BWA	botswana	1.27568467419355E+00	139	1154682	2889
380	ITA	italy	6.10676441663029E-01	1847	9978083	33234
116	KHM	cambodia	8.82650857436879E+00	851	5165635	13715
231	ETH	ethiopia	2.00516772343330E+00	1109	6232319	16459
548	VUT	vanuatu	3.98044147149734E+00	265	2451779	7239
584	MHL	marshall islands	1.18521111638397E+01	97	1014048	3239
120	CMR	cameroon	1.10069935035494E+00	956	4537626	11383
204	BEN	benin	3.85275931385723E+00	86	1013683	2666
76	BRA	brazil	3.59994511738630E+00	2424	12102945	32005
702	SGP	singapore	2.14043253215612E+01	1270	7965260	19928
90	SLB	solomon islands	4.07272754848207E+00	286	2615725	7016
352	ISL	iceland	3.05741764432098E+00	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	6.51828353256090E+00	273	2105051	5162
705	SVN	slovenia	-8.72449392863433E-01	587	3362613	9659
276	DEU	germany	1.37435422351772E+00	809	4940123	15076
710	ZAF	south africa	2.21772384819152E+00	3528	20480119	48536
212	DMA	dominica	3.46756594982079E+00	92	1002182	2597
795	TKM	turkmenistan	7.31406413749738E+00	707	4104779	12388
740	SUR	suriname	2.59424095597964E+00	156	1635993	4679
232	ERI	eritrea	1.27345405359470E+00	275	2382397	6381
776	TON	tonga	2.48788718456210E+00	155	1499371	3416
