id	code	country	indicator	citations	fsize	links
626	TLS	east timor	7.93590450571621E+01	287	1825108	4556
882	WSM	samoa	6.72692579505300E+01	209	1577359	4175
392	JPN	japan	3.49294000987492E+02	3366	16441329	44822
31	AZE	azerbaijan	1.13924859057804E+02	2002	9390161	24439
408	PRK	north korea	2.06755917282618E+02	2085	8090788	17766
262	DJI	djibouti	3.76588438308887E+01	155	1819059	5571
470	MLT	malta	1.32304375000000E+03	685	4545131	14276
624	GNB	guinea-bissau	6.06065078236131E+01	286	1784413	5321
348	HUN	hungary	1.09288622556059E+02	1099	6609895	16810
196	CYP	cyprus	1.23502813852814E+02	860	4993330	13832
52	BRB	barbados	6.61962790697674E+02	342	2542869	7487
64	BTN	bhutan	1.97798095338038E+01	552	3132760	8245
398	KAZ	kazakhstan	6.31006222913657E+00	760	5030223	15433
440	LTU	lithuania	4.71916424673708E+01	505	2661259	8709
178	COG	republic of the congo	1.30238125915081E+01	141	1469208	3847
583	FSM	micronesia	1.47927142857143E+02	159	1195659	3795
20	AND	andorra	1.68548936170213E+02	394	2196134	6844
516	NAM	namibia	2.79769583014491E+00	704	4735890	11635
646	RWA	rwanda	4.77362059181192E+02	967	3336595	8388
32	ARG	argentina	1.51446623475805E+01	990	5511252	15099
288	GHA	ghana	1.13846347894876E+02	947	8538852	21475
688	SRB	serbia	8.19132403384404E+01	1151	9300724	29834
36	AUS	australia	3.01072595446676E+00	2755	11101694	28276
192	CUB	cuba	1.05840182262307E+02	1614	7528766	21710
894	ZMB	zambia	1.95572176112135E+01	402	2458163	5416
417	KGZ	kyrgyzstan	2.98206465067779E+01	533	3545032	10445
320	GTM	guatemala	1.44346799178798E+02	1322	4848474	13327
56	BEL	belgium	3.69313639365918E+02	1488	10269267	29189
332	HTI	haiti	3.74363606676342E+02	1113	5020928	12590
854	BFA	burkina faso	6.18963413742690E+01	259	1527119	4376
430	LBR	liberia	4.45813642026578E+01	365	1718839	3951
384	CIV	ivory coast	6.38870628930818E+01	262	2167518	5976
620	PRT	portugal	1.14175073698002E+02	647	4092352	13893
208	DNK	denmark	1.32334008955927E+02	2063	11934319	37996
608	PHL	philippines	3.29991528322769E+02	2188	15381963	47504
686	SEN	senegal	7.34081961252792E+01	623	2955926	7496
498	MDA	moldova	1.24019932397115E+02	644	2743879	7589
180	COD	democratic republic of the congo	2.97804093425377E+01	909	5917790	13487
428	LVA	latvia	3.23680765519460E+01	794	5572986	17451
191	HRV	croatia	7.60489635453896E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	7.50844509803922E+01	1276	9077454	26947
144	LKA	sri lanka	3.26630521447935E+02	1869	11872045	31454
780	TTO	trinidad and tobago	2.61432943469786E+02	216	3222597	9394
100	BGR	bulgaria	6.69225773765660E+01	1797	9396414	26534
388	JAM	jamaica	2.50667959372114E+02	363	3393538	9123
8	ALB	albania	1.05743284671533E+02	1535	8302985	23141
24	AGO	angola	1.72227624929815E+01	727	4117112	11212
422	LBN	lebanon	4.36695014662757E+02	2103	10491745	28502
458	MYS	malaysia	9.04488357936387E+01	1583	8991892	26779
508	MOZ	mozambique	3.28514865586612E+01	510	3320356	8927
764	THA	thailand	1.31164246706727E+02	1742	10201818	25955
300	GRC	greece	8.55511947245927E+01	3233	12349644	35028
558	NIC	nicaragua	5.05274887817849E+01	723	3757972	9785
562	NER	niger	1.40769479750533E+01	711	3238542	8754
124	CAN	canada	3.86586466611902E+00	3417	14180797	41982
4	AFG	afghanistan	4.67966700364550E+01	3010	12811496	34286
634	QAT	qatar	1.86793540051680E+02	325	2200454	5911
585	PLW	palau	4.54739130434783E+01	120	1516509	4406
226	GNQ	equatorial guinea	2.69880213903743E+01	167	1412177	3962
729	SDN	sudan	2.07325248316498E+01	748	5011562	13750
324	GIN	guinea	4.77990761842748E+01	225	1499153	3969
591	PAN	panama	5.19796879203659E+01	453	3567520	10326
524	NPL	nepal	1.93913198465295E+02	1983	12359198	31019
140	CAF	central african republic	7.41021702141321E+00	557	2733055	6687
442	LUX	luxembourg	2.09791505791506E+02	445	4297239	12666
716	ZWE	zimbabwe	3.65765748998320E+01	1994	7759641	18564
748	SWZ	swaziland	7.26461627906977E+01	174	1305466	3510
706	SOM	somalia	1.67302945771033E+01	2758	11573292	30219
798	TUV	tuvalu	3.29200000000000E+02	925	3622703	8914
862	VEN	venezuela	3.44710696672524E+01	1002	5647358	14170
662	LCA	saint lucia	2.98808196721312E+02	150	1856218	4866
96	BRN	brunei	7.92759013282732E+01	491	3348866	9852
364	IRN	iran	4.75559043320745E+01	5882	20529075	53463
784	ARE	united arab emirates	1.11795801435407E+02	556	3552603	8937
466	MLI	mali	1.25403830550980E+01	625	3401409	9256
682	SAU	saudi arabia	1.34107103814969E+01	1666	10453381	29624
659	KNA	saint kitts and nevis	2.08426923076923E+02	59	1396862	3739
756	CHE	switzerland	2.04673423423423E+02	900	7055535	23274
600	PRY	paraguay	1.71213063176441E+01	192	2667817	6873
156	CHN	china	1.44583456848168E+02	3598	15920522	47263
51	ARM	armenia	1.04550965929048E+02	3008	13593125	39051
296	KIR	kiribati	1.26359259259259E+02	112	990189	3050
84	BLZ	belize	1.45506356861026E+01	414	3294506	10922
788	TUN	tunisia	7.00727342945417E+01	1217	5287228	14404
804	UKR	ukraine	7.85224055789546E+01	3680	18180124	51204
434	LBY	libya	3.52451265671710E+00	1912	8030270	20645
270	GMB	gambia	1.82735671936759E+02	363	2260222	6453
246	FIN	finland	1.78978314521702E+01	656	5122395	13520
480	MUS	mauritius	6.20026108374384E+02	224	2507536	7547
28	ATG	antigua and barbuda	2.04511363636364E+02	55	1282394	3375
233	EST	estonia	3.10921679641425E+01	981	5722888	17295
760	SYR	syria	1.24410771660404E+02	3049	14605831	40095
214	DOM	dominican republic	2.15309623344371E+02	428	3088770	8806
104	MMR	burma	8.15243123268380E+01	2410	9196976	20975
586	PAK	pakistan	2.36278790473225E+02	4205	21477320	68229
642	ROU	romania	8.68679158334058E+01	789	5283644	15969
