id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	5.31379508087548E+01	3366	16441329	44822
31	AZE	azerbaijan	2.55894499843073E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	5.43292642100196E+01	155	1819059	5571
470	MLT	malta	1.31428965437558E+02	685	4545131	14276
624	GNB	guinea-bissau	4.21613004671804E+00	286	1784413	5321
348	HUN	hungary	2.02622445966200E+01	1099	6609895	16810
196	CYP	cyprus	9.67650631845958E+01	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	4.40892432019152E+00	552	3132760	8245
398	KAZ	kazakhstan	4.37190601378414E+00	760	5030223	15433
440	LTU	lithuania	1.31138196633461E+01	505	2661259	8709
178	COG	republic of the congo	1.89563750208168E+02	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	3.65127007135868E+01	704	4735890	11635
646	RWA	rwanda	3.14997065254126E+01	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	2.02932342552174E+01	947	8538852	21475
688	SRB	serbia	7.48254823888743E+00	1151	9300724	29834
36	AUS	australia	3.84035564869072E+01	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	9.74425251070825E+00	402	2458163	5416
417	KGZ	kyrgyzstan	4.46576712905029E-01	533	3545032	10445
320	GTM	guatemala	1.08927820243742E+01	1322	4848474	13327
56	BEL	belgium	6.76452805015239E+01	1488	10269267	29189
332	HTI	haiti	4.06936028459167E+00	1113	5020928	12590
854	BFA	burkina faso	1.08067070754922E+01	259	1527119	4376
430	LBR	liberia	9.83071716050151E+00	365	1718839	3951
384	CIV	ivory coast	1.41568061733963E+01	262	2167518	5976
620	PRT	portugal	2.25067476553413E+01	647	4092352	13893
208	DNK	denmark	4.01721262712924E+02	2063	11934319	37996
608	PHL	philippines	1.90780211984461E+00	2188	15381963	47504
686	SEN	senegal	5.06640378294686E+00	623	2955926	7496
498	MDA	moldova	3.79617283368495E+00	644	2743879	7589
180	COD	democratic republic of the congo	2.84590916829767E+01	909	5917790	13487
428	LVA	latvia	4.26912737322626E+01	794	5572986	17451
191	HRV	croatia	7.14631359848224E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.96145320271477E+01	1276	9077454	26947
144	LKA	sri lanka	3.17012816525203E+00	1869	11872045	31454
780	TTO	trinidad and tobago	8.32149148753205E+01	216	3222597	9394
100	BGR	bulgaria	5.70818800284034E+00	1797	9396414	26534
388	JAM	jamaica		363	3393538	9123
8	ALB	albania	8.65484721361901E+00	1535	8302985	23141
24	AGO	angola	8.32908050370435E+01	727	4117112	11212
422	LBN	lebanon	2.46922480899357E+01	2103	10491745	28502
458	MYS	malaysia	1.85669251484877E+01	1583	8991892	26779
508	MOZ	mozambique	1.26548804810453E+01	510	3320356	8927
764	THA	thailand	4.01974290052254E+00	1742	10201818	25955
300	GRC	greece	2.12253860467815E+01	3233	12349644	35028
558	NIC	nicaragua	5.37992866494594E+00	723	3757972	9785
562	NER	niger	5.26862688428276E+00	711	3238542	8754
124	CAN	canada	3.12628265619833E+01	3417	14180797	41982
4	AFG	afghanistan	6.25199751492055E-01	3010	12811496	34286
634	QAT	qatar	2.92545088672577E+02	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	5.34261493859759E+02	167	1412177	3962
729	SDN	sudan	1.08702031223556E+00	748	5011562	13750
324	GIN	guinea	6.52524975886222E+00	225	1499153	3969
591	PAN	panama	2.88417683316591E+01	453	3567520	10326
524	NPL	nepal	1.19726015202552E+00	1983	12359198	31019
140	CAF	central african republic	1.79926327102996E+01	557	2733055	6687
442	LUX	luxembourg	7.17643422090520E+02	445	4297239	12666
716	ZWE	zimbabwe	1.59937197029780E+00	1994	7759641	18564
748	SWZ	swaziland	2.91366700447032E+00	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	8.60146936699441E+00	1002	5647358	14170
662	LCA	saint lucia	6.20573535403324E+01	150	1856218	4866
96	BRN	brunei	1.09825748686357E+02	491	3348866	9852
364	IRN	iran	2.59966703986521E+00	5882	20529075	53463
784	ARE	united arab emirates	5.87715743527857E+01	556	3552603	8937
466	MLI	mali	1.40494614309315E+00	625	3401409	9256
682	SAU	saudi arabia	2.19964571384349E+01	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	1.82576612648943E+02	900	7055535	23274
600	PRY	paraguay	5.43815672834771E+00	192	2667817	6873
156	CHN	china	8.77820388922482E+00	3598	15920522	47263
51	ARM	armenia	2.33764018744836E+00	3008	13593125	39051
296	KIR	kiribati		112	990189	3050
84	BLZ	belize	1.34859647306567E+01	414	3294506	10922
788	TUN	tunisia	1.52057883915649E+01	1217	5287228	14404
804	UKR	ukraine	5.05557749974916E+00	3680	18180124	51204
434	LBY	libya	8.78093144055533E+00	1912	8030270	20645
270	GMB	gambia	9.19827458712050E+00	363	2260222	6453
246	FIN	finland	1.30114572817189E+02	656	5122395	13520
480	MUS	mauritius	1.19429079745766E+01	224	2507536	7547
28	ATG	antigua and barbuda	1.22994336652406E+02	55	1282394	3375
233	EST	estonia	8.84828302671088E+00	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	9.28424280211028E+00	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	7.83743849171732E-01	4205	21477320	68229
642	ROU	romania	1.76317174749306E+01	789	5283644	15969
690	SYC	seychelles	9.68229986370840E+01	66	1450952	4500
203	CZE	czech republic	9.06462800610651E+01	348	3304578	9155
818	EGY	egypt	1.88205950507377E+00	3001	11672118	30922
598	PNG	papua new guinea	2.09365833688804E+01	387	3195466	8519
840	USA	united states	3.02055374300002E+01	15304	52182114	151469
40	AUT	austria	9.55741265474330E+01	1311	10892096	32445
496	MNG	mongolia	9.25159985781951E+00	1667	8899314	27064
170	COL	colombia	1.80397172860064E+01	1023	7038812	20089
340	HND	honduras	7.94729718698627E+00	722	3315102	6948
554	NZL	new zealand	2.74156188297835E+01	1427	6201233	15155
242	FJI	fiji	4.12539891874833E+01	343	2428571	6108
174	COM	comoros	4.50313022567245E+01	109	1375712	3984
792	TUR	turkey	1.63000399731708E+01	2857	14049568	44033
826	GBR	united kingdom	1.97904157178346E+02	8628	35289924	107339
450	MDG	madagascar	3.76095744716681E-01	635	4426741	10294
368	IRQ	iraq	1.27472962604297E+00	2568	11919538	33762
50	BGD	bangladesh	2.71151336190173E+00	3254	19238292	57315
478	MRT	mauritania	1.96208830286854E+00	494	2817073	7565
858	URY	uruguay	7.26898228779195E+00	454	3979898	10642
250	FRA	france	7.43815139665133E+01	1730	10752330	34546
44	BHS	bahamas		400	2513540	6910
703	SVK	slovakia	1.20946102894179E+02	567	4087803	11688
372	IRL	ireland	2.75022889712915E+02	1615	6484724	16329
418	LAO	laos	1.45823762843175E+00	410	2605137	6778
410	KOR	south korea	4.71093446502938E+01	1484	6604974	14929
68	BOL	bolivia	6.76212975306270E+00	402	3681253	10308
454	MWI	malawi	3.18627585207456E+00	750	3050315	7024
218	ECU	ecuador	5.87199325041381E+00	898	5252818	12692
376	ISR	israel	1.00392679228484E+02	7951	25677910	65553
604	PER	peru	9.13846711044456E+00	633	5381479	16059
12	DZA	algeria	2.22245313470778E+01	721	6797727	19565
752	SWE	sweden	1.67164733707675E+02	2004	10834574	30870
356	IND	india	1.95765565235060E+00	5042	24381167	70861
834	TZA	tanzania	4.49528089004009E+00	556	4721413	11868
499	MNE	montenegro	1.81089810871525E+01	1239	6874308	19854
762	TJK	tajikistan	3.43333198383352E-01	569	3856874	11733
768	TGO	togo	1.71171536969152E+01	74	1478904	4415
400	JOR	jordan	1.96038317045273E+01	914	5592938	15060
152	CHL	chile	4.83807503365692E+00	1430	7410887	19636
512	OMN	oman		244	2740041	7050
566	NGA	nigeria	1.39824132318553E+01	1168	7926035	20332
724	ESP	spain	3.61199309921740E+01	3334	16565176	45770
268	GEO	georgia	5.31668799255645E+00	1722	7851210	21567
578	NOR	norway	1.12769925491857E+02	1151	7215017	20016
694	SLE	sierra leone	1.17830399627882E+01	610	3195183	7907
504	MAR	morocco	6.73845519410848E+00	1463	8889048	23442
266	GAB	gabon	8.33777925951672E+01	185	2259207	6708
328	GUY	guyana	7.39485090815233E-01	569	3495270	9188
308	GRD	grenada	6.77873577307404E+01	124	1579737	4471
887	YEM	yemen	5.08136060887096E+00	925	5317491	14964
643	RUS	russia	1.50078601024522E+01	3858	19559146	53313
728	SSD	south sudan		971	4079530	9758
48	BHR	bahrain	6.52375850870546E+01	984	5534198	14791
360	IDN	indonesia	3.99236385126450E+00	1109	6315182	17660
148	TCD	chad	1.08517806525968E+01	446	2572952	6902
484	MEX	mexico	1.29782055631467E+01	1935	10624402	27978
426	LSO	lesotho	4.61518631116487E+01	83	1161694	3443
112	BLR	belarus	1.07218441321449E+01	996	4888728	12776
670	VCT	saint vincent and the grenadines	6.02894483715779E+01	47	1275427	3160
800	UGA	uganda	4.94591054513899E+01	668	3381652	9634
108	BDI	burundi	5.47807574046765E+00	210	1796598	4801
404	KEN	kenya	1.02551827695827E+01	1096	8286607	20012
72	BWA	botswana	7.32117770793168E+01	139	1154682	2889
380	ITA	italy	3.87484328615580E+01	1847	9978083	33234
116	KHM	cambodia	4.91219735550060E+00	851	5165635	13715
231	ETH	ethiopia	4.99079949164878E+00	1109	6232319	16459
548	VUT	vanuatu		265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	2.27806279477920E+01	956	4537626	11383
204	BEN	benin	4.62855058444839E+01	86	1013683	2666
76	BRA	brazil	1.55915576887317E+01	2424	12102945	32005
702	SGP	singapore	1.04852106305300E+03	1270	7965260	19928
90	SLB	solomon islands		286	2615725	7016
352	ISL	iceland	1.15890001659935E+02	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	1.21062998402714E+01	273	2105051	5162
705	SVN	slovenia	4.07596402567807E+01	587	3362613	9659
276	DEU	germany	9.78927399781220E+01	809	4940123	15076
710	ZAF	south africa	2.58995855296047E+01	3528	20480119	48536
212	DMA	dominica	2.60155204149933E+01	92	1002182	2597
795	TKM	turkmenistan	6.66863630608197E-01	707	4104779	12388
740	SUR	suriname	4.00029586537446E+00	156	1635993	4679
232	ERI	eritrea	2.13969717122031E+00	275	2382397	6381
776	TON	tonga		155	1499371	3416
462	MDV	maldives	2.88068057913789E+02	178	1780819	5626
860	UZB	uzbekistan	4.85681122355995E-01	740	4951129	14191
222	SLV	el salvador	9.16931614949013E+00	398	2716148	7133
616	POL	poland	3.47346646740304E+01	2953	15472218	44481
132	CPV	cape verde	6.21200267594562E+01	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	1.12491374263619E+00	2330	11515107	29006
414	KWT	kuwait		837	5585031	12697
